3'黄希扬左路传中，直接被池文一抱住                   3'比赛开始后杭州绿城率先开球，第3分钟，黄希扬左路传中，门前直接被池文一抱住
27'谈杨刚才被踢了一脚                   24'第24分钟，延边队换人，金承大替下尼古拉
29'吴永春左路回敲                   29'第29分钟，杭州绿城左路传中，陈柏良头球高出，随后陈柏良受伤下场接受治疗
29'直接放长传                   29'第29分钟，杭州绿城左路传中，陈柏良头球高出，随后陈柏良受伤下场接受治疗
29'球被绿城控制住                   29'第29分钟，杭州绿城左路传中，陈柏良头球高出，随后陈柏良受伤下场接受治疗
29'绿城长传，谈杨边路护球                   29'第29分钟，杭州绿城左路传中，陈柏良头球高出，随后陈柏良受伤下场接受治疗
30'绿城左路传中，陈柏良头球高出                   29'第29分钟，杭州绿城左路传中，陈柏良头球高出，随后陈柏良受伤下场接受治疗
30'陈柏良倒在地上                   29'第29分钟，杭州绿城左路传中，陈柏良头球高出，随后陈柏良受伤下场接受治疗
30'担架赶紧上来                   29'第29分钟，杭州绿城左路传中，陈柏良头球高出，随后陈柏良受伤下场接受治疗
31'陈柏良被抬到了场外                   29'第29分钟，杭州绿城左路传中，陈柏良头球高出，随后陈柏良受伤下场接受治疗
31'延边右路直接起球，邹德海把球没收                   29'第29分钟，杭州绿城左路传中，陈柏良头球高出，随后陈柏良受伤下场接受治疗
32'冯刚中场断球后直接起球吊射，高出横梁                   29'第29分钟，杭州绿城左路传中，陈柏良头球高出，随后陈柏良受伤下场接受治疗
36'冯刚左路斜传禁区，池文一没收                   36'第36分钟，延边扳回一球，禁区右侧河太均倒三角横敲，尹比加兰及时跟进包抄推射球门右上角得分
37'延边扳回一球，河太均右侧横传点球点，尹比加兰推射破门                   36'第36分钟，延边扳回一球，禁区右侧河太均倒三角横敲，尹比加兰及时跟进包抄推射球门右上角得分
39'斯蒂夫外围远射打高了                   36'第36分钟，延边扳回一球，禁区右侧河太均倒三角横敲，尹比加兰及时跟进包抄推射球门右上角得分
39'谈杨前场争抢犯规                   36'第36分钟，延边扳回一球，禁区右侧河太均倒三角横敲，尹比加兰及时跟进包抄推射球门右上角得分
39'延边后场长传，陈晓犯规                   36'第36分钟，延边扳回一球，禁区右侧河太均倒三角横敲，尹比加兰及时跟进包抄推射球门右上角得分
39'斯蒂夫外围远射打高了                   38'第38分钟，斯蒂夫外围远射打高了
39'谈杨前场争抢犯规                   38'第38分钟，斯蒂夫外围远射打高了
39'延边后场长传，陈晓犯规                   38'第38分钟，斯蒂夫外围远射打高了
40'位置非常好                   38'第38分钟，斯蒂夫外围远射打高了
40'尹比加兰任意球直接攻门，球击中门框弹出                   38'第38分钟，斯蒂夫外围远射打高了
40'外围再补射被解围了                   38'第38分钟，斯蒂夫外围远射打高了
41'斯蒂夫左路内切倒地，裁判没吹                   38'第38分钟，斯蒂夫外围远射打高了
41'绿城后场控球                   38'第38分钟，斯蒂夫外围远射打高了
41'斯蒂夫左路内切倒地，裁判没吹                   41'第41分钟，斯蒂夫左路内切倒地，裁判没吹罚引发主队球迷不满
41'绿城后场控球                   41'第41分钟，斯蒂夫左路内切倒地，裁判没吹罚引发主队球迷不满
42'现场又是出现了球迷不和谐的口号                   41'第41分钟，斯蒂夫左路内切倒地，裁判没吹罚引发主队球迷不满
42'尹比加兰送直塞，河太均没有接                   41'第41分钟，斯蒂夫左路内切倒地，裁判没吹罚引发主队球迷不满
48'角球找前点被解围                   48'第48分钟，延边队获得前场任意球机会，尹比加兰任意球传到禁区，河太均接球转身打门偏出立柱
48'绿城边路犯规                   48'第48分钟，延边队获得前场任意球机会，尹比加兰任意球传到禁区，河太均接球转身打门偏出立柱
49'尹比加兰任意球传到禁区，河太均接球转身打门偏出                   48'第48分钟，延边队获得前场任意球机会，尹比加兰任意球传到禁区，河太均接球转身打门偏出立柱
49'邹德海大脚开出门球                   48'第48分钟，延边队获得前场任意球机会，尹比加兰任意球传到禁区，河太均接球转身打门偏出立柱
50'延边后场直接长传，禁区内被解围                   48'第48分钟，延边队获得前场任意球机会，尹比加兰任意球传到禁区，河太均接球转身打门偏出立柱
50'绿城右路进攻被拦截                   48'第48分钟，延边队获得前场任意球机会，尹比加兰任意球传到禁区，河太均接球转身打门偏出立柱
51'谈杨右路护球转身                   48'第48分钟，延边队获得前场任意球机会，尹比加兰任意球传到禁区，河太均接球转身打门偏出立柱
51'横传中路被断掉                   48'第48分钟，延边队获得前场任意球机会，尹比加兰任意球传到禁区，河太均接球转身打门偏出立柱
46'斯皮拉诺维奇禁区前沿犯规                   46'1分钟后，延边右路传中，前点被顶出，姜洪权外围打门偏出立柱
46'延边获得禁区前定位球                   46'1分钟后，延边右路传中，前点被顶出，姜洪权外围打门偏出立柱
47'尹比加兰任意球攻门，邹德海扑出底线                   46'1分钟后，延边右路传中，前点被顶出，姜洪权外围打门偏出立柱
48'角球找前点被解围                   46'1分钟后，延边右路传中，前点被顶出，姜洪权外围打门偏出立柱
46'下半场比赛开始                   46'1分钟后，延边右路传中，前点被顶出，姜洪权外围打门偏出立柱
46'延边开出皮球                   46'1分钟后，延边右路传中，前点被顶出，姜洪权外围打门偏出立柱
46'延边后场长传，邹德海把球没收                   46'1分钟后，延边右路传中，前点被顶出，姜洪权外围打门偏出立柱
47'崔仁中线位置长传禁区，河太均没有定到                   46'1分钟后，延边右路传中，前点被顶出，姜洪权外围打门偏出立柱
47'姜洪权右路突破被踢出边线                   46'1分钟后，延边右路传中，前点被顶出，姜洪权外围打门偏出立柱
48'绿城边路犯规                   46'1分钟后，延边右路传中，前点被顶出，姜洪权外围打门偏出立柱
49'尹比加兰任意球传到禁区，河太均接球转身打门偏出                   46'1分钟后，延边右路传中，前点被顶出，姜洪权外围打门偏出立柱
49'邹德海大脚开出门球                   46'1分钟后，延边右路传中，前点被顶出，姜洪权外围打门偏出立柱
54'姜洪权外围打门偏出                   54'第54分钟，延边队进攻，斯蒂夫禁区左侧拿球，摆脱防守队员后打门高出横梁
54'延边换人，金波替下崔仁                   54'第54分钟，延边队进攻，斯蒂夫禁区左侧拿球，摆脱防守队员后打门高出横梁
55'斯蒂夫禁区左侧拿球摆脱打门高出横梁                   54'第54分钟，延边队进攻，斯蒂夫禁区左侧拿球，摆脱防守队员后打门高出横梁
55'绿城换人，葛振替下吴范锡                   54'第54分钟，延边队进攻，斯蒂夫禁区左侧拿球，摆脱防守队员后打门高出横梁
56'延边右路传中，前点又是被解围                   54'第54分钟，延边队进攻，斯蒂夫禁区左侧拿球，摆脱防守队员后打门高出横梁
56'绿城后场拼抢犯规                   54'第54分钟，延边队进攻，斯蒂夫禁区左侧拿球，摆脱防守队员后打门高出横梁
57'冯刚右路被侵犯                   54'第54分钟，延边队进攻，斯蒂夫禁区左侧拿球，摆脱防守队员后打门高出横梁
57'任意球找前点被延边顶出                   54'第54分钟，延边队进攻，斯蒂夫禁区左侧拿球，摆脱防守队员后打门高出横梁
56'延边右路传中，前点又是被解围                   56'第56分钟，斯蒂夫拿球送直线，邹德海出击大脚解围
56'绿城后场拼抢犯规                   56'第56分钟，斯蒂夫拿球送直线，邹德海出击大脚解围
57'冯刚右路被侵犯                   56'第56分钟，斯蒂夫拿球送直线，邹德海出击大脚解围
57'任意球找前点被延边顶出                   56'第56分钟，斯蒂夫拿球送直线，邹德海出击大脚解围
58'延边反击送禁区，邹德海出击大脚解围                   56'第56分钟，斯蒂夫拿球送直线，邹德海出击大脚解围
58'金波右侧拿球吊射，邹德海后退中把球拖出横梁                   56'第56分钟，斯蒂夫拿球送直线，邹德海出击大脚解围
59'尹比加兰角球给后点，池忠国拿球打门被挡出底线                   56'第56分钟，斯蒂夫拿球送直线，邹德海出击大脚解围
59'换到左侧的角球                   56'第56分钟，斯蒂夫拿球送直线，邹德海出击大脚解围
59'角球开出，被蹭出了底线                   56'第56分钟，斯蒂夫拿球送直线，邹德海出击大脚解围
59'尹比加兰角球给后点，池忠国拿球打门被挡出底线                   59'第59分钟，绿城换人，董宇替下谈杨
59'换到左侧的角球                   59'第59分钟，绿城换人，董宇替下谈杨
59'角球开出，被蹭出了底线                   59'第59分钟，绿城换人，董宇替下谈杨
60'第三个角球开到禁区，被解围到外围                   59'第59分钟，绿城换人，董宇替下谈杨
60'延边队员打门，没踢上力量                   59'第59分钟，绿城换人，董宇替下谈杨
60'绿城球员禁区解围，见高不见远                   59'第59分钟，绿城换人，董宇替下谈杨
60'邹德海出击把球没收                   59'第59分钟，绿城换人，董宇替下谈杨
60'绿城换人，董宇替下谈杨                   59'第59分钟，绿城换人，董宇替下谈杨
61'斯蒂夫右侧护球给到外围                   59'第59分钟，绿城换人，董宇替下谈杨
61'禁区内斯蒂夫再横传，被铲出底线                   59'第59分钟，绿城换人，董宇替下谈杨
62'加比奥内塔带球反击，左路内切                   59'第59分钟，绿城换人，董宇替下谈杨
62'被碰了一下后，池文一大脚开出                   59'第59分钟，绿城换人，董宇替下谈杨
68'卡希尔边路横敲，再往前送                   68'第68分钟，金波禁区右侧挑传中路，禁区内形成混战，球被蹭到后点，河太均传到左侧，尹比加兰插上打门被邹德海倒地封堵
68'出了边线                   68'第68分钟，金波禁区右侧挑传中路，禁区内形成混战，球被蹭到后点，河太均传到左侧，尹比加兰插上打门被邹德海倒地封堵
69'金波禁区右侧挑传中路，球被蹭到后点，河太均传到左侧，尹比加兰插上打门被邹德海倒地封堵                   68'第68分钟，金波禁区右侧挑传中路，禁区内形成混战，球被蹭到后点，河太均传到左侧，尹比加兰插上打门被邹德海倒地封堵
69'邹德海也是受伤倒地                   68'第68分钟，金波禁区右侧挑传中路，禁区内形成混战，球被蹭到后点，河太均传到左侧，尹比加兰插上打门被邹德海倒地封堵
70'斯蒂夫左路回敲                   68'第68分钟，金波禁区右侧挑传中路，禁区内形成混战，球被蹭到后点，河太均传到左侧，尹比加兰插上打门被邹德海倒地封堵
70'再给到右路                   68'第68分钟，金波禁区右侧挑传中路，禁区内形成混战，球被蹭到后点，河太均传到左侧，尹比加兰插上打门被邹德海倒地封堵
71'李浩杰右路传中，河太均冲顶没顶到啊                   68'第68分钟，金波禁区右侧挑传中路，禁区内形成混战，球被蹭到后点，河太均传到左侧，尹比加兰插上打门被邹德海倒地封堵
71'延边左侧再传中，斯蒂夫没碰到                   68'第68分钟，金波禁区右侧挑传中路，禁区内形成混战，球被蹭到后点，河太均传到左侧，尹比加兰插上打门被邹德海倒地封堵
76'延边右路被断了                   76'第76分钟，绿城换人，陈中流替下黄希扬
76'陈柏良分球右路                   76'第76分钟，绿城换人，陈中流替下黄希扬
76'直接打长传，池文一没收                   76'第76分钟，绿城换人，陈中流替下黄希扬
77'绿城换人，陈中流替下黄希扬                   76'第76分钟，绿城换人，陈中流替下黄希扬
78'延边角球还是前点，没威胁                   76'第76分钟，绿城换人，陈中流替下黄希扬
78'边路冯刚和对方对脚后倒地                   76'第76分钟，绿城换人，陈中流替下黄希扬
79'加比奥内塔左侧传中，球被碰到中路，冯刚倒钩打门偏出                   76'第76分钟，绿城换人，陈中流替下黄希扬
80'延边换人，裴育文替下姜洪权                   80'第80分钟，延边队换人，裴育文替下姜洪权
80'斯蒂夫打门出了底线                   80'第80分钟，延边队换人，裴育文替下姜洪权
80'这下斯蒂夫也是很懊恼啊                   80'第80分钟，延边队换人，裴育文替下姜洪权
81'邹德海开门球拖延时间吃到黄牌                   80'第80分钟，延边队换人，裴育文替下姜洪权
81'延边长传禁区                   80'第80分钟，延边队换人，裴育文替下姜洪权
81'斯蒂夫停球打门偏出                   80'第80分钟，延边队换人，裴育文替下姜洪权
83'绿城前场反抢成功                   80'第80分钟，延边队换人，裴育文替下姜洪权
83'加比奥内塔带球最后一步大了啊                   80'第80分钟，延边队换人，裴育文替下姜洪权
83'吴永春边路防守犯规                   80'第80分钟，延边队换人，裴育文替下姜洪权
85'球被解围到了中场                   85'第85分钟，尹比加兰禁区外围迎球怒射被陈晓封出底线，角球到中路被解围
85'延边长传，邹德海没收皮球                   85'第85分钟，尹比加兰禁区外围迎球怒射被陈晓封出底线，角球到中路被解围
86'尹比加兰禁区外围迎球怒射被防守球员挡出底线                   85'第85分钟，尹比加兰禁区外围迎球怒射被陈晓封出底线，角球到中路被解围
86'角球到中路被解围                   85'第85分钟，尹比加兰禁区外围迎球怒射被陈晓封出底线，角球到中路被解围
86'池忠国反抢犯规                   85'第85分钟，尹比加兰禁区外围迎球怒射被陈晓封出底线，角球到中路被解围
87'斯皮拉诺维奇后场防守犯规                   85'第85分钟，尹比加兰禁区外围迎球怒射被陈晓封出底线，角球到中路被解围
87'延边获得禁区外定位球                   85'第85分钟，尹比加兰禁区外围迎球怒射被陈晓封出底线，角球到中路被解围
88'延边任意球挑传禁区，斯蒂夫禁区内抢点破门                   85'第85分钟，尹比加兰禁区外围迎球怒射被陈晓封出底线，角球到中路被解围
50'延边后场直接长传，禁区内被解围                   50'全场补时5分钟
50'绿城右路进攻被拦截                   50'全场补时5分钟
51'谈杨右路护球转身                   50'全场补时5分钟
51'横传中路被断掉                   50'全场补时5分钟
52'崔仁前场带球突破被黄希扬铲倒，黄希扬吃到黄牌                   50'全场补时5分钟
52'延边右路传中，前点被顶出                   50'全场补时5分钟
