3'姜至鹏左路给到叶楚贵，叶楚贵不停球，直接敲给插上的卢琳                   3'开场第3分钟，汪嵩主罚前场左侧任意球旋至门前，姜宁甩头攻门稍稍打偏
17'秦升前场逼抢米歇尔犯规                   16'第16分钟，富力长传找叶楚贵，叶楚贵和郑涛在右路纠缠在一起两人双双倒地，裁判没有吹罚
17'感觉辽宁队在詹姆斯受伤之后就找不到核心，最近的表现也是不甚理想                   16'第16分钟，富力长传找叶楚贵，叶楚贵和郑涛在右路纠缠在一起两人双双倒地，裁判没有吹罚
18'丁海峰左路交给邱卡，邱卡分边                   16'第16分钟，富力长传找叶楚贵，叶楚贵和郑涛在右路纠缠在一起两人双双倒地，裁判没有吹罚
18'姜宁积极防守，把球捅出边线                   16'第16分钟，富力长传找叶楚贵，叶楚贵和郑涛在右路纠缠在一起两人双双倒地，裁判没有吹罚
18'辽宁把球敲回到后场，秦升组织一下                   16'第16分钟，富力长传找叶楚贵，叶楚贵和郑涛在右路纠缠在一起两人双双倒地，裁判没有吹罚
18'秦升突然的一记长传，出了右路边线                   16'第16分钟，富力长传找叶楚贵，叶楚贵和郑涛在右路纠缠在一起两人双双倒地，裁判没有吹罚
30'邱卡前场争顶，辽宁把球控制下来                   30'辽宁队主攻右路，第30分钟波利右路得球突破未能成功，郑涛跟进一脚传中却变成吊门，稍稍高出横梁
30'辽宁主攻右路，波利得球，面对两人的包围没有突破过去                   30'辽宁队主攻右路，第30分钟波利右路得球突破未能成功，郑涛跟进一脚传中却变成吊门，稍稍高出横梁
31'辽宁没有失去球权，球还在富力的禁区前沿                   30'辽宁队主攻右路，第30分钟波利右路得球突破未能成功，郑涛跟进一脚传中却变成吊门，稍稍高出横梁
31'郑涛右路助攻上来，一脚传中，不知道是有意无意啊，变成吊门了                   30'辽宁队主攻右路，第30分钟波利右路得球突破未能成功，郑涛跟进一脚传中却变成吊门，稍稍高出横梁
31'这个球稍稍高出横梁，从动作看像传，从结果看还真是一记不错的吊射                   30'辽宁队主攻右路，第30分钟波利右路得球突破未能成功，郑涛跟进一脚传中却变成吊门，稍稍高出横梁
32'辽宁这一阵适应了之后开始展开攻势                   30'辽宁队主攻右路，第30分钟波利右路得球突破未能成功，郑涛跟进一脚传中却变成吊门，稍稍高出横梁
32'左路丁海峰强突被唐淼捅出底线                   30'辽宁队主攻右路，第30分钟波利右路得球突破未能成功，郑涛跟进一脚传中却变成吊门，稍稍高出横梁
32'丁海峰主罚左路的角球                   30'辽宁队主攻右路，第30分钟波利右路得球突破未能成功，郑涛跟进一脚传中却变成吊门，稍稍高出横梁
33'给到前点，汪嵩抢在杨善平之前把球顶出边线                   30'辽宁队主攻右路，第30分钟波利右路得球突破未能成功，郑涛跟进一脚传中却变成吊门，稍稍高出横梁
33'秦升再次展现大力界外球的功夫                   30'辽宁队主攻右路，第30分钟波利右路得球突破未能成功，郑涛跟进一脚传中却变成吊门，稍稍高出横梁
33'禁区内富力解围出来                   30'辽宁队主攻右路，第30分钟波利右路得球突破未能成功，郑涛跟进一脚传中却变成吊门，稍稍高出横梁
40'右路在传进去，哎呀，还是邱卡这个点啊，可惜邱卡依然还躺在地上                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
40'辽宁外围左路一脚匆忙的远射结束了这次进攻                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
40'邱卡问题不大，慢慢的站起来了                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
41'富力到前场之后丢球太过轻易                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
41'辽宁进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
41'金泰延一记远射，打高了                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
41'刘殿座对后防线明显不满，大声呼喊                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
42'辽宁中路渗透，打的比较细，直塞禁区内                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
42'邱卡插上，好在于洋紧跟不放，和邱卡双双倒地，球过人不过啊                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
42'上半场接近尾声了                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
43'辽宁长传右路找邱卡头上，于洋伸腿挡出                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
43'姜至鹏背身领球，波利上抢犯规                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
43'双方中场缠斗波利把球踢出边线                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
43'富力中路组织，汪嵩把球调度到右侧给唐淼                   40'第40分钟，辽宁队进攻到禁区边缘，横敲之后邱卡脚后跟妙传给左侧的金泰延，后者一记远射打高
47'哈默德转身抹过秦升，被秦升放倒                   47'第47分钟，富力长传打身后，哈默德左路插上甩开金裕晋的贴身盯防，小禁区左角位置面对出击的刘D，刘D一个前扑将球得到，哈默德也被带倒
47'很显然，孔特拉派上哈默德就是要拿下这场比赛                   47'第47分钟，富力长传打身后，哈默德左路插上甩开金裕晋的贴身盯防，小禁区左角位置面对出击的刘D，刘D一个前扑将球得到，哈默德也被带倒
48'富力长传，哈默德左路的插上，能力很强啊                   47'第47分钟，富力长传打身后，哈默德左路插上甩开金裕晋的贴身盯防，小禁区左角位置面对出击的刘D，刘D一个前扑将球得到，哈默德也被带倒
48'哈默德甩开金裕晋的贴身盯防                   47'第47分钟，富力长传打身后，哈默德左路插上甩开金裕晋的贴身盯防，小禁区左角位置面对出击的刘D，刘D一个前扑将球得到，哈默德也被带倒
48'哈默德小禁区左角位置面对出击的刘旸，刘旸倒地把球得到，哈默德也摔倒                   47'第47分钟，富力长传打身后，哈默德左路插上甩开金裕晋的贴身盯防，小禁区左角位置面对出击的刘D，刘D一个前扑将球得到，哈默德也被带倒
48'裁判没有给点球，哈默德明显很不爽                   47'第47分钟，富力长传打身后，哈默德左路插上甩开金裕晋的贴身盯防，小禁区左角位置面对出击的刘D，刘D一个前扑将球得到，哈默德也被带倒
49'哈默德能力真是强啊                   47'第47分钟，富力长传打身后，哈默德左路插上甩开金裕晋的贴身盯防，小禁区左角位置面对出击的刘D，刘D一个前扑将球得到，哈默德也被带倒
49'富力后场断球，卢琳带过中场                   47'第47分钟，富力长传打身后，哈默德左路插上甩开金裕晋的贴身盯防，小禁区左角位置面对出击的刘D，刘D一个前扑将球得到，哈默德也被带倒
49'交给汪嵩，汪嵩斜传找禁区前沿的叶楚贵被郑涛挡出                   47'第47分钟，富力长传打身后，哈默德左路插上甩开金裕晋的贴身盯防，小禁区左角位置面对出击的刘D，刘D一个前扑将球得到，哈默德也被带倒
50'唐淼右路斜吊禁区，第一点被解围                   47'第47分钟，富力长传打身后，哈默德左路插上甩开金裕晋的贴身盯防，小禁区左角位置面对出击的刘D，刘D一个前扑将球得到，哈默德也被带倒
50'富力下半场率先发力了                   47'第47分钟，富力长传打身后，哈默德左路插上甩开金裕晋的贴身盯防，小禁区左角位置面对出击的刘D，刘D一个前扑将球得到，哈默德也被带倒
50'姜至鹏左路拿球，回敲给后防线                   47'第47分钟，富力长传打身后，哈默德左路插上甩开金裕晋的贴身盯防，小禁区左角位置面对出击的刘D，刘D一个前扑将球得到，哈默德也被带倒
54'秦升前场的凶狠犯规，领到黄牌                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
54'这个球不聪明，前场的拼抢吃牌，不划算啊                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
54'丁海峰左路突破，扣过回防的叶楚贵                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
55'辽宁把球过渡到右侧                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
55'右路斜传禁区，后点倪玉崧越位了                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
55'富力在换人，叶楚贵下场，常飞亚替补上来                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
55'上一轮就是两人的进球让富力从长春带回3分                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
56'哈默德前场护球，被对手踢倒                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
56'汪嵩主罚定位球，后点被丁海峰头球解围                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
56'第二点富力在传，杨善平防出来，把球挡出底线                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
56'米歇尔角球给到中路，辽宁头球解围                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
57'外围富力卷土重来，大范围斜传到右路的米歇尔                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
57'米歇尔瞄着传，落点很妙，刘旸横身一扑没有碰到球，常飞亚飞身抢点也没碰到                   54'第54分钟米歇尔在右边路转身摆脱时被秦升故意拉倒，秦升也被黄牌警告
60'富力左路进攻，哈默德拿球到底线附近                   60'第60分钟富力队连续在禁区前获得好机会，先是左路的低平球传中哈默德铲射漏过打空门机会，随后右路再传中，刘D将球漏过，哈默德头球攻门擦着横梁高出
60'下底很深的哈默德面对防守，强突，被后卫倒地扫出底线                   60'第60分钟富力队连续在禁区前获得好机会，先是左路的低平球传中哈默德铲射漏过打空门机会，随后右路再传中，刘D将球漏过，哈默德头球攻门擦着横梁高出
60'汪嵩左路角球，给后点，球给的有些飘                   60'第60分钟富力队连续在禁区前获得好机会，先是左路的低平球传中哈默德铲射漏过打空门机会，随后右路再传中，刘D将球漏过，哈默德头球攻门擦着横梁高出
60'辽宁第一点解围出来，外围富力把球控制下来                   60'第60分钟富力队连续在禁区前获得好机会，先是左路的低平球传中哈默德铲射漏过打空门机会，随后右路再传中，刘D将球漏过，哈默德头球攻门擦着横梁高出
61'左路禁区内辽宁防守漏掉了卢琳                   60'第60分钟富力队连续在禁区前获得好机会，先是左路的低平球传中哈默德铲射漏过打空门机会，随后右路再传中，刘D将球漏过，哈默德头球攻门擦着横梁高出
61'卢琳低平球扫到门前，没人碰到啊可惜                   60'第60分钟富力队连续在禁区前获得好机会，先是左路的低平球传中哈默德铲射漏过打空门机会，随后右路再传中，刘D将球漏过，哈默德头球攻门擦着横梁高出
62'右边还有，米歇尔传中，后点哈默德头球，稍稍偏出                   60'第60分钟富力队连续在禁区前获得好机会，先是左路的低平球传中哈默德铲射漏过打空门机会，随后右路再传中，刘D将球漏过，哈默德头球攻门擦着横梁高出
62'富力这波进攻又制造了极大的威胁，可惜还是未能破门                   60'第60分钟富力队连续在禁区前获得好机会，先是左路的低平球传中哈默德铲射漏过打空门机会，随后右路再传中，刘D将球漏过，哈默德头球攻门擦着横梁高出
62'辽宁今天客场打的很顽强，后防一直咬牙坚持没有丢球                   60'第60分钟富力队连续在禁区前获得好机会，先是左路的低平球传中哈默德铲射漏过打空门机会，随后右路再传中，刘D将球漏过，哈默德头球攻门擦着横梁高出
63'辽宁大范围的斜传，秦升追赶不及，出了边线                   60'第60分钟富力队连续在禁区前获得好机会，先是左路的低平球传中哈默德铲射漏过打空门机会，随后右路再传中，刘D将球漏过，哈默德头球攻门擦着横梁高出
63'辽宁反击的机会，杨运禁区内扣过于洋                   60'第60分钟富力队连续在禁区前获得好机会，先是左路的低平球传中哈默德铲射漏过打空门机会，随后右路再传中，刘D将球漏过，哈默德头球攻门擦着横梁高出
63'杨运找到空隙来一脚打门，于洋反应迅速，伸腿一挡，角球                   60'第60分钟富力队连续在禁区前获得好机会，先是左路的低平球传中哈默德铲射漏过打空门机会，随后右路再传中，刘D将球漏过，哈默德头球攻门擦着横梁高出
75'慢镜头来看波利对姜至鹏手上的小动作非常不满                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
75'富力右路的角球                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
75'禁区内第一点被挡                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
75'弧顶处米歇尔一停，凌空就射，高了                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
76'常飞亚突破被张野绊倒在地                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
76'常飞亚已经逐渐成长为富力最重要的主力替补                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
76'汪嵩右侧分边，唐淼没有机会，在回敲                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
77'富力前场的渗透被断                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
77'辽宁反击，左路杨超声强突，唐淼拉人犯规                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
77'丁海峰主罚左路的这个定位球                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
77'场面比较被动的辽宁要把握这种定位球机会                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
77'丁海峰前点没有传起来                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
78'前点解围出来，外围远射，再次被挡出，禁区内人太多了                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
78'辽宁右侧外围的传中，还是没有传起来，今天辽宁的传中质量不高                   75'第75分钟，富力队右侧角球禁区内第一点被挡出，弧顶处米歇尔一停凌空就打踢高
86'杨超声前场拼抢踢倒了张耀坤犯规                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
86'富力的好机会                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
86'右路直塞禁区内，冯卓毅插上，小禁区一脚爆射，击中了边网                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
86'这是一个很好的机会啊，太可惜了                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
86'难道今晚要0-0收场吗                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
87'辽宁的进攻，禁区内邱卡把球拿好，看看有没有机会                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
87'邱卡横向一带，瞬间上来3名后卫                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
87'辽宁的界外球                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
87'杨超声右路拿球，交给中间                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
88'秦升直传找前锋，没有威胁                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
88'双方中场现在脱节都很明显，体能跟不上了                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
88'哈默德左路强突，吃掉两名后卫，下底传中，被出击的刘旸挡出底线                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
88'这就是哈默德的能力啊，爆发力太强                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
89'汪嵩角球，中路抢到点，但是没有顶正                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
89'富力外围压着辽宁在攻                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
89'右路斜吊禁区，被挡出来                   86'第86分钟，常飞亚禁区外送出鬼魅直塞，冯卓毅抹入禁区，小角度爆射发力过猛，皮球击中边网
