22'角球开出到后点，莫蒂的头球摆渡，结果直接顶出了底线                   22'第22分钟，埃斯皮尼奥开出角球，莫蒂远点小角度头球攻门打在边网
29'马塞洛切入没能停好，将球碰了一下，出了底线                   26'第26分钟，伊利亚拉门迪传球，埃尔南德斯禁区右侧的射门被封堵
32'马塞洛左路的传中到禁区，埃尔南德斯的甩头攻门，斯托扬诺夫将球拿到                   32'第32分钟，马塞洛传中，埃尔南德斯近距离甩头攻门角度太正，斯托扬诺夫稳稳摘下
32'阿韦洛亚右路45度斜传球到禁区，米涅夫头球解围出底线                   32'第32分钟，马塞洛传中，埃尔南德斯近距离甩头攻门角度太正，斯托扬诺夫稳稳摘下
33'皇马获得右侧角球机会，莫德里奇主罚                   32'第32分钟，马塞洛传中，埃尔南德斯近距离甩头攻门角度太正，斯托扬诺夫稳稳摘下
33'角球开出到后点，被卢多戈雷茨球员解围                   32'第32分钟，马塞洛传中，埃尔南德斯近距离甩头攻门角度太正，斯托扬诺夫稳稳摘下
33'伊斯科外围拿球，再给莫德里奇                   32'第32分钟，马塞洛传中，埃尔南德斯近距离甩头攻门角度太正，斯托扬诺夫稳稳摘下
33'莫德里奇外脚背的传中，可惜没能过了前点啊                   32'第32分钟，马塞洛传中，埃尔南德斯近距离甩头攻门角度太正，斯托扬诺夫稳稳摘下
34'埃尔南德斯前场抢断，转身强突进入禁区                   32'第32分钟，马塞洛传中，埃尔南德斯近距离甩头攻门角度太正，斯托扬诺夫稳稳摘下
34'面对斯托扬诺夫，左脚劲射，被扑出                   32'第32分钟，马塞洛传中，埃尔南德斯近距离甩头攻门角度太正，斯托扬诺夫稳稳摘下
35'马塞利尼奥拿球强突，拉莫斯伸腿将球碰出底线                   32'第32分钟，马塞洛传中，埃尔南德斯近距离甩头攻门角度太正，斯托扬诺夫稳稳摘下
35'卢多戈雷茨获得右侧角球，开出到中路                   32'第32分钟，马塞洛传中，埃尔南德斯近距离甩头攻门角度太正，斯托扬诺夫稳稳摘下
35'混战中球被皇马球员解围                   32'第32分钟，马塞洛传中，埃尔南德斯近距离甩头攻门角度太正，斯托扬诺夫稳稳摘下
43'贝尔右路拿球，横传球到前点找C罗                   43'第43分钟，卢多戈雷茨解围角球，马塞洛传中，拉莫斯小禁区前头球攻门偏出
44'C罗跟进迎球一脚怒射，被斯托扬诺夫挡出了底线                   43'第43分钟，卢多戈雷茨解围角球，马塞洛传中，拉莫斯小禁区前头球攻门偏出
44'卢多戈雷茨中路的直塞打身后                   43'第43分钟，卢多戈雷茨解围角球，马塞洛传中，拉莫斯小禁区前头球攻门偏出
45'贝斯贾克前插接应，面对出击的卡西利亚斯，过掉，推射空门打进，不过越位在先啦，无效                   43'第43分钟，卢多戈雷茨解围角球，马塞洛传中，拉莫斯小禁区前头球攻门偏出
45'上半场比赛补时1分钟                   43'第43分钟，卢多戈雷茨解围角球，马塞洛传中，拉莫斯小禁区前头球攻门偏出
46'伊斯科斜传球找前插的马塞洛                   43'第43分钟，卢多戈雷茨解围角球，马塞洛传中，拉莫斯小禁区前头球攻门偏出
46'可惜直接传出了边线，卢多戈雷茨界外球                   43'第43分钟，卢多戈雷茨解围角球，马塞洛传中，拉莫斯小禁区前头球攻门偏出
46'下半场比赛开始                   43'第43分钟，卢多戈雷茨解围角球，马塞洛传中，拉莫斯小禁区前头球攻门偏出
46'绿衣绿裤的卢多戈雷茨开球，从左向右进攻                   43'第43分钟，卢多戈雷茨解围角球，马塞洛传中，拉莫斯小禁区前头球攻门偏出
46'卢多戈雷茨中场失误，伊斯科拿球反击                   43'第43分钟，卢多戈雷茨解围角球，马塞洛传中，拉莫斯小禁区前头球攻门偏出
46'伊斯科的斜传球到禁区，埃尔南德斯控制                   43'第43分钟，卢多戈雷茨解围角球，马塞洛传中，拉莫斯小禁区前头球攻门偏出
52'皇马获得前场左侧的任意球机会，距离球门34米                   52'第52分钟，伊斯科左路传中，贝尔前点头球攻门被斯托扬诺夫神勇扑出
52'伊斯科任意球斜传禁区，贝尔头球攻门，太正，被斯托扬诺夫扑出                   52'第52分钟，伊斯科左路传中，贝尔前点头球攻门被斯托扬诺夫神勇扑出
53'这球顶的相当不错，可惜太正了，离进球又差了一点啊                   52'第52分钟，伊斯科左路传中，贝尔前点头球攻门被斯托扬诺夫神勇扑出
54'卢多戈雷茨左路的进攻，阿韦洛亚上抢拉人犯规                   52'第52分钟，伊斯科左路传中，贝尔前点头球攻门被斯托扬诺夫神勇扑出
54'皇马中场抢断，莫德里奇分球给伊斯科                   52'第52分钟，伊斯科左路传中，贝尔前点头球攻门被斯托扬诺夫神勇扑出
54'伊斯科拿球反击，左路强突，横传中间找C罗                   52'第52分钟，伊斯科左路传中，贝尔前点头球攻门被斯托扬诺夫神勇扑出
55'可惜这传球力量不足，直接被卢多戈雷茨球员拦截                   52'第52分钟，伊斯科左路传中，贝尔前点头球攻门被斯托扬诺夫神勇扑出
55'卢多戈雷茨的反击，禁区外的远射，被卡西利亚斯一托，高出横梁出底线                   52'第52分钟，伊斯科左路传中，贝尔前点头球攻门被斯托扬诺夫神勇扑出
55'卢多戈雷茨的左侧角球机会                   52'第52分钟，伊斯科左路传中，贝尔前点头球攻门被斯托扬诺夫神勇扑出
56'开出到前点，被回防的伊斯科头球解围                   56'第56分钟，伊斯科反击中传球，但埃尔南德斯近距离射偏
57'皇马进攻，C罗的直塞，伊斯科左侧横传，埃尔南德斯攻门更像解围，凯萨拉转身将球解围出边线                   56'第56分钟，伊斯科反击中传球，但埃尔南德斯近距离射偏
58'阿巴洛中场防守中犯规了，被主裁判送上黄牌一张                   56'第56分钟，伊斯科反击中传球，但埃尔南德斯近距离射偏
58'伊利亚拉门迪中场的传球失误，卢多戈雷茨的反击                   56'第56分钟，伊斯科反击中传球，但埃尔南德斯近距离射偏
58'贝斯贾克拿球反击，后路横传中路给马塞利尼奥                   56'第56分钟，伊斯科反击中传球，但埃尔南德斯近距离射偏
59'马塞利尼奥弧顶停球摆脱被断啦                   56'第56分钟，伊斯科反击中传球，但埃尔南德斯近距离射偏
59'皇马的防线压过了中线                   56'第56分钟，伊斯科反击中传球，但埃尔南德斯近距离射偏
59'贝尔左路拿球，内切后横传中路，可惜轻了点，被断掉                   56'第56分钟，伊斯科反击中传球，但埃尔南德斯近距离射偏
66'卢多戈雷茨前场进攻，禁区外的远射，卡西利亚斯奋力将球扑出底线                   66'第66分钟，马塞利尼奥25码处劲射被卡西利亚斯飞身救出
67'皇马换人：本泽马上，换下14号埃尔南德斯                   66'第66分钟，马塞利尼奥25码处劲射被卡西利亚斯飞身救出
67'C罗前场禁区左侧的劲射，被出击的斯托扬诺夫挡了一下，回防的后卫大脚解围                   66'第66分钟，马塞利尼奥25码处劲射被卡西利亚斯飞身救出
68'对于卢多戈雷茨的边线，现场的球迷很满意，站起来给球队加油啦                   66'第66分钟，马塞利尼奥25码处劲射被卡西利亚斯飞身救出
69'卢多戈雷茨换人：马塞利尼奥被换下，换上88号温德森                   66'第66分钟，马塞利尼奥25码处劲射被卡西利亚斯飞身救出
77'皇马战术角球开出，阿韦洛亚传中，拉莫斯头球顶偏                   77'皇马第77分钟反超比分，马塞洛左路传中，无人防守的本泽马小禁区边缘凌空垫射破门，2-1
77'进球啦！！！                   77'皇马第77分钟反超比分，马塞洛左路传中，无人防守的本泽马小禁区边缘凌空垫射破门，2-1
78'本泽马门前包抄垫射打进                   77'皇马第77分钟反超比分，马塞洛左路传中，无人防守的本泽马小禁区边缘凌空垫射破门，2-1
78'J罗拿球，分边给到马塞洛，马塞洛左脚传中到禁区，防守的亚历山德罗夫滑倒，无人防守的本泽马轻松垫射破门！！！                   77'皇马第77分钟反超比分，马塞洛左路传中，无人防守的本泽马小禁区边缘凌空垫射破门，2-1
79'全场比赛78分钟，皇马客场2-1反超了卢多戈雷茨                   77'皇马第77分钟反超比分，马塞洛左路传中，无人防守的本泽马小禁区边缘凌空垫射破门，2-1
80'皇马前场进攻，中路的直塞给到本泽马                   77'皇马第77分钟反超比分，马塞洛左路传中，无人防守的本泽马小禁区边缘凌空垫射破门，2-1
80'本泽马带球再突，脚下一扣，准备打门，脚下拌蒜啦                   77'皇马第77分钟反超比分，马塞洛左路传中，无人防守的本泽马小禁区边缘凌空垫射破门，2-1
84'温德森再横传给切入的米西江                   84'第84分钟，米斯德扬突入禁区右肋在伊利亚拉门迪防守下摔倒，裁判未予判罚引发主队上下不满
84'米西江带球突破，伊利亚拉门迪回防将球解围出底线                   84'第84分钟，米斯德扬突入禁区右肋在伊利亚拉门迪防守下摔倒，裁判未予判罚引发主队上下不满
84'米西江这次突破面对伊利亚拉门迪的逼抢，摔倒在地禁区                   84'第84分钟，米斯德扬突入禁区右肋在伊利亚拉门迪防守下摔倒，裁判未予判罚引发主队上下不满
85'卢多戈雷茨球员和教练想要点球，不过主裁判并未理会，只给了角球                   84'第84分钟，米斯德扬突入禁区右肋在伊利亚拉门迪防守下摔倒，裁判未予判罚引发主队上下不满
85'这让卢多戈雷茨主帅和现场球迷不满啊，嘘声响起                   84'第84分钟，米斯德扬突入禁区右肋在伊利亚拉门迪防守下摔倒，裁判未予判罚引发主队上下不满
85'卢多戈雷茨的角球开出，并未形成威胁                   84'第84分钟，米斯德扬突入禁区右肋在伊利亚拉门迪防守下摔倒，裁判未予判罚引发主队上下不满
86'下半场比赛40分钟了，比分1-2，卢多戈雷茨落后                   84'第84分钟，米斯德扬突入禁区右肋在伊利亚拉门迪防守下摔倒，裁判未予判罚引发主队上下不满
87'卢多戈雷茨前场的挑传球到禁区找米西江，可以后者被吹越位在先                   84'第84分钟，米斯德扬突入禁区右肋在伊利亚拉门迪防守下摔倒，裁判未予判罚引发主队上下不满
87'阿贝尔回防中身后踢倒了贝尔                   84'第84分钟，米斯德扬突入禁区右肋在伊利亚拉门迪防守下摔倒，裁判未予判罚引发主队上下不满
