2'埃弗顿在自己后场控球                   2'第2分钟，拜恩斯掷出界外球，奥斯曼大禁区左上角外凌空抽射擦右侧立柱偏出
35'唉，教授太失望了！！可怜了。                   34'埃弗顿第34分钟扩大比分，米拉拉斯斜传，卢卡库连过蒙雷亚尔和维尔马伦后16码处射入左下角，2-0
36'阿森纳怎么了啊！                   34'埃弗顿第34分钟扩大比分，米拉拉斯斜传，卢卡库连过蒙雷亚尔和维尔马伦后16码处射入左下角，2-0
36'阿森纳用这批人我玩FM2014也没法拿冠军，确实难为教授了                   34'埃弗顿第34分钟扩大比分，米拉拉斯斜传，卢卡库连过蒙雷亚尔和维尔马伦后16码处射入左下角，2-0
37'罗西基禁区左侧角上尝试一脚远射被后卫用身体挡出                   34'埃弗顿第34分钟扩大比分，米拉拉斯斜传，卢卡库连过蒙雷亚尔和维尔马伦后16码处射入左下角，2-0
37'埃弗顿快速反击！                   34'埃弗顿第34分钟扩大比分，米拉拉斯斜传，卢卡库连过蒙雷亚尔和维尔马伦后16码处射入左下角，2-0
37'阿森纳防守球员也退守的很快                   34'埃弗顿第34分钟扩大比分，米拉拉斯斜传，卢卡库连过蒙雷亚尔和维尔马伦后16码处射入左下角，2-0
40'ay李晓强 :悲情阿森纳！怎么了这是--没人知道，教授都没法！                   40'第40分钟，波多尔斯基左路禁区边缘抽射被霍华德托出
40'波多尔斯基禁区线上接到对方后卫解围的皮球，抽射被霍华德飞身托出底线！！角球                   40'第40分钟，波多尔斯基左路禁区边缘抽射被霍华德托出
41'战术角球，阿特塔斜传又是直接传出底线！教授有些不高兴了！                   40'第40分钟，波多尔斯基左路禁区边缘抽射被霍华德托出
41'做塑料袋 :这就是舍不得花钱的后果---是啊，有钱也不花，不知道钱都哪里去了                   40'第40分钟，波多尔斯基左路禁区边缘抽射被霍华德托出
42'上半场过了40分钟了，场上比分2-0埃弗顿领先                   40'第40分钟，波多尔斯基左路禁区边缘抽射被霍华德托出
43'埃弗顿前场抢断，横传到禁区弧里给奈史密斯，脚下故意一漏，可惜身后的队友没有意识到                   40'第40分钟，波多尔斯基左路禁区边缘抽射被霍华德托出
43'罗西基禁区左侧角上勉强一脚射门，又被后卫挡住                   40'第40分钟，波多尔斯基左路禁区边缘抽射被霍华德托出
43'显得无奈啊！！阿森纳进攻怎么了！                   40'第40分钟，波多尔斯基左路禁区边缘抽射被霍华德托出
43'我要是阿森纳教练，估计血管已经气爆了！                   40'第40分钟，波多尔斯基左路禁区边缘抽射被霍华德托出
53'埃弗顿左边路地平球传中到门前，奈史密斯摔倒在禁区里，裁判同样没有吹罚                   53'第53分钟，吉鲁禁区内抢断米拉拉斯后劲射被霍华德救出
54'萨尼亚前场逼抢让米拉拉斯横向带球往门口走，吉鲁险些抢射得分！好在霍华德出击把球扑出                   53'第53分钟，吉鲁禁区内抢断米拉拉斯后劲射被霍华德救出
55'阿森纳左边路前场有一次抢断，卡索拉横传，弗拉米尼稍慢了半步，在对方后卫干扰下射门偏出！                   53'第53分钟，吉鲁禁区内抢断米拉拉斯后劲射被霍华德救出
55'阿森纳后场控球，萨尼亚边路传递失误！                   53'第53分钟，吉鲁禁区内抢断米拉拉斯后劲射被霍华德救出
55'维尔马伦禁区外把奈史密斯的突破铲抢破坏出边线                   53'第53分钟，吉鲁禁区内抢断米拉拉斯后劲射被霍华德救出
56'卢卡库右边路接巴里斜长传，自己横向突破摆脱，射门打在禁区里队友身上                   53'第53分钟，吉鲁禁区内抢断米拉拉斯后劲射被霍华德救出
62'萨尼亚边路突破被埃弗顿抢断，米拉拉斯一脚直传球到后卫身后，门将出击把球碰了一下，跟进的米拉拉斯逼迫后卫铲球乌龙！！                   62'埃弗顿第62分钟锁定胜局，米拉拉斯抢断萨尼亚后突破直传，斯泽斯尼抢在奈史密斯之前勉强扑出皮球，阿尔特塔12码处试图抢在米拉拉斯之前解围空门却不慎自摆乌龙，3-0
63'阿森纳估计本场比赛很难翻盘了                   62'埃弗顿第62分钟锁定胜局，米拉拉斯抢断萨尼亚后突破直传，斯泽斯尼抢在奈史密斯之前勉强扑出皮球，阿尔特塔12码处试图抢在米拉拉斯之前解围空门却不慎自摆乌龙，3-0
63'温格现在也是无能为力了                   62'埃弗顿第62分钟锁定胜局，米拉拉斯抢断萨尼亚后突破直传，斯泽斯尼抢在奈史密斯之前勉强扑出皮球，阿尔特塔12码处试图抢在米拉拉斯之前解围空门却不慎自摆乌龙，3-0
64'卢卡库右侧拿球突破到禁区外，直塞给禁区里无人盯防的巴克利，低射打的太正！！被门将扑住                   62'埃弗顿第62分钟锁定胜局，米拉拉斯抢断萨尼亚后突破直传，斯泽斯尼抢在奈史密斯之前勉强扑出皮球，阿尔特塔12码处试图抢在米拉拉斯之前解围空门却不慎自摆乌龙，3-0
64'埃弗顿下赛季能出现在欧冠赛场吗？                   62'埃弗顿第62分钟锁定胜局，米拉拉斯抢断萨尼亚后突破直传，斯泽斯尼抢在奈史密斯之前勉强扑出皮球，阿尔特塔12码处试图抢在米拉拉斯之前解围空门却不慎自摆乌龙，3-0
65'吉鲁左边路带球突破到禁区里被3名后卫围住，球丢了                   62'埃弗顿第62分钟锁定胜局，米拉拉斯抢断萨尼亚后突破直传，斯泽斯尼抢在奈史密斯之前勉强扑出皮球，阿尔特塔12码处试图抢在米拉拉斯之前解围空门却不慎自摆乌龙，3-0
65'巴克利在右边路拿球传中，力量太大！                   62'埃弗顿第62分钟锁定胜局，米拉拉斯抢断萨尼亚后突破直传，斯泽斯尼抢在奈史密斯之前勉强扑出皮球，阿尔特塔12码处试图抢在米拉拉斯之前解围空门却不慎自摆乌龙，3-0
63'阿森纳估计本场比赛很难翻盘了                   63'第63分钟，卢卡库传球，巴克利禁区右侧低射被斯泽斯尼没收
63'温格现在也是无能为力了                   63'第63分钟，卢卡库传球，巴克利禁区右侧低射被斯泽斯尼没收
64'卢卡库右侧拿球突破到禁区外，直塞给禁区里无人盯防的巴克利，低射打的太正！！被门将扑住                   63'第63分钟，卢卡库传球，巴克利禁区右侧低射被斯泽斯尼没收
64'埃弗顿下赛季能出现在欧冠赛场吗？                   63'第63分钟，卢卡库传球，巴克利禁区右侧低射被斯泽斯尼没收
65'吉鲁左边路带球突破到禁区里被3名后卫围住，球丢了                   63'第63分钟，卢卡库传球，巴克利禁区右侧低射被斯泽斯尼没收
65'巴克利在右边路拿球传中，力量太大！                   63'第63分钟，卢卡库传球，巴克利禁区右侧低射被斯泽斯尼没收
66'阿森纳换人，拉姆塞和张伯伦上，替下波多尔斯基和弗拉米尼                   63'第63分钟，卢卡库传球，巴克利禁区右侧低射被斯泽斯尼没收
66'现在换人还有用吗？                   63'第63分钟，卢卡库传球，巴克利禁区右侧低射被斯泽斯尼没收
66'留给阿森纳的时间还剩25分钟，看看吧                   63'第63分钟，卢卡库传球，巴克利禁区右侧低射被斯泽斯尼没收
86'埃弗顿换人，卢卡库被德洛费乌换下                   86'第86分钟，拉姆塞传球，张伯伦远射被霍华德扑挡后击中横梁弹回
86'阿森纳角球传到门前，第一点被后卫蹭出                   86'第86分钟，拉姆塞传球，张伯伦远射被霍华德扑挡后击中横梁弹回
87'littletutor :张伯伦来红军吧，保你有冠军。---来中超吧，哈哈                   86'第86分钟，拉姆塞传球，张伯伦远射被霍华德扑挡后击中横梁弹回
89'全场比赛已经到了尾声                   86'第86分钟，拉姆塞传球，张伯伦远射被霍华德扑挡后击中横梁弹回
89'迪斯汀后场长传被维尔马伦头球破坏                   86'第86分钟，拉姆塞传球，张伯伦远射被霍华德扑挡后击中横梁弹回
89'巴克利前场拼抢时扛倒了阿特塔！                   86'第86分钟，拉姆塞传球，张伯伦远射被霍华德扑挡后击中横梁弹回
