1'上半场比赛开始！！！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
75'克罗斯禁区右侧横传门前！！                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
75'C罗插上拿球，单刀，面对门将，推射，打偏了！！                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
76'C罗错失了上演帽子戏法的机会啊！！                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
76'几乎是个空门，可惜太追逐角度了！！                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
76'皇马前场再攻，伊斯科禁区线上突施冷箭，差一点啊！！                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
77'达尼洛前场右路拿球，强突被放倒在地                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
77'球到了C罗脚下，有利原则！！                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
77'C罗强突禁区，横传到门前                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
77'阿尔瓦雷斯出击放铲，将球挡出！！                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
78'莫德里奇中路跟进，再打，被后卫挡出！！                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
78'裁判吹停了比赛，受伤的达尼洛还没起来                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
78'塞尔塔这边的埃尔南德斯刚刚拦截达尼洛时，自己也是受伤倒地                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
78'双方队医进场处理伤情！！                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
88'本泽马禁区弧顶拿球，分球禁区左侧给克罗斯，克罗斯停球面对马略，右脚推射，打进近角！                   88'皇马第88分钟锁定胜局，本泽马拦截后传球，克罗斯11码处晃开马略后推射破门，4-1
89'克罗斯进球后，替补席上的C罗兴奋的第一时间出来，站在场边鼓掌庆祝！！皇马队内很和谐啊！                   88'皇马第88分钟锁定胜局，本泽马拦截后传球，克罗斯11码处晃开马略后推射破门，4-1
90'马略后场拿球，面对逼抢，回传阿尔瓦雷斯                   88'皇马第88分钟锁定胜局，本泽马拦截后传球，克罗斯11码处晃开马略后推射破门，4-1
91'下半场比赛补时3分钟！！                   88'皇马第88分钟锁定胜局，本泽马拦截后传球，克罗斯11码处晃开马略后推射破门，4-1
91'马略右路拿球强突，科瓦契奇回防干扰                   88'皇马第88分钟锁定胜局，本泽马拦截后传球，克罗斯11码处晃开马略后推射破门，4-1
91'马略直塞给前插的布维，布维横传中路                   88'皇马第88分钟锁定胜局，本泽马拦截后传球，克罗斯11码处晃开马略后推射破门，4-1
