4'瓦伦西亚中路进攻，转移到左侧，格德斯没有拿到球                   4'开场仅4分钟，加亚传球，格德斯左路内切后射远角被特尔施特根扑出
52'这个球进了之后，巴萨球迷可以稳稳坐着看球了                   51'巴萨第51分钟扩大比分，库蒂尼奥开出角球，乌姆蒂蒂前点小禁区边缘头球攻门被内托扑入近角，2-0
53'瓦伦西亚曾经有两次难得的机会，可惜他们没有把握住                   51'巴萨第51分钟扩大比分，库蒂尼奥开出角球，乌姆蒂蒂前点小禁区边缘头球攻门被内托扑入近角，2-0
53'库蒂尼奥右边进攻，没有机会，回传                   51'巴萨第51分钟扩大比分，库蒂尼奥开出角球，乌姆蒂蒂前点小禁区边缘头球攻门被内托扑入近角，2-0
54'梅西斜传左路的阿尔巴，后者再杀进小禁区，人太多了被挡住                   51'巴萨第51分钟扩大比分，库蒂尼奥开出角球，乌姆蒂蒂前点小禁区边缘头球攻门被内托扑入近角，2-0
87'加雷犯规，巴萨赢得禁区边上的任意球机会                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
87'梅西主罚任意球                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
87'梅西球速很快，直接瞄准了后点，力量稍微大了点                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
89'罗贝托助攻到前场，被孔多比亚拦截了                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
89'皮克再向裁判抱怨，对手怎么一碰就倒                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
90'上半场比赛将补时1分钟                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
90'在拼抢过程中，苏亚雷斯倒地不起                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
87'帕雷霍！！点球被门将扑住了！但球又缓缓滚进了球网！                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
87'全场比赛还有5分钟，瓦伦西亚还有机会                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
88'巴萨获得左侧角球机会                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
88'丹尼斯-苏亚雷斯主罚，开到禁区右侧，还是巴萨的球权                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
89'丹尼斯-苏亚雷斯一系列花动作摆脱！最后被对手捅出                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
90'巴塞罗那反击，苏亚雷斯直传，登贝莱前插快速启动                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
90'罗贝托加速传球到禁区内，被后卫挡出去了                   87'瓦伦西亚第87分钟扳回一城，登贝莱禁区内对加亚犯规，帕雷霍主罚点球命中，1-2
