4'莱万特球员巴巴尝试右脚射门,可惜皮球稍稍高出球门.                   4'第4分钟，迪亚瓦拉远射稍稍高出
47'洛佩兹将球处理出底线,莱万特获得角球.                   47'第47分钟，胡安弗兰传球，迪奥普禁区边缘外劲射被迭戈-洛佩斯托出横梁
48'莱万特球员佩佩-迪奥普大禁区外右脚射门,被防守球员封堵.                   47'第47分钟，胡安弗兰传球，迪奥普禁区边缘外劲射被迭戈-洛佩斯托出横梁
48'莱万特球员罗达斯球门线跟前尝试头球,可惜皮球偏出球门.给他传球的是佩德罗-洛佩兹.                   47'第47分钟，胡安弗兰传球，迪奥普禁区边缘外劲射被迭戈-洛佩斯托出横梁
49'巴巴为莱万特在对方半场,赢得一个任意球.                   47'第47分钟，胡安弗兰传球，迪奥普禁区边缘外劲射被迭戈-洛佩斯托出横梁
49'皇家马德里球员瓦拉内拼抢犯规,对手获得控球权.                   47'第47分钟，胡安弗兰传球，迪奥普禁区边缘外劲射被迭戈-洛佩斯托出横梁
50'莱万特球员伊万施茨拼抢犯规,对手获得控球权.                   47'第47分钟，胡安弗兰传球，迪奥普禁区边缘外劲射被迭戈-洛佩斯托出横梁
50'赫迪拉为皇家马德里赢得一个任意球.                   47'第47分钟，胡安弗兰传球，迪奥普禁区边缘外劲射被迭戈-洛佩斯托出横梁
50'胡安弗兰为莱万特在对方半场,赢得一个任意球.                   47'第47分钟，胡安弗兰传球，迪奥普禁区边缘外劲射被迭戈-洛佩斯托出横梁
50'皇家马德里球员拼抢犯规,对手获得控球权.                   47'第47分钟，胡安弗兰传球，迪奥普禁区边缘外劲射被迭戈-洛佩斯托出横梁
50'黄牌！皇家马德里球员阿韦洛亚因为恶意犯规,被主裁判出示黄牌.                   47'第47分钟，胡安弗兰传球，迪奥普禁区边缘外劲射被迭戈-洛佩斯托出横梁
53'皇家马德里球员C罗大禁区右侧左脚射门,命中门柱右侧立柱.给他传球的是摩德里奇.                   53'第53分钟，摩德里奇传球，C-罗纳尔多禁区右侧12码处劲射打在近角立柱外侧弹出
55'皇家马德里球员科恩特朗一脚直塞球给C罗,但是边裁举旗显示后者已经越位.                   53'第53分钟，摩德里奇传球，C-罗纳尔多禁区右侧12码处劲射打在近角立柱外侧弹出
59'皇家马德里换人,马塞洛换下科恩特朗                   59'第59分钟，马塞洛替换科恩特朗出场
60'皇家马德里球员伊斯科大禁区外右脚射门,被防守球员封堵.给他传球的是马塞洛.                   59'第59分钟，马塞洛替换科恩特朗出场
60'皇家马德里球员摩德里奇大禁区外右脚射门,被防守球员封堵.                   59'第59分钟，马塞洛替换科恩特朗出场
60'皇家马德里球员C罗大禁区外右脚射门,被防守球员封堵.                   59'第59分钟，马塞洛替换科恩特朗出场
60'西芒将球处理出底线,皇家马德里获得角球.                   59'第59分钟，马塞洛替换科恩特朗出场
61'进球啦！！！皇家马德里球员拉莫斯小禁区左侧右脚射门,球从左下角飞进球门,球进了!助攻的是迪马利亚. 莱万特 1-1 皇家马德里.                   59'第59分钟，马塞洛替换科恩特朗出场
64'皇家马德里球员C罗大禁区外左脚射门,被防守球员封堵.给他传球的是马塞洛.                   64'第64分钟，拉莫斯远点头球攻门却被本泽马封堵
64'西芒将球处理出底线,皇家马德里获得角球.                   64'第64分钟，拉莫斯远点头球攻门却被本泽马封堵
64'皇家马德里球员拉莫斯一脚直塞球给本泽马,但是边裁举旗显示后者已经越位.                   64'第64分钟，拉莫斯远点头球攻门却被本泽马封堵
65'皇家马德里球员迪马利亚大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是本泽马.                   64'第64分钟，拉莫斯远点头球攻门却被本泽马封堵
66'莱万特球员谢梅特拉大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是伊万施茨.                   64'第64分钟，拉莫斯远点头球攻门却被本泽马封堵
67'射门!!!皇家马德里球员迪马利亚大禁区外左脚射门,被对方守门员横身扑出.给他传球的是本泽马.                   64'第64分钟，拉莫斯远点头球攻门却被本泽马封堵
67'莱万特球员伊万施茨大禁区外左脚射门,被防守球员封堵.给他传球的是佩佩-迪奥普.                   64'第64分钟，拉莫斯远点头球攻门却被本泽马封堵
70'莱万特球员西芒拼抢犯规,对手获得控球权.                   70'皇马第70分钟错失良机，C-罗纳尔多前场抢断后传球，本泽马禁区边缘劲射被扑出，刚刚替补伊斯科出场的莫拉塔禁区右侧传中，马塞洛10码处射高
70'摩德里奇为皇家马德里在右路,赢得一个任意球.                   70'皇马第70分钟错失良机，C-罗纳尔多前场抢断后传球，本泽马禁区边缘劲射被扑出，刚刚替补伊斯科出场的莫拉塔禁区右侧传中，马塞洛10码处射高
70'射门!!!皇家马德里球员本泽马大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是C罗.                   70'皇马第70分钟错失良机，C-罗纳尔多前场抢断后传球，本泽马禁区边缘劲射被扑出，刚刚替补伊斯科出场的莫拉塔禁区右侧传中，马塞洛10码处射高
70'皇家马德里球员马塞洛大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是莫拉塔.                   70'皇马第70分钟错失良机，C-罗纳尔多前场抢断后传球，本泽马禁区边缘劲射被扑出，刚刚替补伊斯科出场的莫拉塔禁区右侧传中，马塞洛10码处射高
71'莱万特球员伊万施茨拼抢犯规,对手获得控球权.                   70'皇马第70分钟错失良机，C-罗纳尔多前场抢断后传球，本泽马禁区边缘劲射被扑出，刚刚替补伊斯科出场的莫拉塔禁区右侧传中，马塞洛10码处射高
71'莫拉塔为皇家马德里赢得一个任意球.                   70'皇马第70分钟错失良机，C-罗纳尔多前场抢断后传球，本泽马禁区边缘劲射被扑出，刚刚替补伊斯科出场的莫拉塔禁区右侧传中，马塞洛10码处射高
71'皇家马德里球员迪马利亚一脚直塞球给C罗,但是边裁举旗显示后者已经越位.                   70'皇马第70分钟错失良机，C-罗纳尔多前场抢断后传球，本泽马禁区边缘劲射被扑出，刚刚替补伊斯科出场的莫拉塔禁区右侧传中，马塞洛10码处射高
73'佩德罗-洛佩兹为莱万特赢得一个任意球.                   70'皇马第70分钟错失良机，C-罗纳尔多前场抢断后传球，本泽马禁区边缘劲射被扑出，刚刚替补伊斯科出场的莫拉塔禁区右侧传中，马塞洛10码处射高
73'皇家马德里球员本泽马拼抢犯规,对手获得控球权.                   70'皇马第70分钟错失良机，C-罗纳尔多前场抢断后传球，本泽马禁区边缘劲射被扑出，刚刚替补伊斯科出场的莫拉塔禁区右侧传中，马塞洛10码处射高
79'皇家马德里换人,赫塞换下本泽马                   79'第79分钟，赫塞换下本泽马
80'莱万特球员佩德罗-洛佩兹拼抢犯规,对手获得控球权.                   79'第79分钟，赫塞换下本泽马
80'莫拉塔为皇家马德里在对方半场,赢得一个任意球.                   79'第79分钟，赫塞换下本泽马
80'莱万特球员佩德罗-洛佩兹被主裁判出示了一张黄牌.                   79'第79分钟，赫塞换下本泽马
81'皇家马德里球员C罗大禁区外右脚射门,被防守球员封堵.                   79'第79分钟，赫塞换下本泽马
81'莱万特球员拼抢犯规,对手获得控球权.                   79'第79分钟，赫塞换下本泽马
81'摩德里奇为皇家马德里在右路,赢得一个任意球.                   79'第79分钟，赫塞换下本泽马
90'进球啦！！！皇家马德里球员莫拉塔大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是瓦拉内. 莱万特 2-2 皇家马德里.                   90'皇马第90分钟再度扳平，瓦拉内传球，莫拉塔12码处低射左下角入网，2-2
90'+3'射门!!!皇家马德里球员马塞洛大禁区外左脚射门,被对方守门员横身扑出.给他传球的是摩德里奇.                   90'皇马第90分钟再度扳平，瓦拉内传球，莫拉塔12码处低射左下角入网，2-2
90'+4'进球啦！！！皇家马德里球员C罗大禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是摩德里奇. 莱万特 2-3 皇家马德里.                   90'皇马第90分钟再度扳平，瓦拉内传球，莫拉塔12码处低射左下角入网，2-2
90'+4'黄牌！皇家马德里球员C罗因为进球后脱衣庆祝,被主裁判出示黄牌.                   90'皇马第90分钟再度扳平，瓦拉内传球，莫拉塔12码处低射左下角入网，2-2
90'+5'下半场结束,莱万特 2-3 皇家马德里                   90'皇马第90分钟再度扳平，瓦拉内传球，莫拉塔12码处低射左下角入网，2-2
49'巴巴为莱万特在对方半场,赢得一个任意球.                   49'近4粒联赛入球中有3粒都是在90分钟后打入
49'皇家马德里球员瓦拉内拼抢犯规,对手获得控球权.                   49'近4粒联赛入球中有3粒都是在90分钟后打入
50'莱万特球员伊万施茨拼抢犯规,对手获得控球权.                   49'近4粒联赛入球中有3粒都是在90分钟后打入
50'赫迪拉为皇家马德里赢得一个任意球.                   49'近4粒联赛入球中有3粒都是在90分钟后打入
50'胡安弗兰为莱万特在对方半场,赢得一个任意球.                   49'近4粒联赛入球中有3粒都是在90分钟后打入
50'皇家马德里球员拼抢犯规,对手获得控球权.                   49'近4粒联赛入球中有3粒都是在90分钟后打入
50'黄牌！皇家马德里球员阿韦洛亚因为恶意犯规,被主裁判出示黄牌.                   49'近4粒联赛入球中有3粒都是在90分钟后打入
