26'苏宁左路的任意球机会                   26'第26分钟，佩莱禁区前沿做球，塔尔德利远射破门
67'王彤吃到第二张黄牌变红牌被罚出场！                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
67'苏宁获得一个对方禁区边缘的任意球机会                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
68'特谢拉直接旋球门了，打高                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
68'塔尔德利接应回传被断了                   65'第20分钟，山东鲁能换人调整，伤愈复出的郑铮换下刘洋，这是郑铮时隔329天再次出现在中超赛场
71'刘彬彬右路拿球，交给蒿俊闵                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
71'没有突过去                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
71'李松益的直传，刘建业解围                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
71'马丁内斯护球被戴琳抢断                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
71'山东鲁能换人，29号宋龙换下了10号塔尔德利！                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
72'塔尔德利是9号                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
72'宋龙与蒿俊闵组成双后腰                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
72'马丁内斯前场得球交给拉米雷斯，分给曹海清                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
72'特谢拉接应                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
72'再分给曹海清                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
72'内切传中，吉尔头球解围                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
73'李昂分左侧的曹海清                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
73'晃动被李松益生生断下                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
73'戴琳开球上来，苏宁的控球                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
73'拉米雷斯送过顶球被戴琳顶一下                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
73'拉米雷斯带球交给特谢拉                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
73'特谢拉交给谢鹏飞                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
74'挑传被戴琳顶走                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
74'鲁能的防守还是做得不错                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
74'刘少奇交给特谢拉，马虎接应强突被关门断下                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
74'拉米雷斯分边给了曹海清                   71'第26分钟，山东鲁能打破僵局，塔尔德利边路拿球传给佩莱，后者倚靠住防守队员从容做球，塔尔德利跟进远射打入死角，山东鲁能1-0领先
76'特谢拉交给马丁内斯，传中被宋龙大脚解围                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
77'陶源传中，马丁内斯没有拿住球                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
77'王大雷发门球上来                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
77'被顶一下                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
77'拉米雷斯接应长传左侧被顶到前场                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
78'特谢拉左路拿球，往中路带，传球被佩莱拦截                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
78'谢鹏飞挑传，给大了一点，王大雷将球控制                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
78'王大雷长传上来，佩莱头球后蹭                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
79'谢鹏飞左路拿球                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
79'不断的短传，特谢拉分边给了曹海清                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
79'直传，谢鹏飞的传中被戴琳解围出边线                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
79'特谢拉左路带球交给谢鹏飞，直传，特谢拉打门被扑出                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
79'不过也越位在先                   76'第31分钟，吴兴涵回防放倒张晓彬，吴兴涵也被黄牌警告
86'佩莱接应交给刘彬彬                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
86'刘彬彬带球冲上来，回扣，回传给蒿俊闵，转移给了吴兴涵                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
86'吴兴涵打门被张思鹏扑出                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
86'刘彬彬右路的传中，佩莱头球攻门，球擦着立柱出了底线                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
87'这球碰了李昂的身体                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
87'蒿俊闵准备主罚角球，直接交给了张思鹏                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
87'双方发生了争执                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
87'主裁判马上举起黄牌警告佩莱！                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
88'是佩莱推了张思鹏 一把                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
88'刘建业组织交给了特谢拉                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
88'内切了交给拉米雷斯                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
88'直传，戴琳的解围                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
88'苏宁易购获得一个角球                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
89'谢鹏飞发出被截止顶走                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
89'蒿俊闵将球踢出边线                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
89'鲁能有一名球员倒地门前，是戴琳                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
89'谢鹏飞的斜长传，马丁内斯没能拿好球                   86'第41分钟，谢鹏飞边路传中，拉米雷斯禁区内头球攻门被戴琳解围
67'戴琳放铲铲空了                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
67'马丁内斯带球内切，王彤铲倒了马丁内斯！                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
67'王彤吃到第二张黄牌变红牌被罚出场！                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
67'苏宁获得一个对方禁区边缘的任意球机会                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
68'特谢拉直接旋球门了，打高                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
68'塔尔德利接应回传被断了                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
69'陶源带球上来，郑铮将球铲出边线                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
69'马丁内斯的带球，被蒿俊闵拦截                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
69'曹海清左路上来了，交给特谢拉                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
69'急停，交给拉米雷斯，一让                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
69'谢鹏飞打门击中了拉米雷斯，拉米雷斯再打，打了冲天炮                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
70'不过也是越位在先了                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
70'吴兴涵左路下底传中，被李昂顶走                   67'第67分钟，王彤防守时踢倒R·马丁内斯，吃到本场比赛第二张黄牌，两黄变一红被罚出场
85'任意球配合                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
85'特谢拉交给谢鹏飞，直传，马丁内斯接应盘过一名后卫打门被王大雷封出底线                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
85'特谢拉发角球，马丁内斯头球攻门被王大雷扑出                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
85'马丁内斯再打，获得一个角球                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
86'佩莱接应交给刘彬彬                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
86'刘彬彬带球冲上来，回扣，回传给蒿俊闵，转移给了吴兴涵                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
86'吴兴涵打门被张思鹏扑出                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
86'刘彬彬右路的传中，佩莱头球攻门，球擦着立柱出了底线                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
87'这球碰了李昂的身体                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
87'蒿俊闵准备主罚角球，直接交给了张思鹏                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
87'双方发生了争执                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
87'主裁判马上举起黄牌警告佩莱！                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
88'是佩莱推了张思鹏 一把                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
88'刘建业组织交给了特谢拉                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
88'内切了交给拉米雷斯                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
88'直传，戴琳的解围                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
88'苏宁易购获得一个角球                   85'第85分钟，拉米雷斯发出战术任意球，R·马丁内斯禁区内闪出空当劲射被王大雷挡出
86'佩莱接应交给刘彬彬                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
86'刘彬彬带球冲上来，回扣，回传给蒿俊闵，转移给了吴兴涵                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
86'吴兴涵打门被张思鹏扑出                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
86'刘彬彬右路的传中，佩莱头球攻门，球擦着立柱出了底线                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
87'这球碰了李昂的身体                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
87'蒿俊闵准备主罚角球，直接交给了张思鹏                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
87'双方发生了争执                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
87'主裁判马上举起黄牌警告佩莱！                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
88'是佩莱推了张思鹏 一把                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
88'刘建业组织交给了特谢拉                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
88'内切了交给拉米雷斯                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
88'直传，戴琳的解围                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
88'苏宁易购获得一个角球                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
89'谢鹏飞发出被截止顶走                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
89'蒿俊闵将球踢出边线                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
89'鲁能有一名球员倒地门前，是戴琳                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
89'谢鹏飞的斜长传，马丁内斯没能拿好球                   86'第86分钟，山东鲁能反击差点破门，蒿俊闵边路拿球内切远射被门将挡出，刘彬彬边路传中，佩莱头球打在防守队员身上后稍稍偏出远端立柱
48'王彤的长传，被张思鹏拿住                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
48'长传前场，出了边线                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
48'郑铮掷界外球                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
48'刘建业断球交给谢鹏飞                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
48'回传给刘建业                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
48'交给特谢拉                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
48'护球，王彤的犯规                   48'补时第3分钟，江苏苏宁完成绝杀，谢鹏飞摆脱宋龙后送出斜塞，特谢拉停球后形成单刀，面对王大雷推射破门，江苏苏宁2-1锁定胜局
