1'上半场比赛开始了                   1'双方第1分钟拼抢激烈，比赛频频被犯规所打断
63'鲁尼！倒在了对方禁区附近                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
63'裁判没有吹罚犯规                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
63'小胖差点又爆发了                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
64'斯莫林倒地铲球的时候有手球嫌疑                   61'曼联第16分钟取得领先，范佩西胸部停球策动反击，阿什利-扬快速突破传球，鲁尼16码处低射，巴里未能拦截，皮球缓缓滚入左下角，乔-哈特毫无反应
67'阿特金森今天的漏判错判不少啊                   67'第22分钟，范佩西直传阿什利-扬，乔-哈特冲出禁区边缘解围
67'两边都不讨好                   67'第22分钟，范佩西直传阿什利-扬，乔-哈特冲出禁区边缘解围
67'里外不是人了，今天                   67'第22分钟，范佩西直传阿什利-扬，乔-哈特冲出禁区边缘解围
68'曼城前场反击                   67'第22分钟，范佩西直传阿什利-扬，乔-哈特冲出禁区边缘解围
68'特维斯在埃弗拉的干扰下没有及时的出脚打门                   67'第22分钟，范佩西直传阿什利-扬，乔-哈特冲出禁区边缘解围
68'浪费了一次绝好的机会                   67'第22分钟，范佩西直传阿什利-扬，乔-哈特冲出禁区边缘解围
69'话说曼联这边斯莫林的防守也不靠谱                   67'第22分钟，范佩西直传阿什利-扬，乔-哈特冲出禁区边缘解围
69'跟曼城一样都是中卫线上出了问题                   67'第22分钟，范佩西直传阿什利-扬，乔-哈特冲出禁区边缘解围
69'鲁小胖为曼联逼得一个角球                   67'第22分钟，范佩西直传阿什利-扬，乔-哈特冲出禁区边缘解围
70'鲁尼角球传中路，埃弗拉！头球顶高了                   67'第22分钟，范佩西直传阿什利-扬，乔-哈特冲出禁区边缘解围
70'这球是砸在了埃弗拉的肩膀上                   67'第22分钟，范佩西直传阿什利-扬，乔-哈特冲出禁区边缘解围
74'阿特金森这是在找补刚才对曼联的误判么                   74'曼联第29分钟扩大比分，拉斐尔右路传中，无人防守的鲁尼10码处推射后角破门
74'今天赛后阿特金森注定要里外不是人了                   74'曼联第29分钟扩大比分，拉斐尔右路传中，无人防守的鲁尼10码处推射后角破门
74'科洛图雷！绝好的机会                   74'曼联第29分钟扩大比分，拉斐尔右路传中，无人防守的鲁尼10码处推射后角破门
74'但是边裁举旗示意越位                   74'曼联第29分钟扩大比分，拉斐尔右路传中，无人防守的鲁尼10码处推射后角破门
75'亚亚图雷脾气有些失控                   74'曼联第29分钟扩大比分，拉斐尔右路传中，无人防守的鲁尼10码处推射后角破门
75'在中场撞翻了克莱维利，自己还受伤了                   74'曼联第29分钟扩大比分，拉斐尔右路传中，无人防守的鲁尼10码处推射后角破门
75'阿特金森给了亚亚图雷一张黄牌                   74'曼联第29分钟扩大比分，拉斐尔右路传中，无人防守的鲁尼10码处推射后角破门
76'镜头给到了贵宾席                   74'曼联第29分钟扩大比分，拉斐尔右路传中，无人防守的鲁尼10码处推射后角破门
76'可以清楚的看到阿汤哥正在打电话                   74'曼联第29分钟扩大比分，拉斐尔右路传中，无人防守的鲁尼10码处推射后角破门
76'他是应小贝的邀请到曼切斯特观战的                   74'曼联第29分钟扩大比分，拉斐尔右路传中，无人防守的鲁尼10码处推射后角破门
77'特维斯拼出了一个角球                   74'曼联第29分钟扩大比分，拉斐尔右路传中，无人防守的鲁尼10码处推射后角破门
87'维尔贝克要出场了                   87'第42分钟，鲁尼传球，范佩西禁区边缘的射门被曼城防线3人封堵
87'卡里克禁区内回传门将，德赫亚不敢接，大脚解围                   87'第42分钟，鲁尼传球，范佩西禁区边缘的射门被曼城防线3人封堵
87'换下克莱维利，换上维尔贝克                   87'第42分钟，鲁尼传球，范佩西禁区边缘的射门被曼城防线3人封堵
88'两边都想赢                   87'第42分钟，鲁尼传球，范佩西禁区边缘的射门被曼城防线3人封堵
89'哲科头球点给了特维斯                   87'第42分钟，鲁尼传球，范佩西禁区边缘的射门被曼城防线3人封堵
89'裁判鸣哨了，吹了特维斯拉人犯规                   87'第42分钟，鲁尼传球，范佩西禁区边缘的射门被曼城防线3人封堵
89'特维斯的脾气也火爆，主动申请了一张黄牌                   87'第42分钟，鲁尼传球，范佩西禁区边缘的射门被曼城防线3人封堵
90'阿奎罗身体倚住埃弗拉                   87'第42分钟，鲁尼传球，范佩西禁区边缘的射门被曼城防线3人封堵
90'回敲给了席尔瓦，一脚低射被德赫亚接住了                   87'第42分钟，鲁尼传球，范佩西禁区边缘的射门被曼城防线3人封堵
90'下半场要补时4分钟                   87'第42分钟，鲁尼传球，范佩西禁区边缘的射门被曼城防线3人封堵
90'曼城还在加强进攻                   87'第42分钟，鲁尼传球，范佩西禁区边缘的射门被曼城防线3人封堵
94'里奥是被球迷扔出的杂物打中了面门，血流不止                   94'第49分钟，斯马林替换受伤的埃文斯出场
94'经过队医的短暂治疗，比赛恢复                   94'第49分钟，斯马林替换受伤的埃文斯出场
95'巴里也不冷静了                   94'第49分钟，斯马林替换受伤的埃文斯出场
95'撞倒了鲁尼之后还对裁判念念有词                   94'第49分钟，斯马林替换受伤的埃文斯出场
96'特维斯身后踢人                   94'第49分钟，斯马林替换受伤的埃文斯出场
96'裁判这一次没有吹罚                   94'第49分钟，斯马林替换受伤的埃文斯出场
96'曼联的球员也没有过多的纠缠                   94'第49分钟，斯马林替换受伤的埃文斯出场
