2'汤森再传中，阿隆索胸部回传给凯塔                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
34'过错周中了库亚特                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
35'路易斯交给巴克利，回传小了                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
35'麦克阿瑟断下，横传失误                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
35'坎特交给阿斯皮利奎塔                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
35'传中，威廉头球回传，佩德罗打门没有打上力量                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
35'威廉门前将球抽入网内                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
35'不过越位在先                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
53'萨科交给左侧的范安霍尔特                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
53'没有传好                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
53'路易斯直传，莫拉塔转身被汤姆金斯拦截                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
53'麦克阿瑟中场直传                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
53'汤森德前插很快，过了路易斯带球进了禁区低射，球打进球门左下角                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
54'切尔西一次不经意间的失误，被对方抓住机会扳平                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
54'这是汤森德本赛季第一个进球                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
54'路易斯交给吕迪格                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
54'长传交给阿隆索                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
54'交给威廉直传                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
55'巴克利接应没能转身                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
55'吕迪格回传给凯帕                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
55'交给中路的若日尼奥                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
55'交给坎特，回传给阿斯皮利奎塔                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
55'再交给吕迪格                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
55'巴克利接应回传给凯帕                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
55'交给路易斯                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
55'长传右侧，佩德罗回一下                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
56'阿斯皮利奎塔再直传给得不好                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
56'亨尼西长传，路易斯回顶给凯帕                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
56'阿隆索内切，交给路易斯                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
56'转移给右侧的阿斯皮利奎塔                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
56'分给佩德罗交给若日尼奥                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
56'巴克利接应转移给阿隆索                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
56'交人威廉                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
56'内切                   53'水晶宫第53分钟扳平，麦克阿瑟反击中直传，汤森德禁区右肋12码处低射远角入网，1-1
51'若日尼奥转移给右侧的阿斯皮利奎塔                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
51'佩德罗接应被撞倒                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
51'但球还在切尔西脚下                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
51'威廉左侧来了，回给巴克利                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
51'再交给阿隆索                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
51'比萨卡将球破坏出边线                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
51'主裁判召米利沃耶维奇过来说两句                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
52'威廉回一下，阿隆索的传中打在比萨卡身上出底线                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
52'威廉接应界外球，被比萨卡将球钩走                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
53'萨科交给左侧的范安霍尔特                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
53'没有传好                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
53'路易斯直传，莫拉塔转身被汤姆金斯拦截                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
53'麦克阿瑟中场直传                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
53'汤森德前插很快，过了路易斯带球进了禁区低射，球打进球门左下角                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
54'切尔西一次不经意间的失误，被对方抓住机会扳平                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
54'这是汤森德本赛季第一个进球                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
54'路易斯交给吕迪格                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
54'长传交给阿隆索                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
54'交给威廉直传                   51'切尔西6分钟连入2球，第65分钟，阿扎尔右路任意球斜传，莫拉塔禁区左侧小角度抽射远角入网，2-1
93'米利沃耶维奇发前点，被科瓦西奇解围                   93'第93分钟，阿扎尔送出直传，莫拉塔禁区边缘挑射被亨尼西起跳拦下
93'阿扎尔过渡斜塞                   93'第93分钟，阿扎尔送出直传，莫拉塔禁区边缘挑射被亨尼西起跳拦下
93'莫拉塔单刀了，禁区前                   93'第93分钟，阿扎尔送出直传，莫拉塔禁区边缘挑射被亨尼西起跳拦下
93'挑射，亨尼西没有倒地，将球拦截                   93'第93分钟，阿扎尔送出直传，莫拉塔禁区边缘挑射被亨尼西起跳拦下
93'全场比赛结束！                   93'第93分钟，阿扎尔送出直传，莫拉塔禁区边缘挑射被亨尼西起跳拦下
