4'博阿滕中场带球被小胡安放倒                   4'开场4分钟，蒙塔里在瓜林脚下断球，距门22米处左脚低射偏出右门柱
34'国米右路起球给到后点，帕拉西奥的头球攻门顶的没有力量                   33'第33分钟，阿巴特右路斜传，蒙塔里前插头球被汉达诺维奇没收
35'巴洛特利中场拿球被拉诺齐亚从身后放倒                   33'第33分钟，阿巴特右路斜传，蒙塔里前插头球被汉达诺维奇没收
35'拉诺齐亚得到一张黄牌！                   33'第33分钟，阿巴特右路斜传，蒙塔里前插头球被汉达诺维奇没收
35'博阿滕前场拿球被坎比亚索放倒                   33'第33分钟，阿巴特右路斜传，蒙塔里前插头球被汉达诺维奇没收
35'米兰获得一个大禁区前沿左侧的任意球机会                   33'第33分钟，阿巴特右路斜传，蒙塔里前插头球被汉达诺维奇没收
36'这个位置还是非常理想的                   33'第33分钟，阿巴特右路斜传，蒙塔里前插头球被汉达诺维奇没收
36'巴洛特利任意球打门没有绕过人墙                   33'第33分钟，阿巴特右路斜传，蒙塔里前插头球被汉达诺维奇没收
36'国米反动快速反击                   33'第33分钟，阿巴特右路斜传，蒙塔里前插头球被汉达诺维奇没收
36'禁区前沿阿尔瓦雷斯是没有拿好球啊                   33'第33分钟，阿巴特右路斜传，蒙塔里前插头球被汉达诺维奇没收
35'巴洛特利中场拿球被拉诺齐亚从身后放倒                   35'第35分钟，坎比亚索绊倒博阿滕，巴洛特利左侧距门24米处主罚任意球打在人墙上
35'拉诺齐亚得到一张黄牌！                   35'第35分钟，坎比亚索绊倒博阿滕，巴洛特利左侧距门24米处主罚任意球打在人墙上
35'博阿滕前场拿球被坎比亚索放倒                   35'第35分钟，坎比亚索绊倒博阿滕，巴洛特利左侧距门24米处主罚任意球打在人墙上
35'米兰获得一个大禁区前沿左侧的任意球机会                   35'第35分钟，坎比亚索绊倒博阿滕，巴洛特利左侧距门24米处主罚任意球打在人墙上
36'这个位置还是非常理想的                   35'第35分钟，坎比亚索绊倒博阿滕，巴洛特利左侧距门24米处主罚任意球打在人墙上
36'巴洛特利任意球打门没有绕过人墙                   35'第35分钟，坎比亚索绊倒博阿滕，巴洛特利左侧距门24米处主罚任意球打在人墙上
36'国米反动快速反击                   35'第35分钟，坎比亚索绊倒博阿滕，巴洛特利左侧距门24米处主罚任意球打在人墙上
36'禁区前沿阿尔瓦雷斯是没有拿好球啊                   35'第35分钟，坎比亚索绊倒博阿滕，巴洛特利左侧距门24米处主罚任意球打在人墙上
37'诺切里诺中场防守萨内蒂的时候犯规                   35'第35分钟，坎比亚索绊倒博阿滕，巴洛特利左侧距门24米处主罚任意球打在人墙上
38'国米中场的传球险些出现失误                   35'第35分钟，坎比亚索绊倒博阿滕，巴洛特利左侧距门24米处主罚任意球打在人墙上
38'瓜林右路带球突破晃开了蒙塔里，可惜他没有传                   35'第35分钟，坎比亚索绊倒博阿滕，巴洛特利左侧距门24米处主罚任意球打在人墙上
38'等瓜林想再传的时候球是先出底线                   35'第35分钟，坎比亚索绊倒博阿滕，巴洛特利左侧距门24米处主罚任意球打在人墙上
41'这个球巴洛特利打得非常有质量，现在就缺一个进球啊                   41'第41分钟，坎比亚索踢倒蒙托利沃，两人发生冲突
41'阿尔瓦雷斯中场左路突破两人包夹                   41'第41分钟，坎比亚索踢倒蒙托利沃，两人发生冲突
42'阿尔瓦雷斯禁区前沿将球给到卡萨诺                   41'第41分钟，坎比亚索踢倒蒙托利沃，两人发生冲突
42'卡萨诺在分的时候已经晚了                   41'第41分钟，坎比亚索踢倒蒙托利沃，两人发生冲突
42'蒙托利沃后场拿球被坎比亚索抢球的时候放倒                   41'第41分钟，坎比亚索踢倒蒙托利沃，两人发生冲突
43'蒙托利沃对坎比亚索的这次犯规显得非常不满                   41'第41分钟，坎比亚索踢倒蒙托利沃，两人发生冲突
43'主裁判也是赶到事发地点进行劝说                   41'第41分钟，坎比亚索踢倒蒙托利沃，两人发生冲突
43'卡萨诺也是赶忙上前去劝说                   41'第41分钟，坎比亚索踢倒蒙托利沃，两人发生冲突
44'小胡安中场抢球的时候放倒博阿滕                   41'第41分钟，坎比亚索踢倒蒙托利沃，两人发生冲突
44'小胡安得到一张黄牌！                   41'第41分钟，坎比亚索踢倒蒙托利沃，两人发生冲突
48'阿巴特右路摆脱阿尔瓦雷斯的时候被放倒                   48'第48分钟，蒙托利沃开出任意球，博阿滕头球偏出右门柱
48'蒙托利沃任意球送到进球内，前点的博阿滕甩头攻门稍稍顶偏                   48'第48分钟，蒙托利沃开出任意球，博阿滕头球偏出右门柱
49'国米前场送直塞给到帕拉西奥                   48'第48分钟，蒙托利沃开出任意球，博阿滕头球偏出右门柱
49'帕拉西奥带球往前走被蒙托利沃从身后放倒                   48'第48分钟，蒙托利沃开出任意球，博阿滕头球偏出右门柱
49'蒙托利沃得到一张黄牌！                   48'第48分钟，蒙托利沃开出任意球，博阿滕头球偏出右门柱
50'阿尔瓦雷斯任意球直接打门被人墙挡了下来                   48'第48分钟，蒙托利沃开出任意球，博阿滕头球偏出右门柱
50'现场的球迷开始燃放烟火，也是让球场内能见度降低                   48'第48分钟，蒙托利沃开出任意球，博阿滕头球偏出右门柱
51'帕拉西奥左路变向摆脱被阿巴特放倒                   48'第48分钟，蒙托利沃开出任意球，博阿滕头球偏出右门柱
51'任意球送到后点，拉诺齐亚的垫射打偏                   48'第48分钟，蒙托利沃开出任意球，博阿滕头球偏出右门柱
51'帕拉西奥左路变向摆脱被阿巴特放倒                   51'第51分钟，坎比亚索开出任意球，拉诺齐亚后点射门偏出近门柱
51'任意球送到后点，拉诺齐亚的垫射打偏                   51'第51分钟，坎比亚索开出任意球，拉诺齐亚后点射门偏出近门柱
52'蒙托利沃中场拿球被国米球员放倒                   51'第51分钟，坎比亚索开出任意球，拉诺齐亚后点射门偏出近门柱
53'米兰右路下底给到禁区内                   51'第51分钟，坎比亚索开出任意球，拉诺齐亚后点射门偏出近门柱
53'蒙塔里飞身临空打偏                   51'第51分钟，坎比亚索开出任意球，拉诺齐亚后点射门偏出近门柱
54'坎比亚索中场长传给到右路的帕拉西奥                   51'第51分钟，坎比亚索开出任意球，拉诺齐亚后点射门偏出近门柱
54'坎比亚索中场长传给到右路的帕拉西奥                   54'国米第54分钟险些追平，帕拉西奥右路传中，瓜林在门前9米处推射被阿比亚蒂不可思议封出
55'帕拉西奥右路得球横敲给到禁区内，瓜林跟上的射门被阿比亚蒂侧身扑出，卡萨诺跟上再补球先出了底线                   54'国米第54分钟险些追平，帕拉西奥右路传中，瓜林在门前9米处推射被阿比亚蒂不可思议封出
56'阿尔瓦雷斯左路带球突破被诺切里诺碰出边线                   54'国米第54分钟险些追平，帕拉西奥右路传中，瓜林在门前9米处推射被阿比亚蒂不可思议封出
56'国米左路起球送到后点，帕拉西奥是蹭了一下                   54'国米第54分钟险些追平，帕拉西奥右路传中，瓜林在门前9米处推射被阿比亚蒂不可思议封出
57'蒙塔里前场带球被坎比亚索拉了一下                   54'国米第54分钟险些追平，帕拉西奥右路传中，瓜林在门前9米处推射被阿比亚蒂不可思议封出
57'巴洛特利前场左路拿球被包夹                   54'国米第54分钟险些追平，帕拉西奥右路传中，瓜林在门前9米处推射被阿比亚蒂不可思议封出
64'加尔加诺前场带球，突然的远射打高了                   64'第64分钟，加尔加诺远射高出
65'帕拉西奥有些受伤到场边接受治疗                   64'第64分钟，加尔加诺远射高出
65'沙拉维禁区弧顶的远射被小胡安挡了出来                   64'第64分钟，加尔加诺远射高出
66'阿巴特右路挑传送到禁区内，诺切里诺禁区内得球横向传球送到中路                   64'第64分钟，加尔加诺远射高出
66'汉达诺维奇先扑了一下后被巴洛特利蹭了一下                   64'第64分钟，加尔加诺远射高出
66'汉达诺维奇又立功了                   64'第64分钟，加尔加诺远射高出
67'巴洛特利前场得球，转身的射门打偏                   64'第64分钟，加尔加诺远射高出
67'这段时间米兰再次控制住了局面                   64'第64分钟，加尔加诺远射高出
65'帕拉西奥有些受伤到场边接受治疗                   65'第65分钟，博阿滕传球，沙拉维左路内切射门被小胡安封堵
65'沙拉维禁区弧顶的远射被小胡安挡了出来                   65'第65分钟，博阿滕传球，沙拉维左路内切射门被小胡安封堵
66'阿巴特右路挑传送到禁区内，诺切里诺禁区内得球横向传球送到中路                   65'第65分钟，博阿滕传球，沙拉维左路内切射门被小胡安封堵
66'汉达诺维奇先扑了一下后被巴洛特利蹭了一下                   65'第65分钟，博阿滕传球，沙拉维左路内切射门被小胡安封堵
66'汉达诺维奇又立功了                   65'第65分钟，博阿滕传球，沙拉维左路内切射门被小胡安封堵
67'巴洛特利前场得球，转身的射门打偏                   65'第65分钟，博阿滕传球，沙拉维左路内切射门被小胡安封堵
67'这段时间米兰再次控制住了局面                   65'第65分钟，博阿滕传球，沙拉维左路内切射门被小胡安封堵
68'巴洛特利禁区前沿得球，国米是多人包夹将球断下                   65'第65分钟，博阿滕传球，沙拉维左路内切射门被小胡安封堵
68'博阿滕右路底线回敲回来                   65'第65分钟，博阿滕传球，沙拉维左路内切射门被小胡安封堵
48'阿巴特右路摆脱阿尔瓦雷斯的时候被放倒                   48'谢洛托换下坎比亚索，仅过3分钟就为国米追平比分
48'蒙托利沃任意球送到进球内，前点的博阿滕甩头攻门稍稍顶偏                   48'谢洛托换下坎比亚索，仅过3分钟就为国米追平比分
49'国米前场送直塞给到帕拉西奥                   48'谢洛托换下坎比亚索，仅过3分钟就为国米追平比分
49'帕拉西奥带球往前走被蒙托利沃从身后放倒                   48'谢洛托换下坎比亚索，仅过3分钟就为国米追平比分
49'蒙托利沃得到一张黄牌！                   48'谢洛托换下坎比亚索，仅过3分钟就为国米追平比分
50'阿尔瓦雷斯任意球直接打门被人墙挡了下来                   48'谢洛托换下坎比亚索，仅过3分钟就为国米追平比分
50'现场的球迷开始燃放烟火，也是让球场内能见度降低                   48'谢洛托换下坎比亚索，仅过3分钟就为国米追平比分
51'帕拉西奥左路变向摆脱被阿巴特放倒                   48'谢洛托换下坎比亚索，仅过3分钟就为国米追平比分
51'任意球送到后点，拉诺齐亚的垫射打偏                   48'谢洛托换下坎比亚索，仅过3分钟就为国米追平比分
75'蒙塔里禁区外围冷射稍稍偏出门柱                   75'第75分钟，博阿滕横传，蒙塔里左侧距门27米处左脚大力抽射偏出近门柱
76'梅克斯中场拿球给到博阿滕脚下                   75'第75分钟，博阿滕横传，蒙塔里左侧距门27米处左脚大力抽射偏出近门柱
76'米兰前场拿球被断抢                   75'第75分钟，博阿滕横传，蒙塔里左侧距门27米处左脚大力抽射偏出近门柱
76'卡萨诺中场拿球被沙拉维拉了一下                   75'第75分钟，博阿滕横传，蒙塔里左侧距门27米处左脚大力抽射偏出近门柱
77'长友佑都拼的是受伤了                   75'第75分钟，博阿滕横传，蒙塔里左侧距门27米处左脚大力抽射偏出近门柱
77'国米被迫换人，长友佑都下，齐沃上！                   75'第75分钟，博阿滕横传，蒙塔里左侧距门27米处左脚大力抽射偏出近门柱
78'比赛打到现在，米兰这边还没有进行人员调整                   75'第75分钟，博阿滕横传，蒙塔里左侧距门27米处左脚大力抽射偏出近门柱
78'沙拉维左路拿球被拉诺齐亚碰出边线                   75'第75分钟，博阿滕横传，蒙塔里左侧距门27米处左脚大力抽射偏出近门柱
78'蒙塔里前场拿球跟沙拉维做配合没有成功                   75'第75分钟，博阿滕横传，蒙塔里左侧距门27米处左脚大力抽射偏出近门柱
86'阿巴特右路传球被国米球员碰出底线                   86'第86分钟，沙拉维禁区外怒射被谢洛托封堵
86'米兰角球给到给到中路                   86'第86分钟，沙拉维禁区外怒射被谢洛托封堵
86'球先被国米球员顶出                   86'第86分钟，沙拉维禁区外怒射被谢洛托封堵
87'大禁区线上，沙拉维调整后临空打门又被挡了下来                   86'第86分钟，沙拉维禁区外怒射被谢洛托封堵
87'米兰换人，沙拉维下，博扬上！                   86'第86分钟，沙拉维禁区外怒射被谢洛托封堵
87'米兰右路再获任意球机会                   86'第86分钟，沙拉维禁区外怒射被谢洛托封堵
87'蒙托利沃任意球送到禁区内，球被顶了出来                   86'第86分钟，沙拉维禁区外怒射被谢洛托封堵
88'萨帕塔后场拿球给到边路                   86'第86分钟，沙拉维禁区外怒射被谢洛托封堵
88'博扬前场拿球险些被断                   86'第86分钟，沙拉维禁区外怒射被谢洛托封堵
88'后场萨内蒂又是一脚大脚解围                   86'第86分钟，沙拉维禁区外怒射被谢洛托封堵
89'博扬前场拿球给到右路                   86'第86分钟，沙拉维禁区外怒射被谢洛托封堵
89'尼昂禁区内得球一脚低射造成汉达诺维奇脱手                   86'第86分钟，沙拉维禁区外怒射被谢洛托封堵
89'博扬前场拿球给到右路                   89'第89分钟，尼昂接到博扬传球，禁区边缘斜射被汉达诺维奇倒地单手封出
89'尼昂禁区内得球一脚低射造成汉达诺维奇脱手                   89'第89分钟，尼昂接到博扬传球，禁区边缘斜射被汉达诺维奇倒地单手封出
90'萨帕塔中场防守的时候放倒了帕拉西奥                   89'第89分钟，尼昂接到博扬传球，禁区边缘斜射被汉达诺维奇倒地单手封出
90'萨帕塔得到一张黄牌！                   89'第89分钟，尼昂接到博扬传球，禁区边缘斜射被汉达诺维奇倒地单手封出
90'米兰换人，蒙塔里下，安布罗西尼上！                   89'第89分钟，尼昂接到博扬传球，禁区边缘斜射被汉达诺维奇倒地单手封出
91'下半场补时4分钟！                   89'第89分钟，尼昂接到博扬传球，禁区边缘斜射被汉达诺维奇倒地单手封出
91'卡萨诺左路传球送到禁区内，阿比亚蒂出击将球打出                   89'第89分钟，尼昂接到博扬传球，禁区边缘斜射被汉达诺维奇倒地单手封出
92'米兰现在没有什么进攻的机会了                   89'第89分钟，尼昂接到博扬传球，禁区边缘斜射被汉达诺维奇倒地单手封出
92'博扬中场拿球自己往前走                   89'第89分钟，尼昂接到博扬传球，禁区边缘斜射被汉达诺维奇倒地单手封出
92'萨内蒂后防将球断了下来                   89'第89分钟，尼昂接到博扬传球，禁区边缘斜射被汉达诺维奇倒地单手封出
92'卡萨诺前场利用节奏摆脱，造成米兰的防守犯规                   89'第89分钟，尼昂接到博扬传球，禁区边缘斜射被汉达诺维奇倒地单手封出
