3'拜仁慕尼黑球员里贝里大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   3'开场3分钟，克罗斯左侧任意球被顶到后点，里贝里禁区边缘抽射偏出近门柱
55'多特蒙德球员施梅尔策大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   52'第52分钟，罗伊斯中路快开任意球吊入禁区，胡梅尔斯反越位点球点凌空扫射没打上力量，诺伊尔扑出左门柱
56'射门!!!多特蒙德球员格策大禁区中央头球,被对方守门员横身扑出.给他传球的是罗伊斯.                   56'第56分钟，罗伊斯右路传中，格策在门前11米处冲顶弹地被诺伊尔得到
57'多特蒙德球员本德尔拼抢犯规,对手获得控球权.                   56'第56分钟，罗伊斯右路传中，格策在门前11米处冲顶弹地被诺伊尔得到
57'拉姆为拜仁慕尼黑在右路,赢得一个任意球.                   56'第56分钟，罗伊斯右路传中，格策在门前11米处冲顶弹地被诺伊尔得到
59'多特蒙德球员莱万多夫斯基拼抢犯规,对手获得控球权.                   56'第56分钟，罗伊斯右路传中，格策在门前11米处冲顶弹地被诺伊尔得到
59'阿拉巴为拜仁慕尼黑赢得一个任意球.                   56'第56分钟，罗伊斯右路传中，格策在门前11米处冲顶弹地被诺伊尔得到
65'多特蒙德球员施梅尔策拼抢犯规,对手获得控球权.                   65'第65分钟，拉姆传中，里贝里在门前12米处尝试倒钩偏出
65'克罗斯为拜仁慕尼黑赢得一个任意球.                   65'第65分钟，拉姆传中，里贝里在门前12米处尝试倒钩偏出
65'拜仁慕尼黑球员里贝里大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是拉姆.                   65'第65分钟，拉姆传中，里贝里在门前12米处尝试倒钩偏出
66'多特蒙德球员格策拼抢犯规,对手获得控球权.                   65'第65分钟，拉姆传中，里贝里在门前12米处尝试倒钩偏出
66'施魏因斯泰格为拜仁慕尼黑赢得一个任意球.                   65'第65分钟，拉姆传中，里贝里在门前12米处尝试倒钩偏出
67'进球啦！！！拜仁慕尼黑球员克罗斯大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是穆勒. 拜仁慕尼黑 1-0 多特蒙德.                   65'第65分钟，拉姆传中，里贝里在门前12米处尝试倒钩偏出
67'进球啦！！！拜仁慕尼黑球员克罗斯大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是穆勒. 拜仁慕尼黑 1-0 多特蒙德.                   67'拜仁第67分钟取得领先
71'拜仁慕尼黑球员里贝里大禁区左侧尝试右脚射门,可惜皮球高出球门.给他传球的是拉姆.                   71'第71分钟，拉姆转移到左侧，里贝里突入禁区左侧距门12米处抽射高出
71'施梅尔策为多特蒙德赢得一个任意球.                   71'第71分钟，拉姆转移到左侧，里贝里突入禁区左侧距门12米处抽射高出
71'拜仁慕尼黑球员穆勒拼抢犯规,对手获得控球权.                   71'第71分钟，拉姆转移到左侧，里贝里突入禁区左侧距门12米处抽射高出
73'多特蒙德球员布拉什奇科夫斯基大禁区中央右脚射门,被防守球员封堵.给他传球的是罗伊斯.                   71'第71分钟，拉姆转移到左侧，里贝里突入禁区左侧距门12米处抽射高出
73'博阿滕将球处理出底线,多特蒙德获得角球.                   71'第71分钟，拉姆转移到左侧，里贝里突入禁区左侧距门12米处抽射高出
73'多特蒙德换人,佩里西奇换下布拉什奇科夫斯基                   71'第71分钟，拉姆转移到左侧，里贝里突入禁区左侧距门12米处抽射高出
74'进球啦！！！多特蒙德球员格策大禁区中央左脚射门,球从右下角飞进球门,球进了! 拜仁慕尼黑 1-1 多特蒙德.                   71'第71分钟，拉姆转移到左侧，里贝里突入禁区左侧距门12米处抽射高出
80'多特蒙德苏伯蒂奇受伤倒地,比赛暂停                   80'第80分钟，苏博蒂奇拉伤大腿内侧，桑塔纳替补出场
80'暂停结束,球员们重新开始比赛.                   80'第80分钟，苏博蒂奇拉伤大腿内侧，桑塔纳替补出场
81'拜仁慕尼黑球员里贝里一脚直塞球给穆勒,但是边裁举旗显示后者已经越位.                   80'第80分钟，苏博蒂奇拉伤大腿内侧，桑塔纳替补出场
81'多特蒙德换人,桑塔纳上,苏伯蒂奇因伤下场.                   80'第80分钟，苏博蒂奇拉伤大腿内侧，桑塔纳替补出场
82'多特蒙德球员罗伊斯大禁区右侧左脚射门,被防守球员封堵.给他传球的是皮什切克.                   80'第80分钟，苏博蒂奇拉伤大腿内侧，桑塔纳替补出场
82'博阿滕将球处理出底线,多特蒙德获得角球.                   80'第80分钟，苏博蒂奇拉伤大腿内侧，桑塔纳替补出场
86'拜仁慕尼黑换人,戈麦斯换下曼朱基奇                   86'第86分钟，戈麦斯中路背身外脚背直传，克罗斯在门前12米处单刀推射被魏登费勒没收
86'射门!!!拜仁慕尼黑球员克罗斯大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是戈麦斯.                   86'第86分钟，戈麦斯中路背身外脚背直传，克罗斯在门前12米处单刀推射被魏登费勒没收
88'射门!!!拜仁慕尼黑球员穆勒右侧很远处右脚射门,被对方守门员横身扑出.给他传球的是克罗斯.                   86'第86分钟，戈麦斯中路背身外脚背直传，克罗斯在门前12米处单刀推射被魏登费勒没收
88'魏登费勒将球处理出底线,拜仁慕尼黑获得角球.                   86'第86分钟，戈麦斯中路背身外脚背直传，克罗斯在门前12米处单刀推射被魏登费勒没收
88'射门!!!拜仁慕尼黑球员哈维-马丁内斯球门线跟前头球,被对方守门员横身扑出.给他传球的是克罗斯.                   86'第86分钟，戈麦斯中路背身外脚背直传，克罗斯在门前12米处单刀推射被魏登费勒没收
88'魏登费勒将球处理出底线,拜仁慕尼黑获得角球.                   86'第86分钟，戈麦斯中路背身外脚背直传，克罗斯在门前12米处单刀推射被魏登费勒没收
89'多特蒙德球员本德尔拼抢犯规,对手获得控球权.                   86'第86分钟，戈麦斯中路背身外脚背直传，克罗斯在门前12米处单刀推射被魏登费勒没收
89'施魏因斯泰格为拜仁慕尼黑赢得一个任意球.                   86'第86分钟，戈麦斯中路背身外脚背直传，克罗斯在门前12米处单刀推射被魏登费勒没收
