1'比赛开始了，矿工率先开球                   1'曼城第1分钟积极施压
72'快速杀到前场，自己闯入禁区                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
72'左侧萨内被放倒了                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
72'裁判索萨给了点球                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
90'矿工立刻换人了，伯纳德下场，换上佩特利亚克                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
90'曼城后场发球，向前右侧给斯特林                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
90'一记直传找到贝尔纳多席尔瓦                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
90'右侧突破形成机会，右肋直插进来                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
91'横敲低球给到中路，斯特林包抄，中路大力推射，击中横梁下沿入网                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
91'瓜迪奥拉开心的跳起来                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
91'这球一进，锁定胜局了                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
91'两名替补之间的联线，轻松得分，也给刚才浪射的萨内上了一课                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
92'贝尔纳多席尔瓦右侧形成突破，横传舒服的送到斯特林面前，射门也是无解啊                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
92'..下半场补时4分钟                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
92'今天皮亚托夫表现其实完美，但2个进球都是神仙也难救的                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
93'矿工用科瓦连科替下弗雷德                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
93'后场倒脚，皮亚托夫开起来                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
93'前场左侧伊斯梅利拿球，在给身边佩特利亚克                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
93'一记直塞送到左肋，禁区内科瓦连科插上                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
93'艾德森出击，奋力挡出对手射门，不过哨响在先，越位了已经                   90'曼城第90分钟锁定胜局，贝纳尔多-席尔瓦禁区右侧低传，无人防守的斯特林12码处第一时间推射打中横梁下沿入网，2-0
