27'塔尔德利前场右路得球，横传！金敬道横传禁区！吴兴涵抢点没能顶到！                   27'第27分钟，王彤边路弧线球传中，佩莱头球破门
50'吴兴涵右路带球到前场，想传中，但象打门，太高啦！                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
51'吴庆左路突破斜传禁区！打到后卫变线！王大雷出击没收！                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
51'鲁能泰山队长传！塔尔德利快速插上，对方将球破坏出边线                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
51'界外球发出来，塔尔德利传中被挡出                   48'开场3分钟，山东鲁能打出默契配合，佩莱拿球分边，金敬道得球再送出直塞，吴兴涵快速插上突破后卫防守后小角度射门，球被邓小飞用腿挡出底线
55'重庆斯威队中场抢球犯规！                   55'第10分钟，山东鲁能战术角球进攻，塔尔德利禁区外弧线球传中，宋龙前点头球攻门偏出
55'鲁能泰山队长传球到禁区内！！吴兴涵越位！                   55'第10分钟，山东鲁能战术角球进攻，塔尔德利禁区外弧线球传中，宋龙前点头球攻门偏出
55'中场重庆斯威队得球，转移到右路进攻                   55'第10分钟，山东鲁能战术角球进攻，塔尔德利禁区外弧线球传中，宋龙前点头球攻门偏出
56'鲁能泰山队长传球，逼得角球机会                   55'第10分钟，山东鲁能战术角球进攻，塔尔德利禁区外弧线球传中，宋龙前点头球攻门偏出
56'塔尔德利发角球到禁区内！佩莱头球顶门，打在了对方身上！                   55'第10分钟，山东鲁能战术角球进攻，塔尔德利禁区外弧线球传中，宋龙前点头球攻门偏出
57'费尔南迪尼奥带球走左路快速反击！                   55'第10分钟，山东鲁能战术角球进攻，塔尔德利禁区外弧线球传中，宋龙前点头球攻门偏出
57'费尔南迪尼奥带球到前场，直传球想来人球分过！球过去了，人没能过去！                   55'第10分钟，山东鲁能战术角球进攻，塔尔德利禁区外弧线球传中，宋龙前点头球攻门偏出
67'角球发到禁区内，吉尔头球顶了一下，没能顶正！                   67'第22分钟，山东鲁能边线球进攻，宋龙边路与金敬道配合之后弧线球传中，佩莱抢在后卫之前甩头攻门高出横梁
67'费尔南迪尼奥要反击！！蒿俊闵战术犯规！                   67'第22分钟，山东鲁能边线球进攻，宋龙边路与金敬道配合之后弧线球传中，佩莱抢在后卫之前甩头攻门高出横梁
69'重庆斯威队右路进攻！陈雷回传一脚                   67'第22分钟，山东鲁能边线球进攻，宋龙边路与金敬道配合之后弧线球传中，佩莱抢在后卫之前甩头攻门高出横梁
70'蒿俊闵长传球找金敬道，深了些，金敬道没能追上！                   67'第22分钟，山东鲁能边线球进攻，宋龙边路与金敬道配合之后弧线球传中，佩莱抢在后卫之前甩头攻门高出横梁
47'重庆斯威队右路进攻，对方犯规！                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
47'半场最后一次任意球进攻！                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
48'费尔南迪尼奥发任意球到禁区内！！卡尔德克头球顶门 ，出底线                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
48'上半场比赛结束，鲁能泰山队1-0领先重庆斯威队！！                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
47'重庆斯威队换人，吴庆上场，换下了刘斌                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
47'鲁能泰山队用崔鹏换下了戴琳！                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
47'鲁能泰山队进球啦！塔尔德利！2-0                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
48'佩莱直传球，对方后卫失误，塔尔德利得球突破唐佳庶，挑射破门！！！                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
48'开局不错啊！                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
48'重庆斯威队攻到前场，传球失误                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
49'王大雷大脚开球过中场！直接出边线                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
49'后场刘宇得球，左路直传，交给吴庆                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
49'吴庆是重庆斯威队的老人啦！                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
50'重庆斯威队传中球，被破坏出底线                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
50'费尔南迪尼奥发角球到禁区内，被破坏出来！                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
50'吴兴涵右路带球到前场，想传中，但象打门，太高啦！                   47'第47分钟，山东鲁能扩大比分，蒿俊闵中场断球，佩莱得球直接一脚长传发动反击，塔尔德利得球连续晃晕唐佳庶后挑射，邓小飞虽然碰到皮球，但是无法阻止皮球入网，山东鲁能2-0领先，塔尔德利打入个人本赛季第11个进球
56'鲁能泰山队长传球，逼得角球机会                   56'第56分钟，塔尔德利角球传入禁区，佩莱强力头球攻门被后卫挡出
56'塔尔德利发角球到禁区内！佩莱头球顶门，打在了对方身上！                   56'第56分钟，塔尔德利角球传入禁区，佩莱强力头球攻门被后卫挡出
57'费尔南迪尼奥带球走左路快速反击！                   56'第56分钟，塔尔德利角球传入禁区，佩莱强力头球攻门被后卫挡出
57'费尔南迪尼奥带球到前场，直传球想来人球分过！球过去了，人没能过去！                   56'第56分钟，塔尔德利角球传入禁区，佩莱强力头球攻门被后卫挡出
59'塔尔德利前场左路接球！传到中路！                   56'第56分钟，塔尔德利角球传入禁区，佩莱强力头球攻门被后卫挡出
59'金敬道接球，被放倒！鲁能泰山队得到任意球机会                   56'第56分钟，塔尔德利角球传入禁区，佩莱强力头球攻门被后卫挡出
59'吴庆上抢太凶了！                   56'第56分钟，塔尔德利角球传入禁区，佩莱强力头球攻门被后卫挡出
74'吴庆左路突破到禁区内！！一脚劲射！！打在边网上！                   74'第74分钟，刘宇突破到前场突然尝试远射偏出球门
74'从侧面看，还以为进了呢！刚才是刘宇打门！                   74'第74分钟，刘宇突破到前场突然尝试远射偏出球门
75'鲁能泰山队左路横传球，佩莱挑传，金敬道后点抢点打门，高出！                   74'第74分钟，刘宇突破到前场突然尝试远射偏出球门
76'重庆斯威队换人：13号尹聪耀上场，换下陈雷                   74'第74分钟，刘宇突破到前场突然尝试远射偏出球门
76'界外球发出来，塞巴抢球出底线                   74'第74分钟，刘宇突破到前场突然尝试远射偏出球门
76'鲁能泰山队得到角球机会                   74'第74分钟，刘宇突破到前场突然尝试远射偏出球门
76'塔尔德利发角球到禁区内！裁判哨响，球在空中已经出底线                   74'第74分钟，刘宇突破到前场突然尝试远射偏出球门
77'邓小飞大脚开球到前场，塞巴回顶！                   74'第74分钟，刘宇突破到前场突然尝试远射偏出球门
77'鲁能泰山队长传球！对方护球交给邓小飞！                   74'第74分钟，刘宇突破到前场突然尝试远射偏出球门
77'鲁能泰山队有队员受伤倒在地上！                   74'第74分钟，刘宇突破到前场突然尝试远射偏出球门
77'是王彤受伤！看来伤得不轻！！在争顶时被塞巴顶了一下                   74'第74分钟，刘宇突破到前场突然尝试远射偏出球门
87'塞巴分球！费尔南迪尼奥横传禁区，塞巴打门！！打偏啦！                   87'第87分钟，重庆斯威连续在山东鲁能禁区前传切配合，费尔南迪尼奥倒三角回传，萨巴得球摆脱后低射偏出
88'重庆斯威队要换U23：元敏诚上场换下丁捷                   87'第87分钟，重庆斯威连续在山东鲁能禁区前传切配合，费尔南迪尼奥倒三角回传，萨巴得球摆脱后低射偏出
89'重庆斯威队右路直传球！出底线                   87'第87分钟，重庆斯威连续在山东鲁能禁区前传切配合，费尔南迪尼奥倒三角回传，萨巴得球摆脱后低射偏出
89'鲁能泰山队换人：周海滨上场，换下金敬道！                   87'第87分钟，重庆斯威连续在山东鲁能禁区前传切配合，费尔南迪尼奥倒三角回传，萨巴得球摆脱后低射偏出
89'鲁能泰山队左路进攻！对方将球铲回给邓小飞！                   87'第87分钟，重庆斯威连续在山东鲁能禁区前传切配合，费尔南迪尼奥倒三角回传，萨巴得球摆脱后低射偏出
90'周海滨右路斜传情给张驰！没能顶好！                   87'第87分钟，重庆斯威连续在山东鲁能禁区前传切配合，费尔南迪尼奥倒三角回传，萨巴得球摆脱后低射偏出
90'费尔南迪尼奥带球快速反击，到前场分右路！                   87'第87分钟，重庆斯威连续在山东鲁能禁区前传切配合，费尔南迪尼奥倒三角回传，萨巴得球摆脱后低射偏出
90'吴庆横向突破突然一脚劲射！！被挡出底线                   87'第87分钟，重庆斯威连续在山东鲁能禁区前传切配合，费尔南迪尼奥倒三角回传，萨巴得球摆脱后低射偏出
90'下半场要补时 4 分钟                   87'第87分钟，重庆斯威连续在山东鲁能禁区前传切配合，费尔南迪尼奥倒三角回传，萨巴得球摆脱后低射偏出
90'周海滨右路斜传情给张驰！没能顶好！                   90'第90分钟，吴庆内切射门被挡出禁区
90'费尔南迪尼奥带球快速反击，到前场分右路！                   90'第90分钟，吴庆内切射门被挡出禁区
90'吴庆横向突破突然一脚劲射！！被挡出底线                   90'第90分钟，吴庆内切射门被挡出禁区
90'下半场要补时 4 分钟                   90'第90分钟，吴庆内切射门被挡出禁区
91'角球发到禁区内，宋龙大脚解围                   90'第90分钟，吴庆内切射门被挡出禁区
91'鲁能泰山队长传球，塔尔德利积极前插，对方破坏                   90'第90分钟，吴庆内切射门被挡出禁区
91'费尔南迪尼奥左路横传球，卡尔德克机会！！蒿俊闵将球破坏                   90'第90分钟，吴庆内切射门被挡出禁区
91'塞巴左路突破回传，彭欣力回传一脚！                   90'第90分钟，吴庆内切射门被挡出禁区
91'塞巴受伤倒在地上                   90'第90分钟，吴庆内切射门被挡出禁区
92'重庆斯威队外围远射！被王大雷没收                   90'第90分钟，吴庆内切射门被挡出禁区
92'王大雷示意对方有人受伤！不是不开球！                   90'第90分钟，吴庆内切射门被挡出禁区
92'主裁判还是掏出黄牌                   90'第90分钟，吴庆内切射门被挡出禁区
93'周海滨后场得球，分边路给佩莱！                   90'第90分钟，吴庆内切射门被挡出禁区
93'佩莱前传球被挡出边线                   90'第90分钟，吴庆内切射门被挡出禁区
