3'王燊超边路传球，球被解围出来                   3'第3分钟买提江在中圈附近打出超级远射被颜骏凌接住
90'李源一还迟到了黄牌                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
90'上港前场任意球机会                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
91'传球禁区，球被挡出来                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
91'胡尔克拿球，背对防守人又被提到了                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
91'裁判给了犯规                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
91'上港继续任意球机会                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
91'全场补时4分钟                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
92'任意球给到边路胡尔克，球被拦截下来                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
92'亿利展开反击                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
92'惠家康送出传中球，球被解围出边线                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
92'边线球发出来，胡尔克直接断球                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
92'任意球给到边路胡尔克，球被拦截下来                   92'第92分钟胡尔克在右路带球带球冲击连过两人，潘喜明从侧将其铲倒，潘吃到黄牌
92'亿利展开反击                   92'第92分钟胡尔克在右路带球带球冲击连过两人，潘喜明从侧将其铲倒，潘吃到黄牌
92'惠家康送出传中球，球被解围出边线                   92'第92分钟胡尔克在右路带球带球冲击连过两人，潘喜明从侧将其铲倒，潘吃到黄牌
92'边线球发出来，胡尔克直接断球                   92'第92分钟胡尔克在右路带球带球冲击连过两人，潘喜明从侧将其铲倒，潘吃到黄牌
93'展开反击，被潘喜明犯规了，黄牌毫无疑问                   92'第92分钟胡尔克在右路带球带球冲击连过两人，潘喜明从侧将其铲倒，潘吃到黄牌
94'胡尔克带球突破，躺球过人，没能成功                   92'第92分钟胡尔克在右路带球带球冲击连过两人，潘喜明从侧将其铲倒，潘吃到黄牌
95'裁判哨响，全场比赛结束                   92'第92分钟胡尔克在右路带球带球冲击连过两人，潘喜明从侧将其铲倒，潘吃到黄牌
95'最终上港1比0击败了亿利                   92'第92分钟胡尔克在右路带球带球冲击连过两人，潘喜明从侧将其铲倒，潘吃到黄牌
95'本场比赛就为大家直播到这里，我们下次再见                   92'第92分钟胡尔克在右路带球带球冲击连过两人，潘喜明从侧将其铲倒，潘吃到黄牌
