4'佩德罗被放倒了~                   4'第4分钟，梅西大禁区右上角外任意球直接射门稍稍高出
23'苏牙小角度直接打门被后卫挡出了底线                   23'第23分钟，西里古解围失误，苏亚雷斯禁区左侧的射门被范德维尔挡出
24'巴萨角球开出~禁区线外布教授的打门放了高射炮                   23'第23分钟，西里古解围失误，苏亚雷斯禁区左侧的射门被范德维尔挡出
24'TED演讲爱好者: 希望内马尔别打的太自我---内马尔可不是那种光顾自己进球的球员                   23'第23分钟，西里古解围失误，苏亚雷斯禁区左侧的射门被范德维尔挡出
47'马图伊迪转身过了佩德罗~                   47'2分钟后，伊布禁区右侧传中，卡瓦尼禁区边缘内第一时间推射被没收
47'佩刀在身后拉人犯规了                   47'2分钟后，伊布禁区右侧传中，卡瓦尼禁区边缘内第一时间推射被没收
48'伊布~内切之后倒在了禁区内                   47'2分钟后，伊布禁区右侧传中，卡瓦尼禁区边缘内第一时间推射被没收
48'裁判示意比赛继续                   47'2分钟后，伊布禁区右侧传中，卡瓦尼禁区边缘内第一时间推射被没收
48'小卢卡斯挑球过人~~被马斯切拉诺解围了出去                   47'2分钟后，伊布禁区右侧传中，卡瓦尼禁区边缘内第一时间推射被没收
49'大巴黎制造了一个角球                   47'2分钟后，伊布禁区右侧传中，卡瓦尼禁区边缘内第一时间推射被没收
49'上半场比赛两队居然没有一次角球                   47'2分钟后，伊布禁区右侧传中，卡瓦尼禁区边缘内第一时间推射被没收
50'内马尔跟小卢卡斯居然还在聊天...                   47'2分钟后，伊布禁区右侧传中，卡瓦尼禁区边缘内第一时间推射被没收
50'巴黎角球传向后点，伊布~压着马蒂厄起跳~头球顶偏了                   47'2分钟后，伊布禁区右侧传中，卡瓦尼禁区边缘内第一时间推射被没收
49'大巴黎制造了一个角球                   49'第49分钟，莫塔开出角球，伊布头球攻门偏出近角
49'上半场比赛两队居然没有一次角球                   49'第49分钟，莫塔开出角球，伊布头球攻门偏出近角
50'内马尔跟小卢卡斯居然还在聊天...                   49'第49分钟，莫塔开出角球，伊布头球攻门偏出近角
50'巴黎角球传向后点，伊布~压着马蒂厄起跳~头球顶偏了                   49'第49分钟，莫塔开出角球，伊布头球攻门偏出近角
51'布斯克茨~传球又失误                   49'第49分钟，莫塔开出角球，伊布头球攻门偏出近角
51'最近布教授的状态显得很差啊                   49'第49分钟，莫塔开出角球，伊布头球攻门偏出近角
52'巴萨断球反击~                   49'第49分钟，莫塔开出角球，伊布头球攻门偏出近角
52'梅西分边~                   49'第49分钟，莫塔开出角球，伊布头球攻门偏出近角
52'佩德罗停了一下之后失去了打门的机会                   49'第49分钟，莫塔开出角球，伊布头球攻门偏出近角
52'只能选择传中~结果出了底线                   49'第49分钟，莫塔开出角球，伊布头球攻门偏出近角
55'巴黎后场长传伊布~                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
55'越位了                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
55'苏牙~~进球无效...                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
55'什么情况，难道手球了                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
55'慢动作来看确实是手球了                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
56'卢卡斯强突马蒂厄~~~                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
56'裁判吹了小卢卡斯撞人犯规                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
57'维拉蒂的传球被断                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
57'巴萨反击的机会                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
57'卡瓦尼拉倒了内马尔                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
57'裁判掏出了黄牌，给了卡瓦尼                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
58'小马哥今天进攻意识很强啊                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
58'中路自己带球上来，可惜最后一脚被路易斯挡了回去                   55'第55分钟，苏亚雷斯突入禁区边缘内破门，但他手球犯规在先，进球无效
77'巴黎的冒险果然出了问题                   77'第77分钟，哈维传球，内马尔禁区左侧的射门被西里古扑出，苏亚雷斯近距离补射空门入网，3-1
77'马图伊迪下场之后中场无人防守了                   77'第77分钟，哈维传球，内马尔禁区左侧的射门被西里古扑出，苏亚雷斯近距离补射空门入网，3-1
77'哈维的分边~内马尔不停球直接推射被西里古扑了出去！而苏亚雷斯跟上的补射面对的是一个大空门                   77'第77分钟，哈维传球，内马尔禁区左侧的射门被西里古扑出，苏亚雷斯近距离补射空门入网，3-1
78'王者科比hby 主播，今天巴萨场上队长是谁啊---先是小白，然后是哈维                   77'第77分钟，哈维传球，内马尔禁区左侧的射门被西里古扑出，苏亚雷斯近距离补射空门入网，3-1
78'可以看到梅西本有机会自己来补射，但是看到旁边的苏牙，他将球让了过去                   77'第77分钟，哈维传球，内马尔禁区左侧的射门被西里古扑出，苏亚雷斯近距离补射空门入网，3-1
80'比赛时间不多，大巴黎的前场定位球                   77'第77分钟，哈维传球，内马尔禁区左侧的射门被西里古扑出，苏亚雷斯近距离补射空门入网，3-1
80'传中进去~头球解围没有顶远                   77'第77分钟，哈维传球，内马尔禁区左侧的射门被西里古扑出，苏亚雷斯近距离补射空门入网，3-1
80'伊布的传中逼得了一个角球                   77'第77分钟，哈维传球，内马尔禁区左侧的射门被西里古扑出，苏亚雷斯近距离补射空门入网，3-1
80'传前点，卡瓦尼的头球后蹭被巴萨的后卫挡出                   77'第77分钟，哈维传球，内马尔禁区左侧的射门被西里古扑出，苏亚雷斯近距离补射空门入网，3-1
80'梅西反击的机会                   77'第77分钟，哈维传球，内马尔禁区左侧的射门被西里古扑出，苏亚雷斯近距离补射空门入网，3-1
80'拉基蒂奇啊~~~                   77'第77分钟，哈维传球，内马尔禁区左侧的射门被西里古扑出，苏亚雷斯近距离补射空门入网，3-1
