1'上半场比赛开始！！                   1'比赛第1分钟就具有开放性
18'皇马获得右侧角球机会！！！                   15'皇马第15分钟取得领先，阿森西奥中场拦截抢断后突入禁区左侧传中，J罗近距离破门
18'2-0！！！！                   15'皇马第15分钟取得领先，阿森西奥中场拦截抢断后突入禁区左侧传中，J罗近距离破门
18'莫拉塔的进球！！                   15'皇马第15分钟取得领先，阿森西奥中场拦截抢断后突入禁区左侧传中，J罗近距离破门
18'达尼洛右路拿球，慢慢悠悠横切，左脚抽射                   18'皇马第18分钟扩大比分，J罗开出角球，纳乔前点头球后蹭，莫拉塔远点小角度头球破门，2-0
18'击中立柱弹回，被挡出底线！！                   18'皇马第18分钟扩大比分，J罗开出角球，纳乔前点头球后蹭，莫拉塔远点小角度头球破门，2-0
18'皇马获得右侧角球机会！！！                   18'皇马第18分钟扩大比分，J罗开出角球，纳乔前点头球后蹭，莫拉塔远点小角度头球破门，2-0
18'2-0！！！！                   18'皇马第18分钟扩大比分，J罗开出角球，纳乔前点头球后蹭，莫拉塔远点小角度头球破门，2-0
18'莫拉塔的进球！！                   18'皇马第18分钟扩大比分，J罗开出角球，纳乔前点头球后蹭，莫拉塔远点小角度头球破门，2-0
19'J罗角球开出到前点，纳乔头球后蹭，莫拉塔头球顶门，顶远远角！！                   18'皇马第18分钟扩大比分，J罗开出角球，纳乔前点头球后蹭，莫拉塔远点小角度头球破门，2-0
20'这球纳乔也很仗义，插上到了门前，看到皮球可以进网，也就没碰了                   18'皇马第18分钟扩大比分，J罗开出角球，纳乔前点头球后蹭，莫拉塔远点小角度头球破门，2-0
20'科瓦契奇前场中路拿球，强突后分球左侧给莫拉塔                   18'皇马第18分钟扩大比分，J罗开出角球，纳乔前点头球后蹭，莫拉塔远点小角度头球破门，2-0
21'莫拉塔停球横拨一下，起右脚打门，打偏！！                   18'皇马第18分钟扩大比分，J罗开出角球，纳乔前点头球后蹭，莫拉塔远点小角度头球破门，2-0
23'达尼洛上抢断球，皇马反击啦！！                   23'第23分钟，科瓦契奇传球，莫拉塔16码处单刀推射入网，3-0
23'3-0！！！莫拉塔梅开二度！！                   23'第23分钟，科瓦契奇传球，莫拉塔16码处单刀推射入网，3-0
24'科瓦契奇中路拿球，踩单车突破，再送直塞到禁区，莫拉塔让球到身前，面对出击的埃雷林，一脚搓射，打进！！                   23'第23分钟，科瓦契奇传球，莫拉塔16码处单刀推射入网，3-0
25'科瓦契奇左路拿球，内切分球给阿森西奥                   23'第23分钟，科瓦契奇传球，莫拉塔16码处单刀推射入网，3-0
25'阿森西奥转移球到右路找J罗                   23'第23分钟，科瓦契奇传球，莫拉塔16码处单刀推射入网，3-0
25'希奥瓦斯上来，抢先头球解围！！                   23'第23分钟，科瓦契奇传球，莫拉塔16码处单刀推射入网，3-0
26'马塞洛左路拿球，挑传找阿森西奥                   23'第23分钟，科瓦契奇传球，莫拉塔16码处单刀推射入网，3-0
26'阿森西奥越位位置，并未启动                   23'第23分钟，科瓦契奇传球，莫拉塔16码处单刀推射入网，3-0
26'巴斯汀扎举手瞬间，马塞洛上来将球控制                   23'第23分钟，科瓦契奇传球，莫拉塔16码处单刀推射入网，3-0
26'马塞洛内切，再回传给阿森西奥                   23'第23分钟，科瓦契奇传球，莫拉塔16码处单刀推射入网，3-0
48'马塞洛再给左路前插的阿森西奥                   48'莱加内斯3分钟连扳2球，第32分钟，迭戈-里科突入禁区左侧传中打中拉莫斯偏转，皮雷近距离捅射入网，1-3
48'阿森西奥拿球内切，面对巴斯汀扎和曼多瓦尼的夹抢                   48'莱加内斯3分钟连扳2球，第32分钟，迭戈-里科突入禁区左侧传中打中拉莫斯偏转，皮雷近距离捅射入网，1-3
48'摔倒在地，裁判吹罚补防的曼多瓦尼阻挡犯规！                   48'莱加内斯3分钟连扳2球，第32分钟，迭戈-里科突入禁区左侧传中打中拉莫斯偏转，皮雷近距离捅射入网，1-3
48'皇马获得大禁区左侧端线外一点点的任意球机会！！                   48'莱加内斯3分钟连扳2球，第32分钟，迭戈-里科突入禁区左侧传中打中拉莫斯偏转，皮雷近距离捅射入网，1-3
49'2-4！！！                   48'莱加内斯3分钟连扳2球，第32分钟，迭戈-里科突入禁区左侧传中打中拉莫斯偏转，皮雷近距离捅射入网，1-3
49'曼多瓦尼的乌龙球！！！                   48'莱加内斯3分钟连扳2球，第32分钟，迭戈-里科突入禁区左侧传中打中拉莫斯偏转，皮雷近距离捅射入网，1-3
50'J罗任意球搓传到门前，莫拉塔头球轰门，曼多瓦尼双手高举，排球拦网动作，球打在其手上变向进网！！                   48'莱加内斯3分钟连扳2球，第32分钟，迭戈-里科突入禁区左侧传中打中拉莫斯偏转，皮雷近距离捅射入网，1-3
50'这球埃雷林示意手球在先，裁判没理会，进球有效！！                   48'莱加内斯3分钟连扳2球，第32分钟，迭戈-里科突入禁区左侧传中打中拉莫斯偏转，皮雷近距离捅射入网，1-3
50'莱加内斯前场进攻，赢得右侧角球机会！！                   48'莱加内斯3分钟连扳2球，第32分钟，迭戈-里科突入禁区左侧传中打中拉莫斯偏转，皮雷近距离捅射入网，1-3
48'马塞洛再给左路前插的阿森西奥                   48'第48分钟，J罗左路任意球传中，莫拉塔小禁区边缘试图头球攻门，皮球打在曼托瓦尼手上偏转入近角，4-2
48'阿森西奥拿球内切，面对巴斯汀扎和曼多瓦尼的夹抢                   48'第48分钟，J罗左路任意球传中，莫拉塔小禁区边缘试图头球攻门，皮球打在曼托瓦尼手上偏转入近角，4-2
48'摔倒在地，裁判吹罚补防的曼多瓦尼阻挡犯规！                   48'第48分钟，J罗左路任意球传中，莫拉塔小禁区边缘试图头球攻门，皮球打在曼托瓦尼手上偏转入近角，4-2
48'皇马获得大禁区左侧端线外一点点的任意球机会！！                   48'第48分钟，J罗左路任意球传中，莫拉塔小禁区边缘试图头球攻门，皮球打在曼托瓦尼手上偏转入近角，4-2
49'2-4！！！                   48'第48分钟，J罗左路任意球传中，莫拉塔小禁区边缘试图头球攻门，皮球打在曼托瓦尼手上偏转入近角，4-2
49'曼多瓦尼的乌龙球！！！                   48'第48分钟，J罗左路任意球传中，莫拉塔小禁区边缘试图头球攻门，皮球打在曼托瓦尼手上偏转入近角，4-2
50'J罗任意球搓传到门前，莫拉塔头球轰门，曼多瓦尼双手高举，排球拦网动作，球打在其手上变向进网！！                   48'第48分钟，J罗左路任意球传中，莫拉塔小禁区边缘试图头球攻门，皮球打在曼托瓦尼手上偏转入近角，4-2
50'这球埃雷林示意手球在先，裁判没理会，进球有效！！                   48'第48分钟，J罗左路任意球传中，莫拉塔小禁区边缘试图头球攻门，皮球打在曼托瓦尼手上偏转入近角，4-2
50'莱加内斯前场进攻，赢得右侧角球机会！！                   48'第48分钟，J罗左路任意球传中，莫拉塔小禁区边缘试图头球攻门，皮球打在曼托瓦尼手上偏转入近角，4-2
89'埃雷林出击到禁区外，抢在法里亚诺之前头球解围                   89'第89分钟，埃雷林冲出禁区勉强头球解围，卢卡斯连过2人突入禁区内的单刀射门被埃雷林神勇救出
89'球到了巴斯克斯脚下，单骑闯关，中路强突                   89'第89分钟，埃雷林冲出禁区勉强头球解围，卢卡斯连过2人突入禁区内的单刀射门被埃雷林神勇救出
89'挑球过掉上来的希奥瓦斯，面对埃雷林                   89'第89分钟，埃雷林冲出禁区勉强头球解围，卢卡斯连过2人突入禁区内的单刀射门被埃雷林神勇救出
89'巴斯克斯右脚推射，被封堵！！                   89'第89分钟，埃雷林冲出禁区勉强头球解围，卢卡斯连过2人突入禁区内的单刀射门被埃雷林神勇救出
90'马基斯左路拿球，强突被纳乔绊倒在地                   89'第89分钟，埃雷林冲出禁区勉强头球解围，卢卡斯连过2人突入禁区内的单刀射门被埃雷林神勇救出
90'莱加内斯获得前场左路的任意球机会！！                   89'第89分钟，埃雷林冲出禁区勉强头球解围，卢卡斯连过2人突入禁区内的单刀射门被埃雷林神勇救出
90'伊斯科和莫德里奇排出两人的人墙！！                   89'第89分钟，埃雷林冲出禁区勉强头球解围，卢卡斯连过2人突入禁区内的单刀射门被埃雷林神勇救出
91'萨穆埃尔的任意球斜传禁区，第一点被皇马球员解围                   89'第89分钟，埃雷林冲出禁区勉强头球解围，卢卡斯连过2人突入禁区内的单刀射门被埃雷林神勇救出
92'下半场比赛补时3分钟！！                   89'第89分钟，埃雷林冲出禁区勉强头球解围，卢卡斯连过2人突入禁区内的单刀射门被埃雷林神勇救出
92'伊斯科中路拿球，强突被回防球员绊倒在地！！                   89'第89分钟，埃雷林冲出禁区勉强头球解围，卢卡斯连过2人突入禁区内的单刀射门被埃雷林神勇救出
92'卡塞米罗任意球回传莫德里奇                   89'第89分钟，埃雷林冲出禁区勉强头球解围，卢卡斯连过2人突入禁区内的单刀射门被埃雷林神勇救出
