1'上半场比赛开始                   1'第1分钟，瓦伦西亚在禁区角上射门没有打上力量，皮球 被杨智没收
46'上半场补时1分钟                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
46'邵佳一右路拿球强突，面对利马的防守，趟球出了边线                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
47'格隆左路和张辛昕的配合，可惜后者直传被白岳峰挡出了边线                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
46'下半场比赛开始                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
46'身穿白衣白裤的泰达开球，从右向左进攻                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
46'国安左路的进攻，张辛昕的斜传球到门前                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
47'格隆的插上倒地捅射，宗磊出击将球收入怀中                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
47'格隆中线位置身后上抢，踢倒了李玮峰                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
48'李玮峰很痛苦的倒地地上，捂着自己的左脚踝                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
48'比赛暂时中断，队医进场查看伤情                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
49'担架进场，李玮峰被抬出场接受治疗，比赛继续                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
49'国安前场传球失误，泰达的反击                   46'第46分钟，格隆接斜长传头球往后一蹭，乌塔卡抢点铲射被宗垒没收
51'王晓龙左路拿球，强行下底，被回防的泰达球员破坏出边线                   51'第51分钟，北京队围攻被天津队挡出，瓦伦西亚拿球时再次被郎征从背后像砍大树一样伐倒
51'下半场国安的攻势明显要强于上半场啦                   51'第51分钟，北京队围攻被天津队挡出，瓦伦西亚拿球时再次被郎征从背后像砍大树一样伐倒
52'国安右路的传接球，周挺拿球回传被瓦伦西亚抢断                   51'第51分钟，北京队围攻被天津队挡出，瓦伦西亚拿球时再次被郎征从背后像砍大树一样伐倒
52'郎征原地反抢，身后直接踢翻了瓦伦西亚，犯规                   51'第51分钟，北京队围攻被天津队挡出，瓦伦西亚拿球时再次被郎征从背后像砍大树一样伐倒
52'曹阳后场过顶球找瓦伦西亚，郎征头球解围出边线                   51'第51分钟，北京队围攻被天津队挡出，瓦伦西亚拿球时再次被郎征从背后像砍大树一样伐倒
53'帕尔塔鲁界外球直接往禁区扔，瓦伦西亚争顶没能顶到                   51'第51分钟，北京队围攻被天津队挡出，瓦伦西亚拿球时再次被郎征从背后像砍大树一样伐倒
53'球弹地后直接钻入杨智的怀中                   51'第51分钟，北京队围攻被天津队挡出，瓦伦西亚拿球时再次被郎征从背后像砍大树一样伐倒
53'格隆前场拿球强突进入，下底时被回防的利马将球解围出边线                   51'第51分钟，北京队围攻被天津队挡出，瓦伦西亚拿球时再次被郎征从背后像砍大树一样伐倒
54'王新欣中场拿球，横传转移球给到李本舰                   51'第51分钟，北京队围攻被天津队挡出，瓦伦西亚拿球时再次被郎征从背后像砍大树一样伐倒
54'李本舰拿球过了中线，回敲给到帕尔塔鲁                   51'第51分钟，北京队围攻被天津队挡出，瓦伦西亚拿球时再次被郎征从背后像砍大树一样伐倒
57'张辛昕左后场抢断，直接过顶直传找王晓龙                   57'第57分钟，张稀哲角球开出，乌塔卡抢到落点头球攻门顶高
57'白岳峰上来直接一脚踢回前场，瓦伦西亚争抢时被吹越位在先                   57'第57分钟，张稀哲角球开出，乌塔卡抢到落点头球攻门顶高
58'国安的左路进攻，王晓龙传中被王新欣破坏出底线                   57'第57分钟，张稀哲角球开出，乌塔卡抢到落点头球攻门顶高
58'国安再次获得左侧角球机会                   57'第57分钟，张稀哲角球开出，乌塔卡抢到落点头球攻门顶高
58'角球开出到禁区，乌塔卡在宗磊之前头球攻门，顶高                   57'第57分钟，张稀哲角球开出，乌塔卡抢到落点头球攻门顶高
59'周挺右路拿球，挑传过顶球给到王晓龙                   57'第57分钟，张稀哲角球开出，乌塔卡抢到落点头球攻门顶高
60'王晓龙拿球横切，接着的传接失误啦                   57'第57分钟，张稀哲角球开出，乌塔卡抢到落点头球攻门顶高
60'泰达的反击，瓦伦西亚拿球，面对国安多名回防球员，没机会了，控制球权                   57'第57分钟，张稀哲角球开出，乌塔卡抢到落点头球攻门顶高
60'泰达前场的横传转移，被回防的乌塔卡在禁区弧顶拦截                   57'第57分钟，张稀哲角球开出，乌塔卡抢到落点头球攻门顶高
62'格隆右路拿球，面对利马的防守，准备底线内切                   62'第62分钟，张呈栋35米开外突施冷箭大力轰门，宗垒注意力集中将球扑出底线
62'被利马伸脚将球捅出了边线                   62'第62分钟，张呈栋35米开外突施冷箭大力轰门，宗垒注意力集中将球扑出底线
62'周挺前场拿球，禁区外还想强突，失误啦                   62'第62分钟，张呈栋35米开外突施冷箭大力轰门，宗垒注意力集中将球扑出底线
62'周海滨拿球反击，马季奇中场的拦截，将球破坏出边线                   62'第62分钟，张呈栋35米开外突施冷箭大力轰门，宗垒注意力集中将球扑出底线
63'泰达后场传球失误，国安抢断反击                   62'第62分钟，张呈栋35米开外突施冷箭大力轰门，宗垒注意力集中将球扑出底线
64'张呈栋的超远距离发炮，宗磊将球奋力扑出底线                   62'第62分钟，张呈栋35米开外突施冷箭大力轰门，宗垒注意力集中将球扑出底线
64'这球张呈栋打的力大势沉，很有威胁啊                   62'第62分钟，张呈栋35米开外突施冷箭大力轰门，宗垒注意力集中将球扑出底线
64'国安左侧角球机会，第一点又被泰达球员解围                   62'第62分钟，张呈栋35米开外突施冷箭大力轰门，宗垒注意力集中将球扑出底线
65'张辛昕左路拿球横切，面对李本舰的防守，强突失误                   62'第62分钟，张呈栋35米开外突施冷箭大力轰门，宗垒注意力集中将球扑出底线
65'泰达反击，李本舰直塞给到周海滨                   62'第62分钟，张呈栋35米开外突施冷箭大力轰门，宗垒注意力集中将球扑出底线
65'周海滨的斜传打身后找瓦伦西亚，力量稍大，被杨智出来控制                   62'第62分钟，张呈栋35米开外突施冷箭大力轰门，宗垒注意力集中将球扑出底线
65'下半场比赛20分钟了，比分还是1-0，泰达领先                   62'第62分钟，张呈栋35米开外突施冷箭大力轰门，宗垒注意力集中将球扑出底线
72'泰达的后场任意球，李玮峰主罚，先摆好，慢慢来。。。                   72'第72分钟，巴雷拿球转身抹过郎征，杀入禁区内左脚射门打偏
72'贾德尔禁区线上背身拿球，转身强突禁区                   72'第72分钟，巴雷拿球转身抹过郎征，杀入禁区内左脚射门打偏
72'接着的起脚抽射远角，滑门而过，出底线                   72'第72分钟，巴雷拿球转身抹过郎征，杀入禁区内左脚射门打偏
73'泰达在国安禁区内的连续传切，最后还是失误啦                   72'第72分钟，巴雷拿球转身抹过郎征，杀入禁区内左脚射门打偏
74'格隆和马季奇前场左路的配合，李玮峰上抢，最后球出了边线，主裁吹了泰达的界外球                   72'第72分钟，巴雷拿球转身抹过郎征，杀入禁区内左脚射门打偏
74'瓦伦西亚前场拿球，禁区右上角的斜传门前                   72'第72分钟，巴雷拿球转身抹过郎征，杀入禁区内左脚射门打偏
75'贾德尔插上包抄打门，没能踢上力量，被徐云龙解围                   72'第72分钟，巴雷拿球转身抹过郎征，杀入禁区内左脚射门打偏
75'马季奇和贾德尔的争抢，马季奇被吹犯规                   72'第72分钟，巴雷拿球转身抹过郎征，杀入禁区内左脚射门打偏
75'泰达获得前场的任意球机会，曹阳主罚                   72'第72分钟，巴雷拿球转身抹过郎征，杀入禁区内左脚射门打偏
74'格隆和马季奇前场左路的配合，李玮峰上抢，最后球出了边线，主裁吹了泰达的界外球                   74'第74分钟，瓦伦西亚右路传中，巴雷抢前点铲射可惜没有踢到皮球
74'瓦伦西亚前场拿球，禁区右上角的斜传门前                   74'第74分钟，瓦伦西亚右路传中，巴雷抢前点铲射可惜没有踢到皮球
75'贾德尔插上包抄打门，没能踢上力量，被徐云龙解围                   74'第74分钟，瓦伦西亚右路传中，巴雷抢前点铲射可惜没有踢到皮球
75'马季奇和贾德尔的争抢，马季奇被吹犯规                   74'第74分钟，瓦伦西亚右路传中，巴雷抢前点铲射可惜没有踢到皮球
75'泰达获得前场的任意球机会，曹阳主罚                   74'第74分钟，瓦伦西亚右路传中，巴雷抢前点铲射可惜没有踢到皮球
76'曹阳任意球斜传禁区，第一点被国安球员解围                   74'第74分钟，瓦伦西亚右路传中，巴雷抢前点铲射可惜没有踢到皮球
77'国安再换人：26号王皓上，换下8号格隆                   74'第74分钟，瓦伦西亚右路传中，巴雷抢前点铲射可惜没有踢到皮球
77'张稀哲中路拿球，直塞找乌塔卡                   74'第74分钟，瓦伦西亚右路传中，巴雷抢前点铲射可惜没有踢到皮球
78'李玮峰从身后上抢，直接在乌塔卡面前将球拦截                   78'第78分钟，王晓龙右路传中，乌塔卡头球摆渡，张稀哲在后点无人盯防情况下左脚抽射，皮球稍稍高出横梁
78'国安的三个换人名额已经用完，而泰达还有两个机会                   78'第78分钟，王晓龙右路传中，乌塔卡头球摆渡，张稀哲在后点无人盯防情况下左脚抽射，皮球稍稍高出横梁
79'张呈栋中场拿球，面对王新欣的逼抢，转身强突，被破坏出边线                   78'第78分钟，王晓龙右路传中，乌塔卡头球摆渡，张稀哲在后点无人盯防情况下左脚抽射，皮球稍稍高出横梁
79'徐云龙右边路的传球，打在上来的李本舰身上出了边线                   78'第78分钟，王晓龙右路传中，乌塔卡头球摆渡，张稀哲在后点无人盯防情况下左脚抽射，皮球稍稍高出横梁
80'王晓龙右路拿球，大禁区底角上的转身挑传                   78'第78分钟，王晓龙右路传中，乌塔卡头球摆渡，张稀哲在后点无人盯防情况下左脚抽射，皮球稍稍高出横梁
80'乌塔卡头球摆渡，张稀哲后点包抄，凌空的抽射，放了高射炮                   78'第78分钟，王晓龙右路传中，乌塔卡头球摆渡，张稀哲在后点无人盯防情况下左脚抽射，皮球稍稍高出横梁
80'宗磊门球，被吹拖延时间，送了黄牌                   78'第78分钟，王晓龙右路传中，乌塔卡头球摆渡，张稀哲在后点无人盯防情况下左脚抽射，皮球稍稍高出横梁
81'郎征后场的防守，连拉带抱放翻了转身前插的贾德尔                   78'第78分钟，王晓龙右路传中，乌塔卡头球摆渡，张稀哲在后点无人盯防情况下左脚抽射，皮球稍稍高出横梁
81'郎征被主裁判出示黄牌警告                   78'第78分钟，王晓龙右路传中，乌塔卡头球摆渡，张稀哲在后点无人盯防情况下左脚抽射，皮球稍稍高出横梁
87'国安的边路传中，王皓的头球攻门                   86'第86分钟，天津解围不远，北京队再将皮球送入禁区，王皓头球后蹭，乌塔卡甩开李玮峰，但宗垒及时出击将球扑住
87'球弹地后，被出击的宗磊压在了身下                   86'第86分钟，天津解围不远，北京队再将皮球送入禁区，王皓头球后蹭，乌塔卡甩开李玮峰，但宗垒及时出击将球扑住
87'比赛进入尾声，比分1-0，泰达领先                   86'第86分钟，天津解围不远，北京队再将皮球送入禁区，王皓头球后蹭，乌塔卡甩开李玮峰，但宗垒及时出击将球扑住
