4'张琳芃左路拿球，尤里回防放铲，球最后碰到张琳芃出边线                   4'第4分钟，人和左路传中引出威胁攻势，尤里头球攻门稍稍偏出
16'陈杰任意球斜传禁区，朱宝杰头球一顶，桑托斯跟进，顶着保利尼奥凌空爆射，打进！！1                   14'第14分钟，人和取得入球——人和中场右侧任意球长传恒大禁区，于睿与防守球员奋力争顶令皮球高高弹起，桑托斯凌空抽射破门
16'恒大的反击，埃尔克森的远射，被挡出                   14'第14分钟，人和取得入球——人和中场右侧任意球长传恒大禁区，于睿与防守球员奋力争顶令皮球高高弹起，桑托斯凌空抽射破门
16'人和再次发动反击，左路传中                   14'第14分钟，人和取得入球——人和中场右侧任意球长传恒大禁区，于睿与防守球员奋力争顶令皮球高高弹起，桑托斯凌空抽射破门
17'桑托斯头球击中横梁！！1                   14'第14分钟，人和取得入球——人和中场右侧任意球长传恒大禁区，于睿与防守球员奋力争顶令皮球高高弹起，桑托斯凌空抽射破门
17'尤里插上补射，没顶好，顶高，球落在球网上                   14'第14分钟，人和取得入球——人和中场右侧任意球长传恒大禁区，于睿与防守球员奋力争顶令皮球高高弹起，桑托斯凌空抽射破门
17'这几分钟，人和的进攻给了恒大不小压力，差点取得两球优势啊                   14'第14分钟，人和取得入球——人和中场右侧任意球长传恒大禁区，于睿与防守球员奋力争顶令皮球高高弹起，桑托斯凌空抽射破门
16'陈杰任意球斜传禁区，朱宝杰头球一顶，桑托斯跟进，顶着保利尼奥凌空爆射，打进！！1                   16'第16分钟，人和再次形成威胁攻势——冯仁亮左路送出高质量斜传，恒大前点防守与门将曾诚均被穿越，桑托斯近距离包抄皮球击中横梁弹回，尤里站在门线前补射未打正部位，皮球刚好是擦横梁上沿飞出
16'恒大的反击，埃尔克森的远射，被挡出                   16'第16分钟，人和再次形成威胁攻势——冯仁亮左路送出高质量斜传，恒大前点防守与门将曾诚均被穿越，桑托斯近距离包抄皮球击中横梁弹回，尤里站在门线前补射未打正部位，皮球刚好是擦横梁上沿飞出
16'人和再次发动反击，左路传中                   16'第16分钟，人和再次形成威胁攻势——冯仁亮左路送出高质量斜传，恒大前点防守与门将曾诚均被穿越，桑托斯近距离包抄皮球击中横梁弹回，尤里站在门线前补射未打正部位，皮球刚好是擦横梁上沿飞出
17'桑托斯头球击中横梁！！1                   16'第16分钟，人和再次形成威胁攻势——冯仁亮左路送出高质量斜传，恒大前点防守与门将曾诚均被穿越，桑托斯近距离包抄皮球击中横梁弹回，尤里站在门线前补射未打正部位，皮球刚好是擦横梁上沿飞出
17'尤里插上补射，没顶好，顶高，球落在球网上                   16'第16分钟，人和再次形成威胁攻势——冯仁亮左路送出高质量斜传，恒大前点防守与门将曾诚均被穿越，桑托斯近距离包抄皮球击中横梁弹回，尤里站在门线前补射未打正部位，皮球刚好是擦横梁上沿飞出
17'这几分钟，人和的进攻给了恒大不小压力，差点取得两球优势啊                   16'第16分钟，人和再次形成威胁攻势——冯仁亮左路送出高质量斜传，恒大前点防守与门将曾诚均被穿越，桑托斯近距离包抄皮球击中横梁弹回，尤里站在门线前补射未打正部位，皮球刚好是擦横梁上沿飞出
18'郑龙左路拿球，强突被陈昌源破坏出边线                   16'第16分钟，人和再次形成威胁攻势——冯仁亮左路送出高质量斜传，恒大前点防守与门将曾诚均被穿越，桑托斯近距离包抄皮球击中横梁弹回，尤里站在门线前补射未打正部位，皮球刚好是擦横梁上沿飞出
19'饶伟辉左路拿球，直塞找桑托斯，被冯潇霆破坏出边线                   16'第16分钟，人和再次形成威胁攻势——冯仁亮左路送出高质量斜传，恒大前点防守与门将曾诚均被穿越，桑托斯近距离包抄皮球击中横梁弹回，尤里站在门线前补射未打正部位，皮球刚好是擦横梁上沿飞出
28'饶伟辉也是倒在了地上，好像被高拉特无意甩手打了一下                   28'斯科拉里在第28分钟即进行换人，郜林换下黄博文
28'恒大做出调整：29号郜林上，换下16号黄博文                   28'斯科拉里在第28分钟即进行换人，郜林换下黄博文
28'恒大这也是要加强进攻，比较冒险的一次调整                   28'斯科拉里在第28分钟即进行换人，郜林换下黄博文
29'桑托斯前场争抢头球，和保利尼奥相撞后倒地，裁判没表示                   28'斯科拉里在第28分钟即进行换人，郜林换下黄博文
29'李学鹏左路头球解围，尤里争抢被吹抬脚过高，危险动作                   28'斯科拉里在第28分钟即进行换人，郜林换下黄博文
30'尤里被主裁判出示了黄牌警告！！                   28'斯科拉里在第28分钟即进行换人，郜林换下黄博文
30'这也是本场比赛的第一张黄牌！！！                   28'斯科拉里在第28分钟即进行换人，郜林换下黄博文
30'尤里也是主动上前，向李学鹏表达歉意，很绅士啊                   28'斯科拉里在第28分钟即进行换人，郜林换下黄博文
31'张琳芃前场右路拿球，内切后起脚远射，打飞                   28'斯科拉里在第28分钟即进行换人，郜林换下黄博文
31'陈杰中场拿球，埃尔克森身后回抢，推倒了陈杰，犯规                   28'斯科拉里在第28分钟即进行换人，郜林换下黄博文
39'2-0！！！                   39'第39分钟，人和利用快攻将比分扩大——尤里中路推进后分球，朱宝杰趟球摆脱放铲拦截的冯潇霆，禁区右侧面对曾诚小角度斜射破门
39'朱宝杰，单刀推射打进！！！                   39'第39分钟，人和利用快攻将比分扩大——尤里中路推进后分球，朱宝杰趟球摆脱放铲拦截的冯潇霆，禁区右侧面对曾诚小角度斜射破门
41'桑托斯中路拿球，直塞找前插的朱宝杰，朱宝杰抢在冯潇霆之前将球一捅，单挑曾诚，右脚推射远角，打进！！！                   39'第39分钟，人和利用快攻将比分扩大——尤里中路推进后分球，朱宝杰趟球摆脱放铲拦截的冯潇霆，禁区右侧面对曾诚小角度斜射破门
41'人和今天的反击很犀利，恒大防线漏洞不小啊                   39'第39分钟，人和利用快攻将比分扩大——尤里中路推进后分球，朱宝杰趟球摆脱放铲拦截的冯潇霆，禁区右侧面对曾诚小角度斜射破门
42'刘洋左路和郑龙争抢球权，刘洋放铲带倒郑龙，犯规                   39'第39分钟，人和利用快攻将比分扩大——尤里中路推进后分球，朱宝杰趟球摆脱放铲拦截的冯潇霆，禁区右侧面对曾诚小角度斜射破门
42'恒大前场进攻，埃尔克森小禁区左侧的拿球                   39'第39分钟，人和利用快攻将比分扩大——尤里中路推进后分球，朱宝杰趟球摆脱放铲拦截的冯潇霆，禁区右侧面对曾诚小角度斜射破门
43'面对朴柱成的滑铲，埃尔克森一扣，接着抽射，打在边网上                   43'第43分钟，恒大右路传中后，埃尔克森禁区左侧底线球扣球晃倒陈昌源与朴柱成，但小角度攻门打偏在边网上
43'陈昌源右路拿球，内切横传给尤里                   43'第43分钟，恒大右路传中后，埃尔克森禁区左侧底线球扣球晃倒陈昌源与朴柱成，但小角度攻门打偏在边网上
43'尤里禁区外拿球，在直塞禁区找切入的陈昌源                   43'第43分钟，恒大右路传中后，埃尔克森禁区左侧底线球扣球晃倒陈昌源与朴柱成，但小角度攻门打偏在边网上
44'陈昌源靠着李学鹏停球，没拿好，自己摔倒在禁区                   43'第43分钟，恒大右路传中后，埃尔克森禁区左侧底线球扣球晃倒陈昌源与朴柱成，但小角度攻门打偏在边网上
44'裁判没理会，球被恒大球员出脚解围                   43'第43分钟，恒大右路传中后，埃尔克森禁区左侧底线球扣球晃倒陈昌源与朴柱成，但小角度攻门打偏在边网上
45'本场赛前，人和主帅宫磊指导便说：他执教的人和，在主场从未输给过恒大，有点霸气啊                   43'第43分钟，恒大右路传中后，埃尔克森禁区左侧底线球扣球晃倒陈昌源与朴柱成，但小角度攻门打偏在边网上
45'1-2！！！                   43'第43分钟，恒大右路传中后，埃尔克森禁区左侧底线球扣球晃倒陈昌源与朴柱成，但小角度攻门打偏在边网上
45'张琳芃的头球！！！                   43'第43分钟，恒大右路传中后，埃尔克森禁区左侧底线球扣球晃倒陈昌源与朴柱成，但小角度攻门打偏在边网上
46'恒大前场进攻，左路斜传球到禁区，张琳芃插上头球冲顶，顶进网窝，张烈毫无反应！！！                   43'第43分钟，恒大右路传中后，埃尔克森禁区左侧底线球扣球晃倒陈昌源与朴柱成，但小角度攻门打偏在边网上
46'下半场比赛开始                   43'第43分钟，恒大右路传中后，埃尔克森禁区左侧底线球扣球晃倒陈昌源与朴柱成，但小角度攻门打偏在边网上
53'埃尔克森左路拿球，横切后直塞禁区找保利尼奥                   53'第53分钟，保利尼奥为恒大赢得左侧底线前任意球，保利尼奥与于睿发生了言语摩擦；郑龙将“短角球”快速传入禁区，保利尼奥头球顶偏
53'保利尼奥在于睿的干扰下没能控制好，再往边路带                   53'第53分钟，保利尼奥为恒大赢得左侧底线前任意球，保利尼奥与于睿发生了言语摩擦；郑龙将“短角球”快速传入禁区，保利尼奥头球顶偏
53'于睿直接放铲，放倒了保利尼奥                   53'第53分钟，保利尼奥为恒大赢得左侧底线前任意球，保利尼奥与于睿发生了言语摩擦；郑龙将“短角球”快速传入禁区，保利尼奥头球顶偏
54'保利尼奥起身和于睿发生了口角，裁判口头劝告一翻                   53'第53分钟，保利尼奥为恒大赢得左侧底线前任意球，保利尼奥与于睿发生了言语摩擦；郑龙将“短角球”快速传入禁区，保利尼奥头球顶偏
54'恒大获得前场左侧底线附近的任意球机会                   53'第53分钟，保利尼奥为恒大赢得左侧底线前任意球，保利尼奥与于睿发生了言语摩擦；郑龙将“短角球”快速传入禁区，保利尼奥头球顶偏
54'郑龙任意球搓传门前，保利尼奥头球，顶高                   53'第53分钟，保利尼奥为恒大赢得左侧底线前任意球，保利尼奥与于睿发生了言语摩擦；郑龙将“短角球”快速传入禁区，保利尼奥头球顶偏
55'恒大前场进攻再次赢得左侧角球机会                   53'第53分钟，保利尼奥为恒大赢得左侧底线前任意球，保利尼奥与于睿发生了言语摩擦；郑龙将“短角球”快速传入禁区，保利尼奥头球顶偏
55'郑龙角球开出到禁区，混战中，冯潇霆的左脚吊门，直接被张烈收入怀中                   53'第53分钟，保利尼奥为恒大赢得左侧底线前任意球，保利尼奥与于睿发生了言语摩擦；郑龙将“短角球”快速传入禁区，保利尼奥头球顶偏
56'下半场比赛已经10分钟，这段时间就是恒大的半场攻防演练啊                   53'第53分钟，保利尼奥为恒大赢得左侧底线前任意球，保利尼奥与于睿发生了言语摩擦；郑龙将“短角球”快速传入禁区，保利尼奥头球顶偏
58'位置相当不错，就在大禁区弧左侧外一点点                   58'第58分钟，饶伟辉左路前冲断球，张琳芃放铲动作造成饶伟辉摔翻，张琳芃领到黄牌
58'高拉特和郑龙站在球前，高拉特直接攻门，打在人墙上弹出                   58'第58分钟，饶伟辉左路前冲断球，张琳芃放铲动作造成饶伟辉摔翻，张琳芃领到黄牌
58'这球罚的质量太差啦                   58'第58分钟，饶伟辉左路前冲断球，张琳芃放铲动作造成饶伟辉摔翻，张琳芃领到黄牌
59'饶伟辉左路拿球，强突，趟球后被张琳芃的滑铲放倒在地                   58'第58分钟，饶伟辉左路前冲断球，张琳芃放铲动作造成饶伟辉摔翻，张琳芃领到黄牌
59'张琳芃被主裁判出示了黄牌警告！！！                   58'第58分钟，饶伟辉左路前冲断球，张琳芃放铲动作造成饶伟辉摔翻，张琳芃领到黄牌
59'人和获得前场左路的任意球机会                   58'第58分钟，饶伟辉左路前冲断球，张琳芃放铲动作造成饶伟辉摔翻，张琳芃领到黄牌
60'陈杰任意球斜传到禁区后点，于睿的头球，顶偏                   58'第58分钟，饶伟辉左路前冲断球，张琳芃放铲动作造成饶伟辉摔翻，张琳芃领到黄牌
60'曾诚大脚将门球开到前场，高拉特争抢头球，压人犯规                   58'第58分钟，饶伟辉左路前冲断球，张琳芃放铲动作造成饶伟辉摔翻，张琳芃领到黄牌
61'人和中场断球，尤里拿球反击                   58'第58分钟，饶伟辉左路前冲断球，张琳芃放铲动作造成饶伟辉摔翻，张琳芃领到黄牌
61'尤里带球，恒大三人围抢，尤里想变向，结果球丢啦                   58'第58分钟，饶伟辉左路前冲断球，张琳芃放铲动作造成饶伟辉摔翻，张琳芃领到黄牌
82'郑智拿球反击，过了中线，被朱宝杰的滑铲，带倒在地                   82'第82分钟，恒大任意球冲击在人和禁区内制造持续混乱，受伤倒在底线外的于睿翻滚回底线内倒地不起，继续控球冲击的恒大被裁判吹停，恒大多位球员表示了不满
82'恒大获得中圈位置的任意球机会                   82'第82分钟，恒大任意球冲击在人和禁区内制造持续混乱，受伤倒在底线外的于睿翻滚回底线内倒地不起，继续控球冲击的恒大被裁判吹停，恒大多位球员表示了不满
83'任意球斜传左路，李学鹏起球到禁区，混战中，球被人和球员解围                   82'第82分钟，恒大任意球冲击在人和禁区内制造持续混乱，受伤倒在底线外的于睿翻滚回底线内倒地不起，继续控球冲击的恒大被裁判吹停，恒大多位球员表示了不满
83'于睿这次混战中，受伤倒地，倒在自家禁区没起来                   82'第82分钟，恒大任意球冲击在人和禁区内制造持续混乱，受伤倒在底线外的于睿翻滚回底线内倒地不起，继续控球冲击的恒大被裁判吹停，恒大多位球员表示了不满
84'裁判吹停比赛，队医和担架进场，于睿出场接受治疗                   82'第82分钟，恒大任意球冲击在人和禁区内制造持续混乱，受伤倒在底线外的于睿翻滚回底线内倒地不起，继续控球冲击的恒大被裁判吹停，恒大多位球员表示了不满
84'目前的射门次数：人和4次，恒大17次                   82'第82分钟，恒大任意球冲击在人和禁区内制造持续混乱，受伤倒在底线外的于睿翻滚回底线内倒地不起，继续控球冲击的恒大被裁判吹停，恒大多位球员表示了不满
85'刘洋中场拿球，过顶球打身后                   82'第82分钟，恒大任意球冲击在人和禁区内制造持续混乱，受伤倒在底线外的于睿翻滚回底线内倒地不起，继续控球冲击的恒大被裁判吹停，恒大多位球员表示了不满
85'可惜没有队友前插，球直接被曾诚出击控制                   82'第82分钟，恒大任意球冲击在人和禁区内制造持续混乱，受伤倒在底线外的于睿翻滚回底线内倒地不起，继续控球冲击的恒大被裁判吹停，恒大多位球员表示了不满
49'朱宝杰力量速度强突，可惜最后趟球过大，被曾诚直接没收                   49'补时第4分钟，桑托斯禁区内抢点时前冲倒地，主裁判没有判罚令人和将帅非常不满，宫磊也走入场内；桑托斯被判定假摔领到黄牌
50'郑智中场的挑传找高拉特                   49'补时第4分钟，桑托斯禁区内抢点时前冲倒地，主裁判没有判罚令人和将帅非常不满，宫磊也走入场内；桑托斯被判定假摔领到黄牌
50'高拉特在人和球员的干扰下，球没拿好                   49'补时第4分钟，桑托斯禁区内抢点时前冲倒地，主裁判没有判罚令人和将帅非常不满，宫磊也走入场内；桑托斯被判定假摔领到黄牌
51'于睿转身，卡住身位，将球护送给张烈                   49'补时第4分钟，桑托斯禁区内抢点时前冲倒地，主裁判没有判罚令人和将帅非常不满，宫磊也走入场内；桑托斯被判定假摔领到黄牌
51'人和右路的传中球到禁区，第一点被恒大球员解围                   49'补时第4分钟，桑托斯禁区内抢点时前冲倒地，主裁判没有判罚令人和将帅非常不满，宫磊也走入场内；桑托斯被判定假摔领到黄牌
51'金英权后场拿球，直接大脚长传找前场的埃尔克森                   49'补时第4分钟，桑托斯禁区内抢点时前冲倒地，主裁判没有判罚令人和将帅非常不满，宫磊也走入场内；桑托斯被判定假摔领到黄牌
52'传球力量太大，直接被回防的于睿送出边线                   49'补时第4分钟，桑托斯禁区内抢点时前冲倒地，主裁判没有判罚令人和将帅非常不满，宫磊也走入场内；桑托斯被判定假摔领到黄牌
