1'上半场比赛开始！！！                   1'阿森纳第1分钟控制比赛
72'拉姆塞左侧拿球，底线内切                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
73'倒三角回传门前，奥巴梅杨的跟进打门                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
73'打在了迪奥普身上弹出了底线！！                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
73'阿森纳的右侧角球，开出来，再被解围                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
73'姆希塔扬右路拿球，下底横传门前                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
73'拉卡泽特抢点打门，被法比安斯基拿到                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
93'阿森纳再进一球！！                   92'第92分钟，姆希塔良分球，贝莱林禁区右侧低传，维尔贝克10码处停球转身推射入网，3-1
93'维尔贝克，锁定胜局的一球！                   92'第92分钟，姆希塔良分球，贝莱林禁区右侧低传，维尔贝克10码处停球转身推射入网，3-1
94'姆希塔扬中路拿球，斜塞右侧给到贝莱林，贝莱林强突下底，倒三角回传门前，维尔贝克停球转身，一脚抽射打进！！                   92'第92分钟，姆希塔良分球，贝莱林禁区右侧低传，维尔贝克10码处停球转身推射入网，3-1
95'西汉姆联的最后反击没能再次有收获                   92'第92分钟，姆希塔良分球，贝莱林禁区右侧低传，维尔贝克10码处停球转身推射入网，3-1
