31'鲁能泰山队进球啦！西塞！1-0                   31'第31分钟，蒿俊闵送出过顶球，西塞小角度爆射破门
79'鲁能泰山队换人：张驰上场，换下金敬道                   76'第31分钟，山东鲁能打破僵局，蒿俊闵送出过顶球撕开贵州智诚防线，西塞反越位成功停球后直面门将，小角度爆射打入上角，山东鲁能1-0领先
79'刘彬彬也要上场！                   76'第31分钟，山东鲁能打破僵局，蒿俊闵送出过顶球撕开贵州智诚防线，西塞反越位成功停球后直面门将，小角度爆射打入上角，山东鲁能1-0领先
85'鲁能泰山队换人，刘彬彬上场换下郑铮                   85'第40分钟，贵州智诚错失扳平比分机会，切里边路弧线球传中，耶拉维奇卡位头球稍稍偏出立柱
87'贵州恒丰队进球啦！耶拉维奇！2-1                   85'第40分钟，贵州智诚错失扳平比分机会，切里边路弧线球传中，耶拉维奇卡位头球稍稍偏出立柱
87'贵州恒丰队左路斜传禁区！吉尔拉了奥伦加一把，球到右路，王帆横传球，耶拉维奇抢点打门球进！                   85'第40分钟，贵州智诚错失扳平比分机会，切里边路弧线球传中，耶拉维奇卡位头球稍稍偏出立柱
88'鲁能泰山队长传前场，对方回顶门王卓                   85'第40分钟，贵州智诚错失扳平比分机会，切里边路弧线球传中，耶拉维奇卡位头球稍稍偏出立柱
88'后场鲁能泰山队得球，分到左路                   85'第40分钟，贵州智诚错失扳平比分机会，切里边路弧线球传中，耶拉维奇卡位头球稍稍偏出立柱
87'贵州恒丰队进球啦！耶拉维奇！2-1                   87'第87分钟，贵州智诚反超比分，范云龙弧线球传中，奥伦加被拉倒，但主裁判未判罚点球，王帆后点倒三角回做，耶拉维奇推射远角，球击中远端立柱弹入球门，贵州智诚2-1领先
87'贵州恒丰队左路斜传禁区！吉尔拉了奥伦加一把，球到右路，王帆横传球，耶拉维奇抢点打门球进！                   87'第87分钟，贵州智诚反超比分，范云龙弧线球传中，奥伦加被拉倒，但主裁判未判罚点球，王帆后点倒三角回做，耶拉维奇推射远角，球击中远端立柱弹入球门，贵州智诚2-1领先
88'鲁能泰山队长传前场，对方回顶门王卓                   87'第87分钟，贵州智诚反超比分，范云龙弧线球传中，奥伦加被拉倒，但主裁判未判罚点球，王帆后点倒三角回做，耶拉维奇推射远角，球击中远端立柱弹入球门，贵州智诚2-1领先
88'后场鲁能泰山队得球，分到左路                   87'第87分钟，贵州智诚反超比分，范云龙弧线球传中，奥伦加被拉倒，但主裁判未判罚点球，王帆后点倒三角回做，耶拉维奇推射远角，球击中远端立柱弹入球门，贵州智诚2-1领先
89'蒿蒿俊闵左路挑传球，刘彬彬越位                   87'第87分钟，贵州智诚反超比分，范云龙弧线球传中，奥伦加被拉倒，但主裁判未判罚点球，王帆后点倒三角回做，耶拉维奇推射远角，球击中远端立柱弹入球门，贵州智诚2-1领先
89'鲁能泰山队长传球到前场，王卓出击没收                   87'第87分钟，贵州智诚反超比分，范云龙弧线球传中，奥伦加被拉倒，但主裁判未判罚点球，王帆后点倒三角回做，耶拉维奇推射远角，球击中远端立柱弹入球门，贵州智诚2-1领先
89'下半场要补时5分钟                   87'第87分钟，贵州智诚反超比分，范云龙弧线球传中，奥伦加被拉倒，但主裁判未判罚点球，王帆后点倒三角回做，耶拉维奇推射远角，球击中远端立柱弹入球门，贵州智诚2-1领先
90'看鲁能泰山队能否再进一球！                   87'第87分钟，贵州智诚反超比分，范云龙弧线球传中，奥伦加被拉倒，但主裁判未判罚点球，王帆后点倒三角回做，耶拉维奇推射远角，球击中远端立柱弹入球门，贵州智诚2-1领先
48'界外球发出来，贵州恒丰队把球转移到右路进攻                   48'全场比赛补时第3分钟，山东鲁能右边路弧线球传中，蒿俊闵后插上头球攻门被门将扑出，塔尔德利跟进补射空门得分，山东鲁能2-2扳平比分
48'切里左路斜传球到禁区内，戴琳大脚破坏                   48'全场比赛补时第3分钟，山东鲁能右边路弧线球传中，蒿俊闵后插上头球攻门被门将扑出，塔尔德利跟进补射空门得分，山东鲁能2-2扳平比分
49'戴琳手球犯规！蒿俊闵对判罚不满意！                   48'全场比赛补时第3分钟，山东鲁能右边路弧线球传中，蒿俊闵后插上头球攻门被门将扑出，塔尔德利跟进补射空门得分，山东鲁能2-2扳平比分
49'刚才是塔尔德利的手球犯规！                   48'全场比赛补时第3分钟，山东鲁能右边路弧线球传中，蒿俊闵后插上头球攻门被门将扑出，塔尔德利跟进补射空门得分，山东鲁能2-2扳平比分
49'任意球发到禁区内，韩鹏飞头球顶门！，高出                   48'全场比赛补时第3分钟，山东鲁能右边路弧线球传中，蒿俊闵后插上头球攻门被门将扑出，塔尔德利跟进补射空门得分，山东鲁能2-2扳平比分
50'贵州恒丰队快速进攻，逼得角球机会                   48'全场比赛补时第3分钟，山东鲁能右边路弧线球传中，蒿俊闵后插上头球攻门被门将扑出，塔尔德利跟进补射空门得分，山东鲁能2-2扳平比分
50'战术角球发出来，切里右路传球，被吴兴涵挡出！                   48'全场比赛补时第3分钟，山东鲁能右边路弧线球传中，蒿俊闵后插上头球攻门被门将扑出，塔尔德利跟进补射空门得分，山东鲁能2-2扳平比分
50'角球发到禁区内，没有威胁！被破坏出来                   48'全场比赛补时第3分钟，山东鲁能右边路弧线球传中，蒿俊闵后插上头球攻门被门将扑出，塔尔德利跟进补射空门得分，山东鲁能2-2扳平比分
50'切里前场右路得球，横带突然打门，打在边网上                   48'全场比赛补时第3分钟，山东鲁能右边路弧线球传中，蒿俊闵后插上头球攻门被门将扑出，塔尔德利跟进补射空门得分，山东鲁能2-2扳平比分
51'王大雷大脚开球过中场，对方开回来                   48'全场比赛补时第3分钟，山东鲁能右边路弧线球传中，蒿俊闵后插上头球攻门被门将扑出，塔尔德利跟进补射空门得分，山东鲁能2-2扳平比分
51'切里右路突破，郑铮将球破坏                   48'全场比赛补时第3分钟，山东鲁能右边路弧线球传中，蒿俊闵后插上头球攻门被门将扑出，塔尔德利跟进补射空门得分，山东鲁能2-2扳平比分
