1'上半场比赛开始！                   1'第1分钟，拜仁试图从边路打开缺口，贝尔纳特表现活跃
17'波尔图中场转移失误了                   14'拜仁第14分钟取得领先
22'格策左路拿球到了禁区里                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
22'传球给到了另一侧                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
22'拉姆右路传球被对方后卫挡出底线                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
22'拜仁角球打了一个战术！！                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
22'2-0！！                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
23'博阿滕！！                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
24'蒂亚戈角球出来，队友右路起球送禁区内，队友头球摆渡下来，博阿滕头球接力将球顶了进去                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
24'贝尔纳特左路突破被夸雷斯马放倒                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
25'贝尔纳特做了一个闭嘴的动作                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
25'夸雷斯马也是推了一把                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
25'场上险些起冲突                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
25'拜仁角球送后点                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
25'这球传大了                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
25'按照目前的比分，拜仁将淘汰波尔图                   22'第22分钟，拜仁右侧开出战术角球，阿隆索传中，巴德施图贝尔头球摆渡，博阿滕右侧距门9米处顶进右下角，2比0，拜仁追平总比分且客场进球占优
27'3-0！！                   27'第27分钟，拉姆右路传中，穆勒凌空垫到后点，莱万在门前8米处甩头顶进右下角，3比0
27'莱万多夫斯基！！                   27'第27分钟，拉姆右路传中，穆勒凌空垫到后点，莱万在门前8米处甩头顶进右下角，3比0
27'波尔图这是崩盘了吗？                   27'第27分钟，拉姆右路传中，穆勒凌空垫到后点，莱万在门前8米处甩头顶进右下角，3比0
28'拉姆右路底线传球到禁区内，穆勒点了一下给到莱万多夫斯基，莱万多夫斯基跟进将球打了进去！                   27'第27分钟，拉姆右路传中，穆勒凌空垫到后点，莱万在门前8米处甩头顶进右下角，3比0
28'这球打得太轻松了                   27'第27分钟，拉姆右路传中，穆勒凌空垫到后点，莱万在门前8米处甩头顶进右下角，3比0
29'莱万多夫斯基前场拿球被顶了一下                   27'第27分钟，拉姆右路传中，穆勒凌空垫到后点，莱万在门前8米处甩头顶进右下角，3比0
29'拜仁后场拿球回敲给到了门将                   27'第27分钟，拉姆右路传中，穆勒凌空垫到后点，莱万在门前8米处甩头顶进右下角，3比0
30'波尔图这边能上演绝地反击吗？1能、2不能[qiangda]                   27'第27分钟，拉姆右路传中，穆勒凌空垫到后点，莱万在门前8米处甩头顶进右下角，3比0
30'波尔图这边赢得一个角球机会                   27'第27分钟，拉姆右路传中，穆勒凌空垫到后点，莱万在门前8米处甩头顶进右下角，3比0
30'角球送中路被巴德施图贝尔头球解围                   27'第27分钟，拉姆右路传中，穆勒凌空垫到后点，莱万在门前8米处甩头顶进右下角，3比0
36'穆勒！！                   36'第36分钟，蒂亚戈左侧低传，穆勒在门前22米处抽射碰因迪脚后跟变线，骗过门将法比亚诺入右下角，4比0
37'拜仁前场拿球给到穆勒，穆勒禁区外围打远射，球打在穆勒腿上变线入网！                   36'第36分钟，蒂亚戈左侧低传，穆勒在门前22米处抽射碰因迪脚后跟变线，骗过门将法比亚诺入右下角，4比0
37'法比亚诺做出了扑救，但是没有碰到                   36'第36分钟，蒂亚戈左侧低传，穆勒在门前22米处抽射碰因迪脚后跟变线，骗过门将法比亚诺入右下角，4比0
37'杰克逊-马丁内斯这边倒地                   36'第36分钟，蒂亚戈左侧低传，穆勒在门前22米处抽射碰因迪脚后跟变线，骗过门将法比亚诺入右下角，4比0
38'波尔图现在必须要放手一搏了                   36'第36分钟，蒂亚戈左侧低传，穆勒在门前22米处抽射碰因迪脚后跟变线，骗过门将法比亚诺入右下角，4比0
38'杰克逊-马丁内斯左路突破摔倒了                   36'第36分钟，蒂亚戈左侧低传，穆勒在门前22米处抽射碰因迪脚后跟变线，骗过门将法比亚诺入右下角，4比0
38'裁判认定假摔！！                   36'第36分钟，蒂亚戈左侧低传，穆勒在门前22米处抽射碰因迪脚后跟变线，骗过门将法比亚诺入右下角，4比0
38'杰克逊-马丁内斯得到一张黄牌！                   36'第36分钟，蒂亚戈左侧低传，穆勒在门前22米处抽射碰因迪脚后跟变线，骗过门将法比亚诺入右下角，4比0
39'拜仁前场断抢下来                   36'第36分钟，蒂亚戈左侧低传，穆勒在门前22米处抽射碰因迪脚后跟变线，骗过门将法比亚诺入右下角，4比0
39'莱万多夫斯基禁区内拿球给到左路                   36'第36分钟，蒂亚戈左侧低传，穆勒在门前22米处抽射碰因迪脚后跟变线，骗过门将法比亚诺入右下角，4比0
39'波尔图滑铲将球先破坏出了底线                   36'第36分钟，蒂亚戈左侧低传，穆勒在门前22米处抽射碰因迪脚后跟变线，骗过门将法比亚诺入右下角，4比0
39'拜仁角球机会                   36'第36分钟，蒂亚戈左侧低传，穆勒在门前22米处抽射碰因迪脚后跟变线，骗过门将法比亚诺入右下角，4比0
49'波尔图后场控球，给到边路                   49'4分钟后，穆勒禁区右侧扛住后卫底线回敲，莱万在门前9米处低射穿过麦孔裆下入左下角，5比0
50'拜仁中场将球控下来                   49'4分钟后，穆勒禁区右侧扛住后卫底线回敲，莱万在门前9米处低射穿过麦孔裆下入左下角，5比0
50'边路的转移被波尔图抢断了                   49'4分钟后，穆勒禁区右侧扛住后卫底线回敲，莱万在门前9米处低射穿过麦孔裆下入左下角，5比0
51'格策中场拿球被里卡多放倒                   49'4分钟后，穆勒禁区右侧扛住后卫底线回敲，莱万在门前9米处低射穿过麦孔裆下入左下角，5比0
51'波尔图后场断球下来直接反击                   49'4分钟后，穆勒禁区右侧扛住后卫底线回敲，莱万在门前9米处低射穿过麦孔裆下入左下角，5比0
52'右路挑传打到禁区内                   49'4分钟后，穆勒禁区右侧扛住后卫底线回敲，莱万在门前9米处低射穿过麦孔裆下入左下角，5比0
52'队友这边点了一下出了底线                   49'4分钟后，穆勒禁区右侧扛住后卫底线回敲，莱万在门前9米处低射穿过麦孔裆下入左下角，5比0
74'杰克逊-马丁内斯！                   74'波尔图第74分钟追回1球，埃雷拉禁区右侧传中，有越位嫌疑的马丁内斯在门前3米处顶进左下角，1比5，这是拜仁本赛季欧冠主场首粒失球，终结433分钟欧冠主场不失球
74'波尔图右路直塞到底线，下底传后点，杰克逊-马丁内斯头球攻门将球顶进！                   74'波尔图第74分钟追回1球，埃雷拉禁区右侧传中，有越位嫌疑的马丁内斯在门前3米处顶进左下角，1比5，这是拜仁本赛季欧冠主场首粒失球，终结433分钟欧冠主场不失球
74'从慢动作来看，杰克逊-马丁内斯这球应该是先越位了                   74'波尔图第74分钟追回1球，埃雷拉禁区右侧传中，有越位嫌疑的马丁内斯在门前3米处顶进左下角，1比5，这是拜仁本赛季欧冠主场首粒失球，终结433分钟欧冠主场不失球
76'巴德施图贝尔中场拦截的时候犯规                   74'波尔图第74分钟追回1球，埃雷拉禁区右侧传中，有越位嫌疑的马丁内斯在门前3米处顶进左下角，1比5，这是拜仁本赛季欧冠主场首粒失球，终结433分钟欧冠主场不失球
76'波尔图现在只要在打进2球就可以晋级                   74'波尔图第74分钟追回1球，埃雷拉禁区右侧传中，有越位嫌疑的马丁内斯在门前3米处顶进左下角，1比5，这是拜仁本赛季欧冠主场首粒失球，终结433分钟欧冠主场不失球
76'下半场已经打了30分钟                   74'波尔图第74分钟追回1球，埃雷拉禁区右侧传中，有越位嫌疑的马丁内斯在门前3米处顶进左下角，1比5，这是拜仁本赛季欧冠主场首粒失球，终结433分钟欧冠主场不失球
77'杰克逊-马丁内斯禁区前沿停球后把博阿滕撞飞                   74'波尔图第74分钟追回1球，埃雷拉禁区右侧传中，有越位嫌疑的马丁内斯在门前3米处顶进左下角，1比5，这是拜仁本赛季欧冠主场首粒失球，终结433分钟欧冠主场不失球
77'横向的摆脱后低射远角                   74'波尔图第74分钟追回1球，埃雷拉禁区右侧传中，有越位嫌疑的马丁内斯在门前3米处顶进左下角，1比5，这是拜仁本赛季欧冠主场首粒失球，终结433分钟欧冠主场不失球
77'这球是蹭着立柱出了底线                   74'波尔图第74分钟追回1球，埃雷拉禁区右侧传中，有越位嫌疑的马丁内斯在门前3米处顶进左下角，1比5，这是拜仁本赛季欧冠主场首粒失球，终结433分钟欧冠主场不失球
47'蒂亚戈中场抢球的时候犯规                   47'2分钟后，格策左侧低传，莱万禁区前沿低射也稍偏出左门柱
47'波尔图前场转移给到右路底线                   47'2分钟后，格策左侧低传，莱万禁区前沿低射也稍偏出左门柱
48'结果边路的套边没有接到                   47'2分钟后，格策左侧低传，莱万禁区前沿低射也稍偏出左门柱
47'波尔图后场长传找杰克逊-马丁内斯                   47'2分钟后，格策左侧低传，莱万禁区前沿低射也稍偏出左门柱
47'杰克逊-马丁内斯这球没有接到                   47'2分钟后，格策左侧低传，莱万禁区前沿低射也稍偏出左门柱
48'格策左路拿球碰出了边线                   47'2分钟后，格策左侧低传，莱万禁区前沿低射也稍偏出左门柱
49'波尔图后场控球，给到边路                   47'2分钟后，格策左侧低传，莱万禁区前沿低射也稍偏出左门柱
50'拜仁中场将球控下来                   47'2分钟后，格策左侧低传，莱万禁区前沿低射也稍偏出左门柱
50'边路的转移被波尔图抢断了                   47'2分钟后，格策左侧低传，莱万禁区前沿低射也稍偏出左门柱
88'马尔卡诺领到第二张黄牌，被红牌罚下！                   88'第88分钟，马尔卡诺铲翻蒂亚戈，累计2张黄牌被罚下，阿隆索在门前21米处主罚任意球越过人墙入左下角，6比1
88'阿隆索再次来到球前                   88'第88分钟，马尔卡诺铲翻蒂亚戈，累计2张黄牌被罚下，阿隆索在门前21米处主罚任意球越过人墙入左下角，6比1
88'6-1！！                   88'第88分钟，马尔卡诺铲翻蒂亚戈，累计2张黄牌被罚下，阿隆索在门前21米处主罚任意球越过人墙入左下角，6比1
89'阿隆索任意球直接破门得分，绕过人墙，法比亚诺飞身扑救也是没有碰到！                   88'第88分钟，马尔卡诺铲翻蒂亚戈，累计2张黄牌被罚下，阿隆索在门前21米处主罚任意球越过人墙入左下角，6比1
90'拜仁换人，蒂亚戈下，丹特上！                   88'第88分钟，马尔卡诺铲翻蒂亚戈，累计2张黄牌被罚下，阿隆索在门前21米处主罚任意球越过人墙入左下角，6比1
91'波尔图这边的主教练也是被请到看台上了。。。                   88'第88分钟，马尔卡诺铲翻蒂亚戈，累计2张黄牌被罚下，阿隆索在门前21米处主罚任意球越过人墙入左下角，6比1
91'下半场补时3分钟！                   88'第88分钟，马尔卡诺铲翻蒂亚戈，累计2张黄牌被罚下，阿隆索在门前21米处主罚任意球越过人墙入左下角，6比1
91'拜仁右路进攻又来                   88'第88分钟，马尔卡诺铲翻蒂亚戈，累计2张黄牌被罚下，阿隆索在门前21米处主罚任意球越过人墙入左下角，6比1
46'拉姆禁区前沿得球，直接打了                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
46'法比亚诺这边还是很稳的将球拿到                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
47'蒂亚戈中场抢球的时候犯规                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
47'波尔图前场转移给到右路底线                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
48'结果边路的套边没有接到                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
46'下半场比赛开始！                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
46'下半场比赛由拜仁开球                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
46'格策这边后点有机会                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
46'禁区内抽射远角，稍稍打偏                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
47'波尔图后场长传找杰克逊-马丁内斯                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
47'杰克逊-马丁内斯这球没有接到                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
48'格策左路拿球碰出了边线                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
49'波尔图后场控球，给到边路                   46'补时第1分钟，魏泽突入禁区右侧低传，莱万推射被法比亚诺封出，罗德补射又被封堵
