5'于汉超与高拉特的配合没有打成                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
47'郑凯木吃到黄牌                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
47'恒大在对方禁区左边缘的任意球机会                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
48'罗比尼奥的地滚球传球，太慢了，帕帕多普洛斯大脚解围                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
48'上半场比赛结束！                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
46'下半场比赛开始                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
46'埃尔克森已经上场                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
46'禁区右侧小角度吊门击中了横梁，埃尔克森的挑射                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
46'下半场刚开始，恒大连换两人                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
46'黄博文替下于汉超，埃尔克森替下保利尼奥                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
47'高拉特右路挑传，埃尔克森与他配合                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
47'埃尔克森一扣左脚打门被对方挡出                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
47'外围再打得到角球                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
48'郑龙的角球被王寿挺顶到第一点                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
48'郑智中场扣球过人被郑凯木拦截，郑智拉人犯规                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
48'帕帕多普洛斯长传前场，邹正争下来                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
48'罗比尼奥左路逼上梁山球交给高拉特                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
49'高拉特内切被对方拦截，埃尔克森凶狠发反抢过来                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
49'郑智中路直传，帕帕多普洛斯拦截很成功                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
49'莫雷诺在护球，郑智防守犯规                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
54'李建滨防守犯规                   53'第53分钟卡希尔右路防守犯规，郑龙任意球开入禁区，刘健头球顶高
54'恒大前场左路的任意球机会                   53'第53分钟卡希尔右路防守犯规，郑龙任意球开入禁区，刘健头球顶高
54'郑龙送到门前，刘健的头球攻门高出横梁                   53'第53分钟卡希尔右路防守犯规，郑龙任意球开入禁区，刘健头球顶高
55'莫雷诺前场断球交给登巴巴                   53'第53分钟卡希尔右路防守犯规，郑龙任意球开入禁区，刘健头球顶高
55'熊飞出来接应传中，冯潇霆将球得到                   53'第53分钟卡希尔右路防守犯规，郑龙任意球开入禁区，刘健头球顶高
55'莫雷诺倒地不起                   53'第53分钟卡希尔右路防守犯规，郑龙任意球开入禁区，刘健头球顶高
56'莫雷诺在出球被被邹正踩到了脚面                   53'第53分钟卡希尔右路防守犯规，郑龙任意球开入禁区，刘健头球顶高
56'德塞利也出现在看台上                   53'第53分钟卡希尔右路防守犯规，郑龙任意球开入禁区，刘健头球顶高
56'刘健右路一扣左脚传中，耿晓峰奋力将球托出底线                   53'第53分钟卡希尔右路防守犯规，郑龙任意球开入禁区，刘健头球顶高
55'莫雷诺前场断球交给登巴巴                   55'第55分钟恒大右路起球，耿晓峰抢在埃尔克森之前飞身把球打出界外
55'熊飞出来接应传中，冯潇霆将球得到                   55'第55分钟恒大右路起球，耿晓峰抢在埃尔克森之前飞身把球打出界外
55'莫雷诺倒地不起                   55'第55分钟恒大右路起球，耿晓峰抢在埃尔克森之前飞身把球打出界外
56'莫雷诺在出球被被邹正踩到了脚面                   55'第55分钟恒大右路起球，耿晓峰抢在埃尔克森之前飞身把球打出界外
56'德塞利也出现在看台上                   55'第55分钟恒大右路起球，耿晓峰抢在埃尔克森之前飞身把球打出界外
56'刘健右路一扣左脚传中，耿晓峰奋力将球托出底线                   55'第55分钟恒大右路起球，耿晓峰抢在埃尔克森之前飞身把球打出界外
57'埃尔克森扳平了比分！！！                   55'第55分钟恒大右路起球，耿晓峰抢在埃尔克森之前飞身把球打出界外
58'罗比尼奥角球送到前点，刘健前点后蹭，埃尔克森后点近距离打门球进                   55'第55分钟恒大右路起球，耿晓峰抢在埃尔克森之前飞身把球打出界外
62'高拉特中路强突过了一人过不了第二人，帕帕多普洛斯的解围                   62'领先后的恒大继续进攻，第62分钟刘健右路弧线球射门被耿晓峰扑住
62'曹赟定的突破被郑智拦截                   62'领先后的恒大继续进攻，第62分钟刘健右路弧线球射门被耿晓峰扑住
62'黄博文中路的挑传，给大了                   62'领先后的恒大继续进攻，第62分钟刘健右路弧线球射门被耿晓峰扑住
63'高拉特右路来了，刘健插上                   62'领先后的恒大继续进攻，第62分钟刘健右路弧线球射门被耿晓峰扑住
63'刘健调整到左脚打门，耿晓峰将球抱住                   62'领先后的恒大继续进攻，第62分钟刘健右路弧线球射门被耿晓峰扑住
63'耿晓峰今天已经多次开长球直接踢出边线                   62'领先后的恒大继续进攻，第62分钟刘健右路弧线球射门被耿晓峰扑住
64'罗比尼奥左路面对卡希尔，调整后传门前，高拉特插上垫射可惜打得力量太小了，耿晓峰将球抱住                   62'领先后的恒大继续进攻，第62分钟刘健右路弧线球射门被耿晓峰扑住
64'埃尔克森右路接应刘健的长传                   62'领先后的恒大继续进攻，第62分钟刘健右路弧线球射门被耿晓峰扑住
65'刘健右路传中，太高了，熊飞顶出来                   62'领先后的恒大继续进攻，第62分钟刘健右路弧线球射门被耿晓峰扑住
65'刘健右路传中，太高了，熊飞顶出来                   65'第65分钟莫雷诺突围不成把球往外传，郑凯木怒射稍偏
66'郑凯木中路的传球，登巴巴停球回传大了一点                   65'第65分钟莫雷诺突围不成把球往外传，郑凯木怒射稍偏
66'莫雷诺禁区内一对三，还是能回做，郑凯木正脚背硬射，球差了一个球的位置偏出右立柱                   65'第65分钟莫雷诺突围不成把球往外传，郑凯木怒射稍偏
67'申花换人，11号吕征换下了28号曹赟定                   65'第65分钟莫雷诺突围不成把球往外传，郑凯木怒射稍偏
67'郑智挑传到禁区内，罗比尼奥停下来再调整回做                   65'第65分钟莫雷诺突围不成把球往外传，郑凯木怒射稍偏
67'埃尔克森迎球打门打了冲天炮                   65'第65分钟莫雷诺突围不成把球往外传，郑凯木怒射稍偏
68'卡希尔左路想穿当过刘健，没有突过去                   65'第65分钟莫雷诺突围不成把球往外传，郑凯木怒射稍偏
68'柏嘉骏左路斜吊到右肋部，球先出底线                   65'第65分钟莫雷诺突围不成把球往外传，郑凯木怒射稍偏
66'郑凯木中路的传球，登巴巴停球回传大了一点                   66'第66分钟罗比尼奥再次在左路发难，不过他的回传被埃尔克森一脚踢高
66'莫雷诺禁区内一对三，还是能回做，郑凯木正脚背硬射，球差了一个球的位置偏出右立柱                   66'第66分钟罗比尼奥再次在左路发难，不过他的回传被埃尔克森一脚踢高
67'申花换人，11号吕征换下了28号曹赟定                   66'第66分钟罗比尼奥再次在左路发难，不过他的回传被埃尔克森一脚踢高
67'郑智挑传到禁区内，罗比尼奥停下来再调整回做                   66'第66分钟罗比尼奥再次在左路发难，不过他的回传被埃尔克森一脚踢高
67'埃尔克森迎球打门打了冲天炮                   66'第66分钟罗比尼奥再次在左路发难，不过他的回传被埃尔克森一脚踢高
68'卡希尔左路想穿当过刘健，没有突过去                   66'第66分钟罗比尼奥再次在左路发难，不过他的回传被埃尔克森一脚踢高
68'柏嘉骏左路斜吊到右肋部，球先出底线                   66'第66分钟罗比尼奥再次在左路发难，不过他的回传被埃尔克森一脚踢高
69'黄博文长传左路，熊飞顶出边线                   66'第66分钟罗比尼奥再次在左路发难，不过他的回传被埃尔克森一脚踢高
69'罗比尼奥挑传没力量                   66'第66分钟罗比尼奥再次在左路发难，不过他的回传被埃尔克森一脚踢高
69'还是罗比尼奥直传，郑龙得球，中路没人啊                   66'第66分钟罗比尼奥再次在左路发难，不过他的回传被埃尔克森一脚踢高
69'帕帕多普洛斯防守相当出色将球生生断下                   66'第66分钟罗比尼奥再次在左路发难，不过他的回传被埃尔克森一脚踢高
69'郑龙绊倒了帕帕多普洛斯                   66'第66分钟罗比尼奥再次在左路发难，不过他的回传被埃尔克森一脚踢高
73'高拉特左路传中，熊飞解围踢到了李建滨身上反弹到门前                   73'第73分钟申花用张璐换下莫雷诺，恒大用李学鹏换下邹正
73'冯潇霆蝎子摆尾挑射击中了门柱                   73'第73分钟申花用张璐换下莫雷诺，恒大用李学鹏换下邹正
74'莫雷诺右路的推进，直传，吕征准备冲起来，冯潇霆位置卡得不错                   73'第73分钟申花用张璐换下莫雷诺，恒大用李学鹏换下邹正
74'申花换人，8号张璐换下了10号莫雷诺                   73'第73分钟申花用张璐换下莫雷诺，恒大用李学鹏换下邹正
75'恒大也换人，35号李学鹏换下了25号邹正                   73'第73分钟申花用张璐换下莫雷诺，恒大用李学鹏换下邹正
75'郑智挑传过不了卡希尔                   73'第73分钟申花用张璐换下莫雷诺，恒大用李学鹏换下邹正
76'卡希尔过顶长传到前场左路，曾诚冲出禁区将球踢出边线                   73'第73分钟申花用张璐换下莫雷诺，恒大用李学鹏换下邹正
79'熊飞右路的挑传，李建滨将球踢出边线                   79'第79分钟申花用高迪换下卡希尔
79'申花换人，18号高迪换下了17号卡希尔                   79'第79分钟申花用高迪换下卡希尔
80'刘健长传右路，郑智到了禁区内，帕帕多普洛斯一夫当关将球踢出底线                   79'第79分钟申花用高迪换下卡希尔
80'更正，是郑智自己停球出底线                   79'第79分钟申花用高迪换下卡希尔
81'罗比尼奥中场控球分右路刘健                   79'第79分钟申花用高迪换下卡希尔
81'郑龙接应直传交给高拉特                   79'第79分钟申花用高迪换下卡希尔
81'高拉特圈过了李建滨但帕帕多普洛斯补防还是及时                   79'第79分钟申花用高迪换下卡希尔
81'郑龙右路护球，迂回到左路的李学鹏                   79'第79分钟申花用高迪换下卡希尔
82'埃尔克森过来接应，吕征防守犯规                   79'第79分钟申花用高迪换下卡希尔
82'高拉特中路的突进，帕帕多普洛斯将球开出底线                   79'第79分钟申花用高迪换下卡希尔
82'恒大右路的角球机会                   79'第79分钟申花用高迪换下卡希尔
82'郑龙前场争高球对王寿挺犯规                   79'第79分钟申花用高迪换下卡希尔
85'吕征右路下底传中，高迪头球攻门偏了一点                   85'第85分钟李学鹏右路犯规，郑智对裁判判罚不满吃到黄牌
86'耿晓峰长传上来，冯潇霆顶到第一点                   85'第85分钟李学鹏右路犯规，郑智对裁判判罚不满吃到黄牌
86'郑凯木分给右路的吕征                   85'第85分钟李学鹏右路犯规，郑智对裁判判罚不满吃到黄牌
86'王寿挺斜吊禁区，冯潇霆顶到禁区                   85'第85分钟李学鹏右路犯规，郑智对裁判判罚不满吃到黄牌
86'郑龙拿球传给高拉特                   85'第85分钟李学鹏右路犯规，郑智对裁判判罚不满吃到黄牌
87'高拉特脚后跟的挑球没有踢正部位                   85'第85分钟李学鹏右路犯规，郑智对裁判判罚不满吃到黄牌
87'柏嘉骏斜吊右侧，李学鹏与吕征同时出脚，裁判给的是李学鹏犯规                   85'第85分钟李学鹏右路犯规，郑智对裁判判罚不满吃到黄牌
88'帕帕多普洛斯扳平了比分                   85'第85分钟李学鹏右路犯规，郑智对裁判判罚不满吃到黄牌
88'吕征任意球送后点，帕帕多普洛斯高高跃起头球顶弹地球击中左立柱内侧入网                   85'第85分钟李学鹏右路犯规，郑智对裁判判罚不满吃到黄牌
48'罗比尼奥的地滚球传球，太慢了，帕帕多普洛斯大脚解围                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
48'上半场比赛结束！                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
48'郑龙的角球被王寿挺顶到第一点                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
48'郑智中场扣球过人被郑凯木拦截，郑智拉人犯规                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
48'帕帕多普洛斯长传前场，邹正争下来                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
48'罗比尼奥左路逼上梁山球交给高拉特                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
49'高拉特内切被对方拦截，埃尔克森凶狠发反抢过来                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
49'郑智中路直传，帕帕多普洛斯拦截很成功                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
49'莫雷诺在护球，郑智防守犯规                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
50'郑龙的带球                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
50'冯潇霆斜塞过不了郑凯木                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
51'邹正左路直传，埃尔克森回敲，罗比尼奥跟进有点慢                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
51'登巴巴回后场拿球，黄博文马上犯规                   48'比赛补时3分钟，不甘平局的恒大努力进攻，第90分钟恒大左路传中，埃尔克森头球被耿晓峰接住
