9'罗本内切交给莱万多夫斯基回给罗德                   9'第9分钟，罗本左路挑传，罗德前插距门8米处左脚半凌空推射被哈特扑出
52'米尔纳横向带一步马上旋远门柱，可惜差了两个球的位置                   50'下半时开始5分钟，纳斯里直传禁区右侧，纳瓦斯在门前9米处小角度低射被诺伊尔封出底线
53'回复：liusdhz 下半场曼城应该狂攻了，不然真的要回家了（拼劲还是不错）                   50'下半时开始5分钟，纳斯里直传禁区右侧，纳瓦斯在门前9米处小角度低射被诺伊尔封出底线
46'拉菲尼亚右路斜传禁区，莱万多夫斯基点球点甩头顶了一记漂亮的抛物线，球越过了乔哈特落入球网                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
46'上半场补时1分钟                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
46'曼城赢得一记前场右路的角球机会                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
47'战术角球传得太慢了，主裁判鸣哨结束上半场                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
47'上半场比赛结束！                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
46'下半场比赛开始！                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
46'拜仁上来就有机会，罗本右路面前一片开阔地                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
46'罗本没有观察中路队友跑位，球趟大了                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
46'费尔南迪奥将球分到右路                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
47'阿隆索中场断球                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
47'拜仁以多打少                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
47'阿隆索分边给里贝里，里贝里倒三角回传                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
47'阿隆索跟进一脚推射，球没有压住高出栋梁                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
49'曼城右路有机会，纳瓦斯的传中被博阿滕拦截                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
49'罗本中路拿好球送直塞，孔帕尼将位置卡住                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
49'拜仁在场上是看不出来少打一人                   46'补时第1分钟，萨巴莱塔后场长传，约维蒂奇头球摆渡，博阿滕停球失误，阿圭罗断球突入禁区点球点推进右下角，3比2
