1'上半场开始了，纽卡率先开球                   1'切尔西第1分钟占据主动，马蒂奇任意球混战中禁区边缘外射门稍稍偏出
12'谢尔维弧顶外拿球，突施冷箭，打在防守队员身上，角球                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
12'角球开出，库尔图瓦出击没收                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
12'手抛球迅速给威廉                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
12'威廉组织反击，可惜传球不给力                   9'第9分钟，阿伦斯横传扬马特被佩德罗拦截，前巴萨边锋禁区边缘外单刀射出反弹球入左下角，2-0
17'蒂奥特在给西索科脚下，西索科中路内切，在分球，丢掉了                   17'切尔西第17分钟再度破门，法布雷加斯反击中直传，迭戈-科斯塔速度赶超科洛奇尼后拿球斜传，威廉小禁区边缘第一时间推射破门，3-0
17'切尔西再入一球，打疯了！！！                   17'切尔西第17分钟再度破门，法布雷加斯反击中直传，迭戈-科斯塔速度赶超科洛奇尼后拿球斜传，威廉小禁区边缘第一时间推射破门，3-0
17'此时此刻值得来杯嘉士伯                   17'切尔西第17分钟再度破门，法布雷加斯反击中直传，迭戈-科斯塔速度赶超科洛奇尼后拿球斜传，威廉小禁区边缘第一时间推射破门，3-0
18'切尔西闪击，小法送过顶，科斯塔速度甩开科洛奇尼，禁区线边缘塞一记斜线，禁区内威廉插上，无人盯防，一记推射轻松破门                   17'切尔西第17分钟再度破门，法布雷加斯反击中直传，迭戈-科斯塔速度赶超科洛奇尼后拿球斜传，威廉小禁区边缘第一时间推射破门，3-0
18'不到20分钟，科斯塔1传1射了                   17'切尔西第17分钟再度破门，法布雷加斯反击中直传，迭戈-科斯塔速度赶超科洛奇尼后拿球斜传，威廉小禁区边缘第一时间推射破门，3-0
19'纽卡进攻未果                   17'切尔西第17分钟再度破门，法布雷加斯反击中直传，迭戈-科斯塔速度赶超科洛奇尼后拿球斜传，威廉小禁区边缘第一时间推射破门，3-0
19'佩德罗后场把球拼下，给到左路科斯塔                   17'切尔西第17分钟再度破门，法布雷加斯反击中直传，迭戈-科斯塔速度赶超科洛奇尼后拿球斜传，威廉小禁区边缘第一时间推射破门，3-0
19'科斯塔反击要起，泰勒一把撞翻科斯塔                   17'切尔西第17分钟再度破门，法布雷加斯反击中直传，迭戈-科斯塔速度赶超科洛奇尼后拿球斜传，威廉小禁区边缘第一时间推射破门，3-0
20'场边纽卡的球迷一脸茫然啊，这球丢的太快了点                   17'切尔西第17分钟再度破门，法布雷加斯反击中直传，迭戈-科斯塔速度赶超科洛奇尼后拿球斜传，威廉小禁区边缘第一时间推射破门，3-0
20'切尔西反击速度非常的快，开场进入状态也很快，纽卡根本没做好准备                   17'切尔西第17分钟再度破门，法布雷加斯反击中直传，迭戈-科斯塔速度赶超科洛奇尼后拿球斜传，威廉小禁区边缘第一时间推射破门，3-0
20'佩德罗左侧拿球，直塞给后插上的威廉                   17'切尔西第17分钟再度破门，法布雷加斯反击中直传，迭戈-科斯塔速度赶超科洛奇尼后拿球斜传，威廉小禁区边缘第一时间推射破门，3-0
37'马蒂奇左路给到阿斯皮利奎塔                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
37'阿斯皮利奎塔横敲弧顶，本来没有什么机会，但谢尔维失误了                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
37'佩德罗和科斯塔积极拼抢，又觅得良机                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
38'佩德罗杀入禁区，面对出击的埃利奥特，一记推射，踢的太软太正，被挡出                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
38'特里受伤退下了，巴巴-拉赫曼替补登场                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
39'特里还是刚才和米神的拼抢中有受伤，廉颇老矣啊                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
39'近日也是传出切尔西将不和他续约的消息，但蓝军的球迷都是极力挽留                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
39'上半场接近尾声，纽卡被打的没有脾气啊                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
40'马蒂奇中场拿球，米神贴身把球抢下                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
40'但是裁判哨响，吹了米神犯规在先                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
40'米神喋喋不休啊，嘴里叨咕着                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
40'扬马特右路送出长传，巴巴紧跟西索科，把球顶出边线                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
40'巴巴刚刚上场，显得有些紧张                   37'第37分钟，谢尔维回传失误，迭戈-科斯塔传球，佩德罗禁区边缘并未回传给位置更好的迭戈-科斯塔，他的射门却缺乏角度被埃利奥特挡出
59'汤森德倚住后卫，米神跟上禁区内大力的施射，稍稍偏出                   59'第59分钟，法布雷加斯长传，史蒂文-泰勒冒顶，佩德罗14码处单刀推射入网，4-0
59'切尔西再入一球                   59'第59分钟，法布雷加斯长传，史蒂文-泰勒冒顶，佩德罗14码处单刀推射入网，4-0
59'又是泰勒的失误，冒顶了                   59'第59分钟，法布雷加斯长传，史蒂文-泰勒冒顶，佩德罗14码处单刀推射入网，4-0
59'此时此刻值得来杯嘉士伯                   59'第59分钟，法布雷加斯长传，史蒂文-泰勒冒顶，佩德罗14码处单刀推射入网，4-0
60'进球的是佩德罗，梅开二度                   59'第59分钟，法布雷加斯长传，史蒂文-泰勒冒顶，佩德罗14码处单刀推射入网，4-0
60'小法中后场的一记长传打身后                   59'第59分钟，法布雷加斯长传，史蒂文-泰勒冒顶，佩德罗14码处单刀推射入网，4-0
61'小法中后场的一记长传打身后，泰勒要住了身位，但居然冒顶，佩德罗在身后捡到大礼，单刀直入，低射攻破埃利奥特十指关                   59'第59分钟，法布雷加斯长传，史蒂文-泰勒冒顶，佩德罗14码处单刀推射入网，4-0
61'特劳雷替下科斯塔，科斯塔提前休息了                   59'第59分钟，法布雷加斯长传，史蒂文-泰勒冒顶，佩德罗14码处单刀推射入网，4-0
62'小法左路拿球，谢尔维有点情绪失控，一个扫堂腿，直接掀翻                   59'第59分钟，法布雷加斯长传，史蒂文-泰勒冒顶，佩德罗14码处单刀推射入网，4-0
62'谢尔维得到黄牌                   59'第59分钟，法布雷加斯长传，史蒂文-泰勒冒顶，佩德罗14码处单刀推射入网，4-0
62'马蒂奇给到小法，再往前找到佩德罗                   59'第59分钟，法布雷加斯长传，史蒂文-泰勒冒顶，佩德罗14码处单刀推射入网，4-0
62'佩德罗推进，科尔巴克推人犯规                   59'第59分钟，法布雷加斯长传，史蒂文-泰勒冒顶，佩德罗14码处单刀推射入网，4-0
83'切尔西又进球了                   83'第83分钟，阿斯皮利奎塔同阿扎尔踢墙配合后右路低传，特劳雷前点捅射近角入网，5-0
83'此时此刻值得来杯嘉士伯                   83'第83分钟，阿斯皮利奎塔同阿扎尔踢墙配合后右路低传，特劳雷前点捅射近角入网，5-0
83'这次进球的是小将特劳雷，助攻的是阿斯皮利奎塔                   83'第83分钟，阿斯皮利奎塔同阿扎尔踢墙配合后右路低传，特劳雷前点捅射近角入网，5-0
84'特劳雷回撤一下，分给阿扎尔，阿扎尔直塞到右边插上的阿斯皮利奎塔脚下，阿斯皮利奎塔精准的低球传入到小禁区，特劳雷包抄进来，铲射破网                   83'第83分钟，阿斯皮利奎塔同阿扎尔踢墙配合后右路低传，特劳雷前点捅射近角入网，5-0
85'麦克拉伦有点怒了，进攻一点希望看不到，后防还如此的渣子                   83'第83分钟，阿斯皮利奎塔同阿扎尔踢墙配合后右路低传，特劳雷前点捅射近角入网，5-0
85'西索科横拨给谢尔维，在转移右路扬马特                   83'第83分钟，阿斯皮利奎塔同阿扎尔踢墙配合后右路低传，特劳雷前点捅射近角入网，5-0
85'谢尔维今天是纽卡拿球最多的人，但他被切尔西限制的很不爽                   83'第83分钟，阿斯皮利奎塔同阿扎尔踢墙配合后右路低传，特劳雷前点捅射近角入网，5-0
86'汤森德右路沿边路进攻，巴巴把球碰出边线                   83'第83分钟，阿斯皮利奎塔同阿扎尔踢墙配合后右路低传，特劳雷前点捅射近角入网，5-0
86'奇克中路给到阿扎尔，特劳雷出来接应一下                   83'第83分钟，阿斯皮利奎塔同阿扎尔踢墙配合后右路低传，特劳雷前点捅射近角入网，5-0
86'奇克中路带球向前，被断下                   83'第83分钟，阿斯皮利奎塔同阿扎尔踢墙配合后右路低传，特劳雷前点捅射近角入网，5-0
86'马蒂奇后场保护住球权                   83'第83分钟，阿斯皮利奎塔同阿扎尔踢墙配合后右路低传，特劳雷前点捅射近角入网，5-0
90'进球的是汤森德，漂亮的大力远射                   90'纽卡第90分钟挽回颜面，科尔巴克传球，汤森德突破至禁区弧边缘劲射右下角入网，1-5
91'纽卡中前场的横传，汤森德看到突破线路，埋头往前冲，禁区弧顶外顺势的大力远射，踢进右下角                   90'纽卡第90分钟挽回颜面，科尔巴克传球，汤森德突破至禁区弧边缘劲射右下角入网，1-5
91'这个球体现了汤森德的特点，他早就应该换到右边来踢了                   90'纽卡第90分钟挽回颜面，科尔巴克传球，汤森德突破至禁区弧边缘劲射右下角入网，1-5
92'汤森德只有到了右路才是如鱼得水，镜头也是马上给到麦克拉伦                   90'纽卡第90分钟挽回颜面，科尔巴克传球，汤森德突破至禁区弧边缘劲射右下角入网，1-5
92'下半场补时3分钟                   90'纽卡第90分钟挽回颜面，科尔巴克传球，汤森德突破至禁区弧边缘劲射右下角入网，1-5
92'阿扎尔弧顶外给到特劳雷                   90'纽卡第90分钟挽回颜面，科尔巴克传球，汤森德突破至禁区弧边缘劲射右下角入网，1-5
92'在给出来，阿斯皮利奎塔没有着急传中                   90'纽卡第90分钟挽回颜面，科尔巴克传球，汤森德突破至禁区弧边缘劲射右下角入网，1-5
92'在给出来，小法往左路转移                   90'纽卡第90分钟挽回颜面，科尔巴克传球，汤森德突破至禁区弧边缘劲射右下角入网，1-5
93'马蒂奇底线传中，泰勒把球挡出底线                   90'纽卡第90分钟挽回颜面，科尔巴克传球，汤森德突破至禁区弧边缘劲射右下角入网，1-5
