1'上半场由马竞中圈开球                   1'开场不到1分钟，胡安弗兰传球，萨乌尔禁区右侧劲射被没收
33'多特蒙德两人夹击                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
33'桑乔将球破坏出边线                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
33'卡利尼奇交给萨乌尔                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
33'萨乌尔再分左侧                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
33'费利佩横传，萨乌尔中路跟进低射，球进了！                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
34'萨乌尔为马竞先开纪录！                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
34'这球萨乌尔打门应该是被阿坎吉挡入大门                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
34'看看是否算阿坎吉的乌龙球                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
35'官方给的字幕是萨乌尔进球                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
35'多特蒙德后场控球                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
35'托普拉克交给皮什切克                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
35'回传一下                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
35'托普拉克交给阿坎吉                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
36'交给托普拉克                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
36'转移给左侧的阿什拉夫                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
36'回传给德兰尼                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
36'在找人，直传                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
36'帕科分给桑乔                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
36'突破没有成功，科雷亚断球                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
36'托马斯过渡交给罗德里                   33'马竞第33分钟打破僵局，萨乌尔分球左路，菲利佩突入禁区左侧回传，萨乌尔12码处第一时间劲射入网
80'维特塞尔的送斜传，被解围                   80'马竞第80分钟扩大比分，托马斯传球，格列兹曼单刀强突10码处低射右下角入网，2-0
80'马丁斯直传                   80'马竞第80分钟扩大比分，托马斯传球，格列兹曼单刀强突10码处低射右下角入网，2-0
80'托马斯拉边左侧得球送禁区内                   80'马竞第80分钟扩大比分，托马斯传球，格列兹曼单刀强突10码处低射右下角入网，2-0
80'格列兹曼插上单刀了，左脚斜射球门右下角，球进了！                   80'马竞第80分钟扩大比分，托马斯传球，格列兹曼单刀强突10码处低射右下角入网，2-0
81'马竞2：0领先多特蒙德                   80'马竞第80分钟扩大比分，托马斯传球，格列兹曼单刀强突10码处低射右下角入网，2-0
82'多特蒙德外围倒脚很多                   80'马竞第80分钟扩大比分，托马斯传球，格列兹曼单刀强突10码处低射右下角入网，2-0
82'维特塞尔斜长传，拉尔森头球摆渡                   80'马竞第80分钟扩大比分，托马斯传球，格列兹曼单刀强突10码处低射右下角入网，2-0
82'埃尔南德斯抢先解围                   80'马竞第80分钟扩大比分，托马斯传球，格列兹曼单刀强突10码处低射右下角入网，2-0
