5'尤西雷右路接球，在对方逼抢下回传给大雷                   5'开场5分钟，山东鲁能掷出边线球，刘彬彬得球内切远射，球被防守队员挡出
30'佩莱已经跑出位置，传球的话可能更好一些                   30'第30分钟，山东鲁能发动反击，张弛边路拿球内切突破到禁区线附近时突然起脚远射，球稍稍偏出击中边网
31'鲁能泰山队右路横传禁区！                   30'第30分钟，山东鲁能发动反击，张弛边路拿球内切突破到禁区线附近时突然起脚远射，球稍稍偏出击中边网
32'低平球被挡出来                   30'第30分钟，山东鲁能发动反击，张弛边路拿球内切突破到禁区线附近时突然起脚远射，球稍稍偏出击中边网
32'一球领先的鲁能泰山队没有回收的意思！一直在加强进攻                   30'第30分钟，山东鲁能发动反击，张弛边路拿球内切突破到禁区线附近时突然起脚远射，球稍稍偏出击中边网
33'长春亚泰队右路直传进攻，被蒿俊闵破坏出边线                   30'第30分钟，山东鲁能发动反击，张弛边路拿球内切突破到禁区线附近时突然起脚远射，球稍稍偏出击中边网
33'蒋哲发出界外球，双方争抢又出边线，长春亚泰队继续前场界外球                   30'第30分钟，山东鲁能发动反击，张弛边路拿球内切突破到禁区线附近时突然起脚远射，球稍稍偏出击中边网
41'佩莱前场得球挑传，齐天羽到位，可惜打门没能踢到球！                   41'第41分钟，佩莱送出妙传，齐天羽快速插上形成单刀，但停球失误错失机会
41'拖后了一点                   41'第41分钟，佩莱送出妙传，齐天羽快速插上形成单刀，但停球失误错失机会
43'鲁能泰山队攻到前场，配合没能打起来                   41'第41分钟，佩莱送出妙传，齐天羽快速插上形成单刀，但停球失误错失机会
43'蒙蒂略左路突破直传球，吴兴涵脚后跟传球，蒙蒂略没能接到！碰到球出底线                   41'第41分钟，佩莱送出妙传，齐天羽快速插上形成单刀，但停球失误错失机会
43'空挡跑出来了，但配合没能打好                   41'第41分钟，佩莱送出妙传，齐天羽快速插上形成单刀，但停球失误错失机会
44'李光在前场得，一脚打门！被挡出来                   41'第41分钟，佩莱送出妙传，齐天羽快速插上形成单刀，但停球失误错失机会
50'现场的球迷一直在为球队加油                   50'下半场易边再战，第50分钟，长春亚泰扳平比分
50'中场争抢，佩莱犯规                   50'下半场易边再战，第50分钟，长春亚泰扳平比分
50'任意球发出来，长春亚泰队左路长传球，出边线                   50'下半场易边再战，第50分钟，长春亚泰扳平比分
51'王大雷大脚开球到前场，对方争顶下来                   50'下半场易边再战，第50分钟，长春亚泰扳平比分
52'佩莱顶了一下，球出边线                   50'下半场易边再战，第50分钟，长春亚泰扳平比分
52'长春亚泰队长传前场，吉尔将球回传大雷                   50'下半场易边再战，第50分钟，长春亚泰扳平比分
53'为了备战周中亚冠，鲁能泰山队有所保留，但在中超的前景并不乐观                   50'下半场易边再战，第50分钟，长春亚泰扳平比分
55'斐帅这脚球打得高了些                   55'第55分钟，山东鲁能后防线再次被打穿，裴帅送出塞球，奥尔西奇吸引防守回做，无人防守的裴帅插入禁区凌空射门将球打高
55'蒙蒂略中场得球，分到右路                   55'第55分钟，山东鲁能后防线再次被打穿，裴帅送出塞球，奥尔西奇吸引防守回做，无人防守的裴帅插入禁区凌空射门将球打高
55'佩莱接球交给蒙蒂略！左路交给齐天羽                   55'第55分钟，山东鲁能后防线再次被打穿，裴帅送出塞球，奥尔西奇吸引防守回做，无人防守的裴帅插入禁区凌空射门将球打高
56'齐天羽左路横传禁区，被门将扑出                   55'第55分钟，山东鲁能后防线再次被打穿，裴帅送出塞球，奥尔西奇吸引防守回做，无人防守的裴帅插入禁区凌空射门将球打高
56'得到了角球机会                   55'第55分钟，山东鲁能后防线再次被打穿，裴帅送出塞球，奥尔西奇吸引防守回做，无人防守的裴帅插入禁区凌空射门将球打高
57'角球发到禁区内，对方破坏出边线                   55'第55分钟，山东鲁能后防线再次被打穿，裴帅送出塞球，奥尔西奇吸引防守回做，无人防守的裴帅插入禁区凌空射门将球打高
57'界外球发出来，尤西雷横传禁区，祎凡没收                   55'第55分钟，山东鲁能后防线再次被打穿，裴帅送出塞球，奥尔西奇吸引防守回做，无人防守的裴帅插入禁区凌空射门将球打高
58'在被扳平后，鲁能泰山队加强了进攻                   55'第55分钟，山东鲁能后防线再次被打穿，裴帅送出塞球，奥尔西奇吸引防守回做，无人防守的裴帅插入禁区凌空射门将球打高
58'吴兴涵左路突破下底，在底线把球救回来打在对方身上出底线                   55'第55分钟，山东鲁能后防线再次被打穿，裴帅送出塞球，奥尔西奇吸引防守回做，无人防守的裴帅插入禁区凌空射门将球打高
58'蒙蒂略发角球到禁区内，尤西雷头球门，冲撞门将！                   55'第55分钟，山东鲁能后防线再次被打穿，裴帅送出塞球，奥尔西奇吸引防守回做，无人防守的裴帅插入禁区凌空射门将球打高
62'长春亚泰队换人：韩德明上场，换下了蒋哲！                   62'第62分钟，戴琳扫倒布鲁诺，被主裁判黄牌警告
62'长春亚泰队就是要全力进攻，消耗鲁能泰山队！                   62'第62分钟，戴琳扫倒布鲁诺，被主裁判黄牌警告
62'对三分还是非常渴望的                   62'第62分钟，戴琳扫倒布鲁诺，被主裁判黄牌警告
63'鲁能泰山队右路突破被破坏，界外球发出来，蒙蒂略的传球不错，吴兴涵侧身打门高出                   62'第62分钟，戴琳扫倒布鲁诺，被主裁判黄牌警告
64'吴兴涵的跑位有点问题                   62'第62分钟，戴琳扫倒布鲁诺，被主裁判黄牌警告
64'王大雷大脚开球到前场，张弛追不上了                   62'第62分钟，戴琳扫倒布鲁诺，被主裁判黄牌警告
65'鲁能泰山队换人：李薇上场，换下了戴琳                   62'第62分钟，戴琳扫倒布鲁诺，被主裁判黄牌警告
65'戴琳有黄牌在身，确实需要换下去，否则真出大问题                   62'第62分钟，戴琳扫倒布鲁诺，被主裁判黄牌警告
64'吴兴涵的跑位有点问题                   64'第64分钟，蒙蒂略送出精彩挑传，吴兴涵获得直面门将机会，但他犹豫后将球打飞
64'王大雷大脚开球到前场，张弛追不上了                   64'第64分钟，蒙蒂略送出精彩挑传，吴兴涵获得直面门将机会，但他犹豫后将球打飞
65'鲁能泰山队换人：李薇上场，换下了戴琳                   64'第64分钟，蒙蒂略送出精彩挑传，吴兴涵获得直面门将机会，但他犹豫后将球打飞
65'戴琳有黄牌在身，确实需要换下去，否则真出大问题                   64'第64分钟，蒙蒂略送出精彩挑传，吴兴涵获得直面门将机会，但他犹豫后将球打飞
66'吴兴涵左路突破，斜传禁区，佩莱启动慢了一点                   64'第64分钟，蒙蒂略送出精彩挑传，吴兴涵获得直面门将机会，但他犹豫后将球打飞
66'奥尔西奇左路横带突破，被破坏                   64'第64分钟，蒙蒂略送出精彩挑传，吴兴涵获得直面门将机会，但他犹豫后将球打飞
67'鲁能泰山队左路攻到前场，吴兴涵强突被断                   64'第64分钟，蒙蒂略送出精彩挑传，吴兴涵获得直面门将机会，但他犹豫后将球打飞
67'对脚啦！双双倒地                   64'第64分钟，蒙蒂略送出精彩挑传，吴兴涵获得直面门将机会，但他犹豫后将球打飞
67'吴兴涵和孙捷都踢到了球！对脚双双受伤倒地                   64'第64分钟，蒙蒂略送出精彩挑传，吴兴涵获得直面门将机会，但他犹豫后将球打飞
71'鲁能泰山队换人，西塞上场，换下蒙蒂略                   71'第71分钟，张弛边路弧线球传中，吴兴涵抢点踢疵，佩莱零角度射空门偏出
71'长春亚泰队左路攻到前场，齐天羽抢球犯规                   71'第71分钟，张弛边路弧线球传中，吴兴涵抢点踢疵，佩莱零角度射空门偏出
72'长春亚泰队得到任意球机会                   71'第71分钟，张弛边路弧线球传中，吴兴涵抢点踢疵，佩莱零角度射空门偏出
72'任意球发到禁区内，尤西雷头球解围出来                   71'第71分钟，张弛边路弧线球传中，吴兴涵抢点踢疵，佩莱零角度射空门偏出
72'张弛后场得球，对方铲球犯规                   71'第71分钟，张弛边路弧线球传中，吴兴涵抢点踢疵，佩莱零角度射空门偏出
73'张弛左路突破，对方将球破坏出边线                   71'第71分钟，张弛边路弧线球传中，吴兴涵抢点踢疵，佩莱零角度射空门偏出
73'界外球发出来，吴兴涵左路控球，对方抢球出边线                   71'第71分钟，张弛边路弧线球传中，吴兴涵抢点踢疵，佩莱零角度射空门偏出
74'赵明剑右路下底横传，尤西雷头球顶门，太靠近球门了，祎凡没收                   71'第71分钟，张弛边路弧线球传中，吴兴涵抢点踢疵，佩莱零角度射空门偏出
78'齐天羽右路横传禁区，赵明剑垫射打高啦！                   78'第78分钟，齐天羽边路弧线球传中，赵明剑禁区内包抄半转身凌空抽射将球打高
78'西塞在前场抢球犯规啦～～                   78'第78分钟，齐天羽边路弧线球传中，赵明剑禁区内包抄半转身凌空抽射将球打高
79'鲁能泰山队长传球，佩莱挑传过人，大了些                   78'第78分钟，齐天羽边路弧线球传中，赵明剑禁区内包抄半转身凌空抽射将球打高
80'赵明剑发界外球到禁区内，对方破坏出来                   78'第78分钟，齐天羽边路弧线球传中，赵明剑禁区内包抄半转身凌空抽射将球打高
80'长春亚泰队争抢犯规                   78'第78分钟，齐天羽边路弧线球传中，赵明剑禁区内包抄半转身凌空抽射将球打高
80'鲁能泰山队得到前场任意球机会                   78'第78分钟，齐天羽边路弧线球传中，赵明剑禁区内包抄半转身凌空抽射将球打高
80'犯规的是布鲁诺                   78'第78分钟，齐天羽边路弧线球传中，赵明剑禁区内包抄半转身凌空抽射将球打高
81'杜震宇上场，换下布鲁诺！                   78'第78分钟，齐天羽边路弧线球传中，赵明剑禁区内包抄半转身凌空抽射将球打高
81'任意球发到禁区内，吴兴涵抢点打门高出！                   78'第78分钟，齐天羽边路弧线球传中，赵明剑禁区内包抄半转身凌空抽射将球打高
83'鲁能泰山队斜传球到禁区内，张弛抢球犯规                   82'第82分钟，蒿俊闵任意球传中，吴兴涵不停球直接抡射将球打飞
84'赵明剑右路突破斜传禁区，祎凡拍了一下把球抱住                   82'第82分钟，蒿俊闵任意球传中，吴兴涵不停球直接抡射将球打飞
46'随着主裁判一声哨响，半场结束                   46'1分钟后，蒿俊闵弧线球传中，吉尔头球攻门被袆凡没收
46'鲁能泰山队攻到前场，传球失误                   46'1分钟后，蒿俊闵弧线球传中，吉尔头球攻门被袆凡没收
47'张弛左路突破，回传一脚再斜传禁区，对方顶出来                   46'1分钟后，蒿俊闵弧线球传中，吉尔头球攻门被袆凡没收
48'长春亚泰队进球啦，奥尔西奇！1-1                   46'1分钟后，蒿俊闵弧线球传中，吉尔头球攻门被袆凡没收
48'布鲁诺左路接球突破传禁区，奥尔西奇抢点右翼斜射，皮球应声入网！                   46'1分钟后，蒿俊闵弧线球传中，吉尔头球攻门被袆凡没收
49'双方站在了同一起跑线上                   46'1分钟后，蒿俊闵弧线球传中，吉尔头球攻门被袆凡没收
