9'国际米兰球员胡安大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是拉诺齐亚.                   9'开场9分钟，胡安在门前30米处左脚抽射高出横梁
36'拉齐奥球员拉杜被主裁判出示了一张黄牌.                   33'第33分钟，卢利奇禁区左侧头球回点，埃尔纳内斯在门前12米处左脚抽射被挡出右门柱
36'卢利奇为拉齐奥在左路,赢得一个任意球.                   36'第36分钟，瓜林放倒卢利奇，被黄牌警告，他和拉杜发生争执并相互推搡，拉杜也吃到黄牌
36'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   36'第36分钟，瓜林放倒卢利奇，被黄牌警告，他和拉杜发生争执并相互推搡，拉杜也吃到黄牌
36'黄牌！国际米兰球员瓜林因为恶意犯规,被主裁判出示黄牌.                   36'第36分钟，瓜林放倒卢利奇，被黄牌警告，他和拉杜发生争执并相互推搡，拉杜也吃到黄牌
36'拉齐奥球员拉杜被主裁判出示了一张黄牌.                   36'第36分钟，瓜林放倒卢利奇，被黄牌警告，他和拉杜发生争执并相互推搡，拉杜也吃到黄牌
37'坎比亚索将球处理出底线,拉齐奥获得角球.                   36'第36分钟，瓜林放倒卢利奇，被黄牌警告，他和拉杜发生争执并相互推搡，拉杜也吃到黄牌
39'冈萨雷斯为拉齐奥赢得一个任意球.                   36'第36分钟，瓜林放倒卢利奇，被黄牌警告，他和拉杜发生争执并相互推搡，拉杜也吃到黄牌
39'国际米兰球员阿尔瓦雷斯拼抢犯规,对手获得控球权.                   36'第36分钟，瓜林放倒卢利奇，被黄牌警告，他和拉杜发生争执并相互推搡，拉杜也吃到黄牌
39'黄牌！国际米兰球员阿尔瓦雷斯因为恶意犯规,被主裁判出示黄牌.                   36'第36分钟，瓜林放倒卢利奇，被黄牌警告，他和拉杜发生争执并相互推搡，拉杜也吃到黄牌
39'拉齐奥球员莱德斯马拼抢犯规,对手获得控球权.                   36'第36分钟，瓜林放倒卢利奇，被黄牌警告，他和拉杜发生争执并相互推搡，拉杜也吃到黄牌
39'瓜林为国际米兰赢得一个任意球.                   36'第36分钟，瓜林放倒卢利奇，被黄牌警告，他和拉杜发生争执并相互推搡，拉杜也吃到黄牌
61'射门!!!国际米兰球员长友佑都大禁区中央头球,被对方守门员横身扑出.给他传球的是若纳坦.                   61'第61分钟，若纳坦右路传中，长友佑都在门前12米处大力头槌被贝里沙封出
61'Etrit Berisha将球处理出底线,国际米兰获得角球.                   61'第61分钟，若纳坦右路传中，长友佑都在门前12米处大力头槌被贝里沙封出
62'拉齐奥换人,奥纳齐换下冈萨雷斯                   61'第61分钟，若纳坦右路传中，长友佑都在门前12米处大力头槌被贝里沙封出
63'坎德雷瓦为拉齐奥在右路,赢得一个任意球.                   61'第61分钟，若纳坦右路传中，长友佑都在门前12米处大力头槌被贝里沙封出
63'国际米兰球员胡安拼抢犯规,对手获得控球权.                   61'第61分钟，若纳坦右路传中，长友佑都在门前12米处大力头槌被贝里沙封出
64'拉齐奥球员莱德斯马一脚直塞球给比亚瓦,但是边裁举旗显示后者已经越位.                   61'第61分钟，若纳坦右路传中，长友佑都在门前12米处大力头槌被贝里沙封出
81'进球啦！！！拉齐奥球员克洛泽大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是坎德雷瓦. 拉齐奥 1-0 国际米兰.                   81'拉齐奥第81分钟打破僵局
83'国际米兰换人,萨内蒂换下拉诺齐亚                   81'拉齐奥第81分钟打破僵局
83'国际米兰球员阿尔瓦雷斯一脚直塞球给帕拉西奥,但是边裁举旗显示后者已经越位.                   81'拉齐奥第81分钟打破僵局
90'莱德斯马将球处理出底线,国际米兰获得角球.                   90'第90分钟，科瓦契奇外围凌空打出弹地球偏出左门柱
90'国际米兰球员科瓦契奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   90'第90分钟，科瓦契奇外围凌空打出弹地球偏出左门柱
90'+3'拉齐奥球员克洛泽大禁区中央右脚射门,被防守球员封堵.                   90'第90分钟，科瓦契奇外围凌空打出弹地球偏出左门柱
90'+3'胡安将球处理出底线,拉齐奥获得角球.                   90'第90分钟，科瓦契奇外围凌空打出弹地球偏出左门柱
90'+3'下半场结束,拉齐奥 1-0 国际米兰                   90'第90分钟，科瓦契奇外围凌空打出弹地球偏出左门柱
