3'王燊超中场拼抢犯规了！                   3'开场第3分钟艾哈迈多夫左路传中，埃尔克森门前抢点推射时被万厚良抢先踢出
45'饶伟辉左侧突破禁区！                   44'第44分钟人和制造险情，饶伟辉在左侧底线附近漂亮抹球连过两人，接着饶伟辉突入禁区后射门，颜骏凌飞身把球扑出
45'打门被颜骏凌扑出了底线！                   44'第44分钟人和制造险情，饶伟辉在左侧底线附近漂亮抹球连过两人，接着饶伟辉突入禁区后射门，颜骏凌飞身把球扑出
45'人和左侧角球！                   44'第44分钟人和制造险情，饶伟辉在左侧底线附近漂亮抹球连过两人，接着饶伟辉突入禁区后射门，颜骏凌飞身把球扑出
45'角球给到前点！被解围了！                   44'第44分钟人和制造险情，饶伟辉在左侧底线附近漂亮抹球连过两人，接着饶伟辉突入禁区后射门，颜骏凌飞身把球扑出
47'武磊右侧断球反击！                   44'第44分钟人和制造险情，饶伟辉在左侧底线附近漂亮抹球连过两人，接着饶伟辉突入禁区后射门，颜骏凌飞身把球扑出
47'刘健铲球犯规！                   44'第44分钟人和制造险情，饶伟辉在左侧底线附近漂亮抹球连过两人，接着饶伟辉突入禁区后射门，颜骏凌飞身把球扑出
47'裁判给了黄牌！                   44'第44分钟人和制造险情，饶伟辉在左侧底线附近漂亮抹球连过两人，接着饶伟辉突入禁区后射门，颜骏凌飞身把球扑出
81'人和长传禁区！被解围了！                   79'第79分钟人和用张宇峰换下史亮
81'饶伟辉左侧传中！                   79'第79分钟人和用张宇峰换下史亮
82'球偏出右侧底线！                   79'第79分钟人和用张宇峰换下史亮
82'人和换人！靳辉换下陈杰！                   79'第79分钟人和用张宇峰换下史亮
81'人和长传禁区！被解围了！                   81'第81分钟人和外围送球，迪奥普禁区内抢先顶球偏出
81'饶伟辉左侧传中！                   81'第81分钟人和外围送球，迪奥普禁区内抢先顶球偏出
82'球偏出右侧底线！                   81'第81分钟人和外围送球，迪奥普禁区内抢先顶球偏出
82'人和换人！靳辉换下陈杰！                   81'第81分钟人和外围送球，迪奥普禁区内抢先顶球偏出
83'穆坎乔分左侧饶伟辉！传中球被解围出边线！                   81'第81分钟人和外围送球，迪奥普禁区内抢先顶球偏出
88'奥斯卡拼抢受伤了！                   88'第88分钟奥斯卡被马西卡打到眼睛倒地不起，人和继续进攻，上港最后解围踢出底线才形成死球，好在奥斯卡也无大碍
88'武磊把球踢出了边线！                   88'第88分钟奥斯卡被马西卡打到眼睛倒地不起，人和继续进攻，上港最后解围踢出底线才形成死球，好在奥斯卡也无大碍
88'奥斯卡脸被马西卡 打了一下！                   88'第88分钟奥斯卡被马西卡打到眼睛倒地不起，人和继续进攻，上港最后解围踢出底线才形成死球，好在奥斯卡也无大碍
89'马西卡把球踢出边线！                   88'第88分钟奥斯卡被马西卡打到眼睛倒地不起，人和继续进攻，上港最后解围踢出底线才形成死球，好在奥斯卡也无大碍
89'还给上港！                   88'第88分钟奥斯卡被马西卡打到眼睛倒地不起，人和继续进攻，上港最后解围踢出底线才形成死球，好在奥斯卡也无大碍
89'埃尔克森左侧转身突破！                   88'第88分钟奥斯卡被马西卡打到眼睛倒地不起，人和继续进攻，上港最后解围踢出底线才形成死球，好在奥斯卡也无大碍
89'万厚良阻挡犯规！                   88'第88分钟奥斯卡被马西卡打到眼睛倒地不起，人和继续进攻，上港最后解围踢出底线才形成死球，好在奥斯卡也无大碍
90'奥斯卡任意球短传埃尔克森！ 回传奥斯卡！                   88'第88分钟奥斯卡被马西卡打到眼睛倒地不起，人和继续进攻，上港最后解围踢出底线才形成死球，好在奥斯卡也无大碍
90'内切突破球被断了！                   88'第88分钟奥斯卡被马西卡打到眼睛倒地不起，人和继续进攻，上港最后解围踢出底线才形成死球，好在奥斯卡也无大碍
90'任意球长传禁区被解围了！                   88'第88分钟奥斯卡被马西卡打到眼睛倒地不起，人和继续进攻，上港最后解围踢出底线才形成死球，好在奥斯卡也无大碍
90'埃尔克森反击长传前场左侧！奥斯卡背身拿球！                   88'第88分钟奥斯卡被马西卡打到眼睛倒地不起，人和继续进攻，上港最后解围踢出底线才形成死球，好在奥斯卡也无大碍
91'上港换人了！李圣龙换下吕文君！                   88'第88分钟奥斯卡被马西卡打到眼睛倒地不起，人和继续进攻，上港最后解围踢出底线才形成死球，好在奥斯卡也无大碍
