8'战术角球被解围                   8'蓝军第8分钟扩大比分，威廉开出角球，奇克小禁区边缘凌空垫射入网，2-0
53'科瓦契奇推进，分给佩德罗                   53'第53分钟，奇克反击中直传，佩德罗突入禁区左侧回敲，奇克20码处弧线球射入右下角完成帽子戏法，3-0
54'带球进了禁区被菲利彭科拦截一下                   53'第53分钟，奇克反击中直传，佩德罗突入禁区左侧回敲，奇克20码处弧线球射入右下角完成帽子戏法，3-0
54'奇禁区边缘推射，球打进球门右下角！                   53'第53分钟，奇克反击中直传，佩德罗突入禁区左侧回敲，奇克20码处弧线球射入右下角完成帽子戏法，3-0
54'奇克上演帽子戏法！                   53'第53分钟，奇克反击中直传，佩德罗突入禁区左侧回敲，奇克20码处弧线球射入右下角完成帽子戏法，3-0
55'舍尔比茨基倒地指尖碰了一下球但没有阻止皮球入网                   53'第53分钟，奇克反击中直传，佩德罗突入禁区左侧回敲，奇克20码处弧线球射入右下角完成帽子戏法，3-0
56'佩德罗的挑球过人，再给，菲利波维奇解围                   53'第53分钟，奇克反击中直传，佩德罗突入禁区左侧回敲，奇克20码处弧线球射入右下角完成帽子戏法，3-0
56'法布雷加斯交给佩德罗，横拔                   53'第53分钟，奇克反击中直传，佩德罗突入禁区左侧回敲，奇克20码处弧线球射入右下角完成帽子戏法，3-0
56'威廉炮弹攻门被挡出                   53'第53分钟，奇克反击中直传，佩德罗突入禁区左侧回敲，奇克20码处弧线球射入右下角完成帽子戏法，3-0
56'斯塔舍维奇接应交给赫莱布                   53'第53分钟，奇克反击中直传，佩德罗突入禁区左侧回敲，奇克20码处弧线球射入右下角完成帽子戏法，3-0
79'转移到左侧                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
79'斯卡维什带球，自己的晃动，，球没有趟过去                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
79'翻身护球被赞帕科斯塔推倒                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
79'鲍里索夫左侧的任意球                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
80'鲍里索夫扳回一分！                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
80'17号里奥斯                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
80'斯塔舍维奇发出任意球，球越过了中路所有球员的头落后点，里奥斯插上扫射空门得分！                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
81'切尔西球员需要将放松的心态调整回来                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
81'奥多伊左侧来了，进了禁区传中过不了菲利波维奇的顶                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
82'伊万尼奇左侧控球直传，卡希尔抢断                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
82'但被图奥米宁抢了身位                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
82'裁判吹的是图奥米宁犯规                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
82'镜头马上切给鲍里索夫的主教练                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
82'很是不满                   79'鲍里索夫第79分钟扳回一城，斯塔塞维奇左路任意球传中，远点无人防守的里奥斯近距离破门，1-3
