16'虽然成功断球的几率很低，但是你不得不佩服他的斗志                   16'第16分钟，席尔瓦传中，哲科12码处头球攻门被施瓦泽稳稳摘下
70'曼城边路的连续一脚传递，特维斯脚后跟敲给插上的席尔瓦，杀入禁区之后面对出击门将左脚挑射将球送入网窝                   69'曼城第69分钟扩大比分，特维斯传球，席尔瓦禁区左侧小角度挑射入网，2-0
70'哎呀，帽子戏法废了！                   69'曼城第69分钟扩大比分，特维斯传球，席尔瓦禁区左侧小角度挑射入网，2-0
70'差了一点                   69'曼城第69分钟扩大比分，特维斯传球，席尔瓦禁区左侧小角度挑射入网，2-0
71'哲科和席尔瓦的近距离配合，席尔瓦单刀机会，推射擦立柱而出                   69'曼城第69分钟扩大比分，特维斯传球，席尔瓦禁区左侧小角度挑射入网，2-0
71'曼城总算是打开了                   69'曼城第69分钟扩大比分，特维斯传球，席尔瓦禁区左侧小角度挑射入网，2-0
71'之前打得让人昏昏欲睡                   69'曼城第69分钟扩大比分，特维斯传球，席尔瓦禁区左侧小角度挑射入网，2-0
72'难怪说曼城是最善于后半场进球的球队                   69'曼城第69分钟扩大比分，特维斯传球，席尔瓦禁区左侧小角度挑射入网，2-0
72'曼城压得太上，富勒姆右路传中                   69'曼城第69分钟扩大比分，特维斯传球，席尔瓦禁区左侧小角度挑射入网，2-0
76'特维斯中路拿球，看了一下！没人抢，远射打滑了！球没上力量                   76'第76分钟，席尔瓦传球，特维斯禁区前射偏
77'米尔纳改打边后卫，这次下底传中也不理想                   76'第76分钟，席尔瓦传球，特维斯禁区前射偏
79'哲科个人带球杀向禁区，晃过后卫左脚打门！击中了边网                   76'第76分钟，席尔瓦传球，特维斯禁区前射偏
79'又有人受伤？                   76'第76分钟，席尔瓦传球，特维斯禁区前射偏
79'阿奎罗在脱衣服，难道也要上场了/                   76'第76分钟，席尔瓦传球，特维斯禁区前射偏
79'比赛打到现在富勒姆一共才2次射门                   76'第76分钟，席尔瓦传球，特维斯禁区前射偏
84'曼城打得还挺细，席尔瓦接到阿奎罗的横敲，轻轻回做                   84'第84分钟，刚刚替换特维斯出场的阿圭罗禁区左侧传中，席尔瓦回敲，哲科禁区弧内射门偏出右侧立柱
84'哲科插上推射！没压住                   84'第84分钟，刚刚替换特维斯出场的阿圭罗禁区左侧传中，席尔瓦回敲，哲科禁区弧内射门偏出右侧立柱
85'阿奎罗！单刀球了                   84'第84分钟，刚刚替换特维斯出场的阿圭罗禁区左侧传中，席尔瓦回敲，哲科禁区弧内射门偏出右侧立柱
86'趟过了出击的门将，没办法转身！                   84'第84分钟，刚刚替换特维斯出场的阿圭罗禁区左侧传中，席尔瓦回敲，哲科禁区弧内射门偏出右侧立柱
86'打门的时候失去了平衡...                   84'第84分钟，刚刚替换特维斯出场的阿圭罗禁区左侧传中，席尔瓦回敲，哲科禁区弧内射门偏出右侧立柱
86'浪费了绝佳机会啊                   84'第84分钟，刚刚替换特维斯出场的阿圭罗禁区左侧传中，席尔瓦回敲，哲科禁区弧内射门偏出右侧立柱
86'曼城还在控球，纳斯里禁区弧顶外远射，球偏出了立柱                   84'第84分钟，刚刚替换特维斯出场的阿圭罗禁区左侧传中，席尔瓦回敲，哲科禁区弧内射门偏出右侧立柱
93'哲科在前场抢球犯规                   93'第93分钟，克里希反击中斜传，哲科8码处推射高出
93'克里希长途奔袭                   93'第93分钟，克里希反击中斜传，哲科8码处推射高出
93'哲科单刀机会！                   93'第93分钟，克里希反击中斜传，哲科8码处推射高出
93'居然打高了                   93'第93分钟，克里希反击中斜传，哲科8码处推射高出
93'浪费了克里希的妙传                   93'第93分钟，克里希反击中斜传，哲科8码处推射高出
94'这比赛也就这样了，时间快到了                   93'第93分钟，克里希反击中斜传，哲科8码处推射高出
