1'上半场比赛开始！！                   1'第1分钟华夏幸福迅速形成威胁攻势，拉维奇禁区右侧攻门被挡偏出底线
19'任航回来背身再拿，郜林身后再抢                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
19'任航被掀翻在地，裁判没表示                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
19'郜林拿球横传给高拉特                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
19'进球了！！                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
19'高拉特！！                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
20'郜林右路抢断任航，转身横传给高拉特，高拉特横切，禁区弧顶的远射，打进球门左侧！                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
20'这球高拉特之前和高准翼的争抢，以及郜林反抢任航，其实都有犯规嫌疑                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
21'罗森文中场拿球，挑传右路给到拉维奇                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
21'拉维奇的内切，横传埃尔纳内斯                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
21'埃尔南内斯失误了，杨立瑜拿球反击                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
21'给到张琳芃，再给左侧的郜林                   18'第18分钟，恒大取得入球：恒大中场长传策动快攻，高准翼在与高拉特拼抢落点时滑倒，任航护球时与郜林接触倒地，裁判示意比赛继续，郜林横敲中路，高拉特内切调整后施射破门，恒大1-0领先
24'这球埃尔纳内斯身后直接踹在了冯潇霆的小腿上，吃牌的动作啊                   24'第24分钟，华夏幸福将比分扳平：高准翼后场长传策动攻势，张呈栋在恒大禁区内争顶回摆，金英权突然滑倒，拉维奇快速切入禁区后低射破门，比分变为1-1
24'不过主裁判只是吹罚了犯规，并未出牌！！                   24'第24分钟，华夏幸福将比分扳平：高准翼后场长传策动攻势，张呈栋在恒大禁区内争顶回摆，金英权突然滑倒，拉维奇快速切入禁区后低射破门，比分变为1-1
24'1-1！！！                   24'第24分钟，华夏幸福将比分扳平：高准翼后场长传策动攻势，张呈栋在恒大禁区内争顶回摆，金英权突然滑倒，拉维奇快速切入禁区后低射破门，比分变为1-1
24'拉维奇！！！                   24'第24分钟，华夏幸福将比分扳平：高准翼后场长传策动攻势，张呈栋在恒大禁区内争顶回摆，金英权突然滑倒，拉维奇快速切入禁区后低射破门，比分变为1-1
26'任航后场长传球到前场，金英权后退中头球解围出来，球到禁区弧顶的拉维奇脚下，停趟一气呵成，强突禁区，右脚低射打进！！                   24'第24分钟，华夏幸福将比分扳平：高准翼后场长传策动攻势，张呈栋在恒大禁区内争顶回摆，金英权突然滑倒，拉维奇快速切入禁区后低射破门，比分变为1-1
26'黄博文中场和埃尔纳内斯争抢头球                   24'第24分钟，华夏幸福将比分扳平：高准翼后场长传策动攻势，张呈栋在恒大禁区内争顶回摆，金英权突然滑倒，拉维奇快速切入禁区后低射破门，比分变为1-1
27'黄博文将球顶走后，空中被埃尔纳内斯撞翻在地                   24'第24分钟，华夏幸福将比分扳平：高准翼后场长传策动攻势，张呈栋在恒大禁区内争顶回摆，金英权突然滑倒，拉维奇快速切入禁区后低射破门，比分变为1-1
27'黄博文这次被撞的不轻啊，貌似有些失去意识                   24'第24分钟，华夏幸福将比分扳平：高准翼后场长传策动攻势，张呈栋在恒大禁区内争顶回摆，金英权突然滑倒，拉维奇快速切入禁区后低射破门，比分变为1-1
27'队医紧急进场，场内慢慢询问，恒大队友也是围圈关注着                   24'第24分钟，华夏幸福将比分扳平：高准翼后场长传策动攻势，张呈栋在恒大禁区内争顶回摆，金英权突然滑倒，拉维奇快速切入禁区后低射破门，比分变为1-1
32'2-1！！！                   32'第32分钟，华夏幸福将比分超出：拉维奇策动左路攻势，姜至鹏下底传中，王秋明头球摆向禁区后点空档，埃尔纳内斯低射破门
32'华夏幸福反超了比分！！                   32'第32分钟，华夏幸福将比分超出：拉维奇策动左路攻势，姜至鹏下底传中，王秋明头球摆向禁区后点空档，埃尔纳内斯低射破门
32'埃尔纳内斯！！                   32'第32分钟，华夏幸福将比分超出：拉维奇策动左路攻势，姜至鹏下底传中，王秋明头球摆向禁区后点空档，埃尔纳内斯低射破门
32'进球的埃尔纳内斯腾空翻庆祝！！                   32'第32分钟，华夏幸福将比分超出：拉维奇策动左路攻势，姜至鹏下底传中，王秋明头球摆向禁区后点空档，埃尔纳内斯低射破门
34'拉维奇前场左路拿球内切，再给边路上来的姜至鹏，下底传中到前点，王秋明头球后蹭，埃尔纳内斯后点无人防守，迎球抽射打进！！                   32'第32分钟，华夏幸福将比分超出：拉维奇策动左路攻势，姜至鹏下底传中，王秋明头球摆向禁区后点空档，埃尔纳内斯低射破门
34'郜林前场右路拿球强突，姜至鹏上抢犯规！                   32'第32分钟，华夏幸福将比分超出：拉维奇策动左路攻势，姜至鹏下底传中，王秋明头球摆向禁区后点空档，埃尔纳内斯低射破门
34'黄博文快发任意球，裁判鸣哨等待哨声！1                   32'第32分钟，华夏幸福将比分超出：拉维奇策动左路攻势，姜至鹏下底传中，王秋明头球摆向禁区后点空档，埃尔纳内斯低射破门
35'黄博文任意球斜传到禁区，任航的头球解围                   32'第32分钟，华夏幸福将比分超出：拉维奇策动左路攻势，姜至鹏下底传中，王秋明头球摆向禁区后点空档，埃尔纳内斯低射破门
35'张呈栋右路拿球，过顶给到中场的拉维奇                   32'第32分钟，华夏幸福将比分超出：拉维奇策动左路攻势，姜至鹏下底传中，王秋明头球摆向禁区后点空档，埃尔纳内斯低射破门
35'拉维奇的反击，带球到前场                   32'第32分钟，华夏幸福将比分超出：拉维奇策动左路攻势，姜至鹏下底传中，王秋明头球摆向禁区后点空档，埃尔纳内斯低射破门
35'分球左侧给王秋明                   32'第32分钟，华夏幸福将比分超出：拉维奇策动左路攻势，姜至鹏下底传中，王秋明头球摆向禁区后点空档，埃尔纳内斯低射破门
35'王秋明内切斜传，被张琳芃挡了出来                   32'第32分钟，华夏幸福将比分超出：拉维奇策动左路攻势，姜至鹏下底传中，王秋明头球摆向禁区后点空档，埃尔纳内斯低射破门
56'埃尔纳内斯中场拿球，强突分球左侧给到王秋明                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
56'回传给上来的姜至鹏                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
57'姜至鹏内切横传找到拉维奇                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
57'拉维奇中路跟进，抽射远角，打偏了！                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
57'射门：恒大3次射门，2次射正；华夏幸福8次射门，3次射正！                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
58'埃尔纳内斯前场中路拿球，挑传打身后                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
58'球到禁区，曾诚出击将球拿到！！                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
58'黄博文中场拿球，分球杨立瑜                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
58'再回传给到跟进的古德利                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
58'分球右路给上来的张琳芃                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
58'张琳芃的传中，被任航用身体一挡                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
59'回防的姜至鹏将球控制，直塞罗森文                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
59'王秋明中场抢断，分球给到拉维奇                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
59'拉维奇面对三人围堵，左侧横切中路                   56'第56分钟，姜至鹏左路巧妙横敲，拉维奇禁区内迎球推射打偏
62'恒大的右路进攻，再次赢得角球机会！！                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
62'黄博文主罚，开出到禁区中路                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
62'任航将球解围出底线！！                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
62'恒大再次获得了角球机会！！                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
62'进球了！2-2！！！                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
62'高拉特梅开二度！！                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
63'这是高拉特本赛季个人的第6个进球！！！追平阿兰！！                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
63'黄博文角球开出到禁区中路，高拉特力压小马哥头球顶进网窝！！！                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
63'恒大中场抢断，反击啦                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
63'张文钊左路强突禁区，倒地了                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
64'裁判给了恒大点球！！                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
64'这球张文钊前插接应，任航回防                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
65'张文钊急停一扣，两人接触后张文钊倒地                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
65'主裁判来到了场边，石祯禄自己看录像回看了！！                   62'第62分钟，恒大将比分扳平：黄博文将角球传至小禁区线前，高拉特力压马斯切拉诺头球破门，比分变为2-2
63'这是高拉特本赛季个人的第6个进球！！！追平阿兰！！                   63'第63分钟，高拉特将球塞入华夏幸福禁区左侧，张文钊前冲后突然扣球摆脱，他与任航脚部接触后倒地，裁判先是判定点球，在观看视频回放后，裁判判定恒大这次攻势中对徐天沅犯规在先，取消点球判罚
63'黄博文角球开出到禁区中路，高拉特力压小马哥头球顶进网窝！！！                   63'第63分钟，高拉特将球塞入华夏幸福禁区左侧，张文钊前冲后突然扣球摆脱，他与任航脚部接触后倒地，裁判先是判定点球，在观看视频回放后，裁判判定恒大这次攻势中对徐天沅犯规在先，取消点球判罚
63'恒大中场抢断，反击啦                   63'第63分钟，高拉特将球塞入华夏幸福禁区左侧，张文钊前冲后突然扣球摆脱，他与任航脚部接触后倒地，裁判先是判定点球，在观看视频回放后，裁判判定恒大这次攻势中对徐天沅犯规在先，取消点球判罚
63'张文钊左路强突禁区，倒地了                   63'第63分钟，高拉特将球塞入华夏幸福禁区左侧，张文钊前冲后突然扣球摆脱，他与任航脚部接触后倒地，裁判先是判定点球，在观看视频回放后，裁判判定恒大这次攻势中对徐天沅犯规在先，取消点球判罚
64'裁判给了恒大点球！！                   63'第63分钟，高拉特将球塞入华夏幸福禁区左侧，张文钊前冲后突然扣球摆脱，他与任航脚部接触后倒地，裁判先是判定点球，在观看视频回放后，裁判判定恒大这次攻势中对徐天沅犯规在先，取消点球判罚
64'这球张文钊前插接应，任航回防                   63'第63分钟，高拉特将球塞入华夏幸福禁区左侧，张文钊前冲后突然扣球摆脱，他与任航脚部接触后倒地，裁判先是判定点球，在观看视频回放后，裁判判定恒大这次攻势中对徐天沅犯规在先，取消点球判罚
65'张文钊急停一扣，两人接触后张文钊倒地                   63'第63分钟，高拉特将球塞入华夏幸福禁区左侧，张文钊前冲后突然扣球摆脱，他与任航脚部接触后倒地，裁判先是判定点球，在观看视频回放后，裁判判定恒大这次攻势中对徐天沅犯规在先，取消点球判罚
65'主裁判来到了场边，石祯禄自己看录像回看了！！                   63'第63分钟，高拉特将球塞入华夏幸福禁区左侧，张文钊前冲后突然扣球摆脱，他与任航脚部接触后倒地，裁判先是判定点球，在观看视频回放后，裁判判定恒大这次攻势中对徐天沅犯规在先，取消点球判罚
66'裁判回来了，改判！！！                   63'第63分钟，高拉特将球塞入华夏幸福禁区左侧，张文钊前冲后突然扣球摆脱，他与任航脚部接触后倒地，裁判先是判定点球，在观看视频回放后，裁判判定恒大这次攻势中对徐天沅犯规在先，取消点球判罚
66'吹罚了张文钊之前抢球时对于姜至鹏的犯规！！                   63'第63分钟，高拉特将球塞入华夏幸福禁区左侧，张文钊前冲后突然扣球摆脱，他与任航脚部接触后倒地，裁判先是判定点球，在观看视频回放后，裁判判定恒大这次攻势中对徐天沅犯规在先，取消点球判罚
66'裁判回来了，改判！！！                   66'第66分钟，马斯切拉诺中场拦截时凶狠放翻张文钊，他的这次犯规令自己都非常痛苦，裁判向其出示黄牌
66'吹罚了张文钊之前抢球时对于姜至鹏的犯规！！                   66'第66分钟，马斯切拉诺中场拦截时凶狠放翻张文钊，他的这次犯规令自己都非常痛苦，裁判向其出示黄牌
67'张文钊中场拿球，连续的摆脱                   66'第66分钟，马斯切拉诺中场拦截时凶狠放翻张文钊，他的这次犯规令自己都非常痛苦，裁判向其出示黄牌
67'小马哥上抢撞翻了张文钊，犯规！！                   66'第66分钟，马斯切拉诺中场拦截时凶狠放翻张文钊，他的这次犯规令自己都非常痛苦，裁判向其出示黄牌
67'小马哥马斯切拉诺被主裁判出示了黄牌警告！！                   66'第66分钟，马斯切拉诺中场拦截时凶狠放翻张文钊，他的这次犯规令自己都非常痛苦，裁判向其出示黄牌
68'马斯切拉诺累计4黄，下轮将自动停赛，无缘出战重庆斯威！！                   66'第66分钟，马斯切拉诺中场拦截时凶狠放翻张文钊，他的这次犯规令自己都非常痛苦，裁判向其出示黄牌
69'黄博文前场左路拿球，内切被罗森文放倒在地                   66'第66分钟，马斯切拉诺中场拦截时凶狠放翻张文钊，他的这次犯规令自己都非常痛苦，裁判向其出示黄牌
69'恒大获得了前场左路的任意球机会！！                   66'第66分钟，马斯切拉诺中场拦截时凶狠放翻张文钊，他的这次犯规令自己都非常痛苦，裁判向其出示黄牌
69'位置不错，大禁区左上角！！                   66'第66分钟，马斯切拉诺中场拦截时凶狠放翻张文钊，他的这次犯规令自己都非常痛苦，裁判向其出示黄牌
69'古德利任意球悬向后点，杨程出击，双拳打出！！                   66'第66分钟，马斯切拉诺中场拦截时凶狠放翻张文钊，他的这次犯规令自己都非常痛苦，裁判向其出示黄牌
75'金英权后场拿球，带过中线                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
75'斜传到禁区，任航抢在高拉特之前，头球解围出底线                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
75'恒大的右侧角球，没能形成威胁！！                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
75'张呈栋右路拿球，强突下底                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
75'倒三角回传中路，第一点被恒大球员解围                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
76'埃尔纳内斯禁区左上角的抽射                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
76'曾诚侧扑，鱼跃扑救，将球封堵出底线！                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
76'华夏幸福换人：13号崔麟上，换下了15号王秋明！                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
76'华夏幸福的左侧角球机会！！                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
77'拉维奇的角球开出到禁区，第一点被解围出来                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
77'小马哥外围拿球，再给左侧拉维奇                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
77'张琳芃的补防，撞翻了拉维奇，犯规！！                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
77'华夏幸福获得了前场左路的任意球机会！！                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
78'拉维奇任意球斜传到后点，古德利头球解围                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
78'张呈栋后点拿球，再传禁区                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
78'曾诚后退中没能拿到                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
78'混战中，球被恒大球员解围！！                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
78'姜至鹏外围拿球，再给宋文杰                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
78'背身拿球，转身分球右路                   75'第75分钟，埃尔纳内斯外围冷射被曾诚挡出
