2'今天巴萨又在中卫线上派出小马哥+布斯克茨的组合                   2'开场仅2分钟，比利亚左路传球，法布雷加斯25码处凌空抽射高出横梁
21'又是阿德的进球！                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
21'这个赛季阿德第三个进球了                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
22'阿德中路策动进攻，分给了右翼的佩德罗，佩刀低平球传门前，阿德抢点铲射破门！！！                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
22'阿尔维斯这下压力大了                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
22'A2状态这个赛季明显下滑，而且还经常受伤                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
23'而阿德在比利亚诺手下很受信任和重用                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
24'进球之后的巴萨打起来会更轻松？                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
24'贝尔梅霍！！！                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
24'塞尔塔的反击扳平了！                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
24'这速度，太牛了                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
24'塞尔塔在中场三脚传递就打穿了巴萨的防线                   21'巴萨第21分钟取得领先，阿德里亚诺分球右路，佩德罗禁区右侧传中，阿德里亚诺前点铲射破门
26'比利亚！！！                   26'巴萨第26分钟再度超出比分，比利亚脚后跟传球，伊涅斯塔禁区左侧下底回传，无人防守的比利亚前点小禁区边缘推射破门，2-1
26'Goooooooooooooooooooal！！！                   26'巴萨第26分钟再度超出比分，比利亚脚后跟传球，伊涅斯塔禁区左侧下底回传，无人防守的比利亚前点小禁区边缘推射破门，2-1
26'巴萨再次领先！！！小白的助攻                   26'巴萨第26分钟再度超出比分，比利亚脚后跟传球，伊涅斯塔禁区左侧下底回传，无人防守的比利亚前点小禁区边缘推射破门，2-1
27'这一次小白左路突破，底线回敲！比利亚中路跟进一脚推射！球应声入网                   26'巴萨第26分钟再度超出比分，比利亚脚后跟传球，伊涅斯塔禁区左侧下底回传，无人防守的比利亚前点小禁区边缘推射破门，2-1
27'不过之前比利亚的脚后跟传球太销魂了                   26'巴萨第26分钟再度超出比分，比利亚脚后跟传球，伊涅斯塔禁区左侧下底回传，无人防守的比利亚前点小禁区边缘推射破门，2-1
27'两队打得大开大合，比赛煞是好看哪                   26'巴萨第26分钟再度超出比分，比利亚脚后跟传球，伊涅斯塔禁区左侧下底回传，无人防守的比利亚前点小禁区边缘推射破门，2-1
28'今天这场球会是进球大战                   26'巴萨第26分钟再度超出比分，比利亚脚后跟传球，伊涅斯塔禁区左侧下底回传，无人防守的比利亚前点小禁区边缘推射破门，2-1
28'当然巴萨的后防线...真的是豆腐渣吗                   26'巴萨第26分钟再度超出比分，比利亚脚后跟传球，伊涅斯塔禁区左侧下底回传，无人防守的比利亚前点小禁区边缘推射破门，2-1
28'阿德再次助攻上来，巴萨在禁区外开始倒脚                   26'巴萨第26分钟再度超出比分，比利亚脚后跟传球，伊涅斯塔禁区左侧下底回传，无人防守的比利亚前点小禁区边缘推射破门，2-1
29'梅西转移到左路，比利亚的传中打在了后卫腿上                   26'巴萨第26分钟再度超出比分，比利亚脚后跟传球，伊涅斯塔禁区左侧下底回传，无人防守的比利亚前点小禁区边缘推射破门，2-1
37'游客5080: 迭戈  梅西---是Thiago不是Diego                    37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
37'巴萨虽然处于领先，不过还是不敢让人放心啊                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
37'这后防已经给了对方几次机会了                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
37'马斯切拉诺！停球失误                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
37'险些乌龙助攻                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
37'还好对方球员的远射打在了他身上弹出底线                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
38'阿尔维斯起来热身了                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
38'刚才阿德在冲撞中有些受伤                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
38'难得出了好状态，可惜受伤啊                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
38'梅西单刀了                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
38'始终没有摆脱防守！！！                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
38'浪费了                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
38'没有第一时间选择打门，梅西最后浪费了这个单刀机会                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
38'连起脚的机会都没了                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
39'阿尔维斯换下了受伤的阿德                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
39'比拉诺瓦表示阿德还是挺好用的，就是太爱受伤了                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
40'A2是梅西最喜欢的后卫                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
40'有他在场上，梅西少不了进球的                   37'第37分钟，阿莱士-洛佩斯禁区内的射门被布斯克茨挡出
38'阿尔维斯起来热身了                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
38'刚才阿德在冲撞中有些受伤                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
38'难得出了好状态，可惜受伤啊                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
38'梅西单刀了                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
38'始终没有摆脱防守！！！                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
38'浪费了                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
38'没有第一时间选择打门，梅西最后浪费了这个单刀机会                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
38'连起脚的机会都没了                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
39'阿尔维斯换下了受伤的阿德                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
39'比拉诺瓦表示阿德还是挺好用的，就是太爱受伤了                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
40'A2是梅西最喜欢的后卫                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
40'有他在场上，梅西少不了进球的                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
41'阿尔巴又一次被断球了                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
41'塞尔塔中场长传球没处理好，出了界外                   38'第38分钟，马洛失误让梅西获得单刀机会，梅西盘带过多失去射门机会，巴拉斯晃倒却并未丢失位置，梅西在多人包夹下被抢断
50'游客2814: 梅西的儿子叫蒂亚戈？---没错                   50'第50分钟，奥比尼亚后场对梅西犯规，阿根廷人28码处任意球直接射门稍稍高出
50'梅西~~~                   50'第50分钟，奥比尼亚后场对梅西犯规，阿根廷人28码处任意球直接射门稍稍高出
50'球直挂球门右上角，可惜还是高了                   50'第50分钟，奥比尼亚后场对梅西犯规，阿根廷人28码处任意球直接射门稍稍高出
50'球的下坠幅度还不够大                   50'第50分钟，奥比尼亚后场对梅西犯规，阿根廷人28码处任意球直接射门稍稍高出
52'布斯克茨顶在后腰位置上让巴萨的防守能力提升了不少                   50'第50分钟，奥比尼亚后场对梅西犯规，阿根廷人28码处任意球直接射门稍稍高出
52'至少对方的反击打得没那么顺畅了                   50'第50分钟，奥比尼亚后场对梅西犯规，阿根廷人28码处任意球直接射门稍稍高出
52'阿尔维斯的传中有些莫名其妙了，队友都没有想到                   50'第50分钟，奥比尼亚后场对梅西犯规，阿根廷人28码处任意球直接射门稍稍高出
61'阿尔巴！！！                   61'巴萨第61分钟扩大比分，伊涅斯塔传球，比利亚第一时间脚后跟传轻敲，明显越位的阿尔巴晃过巴拉斯推射空门得手，3-1
61'Gooooooooooooooooal！！！                   61'巴萨第61分钟扩大比分，伊涅斯塔传球，比利亚第一时间脚后跟传轻敲，明显越位的阿尔巴晃过巴拉斯推射空门得手，3-1
61'又是一次脚后跟的妙传！！！比利亚助攻阿尔巴                   61'巴萨第61分钟扩大比分，伊涅斯塔传球，比利亚第一时间脚后跟传轻敲，明显越位的阿尔巴晃过巴拉斯推射空门得手，3-1
62'比利亚在禁区线上脚后跟传球，阿尔巴！插上裁判没有鸣哨吹越位，盘过了门将之后推射空门                   61'巴萨第61分钟扩大比分，伊涅斯塔传球，比利亚第一时间脚后跟传轻敲，明显越位的阿尔巴晃过巴拉斯推射空门得手，3-1
62'这球跟阿尔巴在西班牙世界杯预选赛上打白俄罗斯那个进球差不多一样                   61'巴萨第61分钟扩大比分，伊涅斯塔传球，比利亚第一时间脚后跟传轻敲，明显越位的阿尔巴晃过巴拉斯推射空门得手，3-1
62'阿尔巴其实越位了                   61'巴萨第61分钟扩大比分，伊涅斯塔传球，比利亚第一时间脚后跟传轻敲，明显越位的阿尔巴晃过巴拉斯推射空门得手，3-1
62'不过他的插上速度太快，也造成边裁难以判断                   61'巴萨第61分钟扩大比分，伊涅斯塔传球，比利亚第一时间脚后跟传轻敲，明显越位的阿尔巴晃过巴拉斯推射空门得手，3-1
62'阿斯帕斯刚才前场抢球犯规领到了黄牌                   61'巴萨第61分钟扩大比分，伊涅斯塔传球，比利亚第一时间脚后跟传轻敲，明显越位的阿尔巴晃过巴拉斯推射空门得手，3-1
63'这下塞尔塔有些难打了                   61'巴萨第61分钟扩大比分，伊涅斯塔传球，比利亚第一时间脚后跟传轻敲，明显越位的阿尔巴晃过巴拉斯推射空门得手，3-1
64'下半场他们体力下降之后反击也没有上半场那么犀利了                   61'巴萨第61分钟扩大比分，伊涅斯塔传球，比利亚第一时间脚后跟传轻敲，明显越位的阿尔巴晃过巴拉斯推射空门得手，3-1
64'阿尔维斯传中，后卫又顶出了底线，角球                   61'巴萨第61分钟扩大比分，伊涅斯塔传球，比利亚第一时间脚后跟传轻敲，明显越位的阿尔巴晃过巴拉斯推射空门得手，3-1
66'阿尔巴中场横传球出现了失误                   66'第66分钟，哈维传球，佩德罗禁区前射门偏出
66'巴萨前场疯狂的反抢                   66'第66分钟，哈维传球，佩德罗禁区前射门偏出
67'佩刀自己来了一脚远射                   66'第66分钟，哈维传球，佩德罗禁区前射门偏出
67'机会并不太好，球也踢偏了                   66'第66分钟，哈维传球，佩德罗禁区前射门偏出
68'哈维挑传给阿尔维斯，越位了啊                   66'第66分钟，哈维传球，佩德罗禁区前射门偏出
69'哈维的传球稍微慢了半拍                   66'第66分钟，哈维传球，佩德罗禁区前射门偏出
69'阿尔维斯插上本有不错的单刀机会                   66'第66分钟，哈维传球，佩德罗禁区前射门偏出
69'裁判这次吹罚没有问题                   66'第66分钟，哈维传球，佩德罗禁区前射门偏出
78'桑切斯换下了比利亚                   78'第78分钟，比利亚被桑切斯换下，全场球迷起立鼓掌
79'巴萨角球开出来，阿尔巴把球勾到门前，可惜没有队友包抄                   78'第78分钟，比利亚被桑切斯换下，全场球迷起立鼓掌
80'马罗和桑切斯拼速度，明显比不过才上来的桑切斯                   78'第78分钟，比利亚被桑切斯换下，全场球迷起立鼓掌
80'一转眼桑切斯又到了对方禁区附近                   78'第78分钟，比利亚被桑切斯换下，全场球迷起立鼓掌
80'布斯克茨的传球打在了裁判的身上                   78'第78分钟，比利亚被桑切斯换下，全场球迷起立鼓掌
80'塞尔塔再次换人，朴周永出来了                   78'第78分钟，比利亚被桑切斯换下，全场球迷起立鼓掌
80'换下了8号洛佩斯                   78'第78分钟，比利亚被桑切斯换下，全场球迷起立鼓掌
81'在阿森纳无所作为的朴周永在塞尔塔表现还不错                   78'第78分钟，比利亚被桑切斯换下，全场球迷起立鼓掌
86'梅西又一次被放倒在禁区前                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
86'裁判没有理会，塞尔塔解围被巴萨在中场拦截                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
86'伊涅斯塔抹过了后卫，给到梅西！                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
86'可惜啊，梅西最后那下脚软了                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
86'停球没有处理好，浪费了一个门前推射的机会                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
86'好像还受伤了                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
87'梅西表情痛苦的倒在了场上                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
87'看起来是对方后卫解围的时候鞋钉带到了梅西的大腿上                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
87'这应该是硬伤，问题不太大的                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
88'梅西接受治疗之后又回到了场上                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
89'阿尔维斯横传球出现失误                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
89'这是他今天第几次了？                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
89'A2状态太差了                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
89'伊涅斯塔带球反击来了                   86'第86分钟，伊涅斯塔禁区左侧回传，无人防守梅西停球稍大错过射门机会，随后手捂右腿膝盖倒地，但经过治疗后并无大碍
