5'莱斯特城有机会                   5'第5分钟，坎比亚索开出角球，摩尔12码处头球攻门偏出
65'莱斯特城弧顶远射被布莱克特挡了一下                   64'第64分钟，汉蒙德禁区边缘外劲射被挡，瓦尔迪停球，坎比亚索禁区边缘内左脚劲射破门，3-3
65'坎比亚索跟进大力抽射破门，莱斯特城扳平了！                   64'第64分钟，汉蒙德禁区边缘外劲射被挡，瓦尔迪停球，坎比亚索禁区边缘内左脚劲射破门，3-3
65'[此时此刻值得来杯嘉士伯]                   64'第64分钟，汉蒙德禁区边缘外劲射被挡，瓦尔迪停球，坎比亚索禁区边缘内左脚劲射破门，3-3
66'这是坎比亚索在莱斯特城首粒进球                   64'第64分钟，汉蒙德禁区边缘外劲射被挡，瓦尔迪停球，坎比亚索禁区边缘内左脚劲射破门，3-3
66'想不到瞬间的变化，曼联连丢两球                   64'第64分钟，汉蒙德禁区边缘外劲射被挡，瓦尔迪停球，坎比亚索禁区边缘内左脚劲射破门，3-3
67'鲁尼远射又是被后卫封堵                   64'第64分钟，汉蒙德禁区边缘外劲射被挡，瓦尔迪停球，坎比亚索禁区边缘内左脚劲射破门，3-3
67'球落在左路迪马利亚脚下，迪马利亚加速下底传中被摩根挡出                   64'第64分钟，汉蒙德禁区边缘外劲射被挡，瓦尔迪停球，坎比亚索禁区边缘内左脚劲射破门，3-3
67'孔切斯基左路压过半场直塞被拉斐尔挡一下                   64'第64分钟，汉蒙德禁区边缘外劲射被挡，瓦尔迪停球，坎比亚索禁区边缘内左脚劲射破门，3-3
67'中路德林克沃特压过来拿球                   64'第64分钟，汉蒙德禁区边缘外劲射被挡，瓦尔迪停球，坎比亚索禁区边缘内左脚劲射破门，3-3
67'曼联这段有点乱                   64'第64分钟，汉蒙德禁区边缘外劲射被挡，瓦尔迪停球，坎比亚索禁区边缘内左脚劲射破门，3-3
68'哈蒙德挑传，瓦尔迪头球交给纽金特                   68'第68分钟，瓦尔迪传球，乌略亚禁区右侧射门偏出远角
69'哈蒙德斜传，布莱克特顶到第一点                   68'第68分钟，瓦尔迪传球，乌略亚禁区右侧射门偏出远角
69'摩根上抢成功，球分到右路                   68'第68分钟，瓦尔迪传球，乌略亚禁区右侧射门偏出远角
69'坎比亚索转移到位孔切斯基                   68'第68分钟，瓦尔迪传球，乌略亚禁区右侧射门偏出远角
69'德莱特右路传中，乌罗阿头点跳早了，拉斐尔头球解围                   68'第68分钟，瓦尔迪传球，乌略亚禁区右侧射门偏出远角
70'曼联全线回防，先避一下对方锋芒                   68'第68分钟，瓦尔迪传球，乌略亚禁区右侧射门偏出远角
70'曼联断球，鲁尼交给拉斐尔                   68'第68分钟，瓦尔迪传球，乌略亚禁区右侧射门偏出远角
70'埃雷拉直接直塞禁区，这位置完全没有队友                   68'第68分钟，瓦尔迪传球，乌略亚禁区右侧射门偏出远角
71'迪马利亚左路内切，交给鲁尼，鲁尼没有过到球                   68'第68分钟，瓦尔迪传球，乌略亚禁区右侧射门偏出远角
73'鲁尼中路要球，分给迪马利亚                   73'第73分钟，罗霍传球，埃雷拉左路30码处远射偏出
74'埃雷拉距离球门35米直接打远射，偏得不少                   73'第73分钟，罗霍传球，埃雷拉左路30码处远射偏出
74'英超的最后确认，曼联第三个进球算在埃雷拉帐下                   73'第73分钟，罗霍传球，埃雷拉左路30码处远射偏出
75'拉斐尔右路与孔切斯基力碰，拉斐尔失去平衡倒地                   73'第73分钟，罗霍传球，埃雷拉左路30码处远射偏出
75'边裁认为拉斐尔落地后手球犯规                   73'第73分钟，罗霍传球，埃雷拉左路30码处远射偏出
76'莱斯特城再换人，39号伍德换下35号纽金特                   73'第73分钟，罗霍传球，埃雷拉左路30码处远射偏出
76'德莱特右路助攻上来                   73'第73分钟，罗霍传球，埃雷拉左路30码处远射偏出
79'拉斐尔右路得球交给埃雷拉                   79'莱斯特城第79分钟反超比分，德拉特中场抢断马塔后斜传，瓦尔迪禁区内单刀推射破门，4-3
79'贾努扎伊要球回给埃雷拉，传中球被摩尔头球解围                   79'莱斯特城第79分钟反超比分，德拉特中场抢断马塔后斜传，瓦尔迪禁区内单刀推射破门，4-3
79'莱斯特城反击，瓦尔迪单刀了。。                   79'莱斯特城第79分钟反超比分，德拉特中场抢断马塔后斜传，瓦尔迪禁区内单刀推射破门，4-3
80'瓦尔迪推射破门！反超了！                   79'莱斯特城第79分钟反超比分，德拉特中场抢断马塔后斜传，瓦尔迪禁区内单刀推射破门，4-3
80'[此时此刻值得来杯嘉士伯]                   79'莱斯特城第79分钟反超比分，德拉特中场抢断马塔后斜传，瓦尔迪禁区内单刀推射破门，4-3
81'首先是马塔中场控球失误，德赫亚断球后快速带球过半场传到中路，斯莫林完成没有跑到位，瓦尔迪插上得球面对德赫亚推射破门                   79'莱斯特城第79分钟反超比分，德拉特中场抢断马塔后斜传，瓦尔迪禁区内单刀推射破门，4-3
81'范加尔是一面无耐                   79'莱斯特城第79分钟反超比分，德拉特中场抢断马塔后斜传，瓦尔迪禁区内单刀推射破门，4-3
81'莱斯特城得势不饶人                   79'莱斯特城第79分钟反超比分，德拉特中场抢断马塔后斜传，瓦尔迪禁区内单刀推射破门，4-3
82'曼联是买了很多中前场球员，但中后卫位置却没有投入                   79'莱斯特城第79分钟反超比分，德拉特中场抢断马塔后斜传，瓦尔迪禁区内单刀推射破门，4-3
82'现在问题是暴露出来了                   79'莱斯特城第79分钟反超比分，德拉特中场抢断马塔后斜传，瓦尔迪禁区内单刀推射破门，4-3
83'布莱克特冒顶了，回追绊倒了瓦尔迪！                   83'曼联第83分钟再遭打击，瓦尔迪摆脱布莱克特突入禁区右侧，布莱克特背后铲球犯规被红牌罚下，乌略亚主罚点球命中，5-3
83'点球+红牌，布莱克特被直接红牌罚下！                   83'曼联第83分钟再遭打击，瓦尔迪摆脱布莱克特突入禁区右侧，布莱克特背后铲球犯规被红牌罚下，乌略亚主罚点球命中，5-3
83'乌罗阿主罚，推射球门右下角成功！                   83'曼联第83分钟再遭打击，瓦尔迪摆脱布莱克特突入禁区右侧，布莱克特背后铲球犯规被红牌罚下，乌略亚主罚点球命中，5-3
83'[此时此刻值得来杯嘉士伯]                   83'曼联第83分钟再遭打击，瓦尔迪摆脱布莱克特突入禁区右侧，布莱克特背后铲球犯规被红牌罚下，乌略亚主罚点球命中，5-3
84'不过刚才瓦尔迪又是使了坏                   83'曼联第83分钟再遭打击，瓦尔迪摆脱布莱克特突入禁区右侧，布莱克特背后铲球犯规被红牌罚下，乌略亚主罚点球命中，5-3
84'与布莱克特争顶时在布莱克特起跳前挤了他一下让布莱克特冒顶了                   83'曼联第83分钟再遭打击，瓦尔迪摆脱布莱克特突入禁区右侧，布莱克特背后铲球犯规被红牌罚下，乌略亚主罚点球命中，5-3
85'两个点球都是瓦尔迪创造的                   83'曼联第83分钟再遭打击，瓦尔迪摆脱布莱克特突入禁区右侧，布莱克特背后铲球犯规被红牌罚下，乌略亚主罚点球命中，5-3
86'想不到曼联是一泻千里                   83'曼联第83分钟再遭打击，瓦尔迪摆脱布莱克特突入禁区右侧，布莱克特背后铲球犯规被红牌罚下，乌略亚主罚点球命中，5-3
