6'贵州队右侧一记直塞，打穿了对手防线                   6'第6分钟，陈昌源的一脚远射迫使阿尔滨门将做出飞身扑救
27'张佳祺后场犯规，给了对手一个正面的任意球机会，不过位置稍稍有些远                   25'随着比赛的继续，两队在场上逐渐陷入僵局，第25分钟，贵州人和再次在禁区外完成一脚远射，球在弹地后稍有加速，张不敢怠慢将球扑出，人和组织二次进攻，萨利的头球攻门正中张下怀，2分钟后，米西莫维奇的任意球直接攻门再次考验了阿尔滨门将的反应速度
28'米西莫维奇直接打门，直奔右下角，张翀飞身扑救挡出底线，拒绝了米西的射门                   25'随着比赛的继续，两队在场上逐渐陷入僵局，第25分钟，贵州人和再次在禁区外完成一脚远射，球在弹地后稍有加速，张不敢怠慢将球扑出，人和组织二次进攻，萨利的头球攻门正中张下怀，2分钟后，米西莫维奇的任意球直接攻门再次考验了阿尔滨门将的反应速度
33'贵州队左侧的一次快速攻击，巴克曼挡住了对手的传中                   33'第33分钟，赵宏略在防守尤里时的一次飞铲裁判未予判罚，这引起了人和教练席的不满
33'巴克曼作为后防清道夫，加盟大连之后表现一直很稳定，而且还有进球入账                   33'第33分钟，赵宏略在防守尤里时的一次飞铲裁判未予判罚，这引起了人和教练席的不满
34'尤里前场得球，赵宏略凶猛上抢，尤里倒地，裁判没有响哨                   33'第33分钟，赵宏略在防守尤里时的一次飞铲裁判未予判罚，这引起了人和教练席的不满
34'大连队趁对手示意裁判犯规之际迅速进攻                   33'第33分钟，赵宏略在防守尤里时的一次飞铲裁判未予判罚，这引起了人和教练席的不满
35'右侧突破下底，传中球被萨利挡出底线                   33'第33分钟，赵宏略在防守尤里时的一次飞铲裁判未予判罚，这引起了人和教练席的不满
35'大连队角球到后点，球传的有些飘，在顶回中路，没什么威胁了                   33'第33分钟，赵宏略在防守尤里时的一次飞铲裁判未予判罚，这引起了人和教练席的不满
36'贵州今天主打尤里，尤里和赵宏略屡屡上演单兵对决啊                   33'第33分钟，赵宏略在防守尤里时的一次飞铲裁判未予判罚，这引起了人和教练席的不满
36'米西来到了右侧，横向往中间走                   33'第33分钟，赵宏略在防守尤里时的一次飞铲裁判未予判罚，这引起了人和教练席的不满
47'于大宝中路得球无法转身，挑给左路插上的周通                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
47'周通没有追上这个球，出了底线                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
47'张烈大脚开到前场，贵州队进攻受阻                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
48'大连队马上打反击                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
48'张烈出击及时把球破坏                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
47'贵州队的长传被张翀直接没收                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
47'艾迪右路拿球进攻，向中路靠拢                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
47'艾迪把球分给左侧同伴，赵宏略交给周通                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
48'周通带球向前，被对手踢倒                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
48'陈涛定位球开入禁区，落点比较低，贵州队前点把球顶出                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
50'艾迪右路分球，交向中路，中路的于大宝直接向前传                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
50'索拉里速度确实偏慢一些，张成林迅速转身把球得到                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
50'贵州队赢得一次前场的定位球，左侧                   47'经过2分钟的伤停补时，两队并不算精彩的上半场比赛结束，贵州人和暂0-0大连阿尔滨
50'艾迪右路分球，交向中路，中路的于大宝直接向前传                   50'第50分钟，米西莫维奇开出前场任意球，张成林禁区内抢点射门被被张扑出，主裁判鸣哨吹停比赛向张成林出示黄牌，慢镜头显示张成林在禁区内射门瞬间有手球嫌疑
50'索拉里速度确实偏慢一些，张成林迅速转身把球得到                   50'第50分钟，米西莫维奇开出前场任意球，张成林禁区内抢点射门被被张扑出，主裁判鸣哨吹停比赛向张成林出示黄牌，慢镜头显示张成林在禁区内射门瞬间有手球嫌疑
50'贵州队赢得一次前场的定位球，左侧                   50'第50分钟，米西莫维奇开出前场任意球，张成林禁区内抢点射门被被张扑出，主裁判鸣哨吹停比赛向张成林出示黄牌，慢镜头显示张成林在禁区内射门瞬间有手球嫌疑
51'米西定位球开入禁区内，非常刁钻的落点，张翀双拳击出                   50'第50分钟，米西莫维奇开出前场任意球，张成林禁区内抢点射门被被张扑出，主裁判鸣哨吹停比赛向张成林出示黄牌，慢镜头显示张成林在禁区内射门瞬间有手球嫌疑
51'裁判哨响，张成林好像是故意手球了                   50'第50分钟，米西莫维奇开出前场任意球，张成林禁区内抢点射门被被张扑出，主裁判鸣哨吹停比赛向张成林出示黄牌，慢镜头显示张成林在禁区内射门瞬间有手球嫌疑
51'张成林也吃到了黄牌                   50'第50分钟，米西莫维奇开出前场任意球，张成林禁区内抢点射门被被张扑出，主裁判鸣哨吹停比赛向张成林出示黄牌，慢镜头显示张成林在禁区内射门瞬间有手球嫌疑
52'艾迪右路下底的传中，险些造成破门啊                   50'第50分钟，米西莫维奇开出前场任意球，张成林禁区内抢点射门被被张扑出，主裁判鸣哨吹停比赛向张成林出示黄牌，慢镜头显示张成林在禁区内射门瞬间有手球嫌疑
53'张烈站位靠前，本打算出击摘高空球                   50'第50分钟，米西莫维奇开出前场任意球，张成林禁区内抢点射门被被张扑出，主裁判鸣哨吹停比赛向张成林出示黄牌，慢镜头显示张成林在禁区内射门瞬间有手球嫌疑
53'不料，艾迪传中球直奔球门内，张烈狼狈的一扑，球打在门柱上弹出                   50'第50分钟，米西莫维奇开出前场任意球，张成林禁区内抢点射门被被张扑出，主裁判鸣哨吹停比赛向张成林出示黄牌，慢镜头显示张成林在禁区内射门瞬间有手球嫌疑
58'贵州队组织进攻，大连队除了索拉里外都回到了自己半场进行防守                   58'第58分钟，阿尔滨率先做出换人，周通被孙铂替换下场
58'饶伟辉交给李春郁，贵州队在转移到萨利脚下                   58'第58分钟，阿尔滨率先做出换人，周通被孙铂替换下场
59'萨利一记长传，找汉克，出了界外                   58'第58分钟，阿尔滨率先做出换人，周通被孙铂替换下场
59'大连队率先换人了，孙铂换下周通                   58'第58分钟，阿尔滨率先做出换人，周通被孙铂替换下场
60'孙铂作为替补，可以说是一员福将，屡有替补建功的表现                   58'第58分钟，阿尔滨率先做出换人，周通被孙铂替换下场
61'本赛季，客场对阵长春亚泰，正是孙铂在第89分钟时候的一记天外飞仙，帮助大连队带走1分                   58'第58分钟，阿尔滨率先做出换人，周通被孙铂替换下场
61'米西前场的突破，被孙铂放倒，前场任意球                   58'第58分钟，阿尔滨率先做出换人，周通被孙铂替换下场
60'孙铂作为替补，可以说是一员福将，屡有替补建功的表现                   60'阿尔滨在第60分钟错失空门良机，反击中阿尔滨前场以多打少，替补登场的孙铂趟过弃门出击的门将张烈，将球传给了更靠近球门的索拉里，后者面对近在咫尺的空门却将球鬼使神差的踢飞，阿尔滨替补席一片叹息，而大连文体频道解说员也表示这是阿尔滨最好的一次机会，这球踢不进比踢进更有难度
61'本赛季，客场对阵长春亚泰，正是孙铂在第89分钟时候的一记天外飞仙，帮助大连队带走1分                   60'阿尔滨在第60分钟错失空门良机，反击中阿尔滨前场以多打少，替补登场的孙铂趟过弃门出击的门将张烈，将球传给了更靠近球门的索拉里，后者面对近在咫尺的空门却将球鬼使神差的踢飞，阿尔滨替补席一片叹息，而大连文体频道解说员也表示这是阿尔滨最好的一次机会，这球踢不进比踢进更有难度
61'米西前场的突破，被孙铂放倒，前场任意球                   60'阿尔滨在第60分钟错失空门良机，反击中阿尔滨前场以多打少，替补登场的孙铂趟过弃门出击的门将张烈，将球传给了更靠近球门的索拉里，后者面对近在咫尺的空门却将球鬼使神差的踢飞，阿尔滨替补席一片叹息，而大连文体频道解说员也表示这是阿尔滨最好的一次机会，这球踢不进比踢进更有难度
62'米西定位球罚的位置欠佳，被大连队轻松解围                   60'阿尔滨在第60分钟错失空门良机，反击中阿尔滨前场以多打少，替补登场的孙铂趟过弃门出击的门将张烈，将球传给了更靠近球门的索拉里，后者面对近在咫尺的空门却将球鬼使神差的踢飞，阿尔滨替补席一片叹息，而大连文体频道解说员也表示这是阿尔滨最好的一次机会，这球踢不进比踢进更有难度
62'大连队错失了绝佳的空门机会啊                   60'阿尔滨在第60分钟错失空门良机，反击中阿尔滨前场以多打少，替补登场的孙铂趟过弃门出击的门将张烈，将球传给了更靠近球门的索拉里，后者面对近在咫尺的空门却将球鬼使神差的踢飞，阿尔滨替补席一片叹息，而大连文体频道解说员也表示这是阿尔滨最好的一次机会，这球踢不进比踢进更有难度
62'索拉里，近在咫尺的空门，居然打高                   60'阿尔滨在第60分钟错失空门良机，反击中阿尔滨前场以多打少，替补登场的孙铂趟过弃门出击的门将张烈，将球传给了更靠近球门的索拉里，后者面对近在咫尺的空门却将球鬼使神差的踢飞，阿尔滨替补席一片叹息，而大连文体频道解说员也表示这是阿尔滨最好的一次机会，这球踢不进比踢进更有难度
83'于海表示不满，认为对手也有小动作，主场作战迟迟打不开局面，心态有些急躁了                   83'第83分钟，张佳祺在防守尤里时连续拉拽对方染黄
83'尤里突破，赢得一次前场定位球，依然是米西主罚                   83'第83分钟，张佳祺在防守尤里时连续拉拽对方染黄
85'米西主罚的落点依然十分刁钻，张成林插上，头球后蹭，高出球门，不错的机会啊，没把握住                   83'第83分钟，张佳祺在防守尤里时连续拉拽对方染黄
85'大连队张佳祺吃到一张黄牌                   83'第83分钟，张佳祺在防守尤里时连续拉拽对方染黄
85'大连队今天的黄牌可是吃了不少                   83'第83分钟，张佳祺在防守尤里时连续拉拽对方染黄
88'张成林受伤倒在场内，刚才和索拉里撞了个满怀                   88'第88分钟，米西莫维奇在中场附近看到阿尔滨门将张站位比较靠前果断起脚吊射，球擦右侧门柱飞出
89'米西右路拿球，组织进攻，看张翀站位十分靠前，突然起脚吊门，险些打在门框内                   88'第88分钟，米西莫维奇在中场附近看到阿尔滨门将张站位比较靠前果断起脚吊射，球擦右侧门柱飞出
89'刚过中圈一点，险些打成世界波啊                   88'第88分钟，米西莫维奇在中场附近看到阿尔滨门将张站位比较靠前果断起脚吊射，球擦右侧门柱飞出
89'大连队获得了点球                   88'第88分钟，米西莫维奇在中场附近看到阿尔滨门将张站位比较靠前果断起脚吊射，球擦右侧门柱飞出
90'比赛最后时刻，客场作战的大连队赢得了点球机会，艾迪                   88'第88分钟，米西莫维奇在中场附近看到阿尔滨门将张站位比较靠前果断起脚吊射，球擦右侧门柱飞出
90'艾迪右路杀入禁区内，把球往前一趟，被对手铲翻在地                   88'第88分钟，米西莫维奇在中场附近看到阿尔滨门将张站位比较靠前果断起脚吊射，球擦右侧门柱飞出
91'大连队点球罚进                   88'第88分钟，米西莫维奇在中场附近看到阿尔滨门将张站位比较靠前果断起脚吊射，球擦右侧门柱飞出
91'布鲁诺主罚点球，抽射球门左下角，角度十分刁钻，张烈虽然方向判断准确，但无可奈何                   88'第88分钟，米西莫维奇在中场附近看到阿尔滨门将张站位比较靠前果断起脚吊射，球擦右侧门柱飞出
46'张翀门球开到前场                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
46'双方激烈的争夺球权，大连队组织进攻                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
47'于大宝中路得球无法转身，挑给左路插上的周通                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
47'周通没有追上这个球，出了底线                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
47'张烈大脚开到前场，贵州队进攻受阻                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
48'大连队马上打反击                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
48'张烈出击及时把球破坏                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
46'主裁判哨响，两队易边再战                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
46'下半场贵州队率先开球，米西交给了汉克                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
47'贵州队的长传被张翀直接没收                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
47'艾迪右路拿球进攻，向中路靠拢                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
47'艾迪把球分给左侧同伴，赵宏略交给周通                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
48'周通带球向前，被对手踢倒                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
48'陈涛定位球开入禁区，落点比较低，贵州队前点把球顶出                   46'伤停补时第1分钟，赵宏略后场长传球，布鲁诺反越位成功，获得单刀良机，随后轻巧闪开出击的张烈将球送入空门
