5'安德烈齐尼奥也是禁区弧顶附近尝试一脚远射，但没有什么威胁                   3'第3分钟，多利接后场长传头球摆渡，谭龙禁区内小角度凌空抽射稍微打高
18'尘埃落定灬醉殇 :第8。琪琪你不按套路出牌。直播天津你问亚泰----这不是亚泰的兄弟吗，毅腾                   16'第16分钟， 天津队左路长传，瓦伦西亚杀入禁区停住皮球，但李旭东回防及时将球捅出底线
18'双方都没有好的破门机会啊                   16'第16分钟， 天津队左路长传，瓦伦西亚杀入禁区停住皮球，但李旭东回防及时将球捅出底线
18'王二丫-520 :琪琪 我又来了---long  time  no  see                   16'第16分钟， 天津队左路长传，瓦伦西亚杀入禁区停住皮球，但李旭东回防及时将球捅出底线
19'边裁举旗示意罗德瑞格越位，他表示很无故，很冤枉，很坑爹~~                   16'第16分钟， 天津队左路长传，瓦伦西亚杀入禁区停住皮球，但李旭东回防及时将球捅出底线
19'[qiangda]泰达联赛最好成绩是？ A1 B2 C3 D4                   16'第16分钟， 天津队左路长传，瓦伦西亚杀入禁区停住皮球，但李旭东回防及时将球捅出底线
22'郭浩好像坚持不下来了                   22'第22分钟，刚刚登场的曹阳中场停球过大被亚当休斯断下，毅腾直 传禁区，利马解围又一脚踢空，多利意外得到直面门将的机会，但补防过来的阿里汗飞身堵枪眼将危机化解
22'郭浩被担架抬出                   22'第22分钟，刚刚登场的曹阳中场停球过大被亚当休斯断下，毅腾直 传禁区，利马解围又一脚踢空，多利意外得到直面门将的机会，但补防过来的阿里汗飞身堵枪眼将危机化解
22'曹阳替换下郭浩                   22'第22分钟，刚刚登场的曹阳中场停球过大被亚当休斯断下，毅腾直 传禁区，利马解围又一脚踢空，多利意外得到直面门将的机会，但补防过来的阿里汗飞身堵枪眼将危机化解
23'比赛恢复进行                   22'第22分钟，刚刚登场的曹阳中场停球过大被亚当休斯断下，毅腾直 传禁区，利马解围又一脚踢空，多利意外得到直面门将的机会，但补防过来的阿里汗飞身堵枪眼将危机化解
23'红枫之域 对-原谅我红尘颠倒-说:就是，这些伪球迷什么多不懂，本来就是伊藤要求的。。--原来是这样啊                   22'第22分钟，刚刚登场的曹阳中场停球过大被亚当休斯断下，毅腾直 传禁区，利马解围又一脚踢空，多利意外得到直面门将的机会，但补防过来的阿里汗飞身堵枪眼将危机化解
24'亚当休斯断球快速反击，阿里汉倒地铲球结果没有碰到球，利马及时补位，化解了亚当休斯直接面对门将的危机                   22'第22分钟，刚刚登场的曹阳中场停球过大被亚当休斯断下，毅腾直 传禁区，利马解围又一脚踢空，多利意外得到直面门将的机会，但补防过来的阿里汗飞身堵枪眼将危机化解
24'苗鑫360 :在这聊天的天津球迷 很友好---大家好才是真的好                   22'第22分钟，刚刚登场的曹阳中场停球过大被亚当休斯断下，毅腾直 传禁区，利马解围又一脚踢空，多利意外得到直面门将的机会，但补防过来的阿里汗飞身堵枪眼将危机化解
25'双方中场乱作一团，最终还是泰达拿到了皮球                   22'第22分钟，刚刚登场的曹阳中场停球过大被亚当休斯断下，毅腾直 传禁区，利马解围又一脚踢空，多利意外得到直面门将的机会，但补防过来的阿里汗飞身堵枪眼将危机化解
27'亚当休斯争到第一点，甩头攻门，皮球偏出右侧立柱出了底线                   27'第27分钟，毅腾顶住天津 队围攻后突然反击，多利送出妙传，罗德瑞格越过中线形成单刀，一路杀到禁区面对补防的阿里汗直接倒地，裁 判毫不犹豫冲过来出示黄牌警告其假摔
27'曹阳大脚将球转移到了左边                   27'第27分钟，毅腾顶住天津 队围攻后突然反击，多利送出妙传，罗德瑞格越过中线形成单刀，一路杀到禁区面对补防的阿里汗直接倒地，裁 判毫不犹豫冲过来出示黄牌警告其假摔
28'烈鸟左侧传中，第一点被李旭东破坏                   27'第27分钟，毅腾顶住天津 队围攻后突然反击，多利送出妙传，罗德瑞格越过中线形成单刀，一路杀到禁区面对补防的阿里汗直接倒地，裁 判毫不犹豫冲过来出示黄牌警告其假摔
28'罗德瑞格带球快速反击，利用速度摆脱两名后卫，禁区内倒地                   27'第27分钟，毅腾顶住天津 队围攻后突然反击，多利送出妙传，罗德瑞格越过中线形成单刀，一路杀到禁区面对补防的阿里汗直接倒地，裁 判毫不犹豫冲过来出示黄牌警告其假摔
29'裁判鸣哨，跑过来毫不犹豫的给了罗德瑞格一张黄牌，罗德瑞格假摔                   27'第27分钟，毅腾顶住天津 队围攻后突然反击，多利送出妙传，罗德瑞格越过中线形成单刀，一路杀到禁区面对补防的阿里汗直接倒地，裁 判毫不犹豫冲过来出示黄牌警告其假摔
29'wenshuzxg :我是沙发，按规矩出牌--玩带瘸子的不？？                   27'第27分钟，毅腾顶住天津 队围攻后突然反击，多利送出妙传，罗德瑞格越过中线形成单刀，一路杀到禁区面对补防的阿里汗直接倒地，裁 判毫不犹豫冲过来出示黄牌警告其假摔
30'多利获得右侧角球一个                   27'第27分钟，毅腾顶住天津 队围攻后突然反击，多利送出妙传，罗德瑞格越过中线形成单刀，一路杀到禁区面对补防的阿里汗直接倒地，裁 判毫不犹豫冲过来出示黄牌警告其假摔
30'第一点被利马顶出                   27'第27分钟，毅腾顶住天津 队围攻后突然反击，多利送出妙传，罗德瑞格越过中线形成单刀，一路杀到禁区面对补防的阿里汗直接倒地，裁 判毫不犹豫冲过来出示黄牌警告其假摔
32'wenshuzxg :琪琪，是不是主播的小名，小琪朋友---嗯 是滴                   32'第32分钟 ，天津队右路传中，杜震宇后点凌空垫射没有打上，皮球歪打正着弹到点球点附近的王新欣脚下，后者左脚大力 轰门，韩方腾奋力将球挡出
32'恭喜以下用户获得直播室会员资格: 溪山行旅精准                   32'第32分钟 ，天津队右路传中，杜震宇后点凌空垫射没有打上，皮球歪打正着弹到点球点附近的王新欣脚下，后者左脚大力 轰门，韩方腾奋力将球挡出
32'[qiangda]本赛季是毅腾的第几个中超赛季？                   32'第32分钟 ，天津队右路传中，杜震宇后点凌空垫射没有打上，皮球歪打正着弹到点球点附近的王新欣脚下，后者左脚大力 轰门，韩方腾奋力将球挡出
33'wenshuzxg :来，主播，我接受挑战--挑战什么啊                   32'第32分钟 ，天津队右路传中，杜震宇后点凌空垫射没有打上，皮球歪打正着弹到点球点附近的王新欣脚下，后者左脚大力 轰门，韩方腾奋力将球挡出
33'毅腾一点也不虚啊                   32'第32分钟 ，天津队右路传中，杜震宇后点凌空垫射没有打上，皮球歪打正着弹到点球点附近的王新欣脚下，后者左脚大力 轰门，韩方腾奋力将球挡出
34'周海滨右路传中，杜震宇头球做给了瓦伦西亚，瓦伦西亚打门被门将双手扑出了                   32'第32分钟 ，天津队右路传中，杜震宇后点凌空垫射没有打上，皮球歪打正着弹到点球点附近的王新欣脚下，后者左脚大力 轰门，韩方腾奋力将球挡出
35'新浪用户 :我想知道我是第几个喜欢琪琪的。。-----谁来告诉他  谁是第一个？？                   32'第32分钟 ，天津队右路传中，杜震宇后点凌空垫射没有打上，皮球歪打正着弹到点球点附近的王新欣脚下，后者左脚大力 轰门，韩方腾奋力将球挡出
35'上半场会有进球吗？？？                   32'第32分钟 ，天津队右路传中，杜震宇后点凌空垫射没有打上，皮球歪打正着弹到点球点附近的王新欣脚下，后者左脚大力 轰门，韩方腾奋力将球挡出
35'[qiangda]阿里汉球员期间没有效力过以下哪支球队? a阿贾克斯 b安德莱赫特 c埃因霍温 d霍芬海姆                   32'第32分钟 ，天津队右路传中，杜震宇后点凌空垫射没有打上，皮球歪打正着弹到点球点附近的王新欣脚下，后者左脚大力 轰门，韩方腾奋力将球挡出
38'奋斗2014考研 :琪琪，我是你的粉丝，你直播的每场比赛我都看，给我一张你的签名照好吗？---专心考研好嘛 同学                   38'第38分钟，卜鑫开出角球被天津队顶出，跟进队友在禁区外直接远射打得又高又偏
38'里卡多中场对烈鸟犯规                   38'第38分钟，卜鑫开出角球被天津队顶出，跟进队友在禁区外直接远射打得又高又偏
39'西海贝壳1990 :哈尔滨7连客是考虑气候原因，中超刚开赛，3月初，哈尔滨温度还在0度以下，不适合足球这种户外剧烈运动，容易受伤---棒！！                   38'第38分钟，卜鑫开出角球被天津队顶出，跟进队友在禁区外直接远射打得又高又偏
39'里卡多直塞给多利时，多利没有及时启动，结果皮球直接给了宗磊                   38'第38分钟，卜鑫开出角球被天津队顶出，跟进队友在禁区外直接远射打得又高又偏
40'雅清美白面膜 :哈尔滨每轮都这么拼，说的好听点叫勇气可嘉，说的难听点就是无脑傻帽。---别这样说 不好不好                   38'第38分钟，卜鑫开出角球被天津队顶出，跟进队友在禁区外直接远射打得又高又偏
40'今天毅腾会拿到中超首分吗                   38'第38分钟，卜鑫开出角球被天津队顶出，跟进队友在禁区外直接远射打得又高又偏
40'奋斗2014考研 :琪琪！--怎么了啊                   38'第38分钟，卜鑫开出角球被天津队顶出，跟进队友在禁区外直接远射打得又高又偏
41'瓦伦西亚停球结果停大发了                   38'第38分钟，卜鑫开出角球被天津队顶出，跟进队友在禁区外直接远射打得又高又偏
41'独霸唯詹 :琪琪 根据今天观察 每次说会有进球吗 其实都已经进过球了--文字直播都比视频慢的 同学 请多多谅解                   38'第38分钟，卜鑫开出角球被天津队顶出，跟进队友在禁区外直接远射打得又高又偏
48'烈鸟开出角球，皮球来到后点，但没有队友跟上，没有什么威胁                   48'上半场补时3分钟，天津队通 过传球控制节奏
49'[qiangda]泰达联赛最好成绩是？ A1 B2 C3 D4                   48'上半场补时3分钟，天津队通 过传球控制节奏
49'裁判吹响了上半场比赛结束的哨声                   48'上半场补时3分钟，天津队通 过传球控制节奏
49'话题：哈尔滨毅腾赛季开场7连客，这样的赛程安排到底合不合理？                   48'上半场补时3分钟，天津队通 过传球控制节奏
48'许东放铲曹阳，被裁判出示了一张黄牌                   48'上半场补时3分钟，天津队通 过传球控制节奏
48'幸福樹與 :琪琪，加油!!!---谢谢哦 亲                   48'上半场补时3分钟，天津队通 过传球控制节奏
48'泰达获得禁区右侧一个任意球                   48'上半场补时3分钟，天津队通 过传球控制节奏
48'杜震宇站在了球前                   48'上半场补时3分钟，天津队通 过传球控制节奏
49'杜震宇直接打门，一脚美妙的弧线穿过了韩方腾的十指关！！                   48'上半场补时3分钟，天津队通 过传球控制节奏
49'杜震宇梅开二度                   48'上半场补时3分钟，天津队通 过传球控制节奏
50'sun_佳伟 :上港明年在亚冠跟恒大会师决赛吧---不开玩笑？？？                   48'上半场补时3分钟，天津队通 过传球控制节奏
50'看样毅腾想要拿取首分还挺难的                   48'上半场补时3分钟，天津队通 过传球控制节奏
51'泰达后场直接长传，脚法没有控制好，传到了对方球员脚下                   48'上半场补时3分钟，天津队通 过传球控制节奏
51'用户3636227654 :杜震宇金左脚啊啊---弧线美如画啊                   48'上半场补时3分钟，天津队通 过传球控制节奏
51'[qiangda]毅腾的主场叫什么名字？ A哈尔滨体育中心 B哈尔滨国际会展中心体育场 C哈尔滨中心体育场 D毅腾体育场                   48'上半场补时3分钟，天津队通 过传球控制节奏
47'奋斗2014考研 :琪琪，求照片！--你是哪个学校的啊？？                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
47'瓦伦西亚为泰达赢得一个角球                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
48'烈鸟开出角球，皮球来到后点，但没有队友跟上，没有什么威胁                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
49'[qiangda]泰达联赛最好成绩是？ A1 B2 C3 D4                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
49'裁判吹响了上半场比赛结束的哨声                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
49'话题：哈尔滨毅腾赛季开场7连客，这样的赛程安排到底合不合理？                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
47'卜鑫被韩旭换下                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
47'白岳峰后场长传冲吊，队友实在不好接，就把球控制下来，稳定了一下节奏                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
48'许东放铲曹阳，被裁判出示了一张黄牌                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
48'幸福樹與 :琪琪，加油!!!---谢谢哦 亲                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
48'泰达获得禁区右侧一个任意球                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
48'杜震宇站在了球前                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
49'杜震宇直接打门，一脚美妙的弧线穿过了韩方腾的十指关！！                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
49'杜震宇梅开二度                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
50'sun_佳伟 :上港明年在亚冠跟恒大会师决赛吧---不开玩笑？？？                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
50'看样毅腾想要拿取首分还挺难的                   47'第47分钟，王新欣直传，白岳峰插上拿球，被许东从身后伸脚踢倒
52'大家可以积极预测比分，比赛结束后琪琪将从答对的同学中随机抽取3名会员送出哦                   52'第52分钟，杜震宇左路直接用外脚背将球顺给瓦伦西亚，后者突破后回传王新欣，王新欣 轻巧将球挑过后卫还给瓦伦西亚
52'王新欣中路准备直塞前插的瓦伦西亚，被许东断下                   52'第52分钟，杜震宇左路直接用外脚背将球顺给瓦伦西亚，后者突破后回传王新欣，王新欣 轻巧将球挑过后卫还给瓦伦西亚
52'多利现在只能回撤拿球，他在前场根本接不住球啊                   52'第52分钟，杜震宇左路直接用外脚背将球顺给瓦伦西亚，后者突破后回传王新欣，王新欣 轻巧将球挑过后卫还给瓦伦西亚
53'曹阳大脚将球转移到了左边                   52'第52分钟，杜震宇左路直接用外脚背将球顺给瓦伦西亚，后者突破后回传王新欣，王新欣 轻巧将球挑过后卫还给瓦伦西亚
53'瓦伦西亚挑传杜震宇，第一点被门将出击击出                   52'第52分钟，杜震宇左路直接用外脚背将球顺给瓦伦西亚，后者突破后回传王新欣，王新欣 轻巧将球挑过后卫还给瓦伦西亚
54'秘奇有天585 :我觉得联赛刚刚开始，今年很多队伍投入比较大，我觉得现在一些强队或者准强队的表现还不能说明问题，联赛进行到中后程会更好看----                   52'第52分钟，杜震宇左路直接用外脚背将球顺给瓦伦西亚，后者突破后回传王新欣，王新欣 轻巧将球挑过后卫还给瓦伦西亚
54'李建后场拉倒了瓦伦西亚，泰达获得了一个前场定位球                   52'第52分钟，杜震宇左路直接用外脚背将球顺给瓦伦西亚，后者突破后回传王新欣，王新欣 轻巧将球挑过后卫还给瓦伦西亚
54'开出了战术角球                   52'第52分钟，杜震宇左路直接用外脚背将球顺给瓦伦西亚，后者突破后回传王新欣，王新欣 轻巧将球挑过后卫还给瓦伦西亚
54'泰达还是控制皮球为主                   52'第52分钟，杜震宇左路直接用外脚背将球顺给瓦伦西亚，后者突破后回传王新欣，王新欣 轻巧将球挑过后卫还给瓦伦西亚
55'杜震宇左路起球传中，球传的太高了，被门将拿下                   52'第52分钟，杜震宇左路直接用外脚背将球顺给瓦伦西亚，后者突破后回传王新欣，王新欣 轻巧将球挑过后卫还给瓦伦西亚
60'[qiangda]泰达联赛最好成绩是？ A1 B2 C3 D4                   60'第60分钟，多利断球形成反击，罗德瑞格与队友二过一配合形成空当，但高速回防的杜震宇将球破坏
60'李建45度斜传中，这时边裁举旗示意多利越位了                   60'第60分钟，多利断球形成反击，罗德瑞格与队友二过一配合形成空当，但高速回防的杜震宇将球破坏
62'多利和李家赫寻求撞墙配合，李家赫接球结果趟大了                   60'第60分钟，多利断球形成反击，罗德瑞格与队友二过一配合形成空当，但高速回防的杜震宇将球破坏
62'大家积极预测比分哦，比赛结束后将从答对的同学中随机抽取3名会员哦                   60'第60分钟，多利断球形成反击，罗德瑞格与队友二过一配合形成空当，但高速回防的杜震宇将球破坏
62'恭喜以下用户获得直播室会员资格: 新浪用户                   60'第60分钟，多利断球形成反击，罗德瑞格与队友二过一配合形成空当，但高速回防的杜震宇将球破坏
65'许东左侧起球传中，球传到了后点，但后点没有队友包抄                   65'第65分钟，天津队快速反击，王新欣将球送给禁区内的瓦伦西亚时许东回防到位铲出底线
66'周海并直塞禁区内的瓦伦西亚，好在许东及时赶到将危机化解                   65'第65分钟，天津队快速反击，王新欣将球送给禁区内的瓦伦西亚时许东回防到位铲出底线
66'泰达获得右边一个角球                   65'第65分钟，天津队快速反击，王新欣将球送给禁区内的瓦伦西亚时许东回防到位铲出底线
66'韩方藤直接将球拿到                   65'第65分钟，天津队快速反击，王新欣将球送给禁区内的瓦伦西亚时许东回防到位铲出底线
67'sun_佳伟 :3：0完场---不会再有进球了？？？                   65'第65分钟，天津队快速反击，王新欣将球送给禁区内的瓦伦西亚时许东回防到位铲出底线
67'多利禁区内打门，皮球稍微偏出左侧立柱出了底线                   65'第65分钟，天津队快速反击，王新欣将球送给禁区内的瓦伦西亚时许东回防到位铲出底线
68'曹阳中场拉倒了亚当休斯被吹了犯规                   65'第65分钟，天津队快速反击，王新欣将球送给禁区内的瓦伦西亚时许东回防到位铲出底线
66'周海并直塞禁区内的瓦伦西亚，好在许东及时赶到将危机化解                   66'第66分钟，泰达禁区内一片混乱，多利得到机会施射远角，皮球稍稍偏出远端门柱
66'泰达获得右边一个角球                   66'第66分钟，泰达禁区内一片混乱，多利得到机会施射远角，皮球稍稍偏出远端门柱
66'韩方藤直接将球拿到                   66'第66分钟，泰达禁区内一片混乱，多利得到机会施射远角，皮球稍稍偏出远端门柱
67'sun_佳伟 :3：0完场---不会再有进球了？？？                   66'第66分钟，泰达禁区内一片混乱，多利得到机会施射远角，皮球稍稍偏出远端门柱
67'多利禁区内打门，皮球稍微偏出左侧立柱出了底线                   66'第66分钟，泰达禁区内一片混乱，多利得到机会施射远角，皮球稍稍偏出远端门柱
68'曹阳中场拉倒了亚当休斯被吹了犯规                   66'第66分钟，泰达禁区内一片混乱，多利得到机会施射远角，皮球稍稍偏出远端门柱
69'泰达快读反击，韩方藤及时出了禁区，大脚将危机化解                   66'第66分钟，泰达禁区内一片混乱，多利得到机会施射远角，皮球稍稍偏出远端门柱
70'[qiangda]泰达目前排名第几？                   70'第70分钟，曹阳后场手球犯规，韩旭开出很有威胁的任意球，皮球速度极快可惜稍稍高出了横梁
70'白岳峰倒地将多利的皮球铲出                   70'第70分钟，曹阳后场手球犯规，韩旭开出很有威胁的任意球，皮球速度极快可惜稍稍高出了横梁
70'曹阳中场手球犯规                   70'第70分钟，曹阳后场手球犯规，韩旭开出很有威胁的任意球，皮球速度极快可惜稍稍高出了横梁
71'幸福樹與 :本轮前六场总共才进8个球，今天琪琪直播的这两场已经进了11个，很给力啊!期待下轮继续给力。--累坏了                   70'第70分钟，曹阳后场手球犯规，韩旭开出很有威胁的任意球，皮球速度极快可惜稍稍高出了横梁
71'毅腾获得前场右侧任意球，韩旭直接打门，皮球砸在了球网上！！                   70'第70分钟，曹阳后场手球犯规，韩旭开出很有威胁的任意球，皮球速度极快可惜稍稍高出了横梁
73'里卡多禁区里准备抹开角度打门时，被阿里汉直接伸腿挡出                   70'第70分钟，曹阳后场手球犯规，韩旭开出很有威胁的任意球，皮球速度极快可惜稍稍高出了横梁
76'曹阳中场对多利犯规                   76'第76分钟，李家赫连续晃动后在禁区前沿左脚抽射，皮球击中后卫变向，宗垒反应神速侧扑将球封出
77'罗德瑞格挑传多利，高度不够被利马跳起顶出禁区                   76'第76分钟，李家赫连续晃动后在禁区前沿左脚抽射，皮球击中后卫变向，宗垒反应神速侧扑将球封出
78'边裁举旗示意瓦伦西亚越位了                   76'第76分钟，李家赫连续晃动后在禁区前沿左脚抽射，皮球击中后卫变向，宗垒反应神速侧扑将球封出
78'新浪用户 :希望琪琪下次播全北对恒大，让恒大进多多的球---播不播都得进球多多的 哈哈                   76'第76分钟，李家赫连续晃动后在禁区前沿左脚抽射，皮球击中后卫变向，宗垒反应神速侧扑将球封出
79'王新欣被胡人天换下                   76'第76分钟，李家赫连续晃动后在禁区前沿左脚抽射，皮球击中后卫变向，宗垒反应神速侧扑将球封出
79'并将队长队标带在了周海滨的手臂上                   76'第76分钟，李家赫连续晃动后在禁区前沿左脚抽射，皮球击中后卫变向，宗垒反应神速侧扑将球封出
80'[qiangda]泰达联赛最好成绩是？ A1 B2 C3 D4                   80'第80分钟，胡人天右路杀入禁区，横传被后卫挡出，他继续拿球横切后左脚打门，韩方腾侧扑将球压住
80'里卡多长传到禁区，结果直接被门将没收                   80'第80分钟，胡人天右路杀入禁区，横传被后卫挡出，他继续拿球横切后左脚打门，韩方腾侧扑将球压住
81'胡人天上场就一脚远射，没有发上力度，被门将直接收下                   80'第80分钟，胡人天右路杀入禁区，横传被后卫挡出，他继续拿球横切后左脚打门，韩方腾侧扑将球压住
83'瓦伦西亚加速突破2人防守，左脚射门，皮球擦着右侧立柱出了底线                   80'第80分钟，胡人天右路杀入禁区，横传被后卫挡出，他继续拿球横切后左脚打门，韩方腾侧扑将球压住
83'杜震宇被惠家康换下了                   80'第80分钟，胡人天右路杀入禁区，横传被后卫挡出，他继续拿球横切后左脚打门，韩方腾侧扑将球压住
86'许东掷出大力边线球，亚当休斯头球后蹭给多利，多利门线附近得球，起脚打门，却打到了门将身上出了底线                   85'第85分钟，里卡多接大力界外球头球后蹭，多利距门不到3米凌空垫射竟然打在宗垒身上弹出底线
86'毅腾开出角球，角球第一点被利马破坏了                   85'第85分钟，里卡多接大力界外球头球后蹭，多利距门不到3米凌空垫射竟然打在宗垒身上弹出底线
87'用户fj2pqhsbx7 :哈尔滨还是值得尊敬的--说的好                   85'第85分钟，里卡多接大力界外球头球后蹭，多利距门不到3米凌空垫射竟然打在宗垒身上弹出底线
87'大家可以积极预测比分，比赛结束后琪琪将从答对的同学中随机抽取3名会员送出哦                   85'第85分钟，里卡多接大力界外球头球后蹭，多利距门不到3米凌空垫射竟然打在宗垒身上弹出底线
88'中场拼抢时，里卡多对周海滨犯规                   85'第85分钟，里卡多接大力界外球头球后蹭，多利距门不到3米凌空垫射竟然打在宗垒身上弹出底线
90'泰达牢牢控制局面，看样这场比赛是要拿下了                   89'第89分钟，苑维玮左路突破到底线传中，惠家康无人盯防的情况下禁区内推射远角，韩方腾做出精彩扑救将球封出底线
90'苑维玮下底低平球传给惠佳康，惠家康起脚打门，被门将扑出底线，泰达获得角球                   89'第89分钟，苑维玮左路突破到底线传中，惠家康无人盯防的情况下禁区内推射远角，韩方腾做出精彩扑救将球封出底线
91'角球开出，第一点后卫顶出，周海滨跟进一脚远射，皮球高出了横梁好多                   89'第89分钟，苑维玮左路突破到底线传中，惠家康无人盯防的情况下禁区内推射远角，韩方腾做出精彩扑救将球封出底线
92'补时3分钟                   89'第89分钟，苑维玮左路突破到底线传中，惠家康无人盯防的情况下禁区内推射远角，韩方腾做出精彩扑救将球封出底线
92'瓦伦西亚一个基本面对空门不进，今天真是没有进球运啊                   89'第89分钟，苑维玮左路突破到底线传中，惠家康无人盯防的情况下禁区内推射远角，韩方腾做出精彩扑救将球封出底线
