1'上半场比赛开始！                   1'双方第1分钟均显得小心谨慎
13'往前走！内切给身旁拉姆！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
13'敲中间比达尔！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
14'分左边科斯塔这边！没机会！给身后阿隆索！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
14'直接起球！找莱万！越位啦！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
14'贝莱林低平向前！被比达尔断下！                   11'拜仁第11分钟取得领先，科斯塔传球，罗本右路内切后22码处弧线球射门，皮球擦横梁下沿入左上角
27'右侧找桑切斯！起速！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
27'往前趟！胡梅撞到犯规了！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
27'禁区外右侧任意球！胡梅也得到一张黄牌！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
27'好机会啊！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
28'厄齐尔直接攻门！中路！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
28'诺伊尔脱手！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
28'补射！伊沃比偏出！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
28'右侧马丁内斯拿到！分右路阿隆索！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
29'大转移科斯塔！穆斯塔菲抢断下来！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
29'直接找右路桑切斯！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
29'传中！比达尔出脚解围出底线！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
29'角球开出！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
30'禁区中路！点球啊！！！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
30'科斯切尔尼被莱万撞到！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
30'桑切斯来操刀啊！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
30'左侧！诺伊尔扑出！                   27'第27分钟，桑切斯右路突破迫使胡梅尔斯在禁区边缘外犯规被罚黄牌，厄齐尔任意球直接射门被诺伊尔扑出
35'禁区里！阿拉巴起脚！打到贝莱林身上！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
35'给了角球！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
35'给上面蒂亚戈！起脚到后点！找莱万！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
35'头球！高了！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
35'奥斯皮纳大脚出来！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
36'科斯切尔尼起球到前场！出了边线！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
36'边线球出来！中路阿隆索拿到！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
36'往前塞！科斯切尔尼上来踢出去！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
36'右路蒂亚戈拿球！伊沃比防守犯规啦！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
37'右路罗本这边！往前走！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
37'内切回敲中间比达尔！转移到左侧阿拉巴！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
37'横敲禁区一脚！出了底线！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
38'中场右侧阿隆索拿到！回给身后马丁内斯！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
38'低平给右路罗本这边！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
38'回给拉姆！没机会！传回后场！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
38'直接起球找科斯塔前插！                   35'第35分钟，阿拉巴禁区左侧传中打在贝莱林手上，裁判仅判罚角球令拜仁球员不满
46'左路厄齐尔插上！单刀！打远脚！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
46'诺伊尔侧扑！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
46'右路贝莱林传中！被马丁内斯解围出来！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
46'上半场比赛结束！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
46'拜仁开球！下半场比赛开始！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
46'回传中路胡梅！长传前场！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
46'穆斯塔菲解围出来！中圈争抢！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
47'吹了拜仁犯规！任意球！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
47'伊沃比断了！反击！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
47'横敲给桑切斯！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
47'禁区左侧！再给中间桑切斯！趟大了！直接出了底线！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
48'马丁内斯给身前阿隆索！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
48'直接长传前场！后卫出来解围！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
49'奥斯皮纳被科斯塔撞倒！倒在了地上！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
49'保利斯塔换下科斯切尔尼！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
49'科斯切尔尼应该是有伤啊！                   46'但下半场第1分钟遭遇打击，科斯切尔尼受伤被加布里埃尔换下
56'给左边桑切斯！直塞进禁区！                   56'第56分钟，阿隆索传球，莱万多夫斯基脚后跟妙传，反越位成功的蒂亚戈12码处单刀推射入网，3-1
56'罗本回防拦截下来！                   56'第56分钟，阿隆索传球，莱万多夫斯基脚后跟妙传，反越位成功的蒂亚戈12码处单刀推射入网，3-1
56'反击！                   56'第56分钟，阿隆索传球，莱万多夫斯基脚后跟妙传，反越位成功的蒂亚戈12码处单刀推射入网，3-1
56'罗本往前趟分右边莱万！给斜线！奥斯皮纳出来得到！                   56'第56分钟，阿隆索传球，莱万多夫斯基脚后跟妙传，反越位成功的蒂亚戈12码处单刀推射入网，3-1
57'阿隆索分身前莱万！                   56'第56分钟，阿隆索传球，莱万多夫斯基脚后跟妙传，反越位成功的蒂亚戈12码处单刀推射入网，3-1
57'脚后跟给蒂亚戈！                   56'第56分钟，阿隆索传球，莱万多夫斯基脚后跟妙传，反越位成功的蒂亚戈12码处单刀推射入网，3-1
57'右脚低射！进了！！！！！                   56'第56分钟，阿隆索传球，莱万多夫斯基脚后跟妙传，反越位成功的蒂亚戈12码处单刀推射入网，3-1
58'蒂亚戈的后插上！低射破门！                   56'第56分钟，阿隆索传球，莱万多夫斯基脚后跟妙传，反越位成功的蒂亚戈12码处单刀推射入网，3-1
59'拉姆边路传中！解围出来！                   56'第56分钟，阿隆索传球，莱万多夫斯基脚后跟妙传，反越位成功的蒂亚戈12码处单刀推射入网，3-1
59'马丁内斯中场拦截下来！阿隆索倒在了草地上！                   56'第56分钟，阿隆索传球，莱万多夫斯基脚后跟妙传，反越位成功的蒂亚戈12码处单刀推射入网，3-1
61'蒂亚戈中场直塞找莱万！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
61'越位啦！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
61'扎卡中场刚刚犯规！裁判补了一张黄牌！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
61'中路比达尔拿到！低平传给科斯塔！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
62'向前直塞！蒂亚戈吊射！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
62'罗本后点右侧补射！被后卫解围出底线！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
62'阿森纳现在太被动了啊！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
63'角球开出来！后点马丁内斯头球！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
63'奥斯皮纳扑出横梁！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
63'左侧角球！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
64'解围出来！禁区外围！蒂亚戈直接射了！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
64'进了进了进了进了！！！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
64'这球打在扎卡身上变线！                   61'第61分钟，莱万多夫斯基禁区左侧传射偏转后吊在横梁弹回，罗本禁区右侧补射被吉布斯挡出近角，拜仁球员投诉对方手球犯规，但底线裁判和边裁均未予理睬
63'角球开出来！后点马丁内斯头球！                   63'第63分钟，蒂亚戈角球混战中禁区弧内劲射打在扎卡腿上偏转入网，4-1
63'奥斯皮纳扑出横梁！                   63'第63分钟，蒂亚戈角球混战中禁区弧内劲射打在扎卡腿上偏转入网，4-1
63'左侧角球！                   63'第63分钟，蒂亚戈角球混战中禁区弧内劲射打在扎卡腿上偏转入网，4-1
64'解围出来！禁区外围！蒂亚戈直接射了！                   63'第63分钟，蒂亚戈角球混战中禁区弧内劲射打在扎卡腿上偏转入网，4-1
64'进了进了进了进了！！！                   63'第63分钟，蒂亚戈角球混战中禁区弧内劲射打在扎卡腿上偏转入网，4-1
64'这球打在扎卡身上变线！                   63'第63分钟，蒂亚戈角球混战中禁区弧内劲射打在扎卡腿上偏转入网，4-1
65'４－１了啊！有点要崩盘！                   63'第63分钟，蒂亚戈角球混战中禁区弧内劲射打在扎卡腿上偏转入网，4-1
65'继续回到比赛！                   63'第63分钟，蒂亚戈角球混战中禁区弧内劲射打在扎卡腿上偏转入网，4-1
65'穆斯塔菲分右侧贝莱林！出了边线！                   63'第63分钟，蒂亚戈角球混战中禁区弧内劲射打在扎卡腿上偏转入网，4-1
66'沃尔科特换下伊沃比！                   63'第63分钟，蒂亚戈角球混战中禁区弧内劲射打在扎卡腿上偏转入网，4-1
66'胡梅后场拿球！回传给诺伊尔！                   63'第63分钟，蒂亚戈角球混战中禁区弧内劲射打在扎卡腿上偏转入网，4-1
66'分阿拉巴这边！                   63'第63分钟，蒂亚戈角球混战中禁区弧内劲射打在扎卡腿上偏转入网，4-1
88'拉菲尼亚也换下罗本！                   88'第88分钟，张伯伦失误丢球，蒂亚戈横传，穆勒拉球晃过2人后低射破门，5-1
89'蒂亚戈横敲禁区左侧穆勒！左脚低射！进了！！！！！                   88'第88分钟，张伯伦失误丢球，蒂亚戈横传，穆勒拉球晃过2人后低射破门，5-1
89'５－１了啊！                   88'第88分钟，张伯伦失误丢球，蒂亚戈横传，穆勒拉球晃过2人后低射破门，5-1
90'右路拉菲尼亚拿球！回敲给比达尔！                   88'第88分钟，张伯伦失误丢球，蒂亚戈横传，穆勒拉球晃过2人后低射破门，5-1
90'分左侧张伯伦！长传禁区里！                   88'第88分钟，张伯伦失误丢球，蒂亚戈横传，穆勒拉球晃过2人后低射破门，5-1
90'诺伊尔出来拿到！                   88'第88分钟，张伯伦失误丢球，蒂亚戈横传，穆勒拉球晃过2人后低射破门，5-1
91'给身旁马丁内斯！                   88'第88分钟，张伯伦失误丢球，蒂亚戈横传，穆勒拉球晃过2人后低射破门，5-1
91'低平传给中间比达尔！                   88'第88分钟，张伯伦失误丢球，蒂亚戈横传，穆勒拉球晃过2人后低射破门，5-1
91'下半场补时２分钟！                   88'第88分钟，张伯伦失误丢球，蒂亚戈横传，穆勒拉球晃过2人后低射破门，5-1
91'不不不！３分钟！                   88'第88分钟，张伯伦失误丢球，蒂亚戈横传，穆勒拉球晃过2人后低射破门，5-1
91'穆斯塔菲长传前场！胡梅解围回来！                   88'第88分钟，张伯伦失误丢球，蒂亚戈横传，穆勒拉球晃过2人后低射破门，5-1
91'蒂亚戈给右路拉姆！                   88'第88分钟，张伯伦失误丢球，蒂亚戈横传，穆勒拉球晃过2人后低射破门，5-1
