1'上半场比赛开始                   1'双方第1分钟打出快节奏，但进攻中均失误颇多
27'阿森纳前场再攻，卡索拉前插接应，面对出击的克鲁尔趟过                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
27'卡索拉已经没了射门角度，回传桑切斯                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
28'桑切斯一趟，接着横传球，被威廉森解围出底线                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
28'阿森纳获得右侧角球机会，卡索拉主罚                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
28'阿森纳又进一个！！！                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
28'此时此刻值得来杯嘉士伯！！！！                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
28'吉鲁，头球打进，梅开二度！！！                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
29'卡索拉角球开出，吉鲁门前根本没起跳，站在原地力压威廉森将球顶进球门左侧，擦着立柱进网！！！                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
29'纽卡前场进攻，赢得左侧角球机会，可惜没什么威胁                   26'第26分钟，桑切斯禁区右侧挑球摆脱古弗兰后传中，维尔贝克12码处凌空扫射偏出
48'这球吉鲁示意让他在后点顶就好了，他并不越位啊                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
48'维尔贝克拿球反击，卡贝拉身后放铲，放倒了维尔贝克，犯规                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
48'扬迈特中场拿球，分边右侧给到泰勒                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
49'泰勒面对维尔贝克的上抢，人球分过，突破啦                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
49'纽卡斯尔扳回一个！！！                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
49'此时此刻值得来杯嘉士伯！！！！                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
49'西索科，中路跟进，一脚怒射，贴地箭，进网！！！                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
50'泰勒右路拿球，直塞卡贝拉，卡贝拉拿球内切，横传中路，西索科跟进右脚怒射，打进！！！                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
50'纽卡斯尔前场再攻，佩雷斯禁区外的突施冷箭，非常有威胁                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
50'球几乎是擦着右侧立柱出了底线                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
51'阿森纳中场再次失误，纽卡斯尔反击                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
51'佩雷斯左路拿球，强突到禁区，禁区角上左脚抽射，再次打偏                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
51'钱伯斯右路拿球，直塞给到桑切斯                   48'纽卡斯尔第48分钟扳回一城，卡贝拉右路踢墙配合后传中，无人防守的西索科12码处第一时间垫射入右下角，1-2
