8'孙铂试图突破辽宁的防守，但是辽宁防守很密集，没有给他向前的机会。                   8'第8分钟，孙铂前场反抢成功后稍做调整起脚远射，球高出球门
37'陈雨1021 :怎么会少呢，我每次都看啊！------以后可不要潜水了~                   37'第37分钟，肇俊哲的远射造成阿尔滨门将张脱手，但第二反应较快的张迅速将球扑住，没有给及时跟进的詹姆斯射门的机会
38'辽宁又是长传找耶夫蒂奇！但是传中角度不够。                   37'第37分钟，肇俊哲的远射造成阿尔滨门将张脱手，但第二反应较快的张迅速将球扑住，没有给及时跟进的詹姆斯射门的机会
39'中路肇俊哲拿球扣过两人直接打门，张翀脱手还好离身体不远。                   37'第37分钟，肇俊哲的远射造成阿尔滨门将张脱手，但第二反应较快的张迅速将球扑住，没有给及时跟进的詹姆斯射门的机会
40'今天詹姆斯的拿球感觉确实不好，几次停球都不好。                   37'第37分钟，肇俊哲的远射造成阿尔滨门将张脱手，但第二反应较快的张迅速将球扑住，没有给及时跟进的詹姆斯射门的机会
40'王亮的传球稍稍打了一些，直接出了底线。                   37'第37分钟，肇俊哲的远射造成阿尔滨门将张脱手，但第二反应较快的张迅速将球扑住，没有给及时跟进的詹姆斯射门的机会
46'王亮的传中力量太大了，上半场补时一分钟。                   46'经过1分钟的伤停补时，两队互交白卷以0-0的比分结束半场对抗
47'好的，上半场比赛结束了！                   46'经过1分钟的伤停补时，两队互交白卷以0-0的比分结束半场对抗
47'让我们稍事休息，下半场比赛再见~                   46'经过1分钟的伤停补时，两队互交白卷以0-0的比分结束半场对抗
46'好的，下半场开始了！                   46'经过1分钟的伤停补时，两队互交白卷以0-0的比分结束半场对抗
46'上半场比赛双方都比较的谨慎，看看下半场双方有什么改观啊。                   46'经过1分钟的伤停补时，两队互交白卷以0-0的比分结束半场对抗
47'现在球场光线比较暗啊。                   46'经过1分钟的伤停补时，两队互交白卷以0-0的比分结束半场对抗
48'今天大连前场没有布鲁诺最后一下的终结还是不够犀利。                   46'经过1分钟的伤停补时，两队互交白卷以0-0的比分结束半场对抗
49'大连的快速反击，带到底线再回传没有威胁了。                   46'经过1分钟的伤停补时，两队互交白卷以0-0的比分结束半场对抗
49'大连的快速反击，带到底线再回传没有威胁了。                   49'第49分钟，詹姆斯在停球时意外拉伤大腿，辽足队医进入场内为其进行简单处理
50'詹姆斯似乎拉伤了，看上去特别严重啊。                   49'第49分钟，詹姆斯在停球时意外拉伤大腿，辽足队医进入场内为其进行简单处理
51'倒在地上非常痛苦，看样子是坚持不了了。                   49'第49分钟，詹姆斯在停球时意外拉伤大腿，辽足队医进入场内为其进行简单处理
51'这下对于辽宁有点困难了，前场的进攻会收到很大影响。                   49'第49分钟，詹姆斯在停球时意外拉伤大腿，辽足队医进入场内为其进行简单处理
57'耶夫蒂奇在前场断球了，带到禁区内回传，外围打门颇具威胁啊。                   56'第56分钟，耶夫蒂奇禁区内护住皮球传给替补上阵的胡延强，辽足在阿尔滨半场经过传递后完成一脚颇具威胁的远射，张倒地将球揽入怀中
57'顺顺顺顺1995 :布鲁诺哪去了阿？伤了么？------对，拉伤了。                   56'第56分钟，耶夫蒂奇禁区内护住皮球传给替补上阵的胡延强，辽足在阿尔滨半场经过传递后完成一脚颇具威胁的远射，张倒地将球揽入怀中
58'辽宁继续长传冲吊，逼得一个角球。                   56'第56分钟，耶夫蒂奇禁区内护住皮球传给替补上阵的胡延强，辽足在阿尔滨半场经过传递后完成一脚颇具威胁的远射，张倒地将球揽入怀中
59'角球开出来被后卫顶出。                   56'第56分钟，耶夫蒂奇禁区内护住皮球传给替补上阵的胡延强，辽足在阿尔滨半场经过传递后完成一脚颇具威胁的远射，张倒地将球揽入怀中
59'大连不错的边路配合，2过1以后传中，打门被挡了。                   56'第56分钟，耶夫蒂奇禁区内护住皮球传给替补上阵的胡延强，辽足在阿尔滨半场经过传递后完成一脚颇具威胁的远射，张倒地将球揽入怀中
60'现在就看出布鲁诺的重要性了。                   60'第60分钟，辽足再次调兵遣将，小将倪玉崧被杨宇换下
60'如果打平对于双方意义都不大，排名没有什么影响。                   60'第60分钟，辽足再次调兵遣将，小将倪玉崧被杨宇换下
61'比赛进行了60分钟了。                   60'第60分钟，辽足再次调兵遣将，小将倪玉崧被杨宇换下
61'辽宁要换人了，倪玉崧下场，杨宇上了。                   60'第60分钟，辽足再次调兵遣将，小将倪玉崧被杨宇换下
62'辽宁又是依靠着自己的积极拼抢带到了前场。                   60'第60分钟，辽足再次调兵遣将，小将倪玉崧被杨宇换下
62'但是现在詹姆斯不在，前场只有耶夫蒂奇一个人。                   60'第60分钟，辽足再次调兵遣将，小将倪玉崧被杨宇换下
63'刚刚上场的杨宇也是一位老将了。                   60'第60分钟，辽足再次调兵遣将，小将倪玉崧被杨宇换下
69'大连的边路一般都能突破过去啊，就是传中的质量不高。                   69'阿尔滨在第69分钟错失良机，于汉超倒三角回传门前，于大宝前点故意将球漏过，后点陈涛的射门偏出球门
69'张佳琪下场了，陈涛上。                   69'阿尔滨在第69分钟错失良机，于汉超倒三角回传门前，于大宝前点故意将球漏过，后点陈涛的射门偏出球门
69'十四岁那年的雨季forever :孙铂就是一个奇兵，记得上赛季经常上演替补进球绝杀的好戏！------今天比赛踢的也不错。                   69'阿尔滨在第69分钟错失良机，于汉超倒三角回传门前，于大宝前点故意将球漏过，后点陈涛的射门偏出球门
70'陈涛得到了上场以后第一个机会，但是打偏了，脚还不太热。                   69'阿尔滨在第69分钟错失良机，于汉超倒三角回传门前，于大宝前点故意将球漏过，后点陈涛的射门偏出球门
71'丘陵也有海拔 :耶夫蒂奇，你就不能进一个?!辽宁进一个啊。------给他的支援太少了啊。                   69'阿尔滨在第69分钟错失良机，于汉超倒三角回传门前，于大宝前点故意将球漏过，后点陈涛的射门偏出球门
71'纳爱斯的那份爱 :雯雯我和乐乐说要是乐乐让我上墙你就说一句我爱你！乐乐让我上墙了！雯雯我们互动下呗！好吗女神！电视我都没有看！拿着手机在看你直播！！！------一直在积极互动啊~                   69'阿尔滨在第69分钟错失良机，于汉超倒三角回传门前，于大宝前点故意将球漏过，后点陈涛的射门偏出球门
72'于汉超在左路内切打门，打的太高了，这是一脚打向星星的射门啊。                   69'阿尔滨在第69分钟错失良机，于汉超倒三角回传门前，于大宝前点故意将球漏过，后点陈涛的射门偏出球门
75'今天周通的上镜率非常的高啊，今天他的突破对辽宁队造成了很大的麻烦。                   75'辽宁宏运在第75分钟用完了最后一个换人名额，孙世林替下了外援耶夫蒂奇
77'孙世林上场换下了耶夫蒂奇，这样辽宁的进攻威胁就更小了啊。                   75'辽宁宏运在第75分钟用完了最后一个换人名额，孙世林替下了外援耶夫蒂奇
78'大家对于双于的表现非常期待啊，看看最后的10多分钟两人能有什么发挥。                   75'辽宁宏运在第75分钟用完了最后一个换人名额，孙世林替下了外援耶夫蒂奇
86'支持西部球队 :中超应该是恒大的草皮不错------我觉得虹口体育场不错~                   86'第86分钟，阿尔滨进行换人调整，孙国文替补孙铂上阵
86'于大宝在禁区内要球但是没人给他啊。                   86'第86分钟，阿尔滨进行换人调整，孙国文替补孙铂上阵
87'孙国文上场了，换下了孙铂。                   86'第86分钟，阿尔滨进行换人调整，孙国文替补孙铂上阵
87'双方球员感觉都没什么体力了啊，跑不动了。                   86'第86分钟，阿尔滨进行换人调整，孙国文替补孙铂上阵
89'胡延残这名小将上场以后冲击力还是挺强的。                   86'第86分钟，阿尔滨进行换人调整，孙国文替补孙铂上阵
89'比心更痛的眼眸088 :雯雯我爱你，求上墙，------谢谢支持！                   86'第86分钟，阿尔滨进行换人调整，孙国文替补孙铂上阵
