7'拉米雷斯拿球，他的技术还是稍微糙了一点啊，被断了。                   7'第7分钟，科拉罗夫左路传中，哲科10码处头球攻门偏出
47'上半场补时3分钟，确实犯规和受伤有点多。                   45'第45分钟，法布雷加斯开出角球，伊娃诺维奇头球摆渡，迭戈-科斯塔小禁区内铲射错过皮球
48'曼城再次获得角球，但是没人碰到啊。                   45'第45分钟，法布雷加斯开出角球，伊娃诺维奇头球摆渡，迭戈-科斯塔小禁区内铲射错过皮球
46'好的，下半场比赛开始了！                   45'第45分钟，法布雷加斯开出角球，伊娃诺维奇头球摆渡，迭戈-科斯塔小禁区内铲射错过皮球
47'下半场开始双方估计会节奏快一点争取先发制人。                   45'第45分钟，法布雷加斯开出角球，伊娃诺维奇头球摆渡，迭戈-科斯塔小禁区内铲射错过皮球
47'曼城已经两次攻入到对方禁区了，但是切尔西还是防守稳健啊。                   45'第45分钟，法布雷加斯开出角球，伊娃诺维奇头球摆渡，迭戈-科斯塔小禁区内铲射错过皮球
55'米尔纳开出角球，一片混战，出来以后费尔南迪尼奥大力轰门！                   55'第55分钟，费尔南迪尼奥角球混战中禁区弧内劲射偏出
56'稍稍偏了一点，如果在正一点，库尔图瓦也只能望球兴叹了。                   55'第55分钟，费尔南迪尼奥角球混战中禁区弧内劲射偏出
56'这时候切尔西后防有点乱啊，曼城不断的冲击！                   55'第55分钟，费尔南迪尼奥角球混战中禁区弧内劲射偏出
57'阿奎罗！禁区内拜托防守左脚打门被库尔图瓦挡出，哲科再上呗拉米雷斯干扰了。                   55'第55分钟，费尔南迪尼奥角球混战中禁区弧内劲射偏出
57'这段时间节奏太快了！切尔西后防是风声鹤唳啊。                   55'第55分钟，费尔南迪尼奥角球混战中禁区弧内劲射偏出
58'切尔西前场一个任意球，位置不错。                   55'第55分钟，费尔南迪尼奥角球混战中禁区弧内劲射偏出
58'小法的射门被人墙挡出。                   55'第55分钟，费尔南迪尼奥角球混战中禁区弧内劲射偏出
59'许尔勒要上场了，看看是换下谁。                   59'第59分钟，法布雷加斯左路任意球远射被人墙封堵
59'比赛马上就要60分钟了，穆里尼奥是不是要动一动了。                   59'第59分钟，法布雷加斯左路任意球远射被人墙封堵
60'切尔西前场的配合打的太小了，被曼城断了下来。                   59'第59分钟，法布雷加斯左路任意球远射被人墙封堵
61'另一场比赛水晶宫2比1逆转埃弗顿了，这轮联赛真是冷门的温床啊。                   59'第59分钟，法布雷加斯左路任意球远射被人墙封堵
61'现在双方看样子都要缓一缓了。                   59'第59分钟，法布雷加斯左路任意球远射被人墙封堵
61'许尔勒换下了拉米雷斯，米克尔也要上场了。                   59'第59分钟，法布雷加斯左路任意球远射被人墙封堵
62'威廉被替换了下来。                   59'第59分钟，法布雷加斯左路任意球远射被人墙封堵
66'科斯塔和萨巴莱塔有点冲突，两人要掐脖子啊。                   66'曼城第66分钟遭遇打击，萨巴莱塔对迭戈-科斯塔犯规累计两张黄牌被罚下
66'萨巴莱塔红牌！                   66'曼城第66分钟遭遇打击，萨巴莱塔对迭戈-科斯塔犯规累计两张黄牌被罚下
66'两黄变一红！                   66'曼城第66分钟遭遇打击，萨巴莱塔对迭戈-科斯塔犯规累计两张黄牌被罚下
66'这时候场上风云突变啊，少了一边的曼城还能这么猛攻么。                   66'曼城第66分钟遭遇打击，萨巴莱塔对迭戈-科斯塔犯规累计两张黄牌被罚下
67'不知道接下来切尔西会不会攻出来啊。                   66'曼城第66分钟遭遇打击，萨巴莱塔对迭戈-科斯塔犯规累计两张黄牌被罚下
68'现在只能是米尔纳回到右边打右后卫了。                   66'曼城第66分钟遭遇打击，萨巴莱塔对迭戈-科斯塔犯规累计两张黄牌被罚下
68'这绝对会是本场比赛的转折点。                   66'曼城第66分钟遭遇打击，萨巴莱塔对迭戈-科斯塔犯规累计两张黄牌被罚下
69'现在切尔西果然攻势起来了，压到了对面的半场。                   66'曼城第66分钟遭遇打击，萨巴莱塔对迭戈-科斯塔犯规累计两张黄牌被罚下
69'接下来曼加拉的工作任务就要大很多了。                   66'曼城第66分钟遭遇打击，萨巴莱塔对迭戈-科斯塔犯规累计两张黄牌被罚下
71'球进了！！！                   71'切尔西第71分钟打破僵局，阿扎尔反击中转移左路，法布雷加斯、伊万诺维奇和迭戈-科斯塔连续传球，阿扎尔禁区右侧传中远点，许尔勒抢在曼加拉之前近距离破门许尔勒连续在对阵曼城的比赛中进球
71'许尔勒的进球！！！                   71'切尔西第71分钟打破僵局，阿扎尔反击中转移左路，法布雷加斯、伊万诺维奇和迭戈-科斯塔连续传球，阿扎尔禁区右侧传中远点，许尔勒抢在曼加拉之前近距离破门许尔勒连续在对阵曼城的比赛中进球
71'果然是这次反击啊，科斯塔拿球分给阿扎尔，再传许尔勒推射破门！                   71'切尔西第71分钟打破僵局，阿扎尔反击中转移左路，法布雷加斯、伊万诺维奇和迭戈-科斯塔连续传球，阿扎尔禁区右侧传中远点，许尔勒抢在曼加拉之前近距离破门许尔勒连续在对阵曼城的比赛中进球
71'[此时此刻值得来杯嘉士伯]                   71'切尔西第71分钟打破僵局，阿扎尔反击中转移左路，法布雷加斯、伊万诺维奇和迭戈-科斯塔连续传球，阿扎尔禁区右侧传中远点，许尔勒抢在曼加拉之前近距离破门许尔勒连续在对阵曼城的比赛中进球
72'现在曼城非常不利啊。                   71'切尔西第71分钟打破僵局，阿扎尔反击中转移左路，法布雷加斯、伊万诺维奇和迭戈-科斯塔连续传球，阿扎尔禁区右侧传中远点，许尔勒抢在曼加拉之前近距离破门许尔勒连续在对阵曼城的比赛中进球
73'纳瓦斯上场换下了费尔南迪尼奥。                   71'切尔西第71分钟打破僵局，阿扎尔反击中转移左路，法布雷加斯、伊万诺维奇和迭戈-科斯塔连续传球，阿扎尔禁区右侧传中远点，许尔勒抢在曼加拉之前近距离破门许尔勒连续在对阵曼城的比赛中进球
74'现在比赛来到了74分钟，依靠许尔勒的进球切尔西领先了！                   71'切尔西第71分钟打破僵局，阿扎尔反击中转移左路，法布雷加斯、伊万诺维奇和迭戈-科斯塔连续传球，阿扎尔禁区右侧传中远点，许尔勒抢在曼加拉之前近距离破门许尔勒连续在对阵曼城的比赛中进球
78'这真是让人唏嘘的一幕啊。                   78'第78分钟，兰帕德换下科拉罗夫对阵旧主
78'科拉罗夫被兰帕德换下场了。                   78'第78分钟，兰帕德换下科拉罗夫对阵旧主
79'穿着曼城球衣打切尔西，兰帕德能否改变局势呢？                   78'第78分钟，兰帕德换下科拉罗夫对阵旧主
79'阿奎罗越位了，兰帕德上来就是一脚传球。                   78'第78分钟，兰帕德换下科拉罗夫对阵旧主
80'佩莱格里尼非常的着急啊。                   78'第78分钟，兰帕德换下科拉罗夫对阵旧主
80'比赛已经80分钟了。                   78'第78分钟，兰帕德换下科拉罗夫对阵旧主
80'切尔西的进攻！科斯塔的打门打在了门柱上！！                   78'第78分钟，兰帕德换下科拉罗夫对阵旧主
81'这个球真是运气不好啊！                   78'第78分钟，兰帕德换下科拉罗夫对阵旧主
81'德罗巴也是对科斯塔赞赏有加，他相信科斯塔可以继承他的衣钵啊。                   78'第78分钟，兰帕德换下科拉罗夫对阵旧主
81'这个球真是运气不好啊！                   81'切尔西第81分钟险些扩大比分，法布雷加斯传球，迭戈-科斯塔禁区边缘内抢在米尔纳之前左脚劲射打中右侧立柱弹回
81'德罗巴也是对科斯塔赞赏有加，他相信科斯塔可以继承他的衣钵啊。                   81'切尔西第81分钟险些扩大比分，法布雷加斯传球，迭戈-科斯塔禁区边缘内抢在米尔纳之前左脚劲射打中右侧立柱弹回
82'席尔瓦这边强行打门，打在了边网上。                   81'切尔西第81分钟险些扩大比分，法布雷加斯传球，迭戈-科斯塔禁区边缘内抢在米尔纳之前左脚劲射打中右侧立柱弹回
83'现在射门比11比5，曼城领先，但是进球的确实切尔西。                   81'切尔西第81分钟险些扩大比分，法布雷加斯传球，迭戈-科斯塔禁区边缘内抢在米尔纳之前左脚劲射打中右侧立柱弹回
84'今天的角球比也是14比2曼城远远领先啊。                   81'切尔西第81分钟险些扩大比分，法布雷加斯传球，迭戈-科斯塔禁区边缘内抢在米尔纳之前左脚劲射打中右侧立柱弹回
84'球进了！！！兰帕德进球！！！                   81'切尔西第81分钟险些扩大比分，法布雷加斯传球，迭戈-科斯塔禁区边缘内抢在米尔纳之前左脚劲射打中右侧立柱弹回
84'[此时此刻值得来杯嘉士伯]                   81'切尔西第81分钟险些扩大比分，法布雷加斯传球，迭戈-科斯塔禁区边缘内抢在米尔纳之前左脚劲射打中右侧立柱弹回
85'兰帕德真是传奇啊！！！                   85'曼城第85分钟扳平比分，席尔瓦直传，米尔纳禁区左侧凌空垫传，无人防守的兰帕德12码处第一时间扫射，皮球从特里双腿间穿过入左下角这是他职业生涯首次攻破切尔西大门，他并未选择庆祝
85'今天看这场比赛的球迷真是幸运！真是神奇的比赛！                   85'曼城第85分钟扳平比分，席尔瓦直传，米尔纳禁区左侧凌空垫传，无人防守的兰帕德12码处第一时间扫射，皮球从特里双腿间穿过入左下角这是他职业生涯首次攻破切尔西大门，他并未选择庆祝
85'兰帕德没有庆祝。                   85'曼城第85分钟扳平比分，席尔瓦直传，米尔纳禁区左侧凌空垫传，无人防守的兰帕德12码处第一时间扫射，皮球从特里双腿间穿过入左下角这是他职业生涯首次攻破切尔西大门，他并未选择庆祝
86'中路抢点打门，库尔图瓦没有任何办法。                   85'曼城第85分钟扳平比分，席尔瓦直传，米尔纳禁区左侧凌空垫传，无人防守的兰帕德12码处第一时间扫射，皮球从特里双腿间穿过入左下角这是他职业生涯首次攻破切尔西大门，他并未选择庆祝
86'德罗巴换下了科斯塔，今天的比赛真是一场复古的比赛啊。                   85'曼城第85分钟扳平比分，席尔瓦直传，米尔纳禁区左侧凌空垫传，无人防守的兰帕德12码处第一时间扫射，皮球从特里双腿间穿过入左下角这是他职业生涯首次攻破切尔西大门，他并未选择庆祝
87'现在比赛已经86分钟了，不知道还会不会有变数！                   85'曼城第85分钟扳平比分，席尔瓦直传，米尔纳禁区左侧凌空垫传，无人防守的兰帕德12码处第一时间扫射，皮球从特里双腿间穿过入左下角这是他职业生涯首次攻破切尔西大门，他并未选择庆祝
89'现在曼城进球，气势很盛，少打一人的劣势完全看不出来啊。                   89'第89分钟，兰帕德禁区内射门被封堵，亚亚-图雷远射高出
90'比赛到了90分钟了，德罗巴能不能救主啊。                   89'第89分钟，兰帕德禁区内射门被封堵，亚亚-图雷远射高出
91'孔帕尼防守时候犯规了，给了切尔西一个位置不错的任意球，补时4分钟！                   89'第89分钟，兰帕德禁区内射门被封堵，亚亚-图雷远射高出
92'德罗巴打门把球打飞了，这个球太高了。                   89'第89分钟，兰帕德禁区内射门被封堵，亚亚-图雷远射高出
92'亚亚图雷转移到左路，米尔纳再给兰帕德，远射打偏了。                   89'第89分钟，兰帕德禁区内射门被封堵，亚亚-图雷远射高出
46'上半场比赛时间马上就要到了。                   46'1分钟后，米尔纳传球，兰帕德35码外远射偏出
47'切尔西获得一个角球险些进球啊！                   46'1分钟后，米尔纳传球，兰帕德35码外远射偏出
47'头球蹭下来科斯塔铲射差一点就碰到球了啊。                   46'1分钟后，米尔纳传球，兰帕德35码外远射偏出
47'上半场补时3分钟，确实犯规和受伤有点多。                   46'1分钟后，米尔纳传球，兰帕德35码外远射偏出
48'曼城再次获得角球，但是没人碰到啊。                   46'1分钟后，米尔纳传球，兰帕德35码外远射偏出
46'好的，下半场比赛开始了！                   46'1分钟后，米尔纳传球，兰帕德35码外远射偏出
47'下半场开始双方估计会节奏快一点争取先发制人。                   46'1分钟后，米尔纳传球，兰帕德35码外远射偏出
47'曼城已经两次攻入到对方禁区了，但是切尔西还是防守稳健啊。                   46'1分钟后，米尔纳传球，兰帕德35码外远射偏出
49'萨巴莱塔拿球横传给阿奎罗，禁区外直接打门，对库尔图瓦来说没有什么威胁。                   46'1分钟后，米尔纳传球，兰帕德35码外远射偏出
