3'C罗中场拿球，比达尔身后上抢犯规                   3'第3分钟，斯图拉罗左侧禁区前沿低射被卡西利亚斯没收
30'J罗前场拿球，直塞禁区找贝尔                   27'皇马第27分钟扳平比分
30'基耶利尼转身将球控制，往边路带，结果球先出了底线                   27'皇马第27分钟扳平比分
30'皇马获得右侧角球机会，开出到禁区，混战中球被尤文图斯队员解围出边线                   27'皇马第27分钟扳平比分
48'尤文后场抢断，皮尔洛的过顶长传打身后                   48'下半时开始3分钟，特维斯内切左脚射门被卡西利亚斯得到
48'瓦拉内转身回防，禁区线上起脚将球解围出边线                   48'下半时开始3分钟，特维斯内切左脚射门被卡西利亚斯得到
48'特维斯前场拿球，右路内切后的起脚打门，被卡西利亚斯轻松拿到                   48'下半时开始3分钟，特维斯内切左脚射门被卡西利亚斯得到
49'克罗斯斜传转移球到左侧给到马塞洛                   48'下半时开始3分钟，特维斯内切左脚射门被卡西利亚斯得到
49'马塞洛左路的传中到后点找C罗，球高了一点点，直接出了底线                   48'下半时开始3分钟，特维斯内切左脚射门被卡西利亚斯得到
50'拉莫斯后场背身拿球，皮尔洛身后上抢，犯规                   48'下半时开始3分钟，特维斯内切左脚射门被卡西利亚斯得到
51'瓦拉内斜传转移球到右路找卡瓦哈尔，力量稍大，直接出了边线                   48'下半时开始3分钟，特维斯内切左脚射门被卡西利亚斯得到
51'埃弗拉左路拿球，横传找莫拉塔                   48'下半时开始3分钟，特维斯内切左脚射门被卡西利亚斯得到
51'莫拉塔和特维斯的配合，拉莫斯上抢干扰，球被佩佩拦截出脚解围                   48'下半时开始3分钟，特维斯内切左脚射门被卡西利亚斯得到
47'特维斯的转移球给到右侧的利希施泰纳                   47'补时第2分钟，皮尔洛左侧开出任意球，略伦特后点距门4米处顶出弹地球被卡西利亚斯得到
47'利希施泰纳边路传中，球弹地后被佩佩出脚解围                   47'补时第2分钟，皮尔洛左侧开出任意球，略伦特后点距门4米处顶出弹地球被卡西利亚斯得到
47'拉莫斯中场拿球，出球后被特维斯身后踢倒在地                   47'补时第2分钟，皮尔洛左侧开出任意球，略伦特后点距门4米处顶出弹地球被卡西利亚斯得到
47'特维斯被主裁判出示了黄牌警告！！！                   47'补时第2分钟，皮尔洛左侧开出任意球，略伦特后点距门4米处顶出弹地球被卡西利亚斯得到
48'尤文后场抢断，皮尔洛的过顶长传打身后                   47'补时第2分钟，皮尔洛左侧开出任意球，略伦特后点距门4米处顶出弹地球被卡西利亚斯得到
48'瓦拉内转身回防，禁区线上起脚将球解围出边线                   47'补时第2分钟，皮尔洛左侧开出任意球，略伦特后点距门4米处顶出弹地球被卡西利亚斯得到
48'特维斯前场拿球，右路内切后的起脚打门，被卡西利亚斯轻松拿到                   47'补时第2分钟，皮尔洛左侧开出任意球，略伦特后点距门4米处顶出弹地球被卡西利亚斯得到
49'克罗斯斜传转移球到左侧给到马塞洛                   47'补时第2分钟，皮尔洛左侧开出任意球，略伦特后点距门4米处顶出弹地球被卡西利亚斯得到
49'马塞洛左路的传中到后点找C罗，球高了一点点，直接出了底线                   47'补时第2分钟，皮尔洛左侧开出任意球，略伦特后点距门4米处顶出弹地球被卡西利亚斯得到
50'拉莫斯后场背身拿球，皮尔洛身后上抢，犯规                   47'补时第2分钟，皮尔洛左侧开出任意球，略伦特后点距门4米处顶出弹地球被卡西利亚斯得到
