1'上半场比赛开始                   1'提前出线的皇马第1分钟轻松控制比赛节奏
57'加什停球，一拨，右脚起脚打门，打在防守球员身上出底线                   56'巴塞尔第56分钟险些扳平，弗雷中路连过2人传球，加希晃过阿韦罗亚后15码处劲射被瓦拉内挡高出横梁
58'这球慢镜头回放显示，加什的打门打在了皇马球员手臂上，不过无意手球，且加什的打门已经朝着看台去                   56'巴塞尔第56分钟险些扳平，弗雷中路连过2人传球，加希晃过阿韦罗亚后15码处劲射被瓦拉内挡高出横梁
59'冈萨雷斯在和科恩特朗争抢中，冈萨雷斯摔倒在地                   56'巴塞尔第56分钟险些扳平，弗雷中路连过2人传球，加希晃过阿韦罗亚后15码处劲射被瓦拉内挡高出横梁
67'恩博洛右路拿球反击，斜传球到禁区线上，祖菲的攻门，打高                   67'第67分钟，冈萨雷斯直传，埃姆博洛晃过瓦拉内后小禁区右侧射门被纳瓦斯扑出近角
68'巴塞尔前场抢断，斜塞给到恩博洛，恩博洛面对出击的纳瓦斯，小角度抽射，被纳瓦斯挡出底线                   67'第67分钟，冈萨雷斯直传，埃姆博洛晃过瓦拉内后小禁区右侧射门被纳瓦斯扑出近角
68'巴塞尔获得右侧角球机会，开出到后点，弹地后直接出了底线                   67'第67分钟，冈萨雷斯直传，埃姆博洛晃过瓦拉内后小禁区右侧射门被纳瓦斯扑出近角
69'埃尔内尼中圈拿球，挑传找加什，纳瓦斯出击将球拿到                   67'第67分钟，冈萨雷斯直传，埃姆博洛晃过瓦拉内后小禁区右侧射门被纳瓦斯扑出近角
70'皇马这段时间有点被动，中场完全失守                   67'第67分钟，冈萨雷斯直传，埃姆博洛晃过瓦拉内后小禁区右侧射门被纳瓦斯扑出近角
75'伊斯科中路拿球，直塞给到贝尔                   75'第75分钟，伊斯科传球，贝尔禁区左侧10码处劲射打中横梁下沿弹出
76'.不越位，贝尔趟球进入禁区，左脚抽射，击中横梁下檐弹出，匝地后被后卫大脚解围出底线                   75'第75分钟，伊斯科传球，贝尔禁区左侧10码处劲射打中横梁下沿弹出
76'皇马右侧角球机会，并未形成威胁                   75'第75分钟，伊斯科传球，贝尔禁区左侧10码处劲射打中横梁下沿弹出
76'巴塞尔换人：24号哈默迪上，换下4号德根                   75'第75分钟，伊斯科传球，贝尔禁区左侧10码处劲射打中横梁下沿弹出
77'巴塞尔前场的斜传球找祖菲，边裁举旗，越位在先                   75'第75分钟，伊斯科传球，贝尔禁区左侧10码处劲射打中横梁下沿弹出
78'科恩特朗左路拿球，强突后横传给贝尔                   75'第75分钟，伊斯科传球，贝尔禁区左侧10码处劲射打中横梁下沿弹出
78'贝尔不停球再横传给C罗，C罗跟进外脚背弹射，击中左侧立柱底角出底线！！！                   75'第75分钟，伊斯科传球，贝尔禁区左侧10码处劲射打中横梁下沿弹出
