1'上半场比赛开始                   1'第1分钟国安率先展开快速冲击，第2分钟，邵佳一中路大力远射打高
36'于海拿球横切，被马季奇抢断                   33'第33分钟，邵佳一右翼突然远距离抽射制造威胁，张烈倒地将球扑出底线；张稀哲角球传中后，朴成禁区内凌空低射打偏
36'国安的反击，格隆前场右路拿球，被上来的孙继海推倒在地                   33'第33分钟，邵佳一右翼突然远距离抽射制造威胁，张烈倒地将球扑出底线；张稀哲角球传中后，朴成禁区内凌空低射打偏
36'国安获得前场右路的任意球机会，邵佳一主罚                   33'第33分钟，邵佳一右翼突然远距离抽射制造威胁，张烈倒地将球扑出底线；张稀哲角球传中后，朴成禁区内凌空低射打偏
39'射门方面：人和目前5次，国安7次                   39'第39分钟，人和取得入球――张成林左路传中打入国安禁区，徐云龙误将球挡给了无人盯防的曲波，后者快速抽射破门，人和1-0领先
39'人和进球啦！！！                   39'第39分钟，人和取得入球――张成林左路传中打入国安禁区，徐云龙误将球挡给了无人盯防的曲波，后者快速抽射破门，人和1-0领先
40'曲波禁区左侧劲射打进！！！                   39'第39分钟，人和取得入球――张成林左路传中打入国安禁区，徐云龙误将球挡给了无人盯防的曲波，后者快速抽射破门，人和1-0领先
41'人和前场左路斜传球到禁区，于海和拉法前点争顶没能顶到，徐云龙胸部停球直接停在曲波脚下，曲波得球，面对杨智，一脚劲射打进！！！                   39'第39分钟，人和取得入球――张成林左路传中打入国安禁区，徐云龙误将球挡给了无人盯防的曲波，后者快速抽射破门，人和1-0领先
41'朴成中路的挑传找格隆，格隆得球进入禁区，一脚斜射打高                   39'第39分钟，人和取得入球――张成林左路传中打入国安禁区，徐云龙误将球挡给了无人盯防的曲波，后者快速抽射破门，人和1-0领先
42'不过格隆在射门之前边裁已经举旗，格隆的越位球                   39'第39分钟，人和取得入球――张成林左路传中打入国安禁区，徐云龙误将球挡给了无人盯防的曲波，后者快速抽射破门，人和1-0领先
42'曲波之前一次防守中还被出示了黄牌，难道这黄牌刺激了追风少年                   39'第39分钟，人和取得入球――张成林左路传中打入国安禁区，徐云龙误将球挡给了无人盯防的曲波，后者快速抽射破门，人和1-0领先
42'不过格隆在射门之前边裁已经举旗，格隆的越位球                   42'第42分钟，朴成外围攻门被萨利拦截；国安继续组织，乌塔卡禁区前低射被张烈没收
42'曲波之前一次防守中还被出示了黄牌，难道这黄牌刺激了追风少年                   42'第42分钟，朴成外围攻门被萨利拦截；国安继续组织，乌塔卡禁区前低射被张烈没收
43'于海后场失误，邵佳一抢断斜传给到乌塔卡                   42'第42分钟，朴成外围攻门被萨利拦截；国安继续组织，乌塔卡禁区前低射被张烈没收
43'乌塔卡得球，横带，禁区线上起脚低射，没打上力量，被张烈轻松拿到                   42'第42分钟，朴成外围攻门被萨利拦截；国安继续组织，乌塔卡禁区前低射被张烈没收
44'上半场进入尾声，人和1-0领先国安，曲波进球                   42'第42分钟，朴成外围攻门被萨利拦截；国安继续组织，乌塔卡禁区前低射被张烈没收
44'周挺右路拿球，横带，禁区外面对人和两人包夹，差点失误                   42'第42分钟，朴成外围攻门被萨利拦截；国安继续组织，乌塔卡禁区前低射被张烈没收
44'周挺倒地将球回传马季奇，马季奇得球直接怒射，放了高射炮                   42'第42分钟，朴成外围攻门被萨利拦截；国安继续组织，乌塔卡禁区前低射被张烈没收
45'于海前场争顶时被吹拉人犯规                   42'第42分钟，朴成外围攻门被萨利拦截；国安继续组织，乌塔卡禁区前低射被张烈没收
45'国安进攻，乌塔卡进球，不过越位在先，进球无效                   42'第42分钟，朴成外围攻门被萨利拦截；国安继续组织，乌塔卡禁区前低射被张烈没收
44'上半场进入尾声，人和1-0领先国安，曲波进球                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
44'周挺右路拿球，横带，禁区外面对人和两人包夹，差点失误                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
44'周挺倒地将球回传马季奇，马季奇得球直接怒射，放了高射炮                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
45'于海前场争顶时被吹拉人犯规                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
45'国安进攻，乌塔卡进球，不过越位在先，进球无效                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
46'这球越位太明显了，乌塔卡前插时身体越过后卫一个身位啊，判罚无意义                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
46'只是这主裁判的哨声响的有点晚，边裁早就举旗啦                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
46'下半场比赛开始，人和开球                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
46'领先的人和率先换人：杨昊换下李春郁                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
46'邵佳一中场上抢，踢倒了纳诺，犯规                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
47'拉法回撤中路拿球，直塞找右路上来的曲波，力量稍大，直接出了底线                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
47'周挺拿球，过度给到邵佳一                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
47'邵佳一转身斜传右路，格隆插上拿球                   44'第44分钟，张稀哲将球塞入人和禁区，乌塔卡在被判定越位情况下破门无效；慢镜头显示乌塔卡确实越位
47'拉法回撤中路拿球，直塞找右路上来的曲波，力量稍大，直接出了底线                   47'第47分钟，邵佳一远射被挡，格隆右翼冲击突破双人防守，但传中还是被封堵
47'周挺拿球，过度给到邵佳一                   47'第47分钟，邵佳一远射被挡，格隆右翼冲击突破双人防守，但传中还是被封堵
47'邵佳一转身斜传右路，格隆插上拿球                   47'第47分钟，邵佳一远射被挡，格隆右翼冲击突破双人防守，但传中还是被封堵
48'格隆右路拿球，强突禁区，起脚打门，被挡出                   47'第47分钟，邵佳一远射被挡，格隆右翼冲击突破双人防守，但传中还是被封堵
48'邵佳一上来，挡住孙继海，让周挺上来接球                   47'第47分钟，邵佳一远射被挡，格隆右翼冲击突破双人防守，但传中还是被封堵
49'可惜周挺未启动，孙继海从邵佳一身后上来解围，被邵佳一放倒                   47'第47分钟，邵佳一远射被挡，格隆右翼冲击突破双人防守，但传中还是被封堵
49'人和的中场抢断，过顶球到后卫身后                   47'第47分钟，邵佳一远射被挡，格隆右翼冲击突破双人防守，但传中还是被封堵
50'徐云龙转身，在拉法之前将球大脚解围                   47'第47分钟，邵佳一远射被挡，格隆右翼冲击突破双人防守，但传中还是被封堵
50'国安前场传球失误，曲波中场拿球，外脚背过顶找拉法                   47'第47分钟，邵佳一远射被挡，格隆右翼冲击突破双人防守，但传中还是被封堵
50'边裁举旗，拉法越位在先                   47'第47分钟，邵佳一远射被挡，格隆右翼冲击突破双人防守，但传中还是被封堵
60'张成林左路拿球，横传给到米西                   60'第60分钟，张成林左路摆脱周挺后于底线前回传，于海禁区中路攻门未能踢到皮球
60'米西背身拿球，面对包夹，再回给张成林                   60'第60分钟，张成林左路摆脱周挺后于底线前回传，于海禁区中路攻门未能踢到皮球
61'张成林底线内切，两个假动作将周挺晃倒在地                   60'第60分钟，张成林左路摆脱周挺后于底线前回传，于海禁区中路攻门未能踢到皮球
61'张成林回传球到禁区中路，于海包抄踢空。。。。                   60'第60分钟，张成林左路摆脱周挺后于底线前回传，于海禁区中路攻门未能踢到皮球
61'回防的马季奇禁区线上将球缓解，国安的反击                   60'第60分钟，张成林左路摆脱周挺后于底线前回传，于海禁区中路攻门未能踢到皮球
61'卡努特拿球，分边左路王晓龙                   60'第60分钟，张成林左路摆脱周挺后于底线前回传，于海禁区中路攻门未能踢到皮球
61'王晓龙内切后的打门，孙继海将球挡出                   60'第60分钟，张成林左路摆脱周挺后于底线前回传，于海禁区中路攻门未能踢到皮球
63'人和换人：进球功臣曲波下场，换上16号闫相闯                   60'第60分钟，张成林左路摆脱周挺后于底线前回传，于海禁区中路攻门未能踢到皮球
63'国安旧将闫相闯面对老东家，这有点意思了啊                   60'第60分钟，张成林左路摆脱周挺后于底线前回传，于海禁区中路攻门未能踢到皮球
65'拉法前场拿球，国安三名球员扎堆防守，拉法直塞打身后                   65'第65分钟，邵佳一禁区前转身攻门打偏
65'徐云龙不敢怠慢，转身回防，赶在米西之前将球控制                   65'第65分钟，邵佳一禁区前转身攻门打偏
65'卡努特禁区外拿球，短传给到邵佳一                   65'第65分钟，邵佳一禁区前转身攻门打偏
66'邵佳一拿球转身，禁区外起左脚抽射，稍微偏了一点，球出底线                   65'第65分钟，邵佳一禁区前转身攻门打偏
67'好机会啊，拉法的垫射，打偏啦                   65'第65分钟，邵佳一禁区前转身攻门打偏
68'米西右路拿球，短传给到杨昊，杨昊禁区右侧端线上横传门前，拉法的垫射打在周挺脚上出底线                   65'第65分钟，邵佳一禁区前转身攻门打偏
68'人和的角球，战术角球开出                   65'第65分钟，邵佳一禁区前转身攻门打偏
71'全场比赛70分钟，比分1-0，人和主场领先                   71'第71分钟，王晓龙为国安赢得中路任意球，邵佳一大力攻门被张烈托出横梁；国安角球传中后，张稀哲低射打偏
72'王晓龙前场拿球，横切时被张成林放倒在地                   71'第71分钟，王晓龙为国安赢得中路任意球，邵佳一大力攻门被张烈托出横梁；国安角球传中后，张稀哲低射打偏
72'国安获得前场的任意球机会，邵佳一主罚                   71'第71分钟，王晓龙为国安赢得中路任意球，邵佳一大力攻门被张烈托出横梁；国安角球传中后，张稀哲低射打偏
72'邵佳一的任意球直接攻门，张烈奋力将球扑出底线                   71'第71分钟，王晓龙为国安赢得中路任意球，邵佳一大力攻门被张烈托出横梁；国安角球传中后，张稀哲低射打偏
72'国安的角球机会，并未形成威胁                   71'第71分钟，王晓龙为国安赢得中路任意球，邵佳一大力攻门被张烈托出横梁；国安角球传中后，张稀哲低射打偏
73'张稀哲右路拿球，挑传过掉张成林                   71'第71分钟，王晓龙为国安赢得中路任意球，邵佳一大力攻门被张烈托出横梁；国安角球传中后，张稀哲低射打偏
74'张稀哲横传给到卡努特，卡努特脚后跟回敲张稀哲                   71'第71分钟，王晓龙为国安赢得中路任意球，邵佳一大力攻门被张烈托出横梁；国安角球传中后，张稀哲低射打偏
74'张稀哲禁区外得球直接怒射，球擦着右侧立柱出底线                   71'第71分钟，王晓龙为国安赢得中路任意球，邵佳一大力攻门被张烈托出横梁；国安角球传中后，张稀哲低射打偏
74'闫相闯前场中路拿球，马季奇回防，身后拉倒了闫相闯，犯规                   71'第71分钟，王晓龙为国安赢得中路任意球，邵佳一大力攻门被张烈托出横梁；国安角球传中后，张稀哲低射打偏
75'马季奇被主裁判出示了黄牌警告                   75'第75分钟，闫相闯中路突破被马季奇拉倒，马季奇领到黄牌；人和任意球开出后形成右路传中，拉法头球攻门顶高
75'人和获得前场的任意球机会，米西主罚                   75'第75分钟，闫相闯中路突破被马季奇拉倒，马季奇领到黄牌；人和任意球开出后形成右路传中，拉法头球攻门顶高
75'任意球开出到禁区，卡努特头球解围                   75'第75分钟，闫相闯中路突破被马季奇拉倒，马季奇领到黄牌；人和任意球开出后形成右路传中，拉法头球攻门顶高
75'人和球员得球再攻，右边路的传中，拉法头球                   75'第75分钟，闫相闯中路突破被马季奇拉倒，马季奇领到黄牌；人和任意球开出后形成右路传中，拉法头球攻门顶高
75'太正了，球被杨智在门线上收入怀中                   75'第75分钟，闫相闯中路突破被马季奇拉倒，马季奇领到黄牌；人和任意球开出后形成右路传中，拉法头球攻门顶高
76'周挺前场拿球，横传转移球失误，杨昊的抢断                   75'第75分钟，闫相闯中路突破被马季奇拉倒，马季奇领到黄牌；人和任意球开出后形成右路传中，拉法头球攻门顶高
76'杨昊分边给到闫相闯，闫相闯拿球横切，王晓龙拉人犯规                   75'第75分钟，闫相闯中路突破被马季奇拉倒，马季奇领到黄牌；人和任意球开出后形成右路传中，拉法头球攻门顶高
77'闫相闯右路的强行下底传中，赢得角球机会                   75'第75分钟，闫相闯中路突破被马季奇拉倒，马季奇领到黄牌；人和任意球开出后形成右路传中，拉法头球攻门顶高
77'杨昊角球开出到禁区，第一点被国安球员解围                   75'第75分钟，闫相闯中路突破被马季奇拉倒，马季奇领到黄牌；人和任意球开出后形成右路传中，拉法头球攻门顶高
78'闫相闯右路拿球，倒三角回传给于海                   75'第75分钟，闫相闯中路突破被马季奇拉倒，马季奇领到黄牌；人和任意球开出后形成右路传中，拉法头球攻门顶高
78'于海加厚跟过度给纳诺，纳诺横带，调整中被抢断啦                   75'第75分钟，闫相闯中路突破被马季奇拉倒，马季奇领到黄牌；人和任意球开出后形成右路传中，拉法头球攻门顶高
78'国安的反击，乌塔卡左路拿球斜传禁区                   75'第75分钟，闫相闯中路突破被马季奇拉倒，马季奇领到黄牌；人和任意球开出后形成右路传中，拉法头球攻门顶高
46'这球越位太明显了，乌塔卡前插时身体越过后卫一个身位啊，判罚无意义                   46'1分钟后，乌塔卡斜传人和禁区右侧，邵佳一头球顶向中路，王晓龙扫射打偏
46'只是这主裁判的哨声响的有点晚，边裁早就举旗啦                   46'1分钟后，乌塔卡斜传人和禁区右侧，邵佳一头球顶向中路，王晓龙扫射打偏
46'下半场比赛开始，人和开球                   46'1分钟后，乌塔卡斜传人和禁区右侧，邵佳一头球顶向中路，王晓龙扫射打偏
46'领先的人和率先换人：杨昊换下李春郁                   46'1分钟后，乌塔卡斜传人和禁区右侧，邵佳一头球顶向中路，王晓龙扫射打偏
46'邵佳一中场上抢，踢倒了纳诺，犯规                   46'1分钟后，乌塔卡斜传人和禁区右侧，邵佳一头球顶向中路，王晓龙扫射打偏
47'拉法回撤中路拿球，直塞找右路上来的曲波，力量稍大，直接出了底线                   46'1分钟后，乌塔卡斜传人和禁区右侧，邵佳一头球顶向中路，王晓龙扫射打偏
47'周挺拿球，过度给到邵佳一                   46'1分钟后，乌塔卡斜传人和禁区右侧，邵佳一头球顶向中路，王晓龙扫射打偏
47'邵佳一转身斜传右路，格隆插上拿球                   46'1分钟后，乌塔卡斜传人和禁区右侧，邵佳一头球顶向中路，王晓龙扫射打偏
48'格隆右路拿球，强突禁区，起脚打门，被挡出                   46'1分钟后，乌塔卡斜传人和禁区右侧，邵佳一头球顶向中路，王晓龙扫射打偏
48'邵佳一上来，挡住孙继海，让周挺上来接球                   46'1分钟后，乌塔卡斜传人和禁区右侧，邵佳一头球顶向中路，王晓龙扫射打偏
49'可惜周挺未启动，孙继海从邵佳一身后上来解围，被邵佳一放倒                   46'1分钟后，乌塔卡斜传人和禁区右侧，邵佳一头球顶向中路，王晓龙扫射打偏
49'人和的中场抢断，过顶球到后卫身后                   46'1分钟后，乌塔卡斜传人和禁区右侧，邵佳一头球顶向中路，王晓龙扫射打偏
83'克里梅茨小禁区右侧挑传门前，马季奇侧身凌空抽射，张烈扑球脱手，乌塔卡包抄补射空门打进                   83'人和迅速在第83分钟形成威胁攻势，闫相闯右路传中后克里梅茨解围不远，米西莫维奇点球点附近攻门，克里梅茨封堵造成皮球变线，皮球击中横梁上沿弹出
83'横梁啊，米西的射门！！！                   83'人和迅速在第83分钟形成威胁攻势，闫相闯右路传中后克里梅茨解围不远，米西莫维奇点球点附近攻门，克里梅茨封堵造成皮球变线，皮球击中横梁上沿弹出
84'闫相闯右路拿球，低平球到禁区，克里梅茨将球解围，直接到了米西脚下，米西调整后的打门，打在克里梅茨身上击中横梁上沿出底线                   83'人和迅速在第83分钟形成威胁攻势，闫相闯右路传中后克里梅茨解围不远，米西莫维奇点球点附近攻门，克里梅茨封堵造成皮球变线，皮球击中横梁上沿弹出
84'人和的左侧角球机会，并未形成威胁                   83'人和迅速在第83分钟形成威胁攻势，闫相闯右路传中后克里梅茨解围不远，米西莫维奇点球点附近攻门，克里梅茨封堵造成皮球变线，皮球击中横梁上沿弹出
85'射门对比：人和11次，射正7次；国安18次，射正8次                   83'人和迅速在第83分钟形成威胁攻势，闫相闯右路传中后克里梅茨解围不远，米西莫维奇点球点附近攻门，克里梅茨封堵造成皮球变线，皮球击中横梁上沿弹出
85'国安的左路进攻，赢得角球机会                   83'人和迅速在第83分钟形成威胁攻势，闫相闯右路传中后克里梅茨解围不远，米西莫维奇点球点附近攻门，克里梅茨封堵造成皮球变线，皮球击中横梁上沿弹出
86'全场比赛85分钟，比分1-1，曲波进球，乌塔卡扳平                   83'人和迅速在第83分钟形成威胁攻势，闫相闯右路传中后克里梅茨解围不远，米西莫维奇点球点附近攻门，克里梅茨封堵造成皮球变线，皮球击中横梁上沿弹出
86'王晓龙角球开出，并未形成威胁                   83'人和迅速在第83分钟形成威胁攻势，闫相闯右路传中后克里梅茨解围不远，米西莫维奇点球点附近攻门，克里梅茨封堵造成皮球变线，皮球击中横梁上沿弹出
90'人和前场左路任意球，斜传禁区，第一点被国安球员解围                   90'第90分钟，王晓龙单兵快攻在禁区前被萨利放倒，萨利领到黄牌；张稀哲攻门皮球被挡折线稍稍高出
90'人和右路再攻，陈昌源右路传中到前点，被国安球员解围                   90'第90分钟，王晓龙单兵快攻在禁区前被萨利放倒，萨利领到黄牌；张稀哲攻门皮球被挡折线稍稍高出
90'下半场补时3分钟                   90'第90分钟，王晓龙单兵快攻在禁区前被萨利放倒，萨利领到黄牌；张稀哲攻门皮球被挡折线稍稍高出
91'萨利后场防守中放倒了强突的王晓龙                   90'第90分钟，王晓龙单兵快攻在禁区前被萨利放倒，萨利领到黄牌；张稀哲攻门皮球被挡折线稍稍高出
91'萨利被主裁判出示黄牌警告                   90'第90分钟，王晓龙单兵快攻在禁区前被萨利放倒，萨利领到黄牌；张稀哲攻门皮球被挡折线稍稍高出
91'国安获得前场的任意球机会                   90'第90分钟，王晓龙单兵快攻在禁区前被萨利放倒，萨利领到黄牌；张稀哲攻门皮球被挡折线稍稍高出
91'位置相当不错，在大禁区左上角                   90'第90分钟，王晓龙单兵快攻在禁区前被萨利放倒，萨利领到黄牌；张稀哲攻门皮球被挡折线稍稍高出
92'张稀哲的任意球攻门，擦着人和人墙队员的头皮出了底线                   90'第90分钟，王晓龙单兵快攻在禁区前被萨利放倒，萨利领到黄牌；张稀哲攻门皮球被挡折线稍稍高出
92'国安右侧角球，张稀哲主罚，球开出，主裁鸣哨，禁区内国安球员犯规在先                   90'第90分钟，王晓龙单兵快攻在禁区前被萨利放倒，萨利领到黄牌；张稀哲攻门皮球被挡折线稍稍高出
93'孙继海后场拿球，卡努特上抢，推倒了孙继海，犯规                   90'第90分钟，王晓龙单兵快攻在禁区前被萨利放倒，萨利领到黄牌；张稀哲攻门皮球被挡折线稍稍高出
