1'上半场比赛开始！！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
20'陈雷外围头球再顶到禁区，吉利奥蒂倒勾打身后！！                   20'第20分钟被动中的申花突然进球，申花右侧截球进攻，莫雷诺拿球从三人包夹中强行杀入重围，随后他拧身左脚传到中路，邓小飞出击没碰到球，但皮球却砸在来不及躲闪的米洛维奇身上，反弹进门，陈雷飞身救险也无济于事，1比0，申花领先
20'徐洋插上抢点打门，被李帅封堵！！                   20'第20分钟被动中的申花突然进球，申花右侧截球进攻，莫雷诺拿球从三人包夹中强行杀入重围，随后他拧身左脚传到中路，邓小飞出击没碰到球，但皮球却砸在来不及躲闪的米洛维奇身上，反弹进门，陈雷飞身救险也无济于事，1比0，申花领先
20'费尔南多跟进再补，裁判鸣哨！！                   20'第20分钟被动中的申花突然进球，申花右侧截球进攻，莫雷诺拿球从三人包夹中强行杀入重围，随后他拧身左脚传到中路，邓小飞出击没碰到球，但皮球却砸在来不及躲闪的米洛维奇身上，反弹进门，陈雷飞身救险也无济于事，1比0，申花领先
20'原来吉利奥蒂倒勾传球时，徐洋已经处于越位位置！！                   20'第20分钟被动中的申花突然进球，申花右侧截球进攻，莫雷诺拿球从三人包夹中强行杀入重围，随后他拧身左脚传到中路，邓小飞出击没碰到球，但皮球却砸在来不及躲闪的米洛维奇身上，反弹进门，陈雷飞身救险也无济于事，1比0，申花领先
20'申花的前场进攻，赢得右侧角球机会！！                   20'第20分钟被动中的申花突然进球，申花右侧截球进攻，莫雷诺拿球从三人包夹中强行杀入重围，随后他拧身左脚传到中路，邓小飞出击没碰到球，但皮球却砸在来不及躲闪的米洛维奇身上，反弹进门，陈雷飞身救险也无济于事，1比0，申花领先
21'曹赟定角球开出到前点，被力帆球员头球解围！！                   20'第20分钟被动中的申花突然进球，申花右侧截球进攻，莫雷诺拿球从三人包夹中强行杀入重围，随后他拧身左脚传到中路，邓小飞出击没碰到球，但皮球却砸在来不及躲闪的米洛维奇身上，反弹进门，陈雷飞身救险也无济于事，1比0，申花领先
21'王栋左路拿球，强突被熊飞破坏出边线！！                   20'第20分钟被动中的申花突然进球，申花右侧截球进攻，莫雷诺拿球从三人包夹中强行杀入重围，随后他拧身左脚传到中路，邓小飞出击没碰到球，但皮球却砸在来不及躲闪的米洛维奇身上，反弹进门，陈雷飞身救险也无济于事，1比0，申花领先
22'吴庆左路背身接应队友分球，手球违例！！                   20'第20分钟被动中的申花突然进球，申花右侧截球进攻，莫雷诺拿球从三人包夹中强行杀入重围，随后他拧身左脚传到中路，邓小飞出击没碰到球，但皮球却砸在来不及躲闪的米洛维奇身上，反弹进门，陈雷飞身救险也无济于事，1比0，申花领先
22'1-0！！！                   20'第20分钟被动中的申花突然进球，申花右侧截球进攻，莫雷诺拿球从三人包夹中强行杀入重围，随后他拧身左脚传到中路，邓小飞出击没碰到球，但皮球却砸在来不及躲闪的米洛维奇身上，反弹进门，陈雷飞身救险也无济于事，1比0，申花领先
22'好像是力帆的乌龙球哦！！                   20'第20分钟被动中的申花突然进球，申花右侧截球进攻，莫雷诺拿球从三人包夹中强行杀入重围，随后他拧身左脚传到中路，邓小飞出击没碰到球，但皮球却砸在来不及躲闪的米洛维奇身上，反弹进门，陈雷飞身救险也无济于事，1比0，申花领先
23'米洛维奇的乌龙哦！！                   20'第20分钟被动中的申花突然进球，申花右侧截球进攻，莫雷诺拿球从三人包夹中强行杀入重围，随后他拧身左脚传到中路，邓小飞出击没碰到球，但皮球却砸在来不及躲闪的米洛维奇身上，反弹进门，陈雷飞身救险也无济于事，1比0，申花领先
27'费尔南多凌空停球，没打，再横传中间，被申花球员解围！                   27'第27分钟曹赟定成功左路下底传中，登巴巴后撤步头球攻门被邓小飞拍出界外
27'米洛维奇外围拿球，再传禁区找吉利奥蒂！！                   27'第27分钟曹赟定成功左路下底传中，登巴巴后撤步头球攻门被邓小飞拍出界外
27'李帅出击双拳解围，和吉利奥蒂相撞，后者被吹冲撞门将犯规！                   27'第27分钟曹赟定成功左路下底传中，登巴巴后撤步头球攻门被邓小飞拍出界外
28'花生又叫长生果 什么叫李帅将球一扑，米罗维奇乌龙（不好意思，是邓小飞！！）                   27'第27分钟曹赟定成功左路下底传中，登巴巴后撤步头球攻门被邓小飞拍出界外
29'申花的进球，莫雷诺的下底挑传门前，被邓小飞一扑，打在身后的米洛维奇胸口弹进网窝！！                   27'第27分钟曹赟定成功左路下底传中，登巴巴后撤步头球攻门被邓小飞拍出界外
29'申花前场进攻，柏佳骏左路的传中！！                   27'第27分钟曹赟定成功左路下底传中，登巴巴后撤步头球攻门被邓小飞拍出界外
29'登巴巴的头球攻门，邓小飞单掌将球打出底线！！                   27'第27分钟曹赟定成功左路下底传中，登巴巴后撤步头球攻门被邓小飞拍出界外
29'申花获得左侧角球，没能形成威胁！！                   27'第27分钟曹赟定成功左路下底传中，登巴巴后撤步头球攻门被邓小飞拍出界外
30'用户0fya555bk0 花花一直运气不错！对华夏对方也进了个乌龙球！（改踢前锋如何）                   27'第27分钟曹赟定成功左路下底传中，登巴巴后撤步头球攻门被邓小飞拍出界外
30'西伯利亚的狼07 你打错字了，怎么是李帅扑了（恩，我的错，抱歉！）                   27'第27分钟曹赟定成功左路下底传中，登巴巴后撤步头球攻门被邓小飞拍出界外
32'费尔南多中场背身拿球，被上抢的柏佳骏放倒在地！！                   32'第32分钟丁捷传球，申花后卫把球顶出，丁捷拿球再传，金基熙顶球却摆给吉利奥蒂，后者接力头球攻门高出
32'柏佳骏被主裁判出示了黄牌警告！！                   32'第32分钟丁捷传球，申花后卫把球顶出，丁捷拿球再传，金基熙顶球却摆给吉利奥蒂，后者接力头球攻门高出
32'这也是本场比赛的第一张黄牌！！！                   32'第32分钟丁捷传球，申花后卫把球顶出，丁捷拿球再传，金基熙顶球却摆给吉利奥蒂，后者接力头球攻门高出
32'哎呀，差一点啊，吉利奥蒂！！                   32'第32分钟丁捷传球，申花后卫把球顶出，丁捷拿球再传，金基熙顶球却摆给吉利奥蒂，后者接力头球攻门高出
33'力帆左路横传球，丁捷拿球，直塞禁区被挡！！                   32'第32分钟丁捷传球，申花后卫把球顶出，丁捷拿球再传，金基熙顶球却摆给吉利奥蒂，后者接力头球攻门高出
33'丁捷拿球，再传，打在防守球员头上弹到门前！                   32'第32分钟丁捷传球，申花后卫把球顶出，丁捷拿球再传，金基熙顶球却摆给吉利奥蒂，后者接力头球攻门高出
33'吉利奥蒂插上，高高跃起，头球攻门，球擦着左侧立柱出底线！                   32'第32分钟丁捷传球，申花后卫把球顶出，丁捷拿球再传，金基熙顶球却摆给吉利奥蒂，后者接力头球攻门高出
34'莫雷诺中场拿球，横传给上来的曹赟定                   32'第32分钟丁捷传球，申花后卫把球顶出，丁捷拿球再传，金基熙顶球却摆给吉利奥蒂，后者接力头球攻门高出
35'曹赟定再给瓜林，瓜林斜传右侧找吕征！！                   32'第32分钟丁捷传球，申花后卫把球顶出，丁捷拿球再传，金基熙顶球却摆给吉利奥蒂，后者接力头球攻门高出
35'吕征拿球强突，斜传禁区，第一点被力帆球员解围！！                   32'第32分钟丁捷传球，申花后卫把球顶出，丁捷拿球再传，金基熙顶球却摆给吉利奥蒂，后者接力头球攻门高出
35'力帆的反击，吉利奥蒂前场背身拿球，转身被金基熙掀翻在地！                   32'第32分钟丁捷传球，申花后卫把球顶出，丁捷拿球再传，金基熙顶球却摆给吉利奥蒂，后者接力头球攻门高出
42'刘宇放铲，将球解围出边线！！                   42'第42分钟金基熙后场犯规，郑又荣任意球直接射门被李帅双拳打出
42'费尔南多前场右路拿球，斜传给前插的陈雷！                   42'第42分钟金基熙后场犯规，郑又荣任意球直接射门被李帅双拳打出
42'陈雷低平球送到门前，李帅出击将球拿到！！                   42'第42分钟金基熙后场犯规，郑又荣任意球直接射门被李帅双拳打出
43'秦升后场防守吉利奥蒂背身接球，拉人犯规！！                   42'第42分钟金基熙后场犯规，郑又荣任意球直接射门被李帅双拳打出
43'力帆获得前场中路的任意球机会！！                   42'第42分钟金基熙后场犯规，郑又荣任意球直接射门被李帅双拳打出
43'郑佑荣的任意球直接攻门，太正，被李帅打出！！                   42'第42分钟金基熙后场犯规，郑又荣任意球直接射门被李帅双拳打出
44'吴庆外围拿球，再传，被瓜林解围出边线！                   42'第42分钟金基熙后场犯规，郑又荣任意球直接射门被李帅双拳打出
44'力帆前场右路的斜传球，费尔南多头球，被李帅拿到！                   42'第42分钟金基熙后场犯规，郑又荣任意球直接射门被李帅双拳打出
45'秦升中圈拿球，面对逼抢，分球左侧                   42'第42分钟金基熙后场犯规，郑又荣任意球直接射门被李帅双拳打出
45'差点失误，柏佳骏上来将球控制，回传陶金！                   42'第42分钟金基熙后场犯规，郑又荣任意球直接射门被李帅双拳打出
45'上半场比赛补时1分钟！！                   42'第42分钟金基熙后场犯规，郑又荣任意球直接射门被李帅双拳打出
51'吕征角球开出到后点，无人拿到，球出边线！！                   51'第51分钟丁捷策动进攻，王栋拿球拉到左路传中，冯劲在后点头球强攻高出
51'费尔南多中场背身拿球，横切回传王栋！                   51'第51分钟丁捷策动进攻，王栋拿球拉到左路传中，冯劲在后点头球强攻高出
52'王栋拿球强突，到了前场分球左侧给丁捷！！                   51'第51分钟丁捷策动进攻，王栋拿球拉到左路传中，冯劲在后点头球强攻高出
52'丁捷的左脚传中到后点，冯劲头球攻门，顶偏！！                   51'第51分钟丁捷策动进攻，王栋拿球拉到左路传中，冯劲在后点头球强攻高出
52'冯劲登场后，在门前很活跃啊！！                   51'第51分钟丁捷策动进攻，王栋拿球拉到左路传中，冯劲在后点头球强攻高出
53'瓜林前场中路拿球，分球右侧给熊飞！！                   51'第51分钟丁捷策动进攻，王栋拿球拉到左路传中，冯劲在后点头球强攻高出
54'熊飞右路拿球，45度斜传球到禁区，第一点被力帆球员解围！                   51'第51分钟丁捷策动进攻，王栋拿球拉到左路传中，冯劲在后点头球强攻高出
54'力帆中场的过顶长传到禁区！！                   51'第51分钟丁捷策动进攻，王栋拿球拉到左路传中，冯劲在后点头球强攻高出
54'冯劲前插抢点打门，被回防的柏佳骏挡出底线！！                   51'第51分钟丁捷策动进攻，王栋拿球拉到左路传中，冯劲在后点头球强攻高出
58'申花这边有人受伤，出血了！！                   58'第58分钟金基熙拼抢时嘴巴被队友陶金撞破，包扎后重新出场
58'慢镜回放显示，金基熙和陶金中圈解围球，头碰头，金基熙被撞出血！！                   58'第58分钟金基熙拼抢时嘴巴被队友陶金撞破，包扎后重新出场
59'金基熙躺在地上，接受队友的治疗！！                   58'第58分钟金基熙拼抢时嘴巴被队友陶金撞破，包扎后重新出场
59'吉利奥蒂上前抗议，说对方拖延时间，秦升解释一下！！                   58'第58分钟金基熙拼抢时嘴巴被队友陶金撞破，包扎后重新出场
60'金基熙的嘴被陶金撞破了，简单止血后起身，和队医出场治疗！                   58'第58分钟金基熙拼抢时嘴巴被队友陶金撞破，包扎后重新出场
60'刘宇后场拿球，面对登巴巴的逼抢，转身横传给米洛维奇！                   58'第58分钟金基熙拼抢时嘴巴被队友陶金撞破，包扎后重新出场
66'全场比赛65分钟，比分依旧是0-1！！                   66'第66分钟张璐换下曹赟定
67'力帆后场抢断，过顶长传到前场给费尔南多                   66'第66分钟张璐换下曹赟定
67'费尔南多拿球进禁区，左侧下底传中到后点！                   66'第66分钟张璐换下曹赟定
67'中间的吉利奥蒂望球心叹，后点的冯劲头球，被挡出！！                   66'第66分钟张璐换下曹赟定
67'力帆非常好的一次机会，可惜啦！！                   66'第66分钟张璐换下曹赟定
68'申花换人：8号张璐上，换下28号曹赟定！                   66'第66分钟张璐换下曹赟定
69'熊飞后场拿球，过顶长传找莫雷诺！                   66'第66分钟张璐换下曹赟定
69'莫雷诺拿球，再给瓜林！1                   66'第66分钟张璐换下曹赟定
69'瓜林分球吕征，吕征再回给瓜林，失误啦！！                   66'第66分钟张璐换下曹赟定
75'费尔南多右路拿球横切，柏佳骏上抢拿到                   74'第74分钟秦升铲断费尔南多犯规，费尔南多自己主罚任意球踢高
75'陶金出击一个放铲，铲翻了费尔南多！！                   74'第74分钟秦升铲断费尔南多犯规，费尔南多自己主罚任意球踢高
75'力帆获得前场中路的任意球机会！！                   74'第74分钟秦升铲断费尔南多犯规，费尔南多自己主罚任意球踢高
75'陶金这个放铲很凶狠，裁判牌都没出啊！！                   74'第74分钟秦升铲断费尔南多犯规，费尔南多自己主罚任意球踢高
75'费尔南多任意球直接攻门，高射炮！！                   74'第74分钟秦升铲断费尔南多犯规，费尔南多自己主罚任意球踢高
76'力帆前场的进攻，冯劲左路拿球，传中到后点！                   74'第74分钟秦升铲断费尔南多犯规，费尔南多自己主罚任意球踢高
76'费尔南多插上头球，没顶上力量，被李帅拿到！！                   74'第74分钟秦升铲断费尔南多犯规，费尔南多自己主罚任意球踢高
77'申花的反击，张璐拿球，陈雷防守犯规！！                   74'第74分钟秦升铲断费尔南多犯规，费尔南多自己主罚任意球踢高
77'陈雷被主裁判出示了黄牌警告！！                   74'第74分钟秦升铲断费尔南多犯规，费尔南多自己主罚任意球踢高
77'陈雷和张璐都有些受伤，队医进场检查！！                   74'第74分钟秦升铲断费尔南多犯规，费尔南多自己主罚任意球踢高
77'申花的反击，张璐拿球，陈雷防守犯规！！                   77'第77分钟，隋东陆换下陈雷，身材高大的隋东陆出场打中锋
77'陈雷被主裁判出示了黄牌警告！！                   77'第77分钟，隋东陆换下陈雷，身材高大的隋东陆出场打中锋
77'陈雷和张璐都有些受伤，队医进场检查！！                   77'第77分钟，隋东陆换下陈雷，身材高大的隋东陆出场打中锋
78'力帆换人：5号隋东陆上，换下21号陈雷！！                   77'第77分钟，隋东陆换下陈雷，身材高大的隋东陆出场打中锋
78'陈雷下场后一瘸一拐，好像是右侧脚踝被顶到了                   77'第77分钟，隋东陆换下陈雷，身材高大的隋东陆出场打中锋
79'冯劲前场左路拿球，强突摔倒在地！！                   77'第77分钟，隋东陆换下陈雷，身材高大的隋东陆出场打中锋
80'裁判没理会，熊飞拿球反击！！                   77'第77分钟，隋东陆换下陈雷，身材高大的隋东陆出场打中锋
80'冯劲原地反抢，踢翻了熊飞，犯规！！                   77'第77分钟，隋东陆换下陈雷，身材高大的隋东陆出场打中锋
80'申花后场右路的任意球机会！！                   77'第77分钟，隋东陆换下陈雷，身材高大的隋东陆出场打中锋
82'冯劲前场和熊飞争抢，冯劲的抬脚过高！！                   82'第82分钟王赟换下吕征
82'申花右路斜传球到禁区，刘宇卡位，挡住吕征，将球护送出底线！！                   82'第82分钟王赟换下吕征
83'申花后场抢断，莫雷诺拿球强突，进入禁区！！                   82'第82分钟王赟换下吕征
83'面对补防的米洛维奇，左脚弧线球打远角，擦着立柱出底线！！                   82'第82分钟王赟换下吕征
83'这球如果传给中间的登巴巴，效果会更好啊！！                   82'第82分钟王赟换下吕征
84'登巴巴也是不解的看着莫雷诺，后者向其伸手表示歉意！                   82'第82分钟王赟换下吕征
84'申花换人：20号王赟上，换下11号吕征！！                   82'第82分钟王赟换下吕征
85'瓜林前场拿球，强突，闪开空挡，起脚打门，被挡出！                   82'第82分钟王赟换下吕征
85'莫雷诺右路拿球，内切后左脚打门，打在丁捷头上出底线！                   82'第82分钟王赟换下吕征
85'申花右侧角球机会，战术角球开出！                   82'第82分钟王赟换下吕征
87'吉利奥蒂前场背身拿球，转身再给费尔南多                   87'第87分钟郑又荣左路长传找到禁区右侧的吉利奥蒂，但后者怒射踢高
87'费尔南多斜传左侧给冯劲，冯劲的边路传中，被申花球员解围！                   87'第87分钟郑又荣左路长传找到禁区右侧的吉利奥蒂，但后者怒射踢高
88'郑佑荣插上，禁区弧顶的远射，打在防守球员身上出底线！                   87'第87分钟郑又荣左路长传找到禁区右侧的吉利奥蒂，但后者怒射踢高
88'力帆的角球机会，开出到禁区，混战啦！！                   87'第87分钟郑又荣左路长传找到禁区右侧的吉利奥蒂，但后者怒射踢高
88'吉利奥蒂禁区右侧停球，右脚低射，打在边网上！                   87'第87分钟郑又荣左路长传找到禁区右侧的吉利奥蒂，但后者怒射踢高
89'登巴巴前场拿球，进入禁区起脚打门，被邓小飞封堵！                   87'第87分钟郑又荣左路长传找到禁区右侧的吉利奥蒂，但后者怒射踢高
90'力帆前场再攻，右路斜传球到禁区！！                   87'第87分钟郑又荣左路长传找到禁区右侧的吉利奥蒂，但后者怒射踢高
90'隋东陆的头球摆渡，冯劲跟进铲射，被出击的李帅挡出底线！！                   87'第87分钟郑又荣左路长传找到禁区右侧的吉利奥蒂，但后者怒射踢高
90'李帅和冯劲也是相撞在一起，有些受伤！！                   87'第87分钟郑又荣左路长传找到禁区右侧的吉利奥蒂，但后者怒射踢高
90'非常好的一次机会，力帆没抓住啊！！                   87'第87分钟郑又荣左路长传找到禁区右侧的吉利奥蒂，但后者怒射踢高
88'郑佑荣插上，禁区弧顶的远射，打在防守球员身上出底线！                   88'第88分钟重庆队险些进球，米洛维奇右路长传，隋东陆头球点下，冯劲高速插上捅射稍稍偏出
88'力帆的角球机会，开出到禁区，混战啦！！                   88'第88分钟重庆队险些进球，米洛维奇右路长传，隋东陆头球点下，冯劲高速插上捅射稍稍偏出
88'吉利奥蒂禁区右侧停球，右脚低射，打在边网上！                   88'第88分钟重庆队险些进球，米洛维奇右路长传，隋东陆头球点下，冯劲高速插上捅射稍稍偏出
89'登巴巴前场拿球，进入禁区起脚打门，被邓小飞封堵！                   88'第88分钟重庆队险些进球，米洛维奇右路长传，隋东陆头球点下，冯劲高速插上捅射稍稍偏出
90'力帆前场再攻，右路斜传球到禁区！！                   88'第88分钟重庆队险些进球，米洛维奇右路长传，隋东陆头球点下，冯劲高速插上捅射稍稍偏出
90'隋东陆的头球摆渡，冯劲跟进铲射，被出击的李帅挡出底线！！                   88'第88分钟重庆队险些进球，米洛维奇右路长传，隋东陆头球点下，冯劲高速插上捅射稍稍偏出
90'李帅和冯劲也是相撞在一起，有些受伤！！                   88'第88分钟重庆队险些进球，米洛维奇右路长传，隋东陆头球点下，冯劲高速插上捅射稍稍偏出
90'非常好的一次机会，力帆没抓住啊！！                   88'第88分钟重庆队险些进球，米洛维奇右路长传，隋东陆头球点下，冯劲高速插上捅射稍稍偏出
91'下半场比赛补时4分钟！！                   88'第88分钟重庆队险些进球，米洛维奇右路长传，隋东陆头球点下，冯劲高速插上捅射稍稍偏出
92'柏佳骏左路拿球，斜传球找莫雷诺                   92'第92分钟吉利奥蒂右路传中，被李帅稳稳扑住，但混乱中陶金血流满面倒地，不过此时申花和主裁谭海情绪似乎都很激动
92'莫雷诺故意一漏，想给身后的登巴巴                   92'第92分钟吉利奥蒂右路传中，被李帅稳稳扑住，但混乱中陶金血流满面倒地，不过此时申花和主裁谭海情绪似乎都很激动
92'可惜没成功，球被刘宇抢先上来控制！！                   92'第92分钟吉利奥蒂右路传中，被李帅稳稳扑住，但混乱中陶金血流满面倒地，不过此时申花和主裁谭海情绪似乎都很激动
92'力帆后场长传球，米洛维奇的头球后蹭！！                   92'第92分钟吉利奥蒂右路传中，被李帅稳稳扑住，但混乱中陶金血流满面倒地，不过此时申花和主裁谭海情绪似乎都很激动
93'跟进的隋东陆凌空垫射，打飞！！                   92'第92分钟吉利奥蒂右路传中，被李帅稳稳扑住，但混乱中陶金血流满面倒地，不过此时申花和主裁谭海情绪似乎都很激动
93'隋东陆示意角球，裁判没理会，给了申花门球！                   92'第92分钟吉利奥蒂右路传中，被李帅稳稳扑住，但混乱中陶金血流满面倒地，不过此时申花和主裁谭海情绪似乎都很激动
93'力帆前场再攻，右路的横传球到门前！！                   92'第92分钟吉利奥蒂右路传中，被李帅稳稳扑住，但混乱中陶金血流满面倒地，不过此时申花和主裁谭海情绪似乎都很激动
94'李帅出击将球稳稳拿到！！                   92'第92分钟吉利奥蒂右路传中，被李帅稳稳扑住，但混乱中陶金血流满面倒地，不过此时申花和主裁谭海情绪似乎都很激动
94'这球很关键啊，身后就是力帆的两名抢点队员！                   92'第92分钟吉利奥蒂右路传中，被李帅稳稳扑住，但混乱中陶金血流满面倒地，不过此时申花和主裁谭海情绪似乎都很激动
94'申花这边有队友受伤倒地！！                   92'第92分钟吉利奥蒂右路传中，被李帅稳稳扑住，但混乱中陶金血流满面倒地，不过此时申花和主裁谭海情绪似乎都很激动
95'受伤的是陶金，主裁判示意其出场治疗，陶金不想，发生了口角！                   92'第92分钟吉利奥蒂右路传中，被李帅稳稳扑住，但混乱中陶金血流满面倒地，不过此时申花和主裁谭海情绪似乎都很激动
