1'热那亚球员库奇卡拼抢犯规,对手获得控球权.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
32'帕托为AC米兰在对方半场,赢得一个任意球.                   29'第29分钟，帕托左路内切禁区弧顶抽射被博沃挡出远门柱，埃马纽尔森右侧开出角球，德容禁区边缘推射被封堵
38'安东内利将球处理出底线,AC米兰获得角球.                   38'第38分钟，沙拉维禁区左侧横抽门前，但没有队友包抄
39'AC米兰安东尼尼受伤倒地,比赛暂停                   38'第38分钟，沙拉维禁区左侧横抽门前，但没有队友包抄
39'暂停结束,球员们重新开始比赛.                   38'第38分钟，沙拉维禁区左侧横抽门前，但没有队友包抄
40'热那亚球员贝尔托拉奇大禁区外左脚射门,被防守球员封堵.给他传球的是托瑟尔.                   38'第38分钟，沙拉维禁区左侧横抽门前，但没有队友包抄
41'萨姆皮里希为热那亚赢得一个任意球.                   38'第38分钟，沙拉维禁区左侧横抽门前，但没有队友包抄
41'AC米兰球员帕托拼抢犯规,对手获得控球权.                   38'第38分钟，沙拉维禁区左侧横抽门前，但没有队友包抄
54'射门!!!AC米兰球员阿巴特大禁区右侧右脚射门,被对方守门员横身扑出.                   54'第54分钟，埃马纽尔森挑传，德容禁区内胸部停球，在格兰奎斯特轻微拉拽下倒地，马佐莱尼没有中断比赛，阿巴特突入禁区右侧距门14米处低射被弗雷伸脚挡出
54'S-弗雷将球处理出底线,AC米兰获得角球.                   54'第54分钟，埃马纽尔森挑传，德容禁区内胸部停球，在格兰奎斯特轻微拉拽下倒地，马佐莱尼没有中断比赛，阿巴特突入禁区右侧距门14米处低射被弗雷伸脚挡出
56'热那亚换人,默克尔换下贝尔托拉奇                   54'第54分钟，埃马纽尔森挑传，德容禁区内胸部停球，在格兰奎斯特轻微拉拽下倒地，马佐莱尼没有中断比赛，阿巴特突入禁区右侧距门14米处低射被弗雷伸脚挡出
56'格兰奎斯特将球处理出底线,AC米兰获得角球.                   54'第54分钟，埃马纽尔森挑传，德容禁区内胸部停球，在格兰奎斯特轻微拉拽下倒地，马佐莱尼没有中断比赛，阿巴特突入禁区右侧距门14米处低射被弗雷伸脚挡出
63'射门!!!热那亚球员默克尔右脚射门,被对方守门员横身扑出.给他传球的是博沃.                   63'第63分钟，默克尔右路远射被阿梅利亚得到
63'AC米兰球员埃马纽尔森大禁区右侧尝试左脚射门,可惜皮球偏出球门.给他传球的是康斯坦特.                   63'第63分钟，默克尔右路远射被阿梅利亚得到
72'AC米兰球员埃马纽尔森一脚直塞球给帕托,但是边裁举旗显示后者已经越位.                   72'第72分钟，埃马纽尔森右路传中，帕托在门前9米处争顶高出，随后他被帕齐尼换下
72'AC米兰换人,帕齐尼换下帕托                   72'第72分钟，埃马纽尔森右路传中，帕托在门前9米处争顶高出，随后他被帕齐尼换下
73'格兰奎斯特将球处理出底线,AC米兰获得角球.                   72'第72分钟，埃马纽尔森右路传中，帕托在门前9米处争顶高出，随后他被帕齐尼换下
74'扬科维奇为热那亚在对方半场,赢得一个任意球.                   72'第72分钟，埃马纽尔森右路传中，帕托在门前9米处争顶高出，随后他被帕齐尼换下
74'AC米兰球员耶佩斯危险动作,对手获得控球权.                   72'第72分钟，埃马纽尔森右路传中，帕托在门前9米处争顶高出，随后他被帕齐尼换下
74'黄牌！AC米兰球员耶佩斯因为有危险动作,被主裁判出示黄牌.                   72'第72分钟，埃马纽尔森右路传中，帕托在门前9米处争顶高出，随后他被帕齐尼换下
75'热那亚球员托瑟尔大禁区外右脚射门,被防守球员封堵.给他传球的是扬科维奇.                   72'第72分钟，埃马纽尔森右路传中，帕托在门前9米处争顶高出，随后他被帕齐尼换下
75'热那亚球员安东内利大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   72'第72分钟，埃马纽尔森右路传中，帕托在门前9米处争顶高出，随后他被帕齐尼换下
77'热那亚球员库奇卡拼抢犯规,对手获得控球权.                   77'米兰第77分钟打破僵局
77'德容为AC米兰赢得一个任意球.                   77'米兰第77分钟打破僵局
77'进球啦！！！AC米兰球员沙拉维球门线跟前右脚射门,球从左下角飞进球门,球进了!助攻的是阿巴特. AC米兰 1-0 热那亚.                   77'米兰第77分钟打破僵局
80'热那亚扬科维奇受伤倒地,比赛暂停                   77'米兰第77分钟打破僵局
80'暂停结束,球员们重新开始比赛.                   77'米兰第77分钟打破僵局
80'热那亚换人,乔奎拉上,扬科维奇因伤下场.                   77'米兰第77分钟打破僵局
85'AC米兰球员埃马纽尔森大禁区外尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是康斯坦特.                   85'第85分钟，康斯坦特左路低传，埃马纽尔森禁区前沿左脚抽射掠过横梁
86'AC米兰球员耶佩斯一脚直塞球给埃马纽尔森,但是边裁举旗显示后者已经越位.                   85'第85分钟，康斯坦特左路低传，埃马纽尔森禁区前沿左脚抽射掠过横梁
87'热那亚球员萨姆皮里希拼抢犯规,对手获得控球权.                   85'第85分钟，康斯坦特左路低传，埃马纽尔森禁区前沿左脚抽射掠过横梁
87'帕齐尼为AC米兰赢得一个任意球.                   85'第85分钟，康斯坦特左路低传，埃马纽尔森禁区前沿左脚抽射掠过横梁
88'AC米兰换人,诺切里诺换下埃马纽尔森                   85'第85分钟，康斯坦特左路低传，埃马纽尔森禁区前沿左脚抽射掠过横梁
88'格兰奎斯特为热那亚赢得一个任意球.                   85'第85分钟，康斯坦特左路低传，埃马纽尔森禁区前沿左脚抽射掠过横梁
88'AC米兰球员帕齐尼危险动作,对手获得控球权.                   85'第85分钟，康斯坦特左路低传，埃马纽尔森禁区前沿左脚抽射掠过横梁
