1'上半场比赛开始                   1'周中欧冠输球令阿森纳倍感压力，酋长球场第1分钟也显得十分安静
29'张伯伦得球下底传中，力量太大，直接出了远端底线                   27'阿森纳首次射门出现在第27分钟，桑切斯左路传中，但吉鲁小禁区边缘的头球攻门偏出左侧立柱，场边一片叹息
29'阿森纳中场抢断，斜塞给到吉鲁                   27'阿森纳首次射门出现在第27分钟，桑切斯左路传中，但吉鲁小禁区边缘的头球攻门偏出左侧立柱，场边一片叹息
29'吉鲁大禁区左侧角上起脚打门，被斯通挡回                   27'阿森纳首次射门出现在第27分钟，桑切斯左路传中，但吉鲁小禁区边缘的头球攻门偏出左侧立柱，场边一片叹息
30'阿森纳前场再攻，张伯伦的传中，吉布斯头球顶高                   27'阿森纳首次射门出现在第27分钟，桑切斯左路传中，但吉鲁小禁区边缘的头球攻门偏出左侧立柱，场边一片叹息
30'科斯切尔尼后场和巴克利争抢，被吹蹬踏犯规                   27'阿森纳首次射门出现在第27分钟，桑切斯左路传中，但吉鲁小禁区边缘的头球攻门偏出左侧立柱，场边一片叹息
30'埃弗顿获得前场靠近左侧的任意球机会                   27'阿森纳首次射门出现在第27分钟，桑切斯左路传中，但吉鲁小禁区边缘的头球攻门偏出左侧立柱，场边一片叹息
54'加布里埃尔下场换了球衣再登场继续比赛，装备十足啊                   54'第54分钟，吉鲁小禁区右上角的射门被加吉尔卡用手封堵，但裁判未予判罚
54'桑切斯前场左路拿球，直塞给上来的吉布斯                   54'第54分钟，吉鲁小禁区右上角的射门被加吉尔卡用手封堵，但裁判未予判罚
55'吉布斯左脚传中，打在回防的加伯特身上折射，霍华德出击将球拿到                   54'第54分钟，吉鲁小禁区右上角的射门被加吉尔卡用手封堵，但裁判未予判罚
56'科尔曼右路拿球，内切到禁区，横传球被断                   54'第54分钟，吉鲁小禁区右上角的射门被加吉尔卡用手封堵，但裁判未予判罚
56'科奎林中场拿球，面对逼抢，转身分给张伯伦                   54'第54分钟，吉鲁小禁区右上角的射门被加吉尔卡用手封堵，但裁判未予判罚
57'贾吉尔卡后场的直塞球找卢卡库                   54'第54分钟，吉鲁小禁区右上角的射门被加吉尔卡用手封堵，但裁判未予判罚
57'卢卡库故意一漏想给前插的巴克利，球被科斯切尔尼抢先断掉                   54'第54分钟，吉鲁小禁区右上角的射门被加吉尔卡用手封堵，但裁判未予判罚
81'桑切斯停球，转身再给吉鲁，吉鲁起脚打门，被后卫挡出                   81'阿森纳第81分钟有望扩大比分，张伯伦传球，但厄齐尔禁区内的射门被及时回防的加吉尔卡拦挡出底线
81'这球桑切斯漏过去，直接让吉鲁攻门，效果可能更好                   81'阿森纳第81分钟有望扩大比分，张伯伦传球，但厄齐尔禁区内的射门被及时回防的加吉尔卡拦挡出底线
81'阿森纳前场进攻，厄齐尔禁区内的左脚打门，被防守球员挡出了兑现                   81'阿森纳第81分钟有望扩大比分，张伯伦传球，但厄齐尔禁区内的射门被及时回防的加吉尔卡拦挡出底线
81'底线                   81'阿森纳第81分钟有望扩大比分，张伯伦传球，但厄齐尔禁区内的射门被及时回防的加吉尔卡拦挡出底线
82'阿森纳获得右侧角球，厄齐尔主罚，并未形成威胁                   81'阿森纳第81分钟有望扩大比分，张伯伦传球，但厄齐尔禁区内的射门被及时回防的加吉尔卡拦挡出底线
82'阿森纳换人：7号罗西基上，换下15号张伯伦                   81'阿森纳第81分钟有望扩大比分，张伯伦传球，但厄齐尔禁区内的射门被及时回防的加吉尔卡拦挡出底线
83'张伯伦的下场，也是迎来了现场球迷的热烈掌声                   81'阿森纳第81分钟有望扩大比分，张伯伦传球，但厄齐尔禁区内的射门被及时回防的加吉尔卡拦挡出底线
84'埃弗顿第三次换人：4号吉布森上，换下18号巴里                   81'阿森纳第81分钟有望扩大比分，张伯伦传球，但厄齐尔禁区内的射门被及时回防的加吉尔卡拦挡出底线
84'科尔曼右路拿球，挑传给到卢卡库                   81'阿森纳第81分钟有望扩大比分，张伯伦传球，但厄齐尔禁区内的射门被及时回防的加吉尔卡拦挡出底线
84'卢卡库拿球内切，被回防的卡索拉断掉                   81'阿森纳第81分钟有望扩大比分，张伯伦传球，但厄齐尔禁区内的射门被及时回防的加吉尔卡拦挡出底线
84'阿森纳后场失误，奈史密斯停球，直塞禁区找卢卡库                   81'阿森纳第81分钟有望扩大比分，张伯伦传球，但厄齐尔禁区内的射门被及时回防的加吉尔卡拦挡出底线
89'这样双方的三个换人名额全部用完了                   89'阿森纳第89分钟锁定胜局，厄齐尔左路传中，罗西基禁区弧顶外劲射偏转入网，2-0
89'阿森纳再进一球！！！                   89'阿森纳第89分钟锁定胜局，厄齐尔左路传中，罗西基禁区弧顶外劲射偏转入网，2-0
89'此时此刻值得来杯嘉士伯                   89'阿森纳第89分钟锁定胜局，厄齐尔左路传中，罗西基禁区弧顶外劲射偏转入网，2-0
90'罗西基禁区外的远射，打在贾吉尔卡的腿上折射进网！！！                   89'阿森纳第89分钟锁定胜局，厄齐尔左路传中，罗西基禁区弧顶外劲射偏转入网，2-0
90'2球领先，时间所剩无几，这样胜负基本没悬念了                   89'阿森纳第89分钟锁定胜局，厄齐尔左路传中，罗西基禁区弧顶外劲射偏转入网，2-0
91'阿森纳前场进攻，赢得左侧角球机会                   89'阿森纳第89分钟锁定胜局，厄齐尔左路传中，罗西基禁区弧顶外劲射偏转入网，2-0
91'卡索拉主罚，开出到前点，被埃弗顿球员解围                   89'阿森纳第89分钟锁定胜局，厄齐尔左路传中，罗西基禁区弧顶外劲射偏转入网，2-0
91'贝莱林右路拿球，强突后传中到门前                   89'阿森纳第89分钟锁定胜局，厄齐尔左路传中，罗西基禁区弧顶外劲射偏转入网，2-0
91'吉鲁的抢点，甩头攻门，差之毫厘，球贴着立柱出了底线                   89'阿森纳第89分钟锁定胜局，厄齐尔左路传中，罗西基禁区弧顶外劲射偏转入网，2-0
92'下半场比赛补时7分钟                   89'阿森纳第89分钟锁定胜局，厄齐尔左路传中，罗西基禁区弧顶外劲射偏转入网，2-0
92'埃弗顿前场进攻，赢得右侧角球机会                   89'阿森纳第89分钟锁定胜局，厄齐尔左路传中，罗西基禁区弧顶外劲射偏转入网，2-0
92'角球开出，第一点被阿森纳球员解围                   89'阿森纳第89分钟锁定胜局，厄齐尔左路传中，罗西基禁区弧顶外劲射偏转入网，2-0
