38'张鹭长传上来，石柯顶到第一点                   38'全场两队对攻精彩，第38分钟胡尔克右路突破后横传，武磊中路爆射首开纪录
60'赵旭日禁区前沿得球直传左肋部，孙可传中被贺惯挡一下弹了立柱到门前，帕托到位门线前将球打进空门！                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
61'郑达伦后场控球被于海抢断                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
61'于海下底急停回传，武磊打近角被张鹭扑出底线                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
61'上港左路的角球机会                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
61'胡尔克发到门前，维特塞尔头球解围                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
47'权健获得一个前场左路的任意球机会                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
47'帕托发到禁区内，被顶出                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
47'上半场比赛结束！                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
47'奥斯卡的护球，被孙可绊倒                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
47'奥斯卡长传上来，埃尔克森胸部停球下来被断了                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
47'刘奕明开大脚，被埃尔克森拦截出边线                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
48'埃尔克森右路带球上来，分左侧的武磊                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
48'武磊与奥斯卡做二过一，禁区内倒地了！点球！                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
48'这是武磊与胡尔克的二过人，郑达伦背后抱倒了武磊，点球！                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
48'胡尔克准备主罚点球                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
49'胡尔克碎步助跑，打左下角，打偏了！                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
50'帕托左路球内切，交给郑达伦                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
50'下底传中，都漏了                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
50'郑达伦右路带球上来交给维特塞尔                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
50'分给格乌瓦尼奥                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
50'格乌瓦尼奥传球被张卫拦截一下                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
50'回传出来                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
50'格乌瓦尼奥传中，划门而过，两罚全中将球解围出边线                   47'第2分钟格乌瓦尼奥在禁区右侧强行射门，球被颜骏凌扑出底线
51'帕托得球，漂亮的脚后跟传球，孙可传中被挡住                   51'第6分钟上港获得35米外任意球机会，胡尔克的怒射直奔大门右侧飞来，张鹭做出精彩扑救
51'奥斯卡交给于海                   51'第6分钟上港获得35米外任意球机会，胡尔克的怒射直奔大门右侧飞来，张鹭做出精彩扑救
52'格乌瓦尼奥交给帕托                   51'第6分钟上港获得35米外任意球机会，胡尔克的怒射直奔大门右侧飞来，张鹭做出精彩扑救
52'这是王晓龙，远射没有抽起来                   51'第6分钟上港获得35米外任意球机会，胡尔克的怒射直奔大门右侧飞来，张鹭做出精彩扑救
52'奥斯卡的长传，武磊前插，张鹭冲出禁区飞铲解围                   51'第6分钟上港获得35米外任意球机会，胡尔克的怒射直奔大门右侧飞来，张鹭做出精彩扑救
52'不过张鹭解围后右脚撞到了武磊的右脚！                   51'第6分钟上港获得35米外任意球机会，胡尔克的怒射直奔大门右侧飞来，张鹭做出精彩扑救
53'张鹭痛苦倒地                   51'第6分钟上港获得35米外任意球机会，胡尔克的怒射直奔大门右侧飞来，张鹭做出精彩扑救
54'主裁判向武磊补发一张黄牌                   51'第6分钟上港获得35米外任意球机会，胡尔克的怒射直奔大门右侧飞来，张鹭做出精彩扑救
54'比赛继续                   51'第6分钟上港获得35米外任意球机会，胡尔克的怒射直奔大门右侧飞来，张鹭做出精彩扑救
54'杨善平的后场长传，球直接出了底线                   51'第6分钟上港获得35米外任意球机会，胡尔克的怒射直奔大门右侧飞来，张鹭做出精彩扑救
56'帕托带球内切直传，孙可没有接应上                   56'第11分钟于海换下张华晨
56'卡纳瓦罗也是有点无耐                   56'第11分钟于海换下张华晨
56'维特塞尔回传给杨善平，交给刘奕明                   56'第11分钟于海换下张华晨
56'维特塞尔 接应直传，接应的王晓龙被胡尔克撞倒                   56'第11分钟于海换下张华晨
57'刘奕明交给格乌瓦尼奥，回传给维特塞尔                   56'第11分钟于海换下张华晨
57'交给了赵旭日，挑传给大了                   56'第11分钟于海换下张华晨
57'石柯将球解围                   56'第11分钟于海换下张华晨
57'于海左路高速度带球上来，倒三角交给武磊                   56'第11分钟于海换下张华晨
58'回给奥斯卡                   56'第11分钟于海换下张华晨
58'下底传中，中路没有上港的球员                   56'第11分钟于海换下张华晨
58'两罚全中右路传后点，于海头球摆渡，被杨善平解围                   56'第11分钟于海换下张华晨
58'赵旭日中场带球，交给格乌瓦尼奥                   56'第11分钟于海换下张华晨
58'横传中路，传赵旭日身后了                   56'第11分钟于海换下张华晨
58'武磊交给奥斯卡，分右路的胡尔克                   56'第11分钟于海换下张华晨
58'内切，被维特塞尔断下                   56'第11分钟于海换下张华晨
59'赵旭日交给帕托                   56'第11分钟于海换下张华晨
59'分给张诚，直传给格乌瓦尼奥                   56'第11分钟于海换下张华晨
59'给孙可，外脚背传球被顶出                   56'第11分钟于海换下张华晨
59'帕托开胡了！！！                   56'第11分钟于海换下张华晨
59'赵旭日交给帕托                   59'权健全力进攻，第14分钟主队左路传中，维特塞尔凌空垫射高出
59'分给张诚，直传给格乌瓦尼奥                   59'权健全力进攻，第14分钟主队左路传中，维特塞尔凌空垫射高出
59'给孙可，外脚背传球被顶出                   59'权健全力进攻，第14分钟主队左路传中，维特塞尔凌空垫射高出
59'帕托开胡了！！！                   59'权健全力进攻，第14分钟主队左路传中，维特塞尔凌空垫射高出
60'赵旭日禁区前沿得球直传左肋部，孙可传中被贺惯挡一下弹了立柱到门前，帕托到位门线前将球打进空门！                   59'权健全力进攻，第14分钟主队左路传中，维特塞尔凌空垫射高出
61'郑达伦后场控球被于海抢断                   59'权健全力进攻，第14分钟主队左路传中，维特塞尔凌空垫射高出
61'于海下底急停回传，武磊打近角被张鹭扑出底线                   59'权健全力进攻，第14分钟主队左路传中，维特塞尔凌空垫射高出
61'上港左路的角球机会                   59'权健全力进攻，第14分钟主队左路传中，维特塞尔凌空垫射高出
61'胡尔克发到门前，维特塞尔头球解围                   59'权健全力进攻，第14分钟主队左路传中，维特塞尔凌空垫射高出
62'赵旭日交给郑达伦，直传，被张卫破坏                   59'权健全力进攻，第14分钟主队左路传中，维特塞尔凌空垫射高出
62'赵旭日再拿球直传给大了                   59'权健全力进攻，第14分钟主队左路传中，维特塞尔凌空垫射高出
62'刘奕明的长传被贺惯端一下                   59'权健全力进攻，第14分钟主队左路传中，维特塞尔凌空垫射高出
61'郑达伦后场控球被于海抢断                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
61'于海下底急停回传，武磊打近角被张鹭扑出底线                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
61'上港左路的角球机会                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
61'胡尔克发到门前，维特塞尔头球解围                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
62'赵旭日交给郑达伦，直传，被张卫破坏                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
62'赵旭日再拿球直传给大了                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
62'刘奕明的长传被贺惯端一下                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
63'格乌瓦尼奥拿球交给帕托，远射打在了石柯后背上                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
63'孙可右路得球传中，碰张卫的脚出底线                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
63'权健的气势完全起来了                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
63'帕托也向观众席扬手                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
63'帕托传后点，颜骏凌将球摘下                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
63'颜骏凌大脚发到前场                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
64'格乌瓦尼奥拿到球交给帕托                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
64'直传                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
64'格乌瓦尼奥拿球没有传交给禁区内的孙可                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
64'回传给维特塞尔                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
64'帕托接应直传，孙可打门被贺惯封出                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
64'禁区前沿的争夺，胡尔克对帕格乌瓦尼奥犯规                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
64'胡尔克吃到黄牌                   61'第16分钟武磊左路带球杀入禁区，格乌瓦尼奥在禁区内和武磊发生肢体冲突，武磊倒地被判犯规，武磊一头雾水
66'帕托的打门打在人墙头飞出底线                   66'第21分钟石柯传球被维特维尔断走，比利时国脚转移到右路，帕托杀入禁区，强行零角度射门打成传中
66'帕托发到外围，张诚的远射，颜骏凌将球拿住                   66'第21分钟石柯传球被维特维尔断走，比利时国脚转移到右路，帕托杀入禁区，强行零角度射门打成传中
66'上港反击，奥斯卡右路传中                   66'第21分钟石柯传球被维特维尔断走，比利时国脚转移到右路，帕托杀入禁区，强行零角度射门打成传中
66'埃尔克森做球，胡尔克凌空劲射，打到天上了                   66'第21分钟石柯传球被维特维尔断走，比利时国脚转移到右路，帕托杀入禁区，强行零角度射门打成传中
68'上港换人，11号吕文君换下了7号武磊                   66'第21分钟石柯传球被维特维尔断走，比利时国脚转移到右路，帕托杀入禁区，强行零角度射门打成传中
69'比赛越来越精彩                   66'第21分钟石柯传球被维特维尔断走，比利时国脚转移到右路，帕托杀入禁区，强行零角度射门打成传中
69'石柯交给左路的张卫                   66'第21分钟石柯传球被维特维尔断走，比利时国脚转移到右路，帕托杀入禁区，强行零角度射门打成传中
69'奥斯卡接应交给石柯                   66'第21分钟石柯传球被维特维尔断走，比利时国脚转移到右路，帕托杀入禁区，强行零角度射门打成传中
69'比赛越来越精彩                   69'第24分钟上港右路传中，郑达伦解围过轻，身边的于海撩脚就射，可惜打偏出界
69'石柯交给左路的张卫                   69'第24分钟上港右路传中，郑达伦解围过轻，身边的于海撩脚就射，可惜打偏出界
69'奥斯卡接应交给石柯                   69'第24分钟上港右路传中，郑达伦解围过轻，身边的于海撩脚就射，可惜打偏出界
70'石柯长传上来，给大了，吕文君没有追上                   69'第24分钟上港右路传中，郑达伦解围过轻，身边的于海撩脚就射，可惜打偏出界
70'胡尔克带球上来，短传给奥斯卡，奥斯卡转身打门球偏出左边立柱                   69'第24分钟上港右路传中，郑达伦解围过轻，身边的于海撩脚就射，可惜打偏出界
71'张鹭发门球                   69'第24分钟上港右路传中，郑达伦解围过轻，身边的于海撩脚就射，可惜打偏出界
71'帕托前场断球了，分给格乌瓦尼奥                   69'第24分钟上港右路传中，郑达伦解围过轻，身边的于海撩脚就射，可惜打偏出界
71'回给维特塞尔，交给赵旭日，赵旭日远射，打偏了一点                   69'第24分钟上港右路传中，郑达伦解围过轻，身边的于海撩脚就射，可惜打偏出界
72'王燊超右路得球，被格乌瓦尼奥绊倒                   69'第24分钟上港右路传中，郑达伦解围过轻，身边的于海撩脚就射，可惜打偏出界
74'奥斯卡的盘带被踢倒                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
74'石柯的长传上来，胡尔克顶给埃尔克森                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
74'埃尔克森带球倒地，裁判没有吹罚                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
74'吕文君左路的传中，给大了                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
75'帕托右路球，交给孙可                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
75'赵旭日直塞没有塞过去                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
75'埃尔克森回交给张卫                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
75'胡尔克接应转移给右路的王燊超                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
75'胡尔克过来接应，穿裆传球                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
76'刘奕明放铲将球铲出边线                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
76'铲出底线                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
76'战术角球，胡尔克下底线，过去了，回传，石柯得球横传                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
76'这一侧没有人啊                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
76'维特塞尔分右路的王晓龙                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
76'下底，被张卫拦截出边线                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
77'也是出底线，角球                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
77'奥斯卡参与防守将球踢在格乌瓦尼奥脚出底线                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
77'上港换人，15号林创益换下了8号奥斯卡                   74'第29分钟胡尔克左路精确传中，埃尔克森鱼跃冲顶又被张鹭扑住
79'维特塞尔中场控球，交给张诚                   79'第34分钟格乌瓦尼奥过掉张卫，离门25米外发炮稍稍偏出，前35分钟两队射门合计多达14次
79'横传给赵旭日                   79'第34分钟格乌瓦尼奥过掉张卫，离门25米外发炮稍稍偏出，前35分钟两队射门合计多达14次
79'分边给了格乌瓦尼奥                   79'第34分钟格乌瓦尼奥过掉张卫，离门25米外发炮稍稍偏出，前35分钟两队射门合计多达14次
79'传中，给深了，球直接飞出底线                   79'第34分钟格乌瓦尼奥过掉张卫，离门25米外发炮稍稍偏出，前35分钟两队射门合计多达14次
80'奥斯卡交给吕文君                   79'第34分钟格乌瓦尼奥过掉张卫，离门25米外发炮稍稍偏出，前35分钟两队射门合计多达14次
80'盘很漂亮，交给胡尔克                   79'第34分钟格乌瓦尼奥过掉张卫，离门25米外发炮稍稍偏出，前35分钟两队射门合计多达14次
80'带丢了                   79'第34分钟格乌瓦尼奥过掉张卫，离门25米外发炮稍稍偏出，前35分钟两队射门合计多达14次
80'还是上港控球，王燊超的传中，于海头球一蹭                   79'第34分钟格乌瓦尼奥过掉张卫，离门25米外发炮稍稍偏出，前35分钟两队射门合计多达14次
80'球出底线                   79'第34分钟格乌瓦尼奥过掉张卫，离门25米外发炮稍稍偏出，前35分钟两队射门合计多达14次
81'回复：海之萧瑟 21:13 举报回复 下次上港的点数，由国内球员来主罚吧！即使丢了，也锻炼了国内球员。（好建议）                   79'第34分钟格乌瓦尼奥过掉张卫，离门25米外发炮稍稍偏出，前35分钟两队射门合计多达14次
82'胡尔克打一脚远射，打偏了                   79'第34分钟格乌瓦尼奥过掉张卫，离门25米外发炮稍稍偏出，前35分钟两队射门合计多达14次
82'刚才权健用13号储今朝换下了16号郑达伦                   79'第34分钟格乌瓦尼奥过掉张卫，离门25米外发炮稍稍偏出，前35分钟两队射门合计多达14次
83'王晓龙左路拿球回传给格乌瓦尼奥                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
83'回传给维特塞尔，转移给了赵旭日                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
83'张诚接应一下，储今朝是打左后卫                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
83'胡尔克来了，进了禁区，踩单车后劲射，张鹭将球封出底线                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
84'胡尔克发角球，张鹭将球摘下                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
84'发出来，林创益将球破坏出边线                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
84'赵旭日交给维特塞尔，分边给了储今朝                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
84'传中给大了                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
85'王晓龙组织，挑传，给大了                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
85'继续是权健的进攻                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
85'帕托的传中，孙可跑过了                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
85'林创益的分边球被张诚顶出边线                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
86'于海左路来了，传中被拦截                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
86'林创益断球来一脚远射，张鹭将球扑出底线                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
86'张鹭今天扑很多球了                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
86'胡尔克传中，到后点，王燊超传中被解围                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
86'王晓龙带，贺惯拉人犯规                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
86'贺惯吃到黄牌                   83'第38分钟胡尔克右路带球，他过掉一人后杀入禁区，接着加速过掉张诚后横传，前点埃尔克森吸引杨善平防守，两人都没碰到球，中路无人看守的武磊怒射破门，1比0
89'于海趟球下底传中，刘奕明将球铲出底线                   89'第44分钟张卫左路传球，胡尔克正要射门，被孙可干扰后倒地，裁判没有表示
89'右路的角球机会                   89'第44分钟张卫左路传球，胡尔克正要射门，被孙可干扰后倒地，裁判没有表示
89'胡尔克传前点，被刘奕明解围                   89'第44分钟张卫左路传球，胡尔克正要射门，被孙可干扰后倒地，裁判没有表示
89'胡尔克来掷界外球                   89'第44分钟张卫左路传球，胡尔克正要射门，被孙可干扰后倒地，裁判没有表示
90'强行一打三，传中，张鹭将球抱住                   89'第44分钟张卫左路传球，胡尔克正要射门，被孙可干扰后倒地，裁判没有表示
90'胡尔克打丢点球后有点太独了                   89'第44分钟张卫左路传球，胡尔克正要射门，被孙可干扰后倒地，裁判没有表示
90'下半场补时3分钟                   89'第44分钟张卫左路传球，胡尔克正要射门，被孙可干扰后倒地，裁判没有表示
92'权健左路的角球机会                   89'第44分钟张卫左路传球，胡尔克正要射门，被孙可干扰后倒地，裁判没有表示
92'帕托发出来被石柯顶出                   89'第44分钟张卫左路传球，胡尔克正要射门，被孙可干扰后倒地，裁判没有表示
92'胡尔克带球反击没有带好                   89'第44分钟张卫左路传球，胡尔克正要射门，被孙可干扰后倒地，裁判没有表示
92'埃尔克森右路来了交给胡尔克                   89'第44分钟张卫左路传球，胡尔克正要射门，被孙可干扰后倒地，裁判没有表示
92'权健左路的角球机会                   92'第47分钟武磊从左路突破入禁区，先是杨善平从侧撞击，郑达伦在身后也有搂抱动作，武磊倒地，点球
92'帕托发出来被石柯顶出                   92'第47分钟武磊从左路突破入禁区，先是杨善平从侧撞击，郑达伦在身后也有搂抱动作，武磊倒地，点球
92'胡尔克带球反击没有带好                   92'第47分钟武磊从左路突破入禁区，先是杨善平从侧撞击，郑达伦在身后也有搂抱动作，武磊倒地，点球
92'埃尔克森右路来了交给胡尔克                   92'第47分钟武磊从左路突破入禁区，先是杨善平从侧撞击，郑达伦在身后也有搂抱动作，武磊倒地，点球
93'胡尔克进了禁区，下底传中被张鹭挡一下                   92'第47分钟武磊从左路突破入禁区，先是杨善平从侧撞击，郑达伦在身后也有搂抱动作，武磊倒地，点球
93'刘奕明的解围                   92'第47分钟武磊从左路突破入禁区，先是杨善平从侧撞击，郑达伦在身后也有搂抱动作，武磊倒地，点球
93'全场比赛结束！                   92'第47分钟武磊从左路突破入禁区，先是杨善平从侧撞击，郑达伦在身后也有搂抱动作，武磊倒地，点球
60'赵旭日禁区前沿得球直传左肋部，孙可传中被贺惯挡一下弹了立柱到门前，帕托到位门线前将球打进空门！                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
61'郑达伦后场控球被于海抢断                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
61'于海下底急停回传，武磊打近角被张鹭扑出底线                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
61'上港左路的角球机会                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
61'胡尔克发到门前，维特塞尔头球解围                   60'第60分钟埃尔克森一路杀到底线附近后回传，武磊在缝隙中冷射被张鹭扑出
