7'吴曦为江苏舜天赢得一个任意球.                   7'比赛第7分钟，达纳拉赫禁区外远射被挡出，刘建业禁区外得球再射，球被杨程没收
42'韩鹏为山东鲁能赢得一个任意球.                   41'第41分钟，李松益防守犯规被吹后仍然踢球，被主裁判黄牌警告
43'邓卓翔为江苏舜天在对方半场,赢得一个任意球.                   41'第41分钟，李松益防守犯规被吹后仍然踢球，被主裁判黄牌警告
43'山东鲁能球员麦克格文手球犯规,对手获得球权.                   41'第41分钟，李松益防守犯规被吹后仍然踢球，被主裁判黄牌警告
43'江苏舜天邓卓翔受伤倒地,比赛暂停                   41'第41分钟，李松益防守犯规被吹后仍然踢球，被主裁判黄牌警告
44'暂停结束,球员们重新开始比赛.                   41'第41分钟，李松益防守犯规被吹后仍然踢球，被主裁判黄牌警告
46'山东鲁能球员崔鹏大禁区中央尝试右脚射门,可惜皮球偏出球门.给他传球的是Vágner Love.                   46'下半场易边再战，第46分钟，洛维中路拿球连续摆脱3名后防队员纠缠送出妙传，崔鹏禁区内得球挑射偏出立柱
47'达纳拉赫为江苏舜天在右路,赢得一个任意球.                   46'下半场易边再战，第46分钟，洛维中路拿球连续摆脱3名后防队员纠缠送出妙传，崔鹏禁区内得球挑射偏出立柱
47'山东鲁能球员郑铮手球犯规,对手获得球权.                   46'下半场易边再战，第46分钟，洛维中路拿球连续摆脱3名后防队员纠缠送出妙传，崔鹏禁区内得球挑射偏出立柱
48'刘建业为江苏舜天赢得一个任意球.                   46'下半场易边再战，第46分钟，洛维中路拿球连续摆脱3名后防队员纠缠送出妙传，崔鹏禁区内得球挑射偏出立柱
48'山东鲁能球员韩鹏手球犯规,对手获得球权.                   46'下半场易边再战，第46分钟，洛维中路拿球连续摆脱3名后防队员纠缠送出妙传，崔鹏禁区内得球挑射偏出立柱
55'埃雷尔森将球处理出底线,山东鲁能获得角球.                   55'第55分钟，山东鲁能扳平比分，蒿俊闵弧线球传入禁区，安塔尔高高跃起狮子甩头将球顶入球门，场上比分变为1-1
55'进球啦！！！山东鲁能球员安塔尔大禁区中央头球,球从右下角飞进球门,球进了!助攻的是蒿俊闵. 江苏舜天 1-1 山东鲁能.                   55'第55分钟，山东鲁能扳平比分，蒿俊闵弧线球传入禁区，安塔尔高高跃起狮子甩头将球顶入球门，场上比分变为1-1
57'山东鲁能换人,王永珀换下马塞纳                   55'第55分钟，山东鲁能扳平比分，蒿俊闵弧线球传入禁区，安塔尔高高跃起狮子甩头将球顶入球门，场上比分变为1-1
57'达纳拉赫为江苏舜天赢得一个任意球.                   55'第55分钟，山东鲁能扳平比分，蒿俊闵弧线球传入禁区，安塔尔高高跃起狮子甩头将球顶入球门，场上比分变为1-1
57'山东鲁能球员王彤手球犯规,对手获得球权.                   55'第55分钟，山东鲁能扳平比分，蒿俊闵弧线球传入禁区，安塔尔高高跃起狮子甩头将球顶入球门，场上比分变为1-1
58'江苏舜天球员达纳拉赫大禁区中央头球,命中门柱横梁.给他传球的是耶夫蒂奇.                   55'第55分钟，山东鲁能扳平比分，蒿俊闵弧线球传入禁区，安塔尔高高跃起狮子甩头将球顶入球门，场上比分变为1-1
58'江苏舜天球员吉翔拼抢犯规,对手获得控球权.                   55'第55分钟，山东鲁能扳平比分，蒿俊闵弧线球传入禁区，安塔尔高高跃起狮子甩头将球顶入球门，场上比分变为1-1
58'郑铮为山东鲁能赢得一个任意球.                   55'第55分钟，山东鲁能扳平比分，蒿俊闵弧线球传入禁区，安塔尔高高跃起狮子甩头将球顶入球门，场上比分变为1-1
58'江苏舜天球员达纳拉赫大禁区中央头球,命中门柱横梁.给他传球的是耶夫蒂奇.                   58'第58分钟，江苏舜天快速反击，耶夫蒂奇弧线球传中，达纳拉赫头球攻门，球击中横梁弹出
58'江苏舜天球员吉翔拼抢犯规,对手获得控球权.                   58'第58分钟，江苏舜天快速反击，耶夫蒂奇弧线球传中，达纳拉赫头球攻门，球击中横梁弹出
58'郑铮为山东鲁能赢得一个任意球.                   58'第58分钟，江苏舜天快速反击，耶夫蒂奇弧线球传中，达纳拉赫头球攻门，球击中横梁弹出
60'山东鲁能球员安塔尔大禁区外右脚射门,被防守球员封堵.                   58'第58分钟，江苏舜天快速反击，耶夫蒂奇弧线球传中，达纳拉赫头球攻门，球击中横梁弹出
70'江苏舜天球员吉翔大禁区左侧尝试左脚射门,可惜皮球偏出球门.给他传球的是刘建业.                   70'第70分钟，刘建业挑传，吉翔卸球后凌空抽射将球打高
73'山东鲁能球员王永珀一脚直塞球给蒿俊闵,但是边裁举旗显示后者已经越位.                   70'第70分钟，刘建业挑传，吉翔卸球后凌空抽射将球打高
77'山东鲁能球员Vágner Love大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是吴兴涵.                   77'第77分钟，山东鲁能错失反超机会，洛维与吴兴涵打出二过一配合后杀入禁区，面对门将关震，洛维在埃雷尔森的推搡下将球打高
78'山东鲁能换人,刘彬彬换下崔鹏                   77'第77分钟，山东鲁能错失反超机会，洛维与吴兴涵打出二过一配合后杀入禁区，面对门将关震，洛维在埃雷尔森的推搡下将球打高
84'江苏舜天换人,萨利赫换下耶夫蒂奇                   82'第82分钟，替补登场的刘彬彬边路突破后将球横扫门前，洛维赶到稍慢错失机会
88'山东鲁能球员安塔尔大禁区中央右脚射门,命中门柱横梁.给他传球的是王永珀.                   88'第88分钟，山东鲁能角球进攻，王永珀弧线球传入禁区，跟进的安塔尔凌空打门，球击中横梁与立柱交角处弹出
89'江苏舜天换人,戈伟换下达纳拉赫                   88'第88分钟，山东鲁能角球进攻，王永珀弧线球传入禁区，跟进的安塔尔凌空打门，球击中横梁与立柱交角处弹出
90'+1'周云将球处理出底线,山东鲁能获得角球.                   88'第88分钟，山东鲁能角球进攻，王永珀弧线球传入禁区，跟进的安塔尔凌空打门，球击中横梁与立柱交角处弹出
90'+2'江苏舜天球员萨利赫大禁区外右脚射门,被防守球员封堵.给他传球的是刘建业.                   88'第88分钟，山东鲁能角球进攻，王永珀弧线球传入禁区，跟进的安塔尔凌空打门，球击中横梁与立柱交角处弹出
90'+3'吴曦为江苏舜天赢得一个任意球.                   88'第88分钟，山东鲁能角球进攻，王永珀弧线球传入禁区，跟进的安塔尔凌空打门，球击中横梁与立柱交角处弹出
90'+3'山东鲁能球员吴兴涵手球犯规,对手获得球权.                   88'第88分钟，山东鲁能角球进攻，王永珀弧线球传入禁区，跟进的安塔尔凌空打门，球击中横梁与立柱交角处弹出
90'+4'下半场结束,江苏舜天 1-1 山东鲁能                   88'第88分钟，山东鲁能角球进攻，王永珀弧线球传入禁区，跟进的安塔尔凌空打门，球击中横梁与立柱交角处弹出
