4'射门!!!罗马球员托蒂大禁区外右脚射门,被对方守门员横身扑出.                   4'开场4分钟，托蒂在门前32米处大力任意球被维维亚诺封出
75'罗马球员奥斯瓦尔多大禁区中央右脚射门,被防守球员封堵.给他传球的是巴尔扎雷蒂.                   73'第73分钟，博尔哈-巴莱罗禁区边缘射门被戈伊科切亚托出底线，但主裁判马佐莱尼没有看清，询问戈伊科切亚后判球门球
75'罗马球员皮亚尼奇手球犯规,对手获得球权.                   73'第73分钟，博尔哈-巴莱罗禁区边缘射门被戈伊科切亚托出底线，但主裁判马佐莱尼没有看清，询问戈伊科切亚后判球门球
76'罗马球员皮亚尼奇拼抢犯规,对手获得控球权.                   73'第73分钟，博尔哈-巴莱罗禁区边缘射门被戈伊科切亚托出底线，但主裁判马佐莱尼没有看清，询问戈伊科切亚后判球门球
76'博尔加-巴雷罗为佛罗伦萨在对方半场,赢得一个任意球.                   73'第73分钟，博尔哈-巴莱罗禁区边缘射门被戈伊科切亚托出底线，但主裁判马佐莱尼没有看清，询问戈伊科切亚后判球门球
76'德罗西将球处理出底线,佛罗伦萨获得角球.                   73'第73分钟，博尔哈-巴莱罗禁区边缘射门被戈伊科切亚托出底线，但主裁判马佐莱尼没有看清，询问戈伊科切亚后判球门球
76'罗马球员皮亚尼奇拼抢犯规,对手获得控球权.                   76'第76分钟，利亚伊奇下底传中击中德罗西手臂上，但马佐莱尼没给点球
76'博尔加-巴雷罗为佛罗伦萨在对方半场,赢得一个任意球.                   76'第76分钟，利亚伊奇下底传中击中德罗西手臂上，但马佐莱尼没给点球
76'德罗西将球处理出底线,佛罗伦萨获得角球.                   76'第76分钟，利亚伊奇下底传中击中德罗西手臂上，但马佐莱尼没给点球
78'佛罗伦萨球员皮萨罗一脚直塞球给托尼,但是边裁举旗显示后者已经越位.                   76'第76分钟，利亚伊奇下底传中击中德罗西手臂上，但马佐莱尼没给点球
79'德罗西为罗马在对方半场,赢得一个任意球.                   76'第76分钟，利亚伊奇下底传中击中德罗西手臂上，但马佐莱尼没给点球
79'佛罗伦萨球员托尼拼抢犯规,对手获得控球权.                   76'第76分钟，利亚伊奇下底传中击中德罗西手臂上，但马佐莱尼没给点球
79'黄牌！佛罗伦萨球员托尼因为恶意犯规,被主裁判出示黄牌.                   76'第76分钟，利亚伊奇下底传中击中德罗西手臂上，但马佐莱尼没给点球
80'佛罗伦萨换人,罗慕洛上,托莫维奇因伤下场.                   80'第80分钟，托罗西迪斯传中，马基尼奥斯头球摆渡，奥斯瓦尔多后点射门偏出右门柱
80'罗马球员奥斯瓦尔多大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是马基尼奥斯.                   80'第80分钟，托罗西迪斯传中，马基尼奥斯头球摆渡，奥斯瓦尔多后点射门偏出右门柱
82'布拉德利将球处理出底线,佛罗伦萨获得角球.                   80'第80分钟，托罗西迪斯传中，马基尼奥斯头球摆渡，奥斯瓦尔多后点射门偏出右门柱
82'卡斯坦将球处理出底线,佛罗伦萨获得角球.                   80'第80分钟，托罗西迪斯传中，马基尼奥斯头球摆渡，奥斯瓦尔多后点射门偏出右门柱
82'佛罗伦萨球员托尼大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是夸德拉多.                   80'第80分钟，托罗西迪斯传中，马基尼奥斯头球摆渡，奥斯瓦尔多后点射门偏出右门柱
47'罗马球员巴尔扎雷蒂拼抢犯规,对手获得控球权.                   47'逃过一劫的罗马2分钟后上演绝杀，皮亚尼奇左侧开出角球，奥斯瓦尔多头球入右下角，1比0
47'夸德拉多为佛罗伦萨赢得一个任意球.                   47'逃过一劫的罗马2分钟后上演绝杀，皮亚尼奇左侧开出角球，奥斯瓦尔多头球入右下角，1比0
49'布拉德利为罗马赢得一个任意球.                   47'逃过一劫的罗马2分钟后上演绝杀，皮亚尼奇左侧开出角球，奥斯瓦尔多头球入右下角，1比0
49'佛罗伦萨球员阿奎拉尼拼抢犯规,对手获得控球权.                   47'逃过一劫的罗马2分钟后上演绝杀，皮亚尼奇左侧开出角球，奥斯瓦尔多头球入右下角，1比0
50'佛罗伦萨球员阿奎拉尼大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是博尔加-巴雷罗.                   47'逃过一劫的罗马2分钟后上演绝杀，皮亚尼奇左侧开出角球，奥斯瓦尔多头球入右下角，1比0
