1'上半场比赛开始                   1'双方均有着处理球与传递配合速度快的特点，第1分钟迅速形成快节奏对峙
29'富力已经4人拿到黄牌                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
30'红牌出现概率不小                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
30'比赛继续                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
30'王子铭痛了1分钟还没有缓过来                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
30'看VAR                    29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
30'有麻烦了                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
31'伊尔马诺夫向肖智改发红牌！                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
31'富力少打一人！                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
31'慢镜看红牌很合理，肖智没有护好球                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
31'被于大宝背后将球捅走                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
32'肖智马上放飞铲，右脚抬高过地面有半米之多                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
32'红牌是正确的判罚                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
32'那现在富力没有中锋                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
32'根据中超的规定，直接红牌罚下的球员需要停赛3场                   29'第29分钟，肖智中后场拼抢中对王子铭亮鞋底放铲，主裁判伊尔马托夫先向其出示黄牌，视频裁判介入后伊尔马托夫观看了视频回放，向肖智改判红牌将其罚下
35'池忠国控球交给奥古斯托                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
35'直传，比埃拉推进，远射                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
35'打太正了，程月磊将球挡出                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
36'乌索交给张晨龙，长传上来被吕鹏顶到第一点                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
36'交给金泰延，池忠国接应转移给比埃拉                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
36'回做，力量给太小了                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
36'池忠国得球交给比埃拉，直传被陈志钊拦截                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
36'卢琳接应被池忠国扫倒                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
36'池忠国也拿到黄牌！                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
38'巴坎布带球，禁区外的远射，没有将球抽起来                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
38'程月磊将球抱住                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
38'池忠国控球，奥古斯托过渡一下                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
38'池忠国分给张稀哲                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
38'回给池忠国，再交给奥古斯托，比埃拉接应回给奥古斯托                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
38'分给张稀哲                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
38'直传过不了卢琳                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
38'乌索交给雷纳迪尼奥                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
38'假动作，再传，乌索没有拿到球                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
38'吕鹏将球控制，回传给郭全博                   35'第35分钟，比埃拉禁区外劲射被程月磊挡出
38'巴坎布带球，禁区外的远射，没有将球抽起来                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
38'程月磊将球抱住                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
38'池忠国控球，奥古斯托过渡一下                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
38'池忠国分给张稀哲                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
38'回给池忠国，再交给奥古斯托，比埃拉接应回给奥古斯托                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
38'分给张稀哲                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
38'直传过不了卢琳                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
38'乌索交给雷纳迪尼奥                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
38'假动作，再传，乌索没有拿到球                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
38'吕鹏将球控制，回传给郭全博                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
39'交给于洋，交给张稀哲                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
39'分给拉边的比埃拉                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
39'直传，王子铭小角度命射，程月磊飞身将球扑出底线                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
39'战术角球，比埃拉传门前                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
39'程月磊双龙出海将球击出                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
39'裁判吹了巴坎布冲撞门将犯规                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
40'程月磊发门球                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
40'金泰延背后推倒了雷纳迪尼奥                   37'第37分钟，巴坎布禁区前突破低射被程月磊没收
54'回复：弄1个昵称真难啊  20:44  举报回复 肖智要是吃完黄牌，死球状态马上换下来，比赛进行一分钟了，裁判再去看视频，会怎么办？（VAR可以追溯，换人是不成立的）                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
54'比埃拉接应交给奥古斯托，分右侧的张稀哲                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
54'回传给奥古斯托                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
55'斜传门前，巴坎布抢点头球攻门，程月磊单掌将球托出横梁                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
55'中赫国安左路的角球                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
55'战术角球                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
55'比埃拉交给奥古斯托，横拔给池忠国，远射，打太软了                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
55'程月磊将球没收                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
56'长传上来，常飞亚去追，一挑，球打在金泰延身上出边线                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
56'雷纳迪尼奥右侧的传中，于洋拦截                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
56'巴坎布中场接应时手球                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
57'奥古斯托交给巴坎布                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
57'交给王子铭                   54'第54分钟，奥古斯托右路斜传，巴坎布头球攻门被程月磊托出横梁
66'托西奇没有追上                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
66'托西奇踢到了左后卫的位置                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
66'乌索打弧线球，郭全博飞身将球托出横梁                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
67'雷纳迪尼奥发后点，托西奇头球顶偏了                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
67'富力前场断球，雷纳迪尼奥分给托西奇                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
67'交给雷纳迪尼奥                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
67'晃动，下底伟训，被金泰延顶出                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
68'唐淼下底传中，雷纳迪尼奥内切头球，没有顶实                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
68'郭全博将球托出横梁                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
68'郭全博很忙啊                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
68'雷纳迪尼奥发前点，乌索甩头攻门，球击中于大宝出底线                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
68'继续角球                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
69'陈志钊发后点，郭全博将球摘下                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
69'开大脚，弋腾交给张功，奥古斯托断球                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
69'奥古斯托推进到禁区边缘横传，巴坎布推射，打到天上                   66'第66分钟，乌索弧线球攻门被郭全博飞身托出横梁
69'陈志钊发后点，郭全博将球摘下                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
69'开大脚，弋腾交给张功，奥古斯托断球                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
69'奥古斯托推进到禁区边缘横传，巴坎布推射，打到天上                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
70'常飞亚右路的人球分过，于洋补过来将球踢出边线                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
70'雷纳迪尼奥右侧带球，斜吊过来，托西奇胸部停球下来                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
70'传中，于洋解围                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
70'弋腾控球交给姜积弘，直传失误                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
70'奥古斯托断球交给比埃拉                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
70'进了禁区横传王子铭横敲                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
71'奥古斯托第一时间没有打，让过来                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
71'比埃拉再打，球进了！                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
72'王子铭回做，力量稍大，奥古斯托找不到球，巴坎布向旁边一捅，比埃拉禁区内推射球门左下角，程月磊鞭长莫及了！                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
72'富力进攻刚有点起色，但还没有扳平比分反而被中赫国安扩大比分至2：0                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
72'常飞亚右路的传中，于洋鱼跃头球解围                   69'第69分钟，奥古斯托前场抢断后于禁区右侧低平球传中，巴坎布迎球推射稍稍打高
79'看看慢镜                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
80'刘欢的传中，巴坎布准备打门，但弋腾的脚先触球，球是飞向自家大门进门                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
80'这球是弋腾的乌龙                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
80'比埃拉的吊门，程月磊将球拿住                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
80'程月磊长传上来                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
80'奥古斯托交给比埃拉，回做                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
80'巴坎布交给奥古斯托                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
80'交给巴坎布                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
80'直传                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
81'巴坎布插上左脚低射，被出击的程月磊将球挡出底线                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
81'战术角球                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
81'刘欢传中，于洋抢点头球攻门顶偏了                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
82'乌索分右侧的唐淼，传中                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
82'无人抢点                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
82'吕鹏解围踢在陈志钊的脚出底线                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
82'富力准备换上丁海峰                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
82'广州富力换人，11号丁海峰换下3号托西奇                   79'比分被拉开后富力明显受挫，在第79分钟时再度丢球：奥古斯托策动国安左路攻势，刘欢底线前快速低平球传中，巴坎布脚后跟巧射的动作与弋腾伸脚解围的动作几乎同时做出，皮球飞入富力球门，比分变为3-0
84'加速，被巴坎布撞倒                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
84'巴坎布吃到黄牌                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
84'奥古斯托交给比埃拉                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
84'脚后跟传球，张稀哲抢断                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
84'程月磊的长传上来                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
84'被于大宝顶到第一点                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
84'张功控球，没有控好                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
85'比埃拉再放过顶长传，巴坎布得球单刀打门                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
85'打高了一点                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
85'程月磊发门球，到左侧，陈志钊端回来                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
85'富力后场控制一下                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
85'乌索交给常飞亚                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
85'长传左侧的丁海峰                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
85'回传给雷纳迪尼奥                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
86'交给常飞亚                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
86'远射，蹭了于洋的脚出底线                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
86'中赫国安准备连换两人                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
86'唐淼发角球，被于大宝头球解围                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
86'雷纳迪尼奥控球交给右侧的唐淼                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
86'回给常飞亚                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
86'又是远射，郭全博将球托出横梁                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
87'唐淼发角球                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
87'郭全博将球碰一下                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
87'池忠国再解围                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
87'陈志钊直传找到常飞亚                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
87'分出来，丁海峰传中被于洋顶出                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
87'比埃拉交给刘欢，送直传                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
87'巴坎布没有追上                   84'第84分钟，比埃拉的过顶球又为巴坎布制造出机会，但巴坎布面对门将攻门打高
