4'什克里尼亚尔将球处理出底线,国际米兰获得角球.                   4'开场4分钟，巴内加右侧开出角球，佩里希奇争顶高出
25'桑普多利亚球员托雷亚拼抢犯规,对手获得控球权.                   25'桑普第25分钟几乎破门，夸利亚雷拉中路抢断加利亚尔迪尼，在门前27米处外脚背抽射击中右门柱弹回
25'巴内加为国际米兰在对方半场,赢得一个任意球.                   25'桑普第25分钟几乎破门，夸利亚雷拉中路抢断加利亚尔迪尼，在门前27米处外脚背抽射击中右门柱弹回
25'维维亚诺将球处理出底线,国际米兰获得角球.                   25'桑普第25分钟几乎破门，夸利亚雷拉中路抢断加利亚尔迪尼，在门前27米处外脚背抽射击中右门柱弹回
26'国际米兰球员布罗佐维奇大禁区左侧尝试左脚射门,可惜皮球偏出球门.给他传球的是坎德雷瓦.                   25'桑普第25分钟几乎破门，夸利亚雷拉中路抢断加利亚尔迪尼，在门前27米处外脚背抽射击中右门柱弹回
27'国际米兰球员伊卡尔迪大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是坎德雷瓦.                   25'桑普第25分钟几乎破门，夸利亚雷拉中路抢断加利亚尔迪尼，在门前27米处外脚背抽射击中右门柱弹回
27'国际米兰加格里亚迪尼受伤倒地,比赛暂停                   25'桑普第25分钟几乎破门，夸利亚雷拉中路抢断加利亚尔迪尼，在门前27米处外脚背抽射击中右门柱弹回
28'暂停结束,球员们重新开始比赛.                   25'桑普第25分钟几乎破门，夸利亚雷拉中路抢断加利亚尔迪尼，在门前27米处外脚背抽射击中右门柱弹回
35'多多将球处理出底线,国际米兰获得角球.                   35'国米第35分钟取得领先
35'进球啦！！！国际米兰球员德安布罗西奥大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是巴内加. 国际米兰 1-0 桑普多利亚.                   35'国米第35分钟取得领先
37'桑普多利亚球员E-巴雷托拼抢犯规,对手获得控球权.                   35'国米第35分钟取得领先
37'布罗佐维奇为国际米兰赢得一个任意球.                   35'国米第35分钟取得领先
37'国际米兰球员德安布罗西奥一脚直塞球给伊卡尔迪,但是边裁举旗显示后者已经越位.                   35'国米第35分钟取得领先
38'贝雷斯兹尼奇将球处理出底线,国际米兰获得角球.                   35'国米第35分钟取得领先
45'桑普多利亚球员利内蒂拼抢犯规,对手获得控球权.                   45'桑普第45分钟再次中柱
45'坎德雷瓦为国际米兰在右路,赢得一个任意球.                   45'桑普第45分钟再次中柱
45'桑普多利亚球员B-费尔南德斯大禁区中央右脚射门,命中门柱左侧立柱.                   45'桑普第45分钟再次中柱
45'+1'桑普多利亚球员希克大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   45'桑普第45分钟再次中柱
45'+2'夸利亚雷拉为桑普多利亚在对方半场,赢得一个任意球.                   45'桑普第45分钟再次中柱
45'+2'国际米兰球员米兰达拼抢犯规,对手获得控球权.                   45'桑普第45分钟再次中柱
45'+3'上半场结束,国际米兰 1-0 桑普多利亚,稍事休息,我们一会来看看下半场两队的表现.                   45'桑普第45分钟再次中柱
45'国际米兰换人,孔多比亚上,加格里亚迪尼因伤下场.                   45'桑普第45分钟再次中柱
46'夸利亚雷拉为桑普多利亚在左路,赢得一个任意球.                   45'桑普第45分钟再次中柱
46'国际米兰球员梅德尔拼抢犯规,对手获得控球权.                   45'桑普第45分钟再次中柱
47'多多为桑普多利亚赢得一个任意球.                   45'桑普第45分钟再次中柱
47'国际米兰球员坎德雷瓦拼抢犯规,对手获得控球权.                   45'桑普第45分钟再次中柱
48'国际米兰球员孔多比亚大禁区外尝试左脚射门,可惜皮球偏出球门.                   45'桑普第45分钟再次中柱
48'B-费尔南德斯为桑普多利亚在对方半场,赢得一个任意球.                   45'桑普第45分钟再次中柱
48'国际米兰球员布罗佐维奇拼抢犯规,对手获得控球权.                   45'桑普第45分钟再次中柱
50'桑普多利亚球员西尔维斯特雷大禁区中央头球,被防守球员封堵.给他传球的是B-费尔南德斯.                   50'桑普第50分钟追平比分
50'进球啦！！！桑普多利亚球员希克球门线跟前左脚射门,球从左下角飞进球门,球进了!助攻的是西尔维斯特雷. 国际米兰 1-1 桑普多利亚.                   50'桑普第50分钟追平比分
51'桑普多利亚球员E-巴雷托拼抢犯规,对手获得控球权.                   50'桑普第50分钟追平比分
51'巴内加为国际米兰在对方半场,赢得一个任意球.                   50'桑普第50分钟追平比分
52'国际米兰球员佩里西奇大禁区左侧右脚射门,被防守球员封堵.                   50'桑普第50分钟追平比分
85'进球啦！！！桑普多利亚球员夸利亚雷拉右脚射门,球从中路偏上飞进球门,球进了! 国际米兰 1-2 桑普多利亚.                   85'国米第85分钟遭到绝杀
88'国际米兰球员米兰达拼抢犯规,对手获得控球权.                   85'国米第85分钟遭到绝杀
88'贝雷斯兹尼奇为桑普多利亚在右路,赢得一个任意球.                   85'国米第85分钟遭到绝杀
88'黄牌！国际米兰球员米兰达因为恶意犯规,被主裁判出示黄牌.                   85'国米第85分钟遭到绝杀
