1'上半场比赛开始！！                   1'双方第1分钟打出高强度对抗，在防守中均谨小慎微，因此进攻方面均受到牵制
76'裁判申请VAR                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
76'看下最后怎么判                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
76'不是故意的手球                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
76'马竞前场边线球                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
77'这段时间巴萨很被动                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
77'比达尔上抢又送一个犯规                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
77'刚刚的比达尔禁区内头球解围自己也是手碰到了球                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
77'马竞任意球给到前点                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
77'头球一蹭出了底线                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
78'马竞的角球                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
78'皮克也是提醒队友注意力集中                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
78'角球给到后点                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
78'1-0！！！                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
78'科斯塔！！！！                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
78'角球送后点，科斯塔头球顶近角破门！！                   75'第75分钟，比达尔任意球混战中解围，马竞数名球员投诉他手球犯规，但主裁在VAR检视后拒绝判罚点球
90'巴萨左路起球                   90'巴萨第90分钟扳平，梅西捅传，登贝莱禁区右肋10码处低射，皮球打在试图封堵的卢卡斯-埃尔南德斯腿上偏转入网，1-1
90'前点没有拿下来                   90'巴萨第90分钟扳平，梅西捅传，登贝莱禁区右肋10码处低射，皮球打在试图封堵的卢卡斯-埃尔南德斯腿上偏转入网，1-1
90'巴萨最后阶段展开猛攻                   90'巴萨第90分钟扳平，梅西捅传，登贝莱禁区右肋10码处低射，皮球打在试图封堵的卢卡斯-埃尔南德斯腿上偏转入网，1-1
90'1-1！！！                   90'巴萨第90分钟扳平，梅西捅传，登贝莱禁区右肋10码处低射，皮球打在试图封堵的卢卡斯-埃尔南德斯腿上偏转入网，1-1
90'登贝莱！！！                   90'巴萨第90分钟扳平，梅西捅传，登贝莱禁区右肋10码处低射，皮球打在试图封堵的卢卡斯-埃尔南德斯腿上偏转入网，1-1
91'巴萨前场连续的传递给到禁区，登贝莱拿球一扣晃开角度推射破门！！                   90'巴萨第90分钟扳平，梅西捅传，登贝莱禁区右肋10码处低射，皮球打在试图封堵的卢卡斯-埃尔南德斯腿上偏转入网，1-1
91'虽然门将碰了一下，但也没能将球拦下                   90'巴萨第90分钟扳平，梅西捅传，登贝莱禁区右肋10码处低射，皮球打在试图封堵的卢卡斯-埃尔南德斯腿上偏转入网，1-1
91'下半场补时4分钟！！                   90'巴萨第90分钟扳平，梅西捅传，登贝莱禁区右肋10码处低射，皮球打在试图封堵的卢卡斯-埃尔南德斯腿上偏转入网，1-1
