4'上海申鑫队后场拦截，快速的走中路进攻，挑传球                   4'第4分钟河南队主力射手约翰逊受伤倒地，比赛被迫暂停
59'黄希扬传后点，谭望蒿甩头攻门，球击中左侧立柱被门将扑出底线                   59'第59分钟徐洋在右路禁区外侧一点突然起脚冷射，虽然刘殿座判断到位，但皮球依然箭一般飞入大门，1比1，河南队扳平了比分
59'河南建业队发战术角球，黄希扬左路的传中球被顶出来                   59'第59分钟徐洋在右路禁区外侧一点突然起脚冷射，虽然刘殿座判断到位，但皮球依然箭一般飞入大门，1比1，河南队扳平了比分
59'谭望蒿今天两次击中立柱了！                   59'第59分钟徐洋在右路禁区外侧一点突然起脚冷射，虽然刘殿座判断到位，但皮球依然箭一般飞入大门，1比1，河南队扳平了比分
59'河南建业队进球！徐洋！                   59'第59分钟徐洋在右路禁区外侧一点突然起脚冷射，虽然刘殿座判断到位，但皮球依然箭一般飞入大门，1比1，河南队扳平了比分
61'河南建业队前场右侧控球，下底传中球被挡出来，徐洋禁区外围，迎前左脚抽射破门～                   59'第59分钟徐洋在右路禁区外侧一点突然起脚冷射，虽然刘殿座判断到位，但皮球依然箭一般飞入大门，1比1，河南队扳平了比分
61'双方回到同一起跑线上！                   59'第59分钟徐洋在右路禁区外侧一点突然起脚冷射，虽然刘殿座判断到位，但皮球依然箭一般飞入大门，1比1，河南队扳平了比分
62'可以发贺电了呀～                   59'第59分钟徐洋在右路禁区外侧一点突然起脚冷射，虽然刘殿座判断到位，但皮球依然箭一般飞入大门，1比1，河南队扳平了比分
70'查尔顿中场接应队友的传球出现失误，头球摆给了桑科                   70'第70分钟申鑫用杨家威换下刘骏楠
70'比赛进行70分钟了                   70'第70分钟申鑫用杨家威换下刘骏楠
70'上海申鑫队换人：杨家威上场换下了刘峻楠                   70'第70分钟申鑫用杨家威换下刘骏楠
71'双方体能下降的也比较厉害～中场都有点脱节啦                   70'第70分钟申鑫用杨家威换下刘骏楠
72'王凯敏947921:17大建业逆转开始！！！！回复：下半场拼得很凶呀～不过这对体能来说也是个考验                   70'第70分钟申鑫用杨家威换下刘骏楠
73'河南建业队中场控球，中路直传给约翰逊不过停球停大了                   70'第70分钟申鑫用杨家威换下刘骏楠
73'李磊分球转移给谭望蒿，后者盘带一下，交到右侧                   70'第70分钟申鑫用杨家威换下刘骏楠
73'河南建业队准备换人，毕津浩要上场啦                   70'第70分钟申鑫用杨家威换下刘骏楠
83'上海申鑫队长传球，在桑科与李磊的合力夹击下～杨家威磕磕绊绊把球拿下来，面对周亚君推射远角，破门！                   83'第83分钟双方僵持中申鑫再次进球，唐佳庶中场长传，杨家威人群中抢下球来，他躲开了桑科的干扰，调整一下后面对门将一记捅射，皮球飞入大门，2比1，申鑫领先
83'上海申鑫队再度领先！                   83'第83分钟双方僵持中申鑫再次进球，唐佳庶中场长传，杨家威人群中抢下球来，他躲开了桑科的干扰，调整一下后面对门将一记捅射，皮球飞入大门，2比1，申鑫领先
84'上海申鑫队换人真是见效～立杆见影呀！                   83'第83分钟双方僵持中申鑫再次进球，唐佳庶中场长传，杨家威人群中抢下球来，他躲开了桑科的干扰，调整一下后面对门将一记捅射，皮球飞入大门，2比1，申鑫领先
84'桑科控球，直塞球又被拦截～                   83'第83分钟双方僵持中申鑫再次进球，唐佳庶中场长传，杨家威人群中抢下球来，他躲开了桑科的干扰，调整一下后面对门将一记捅射，皮球飞入大门，2比1，申鑫领先
85'上海申鑫队反击～查尔顿一路狂奔呀～顾操把球挡出了底线，角球                   83'第83分钟双方僵持中申鑫再次进球，唐佳庶中场长传，杨家威人群中抢下球来，他躲开了桑科的干扰，调整一下后面对门将一记捅射，皮球飞入大门，2比1，申鑫领先
85'上海申鑫队准备换上侯俊杰啦～                   83'第83分钟双方僵持中申鑫再次进球，唐佳庶中场长传，杨家威人群中抢下球来，他躲开了桑科的干扰，调整一下后面对门将一记捅射，皮球飞入大门，2比1，申鑫领先
86'发战术角球～河南建业两名队员夹击，球没有发出来～最后自己碰出了底线                   83'第83分钟双方僵持中申鑫再次进球，唐佳庶中场长传，杨家威人群中抢下球来，他躲开了桑科的干扰，调整一下后面对门将一记捅射，皮球飞入大门，2比1，申鑫领先
86'徐洋左侧控球，传球，于涛犯规～                   83'第83分钟双方僵持中申鑫再次进球，唐佳庶中场长传，杨家威人群中抢下球来，他躲开了桑科的干扰，调整一下后面对门将一记捅射，皮球飞入大门，2比1，申鑫领先
86'河南建业队前场左侧的任意球机会                   83'第83分钟双方僵持中申鑫再次进球，唐佳庶中场长传，杨家威人群中抢下球来，他躲开了桑科的干扰，调整一下后面对门将一记捅射，皮球飞入大门，2比1，申鑫领先
88'谭望蒿吃到黄牌                   88'第88分钟，谭望嵩飞身倒钩踢中姜嘉俊吃到黄牌
88'谭望蒿准备倒勾打门时踢到了姜嘉俊的头上～不过问题不大                   88'第88分钟，谭望嵩飞身倒钩踢中姜嘉俊吃到黄牌
89'河南建业队换人：乔巍上场换下了李磊                   88'第88分钟，谭望嵩飞身倒钩踢中姜嘉俊吃到黄牌
89'下半场比赛补时四分钟                   88'第88分钟，谭望嵩飞身倒钩踢中姜嘉俊吃到黄牌
90'河南建业队左路控球，徐洋的传中球被顶出来                   88'第88分钟，谭望嵩飞身倒钩踢中姜嘉俊吃到黄牌
90'顾操战术犯规，放倒了王赟                   88'第88分钟，谭望嵩飞身倒钩踢中姜嘉俊吃到黄牌
90'顾操吃到黄牌                   88'第88分钟，谭望嵩飞身倒钩踢中姜嘉俊吃到黄牌
91'上海申鑫队换人：葛振上场换下了凯撒                   88'第88分钟，谭望嵩飞身倒钩踢中姜嘉俊吃到黄牌
91'赵作峻上场换下了王赟                   88'第88分钟，谭望嵩飞身倒钩踢中姜嘉俊吃到黄牌
92'双方都用完了三个换人的名额                   92'第92分钟申鑫连续换人，葛振换下王S，赵作峻换下凯撒
92'比赛也接近尾声啦～                   92'第92分钟申鑫连续换人，葛振换下王S，赵作峻换下凯撒
92'河南建业队控球，直接长传到前场～                   92'第92分钟申鑫连续换人，葛振换下王S，赵作峻换下凯撒
92'主裁判看表啦～                   92'第92分钟申鑫连续换人，葛振换下王S，赵作峻换下凯撒
93'主裁判一声哨响，全场比赛结束！河南建业主场1－2负于上海申鑫队！                   92'第92分钟申鑫连续换人，葛振换下王S，赵作峻换下凯撒
