2'乔文科反越位突入禁区接应队友的直传球，不过门将布尔基奇出击很快把球化解                   2'开场2分钟，法布里尼传球，迪纳塔莱在门前20米处左脚抽射被布冯轻松拿到
13'皮尔洛中路送出长传，乔文科利用速度插上，同时在门将出击拿球之前把球顶过了门将，布尔迪奇顺势撞倒了乔文科                   12'第12分钟，皮尔洛后场50米精准长传，乔文科插入禁区等球弹地后用头一顶，与出击的门将布尔基奇相撞倒地，主裁判瓦莱里判罚点球并将布尔基奇罚下
14'乌迪内只能换替补门将上场了                   12'第12分钟，皮尔洛后场50米精准长传，乔文科插入禁区等球弹地后用头一顶，与出击的门将布尔基奇相撞倒地，主裁判瓦莱里判罚点球并将布尔基奇罚下
14'比达尔点球命中！！！！！！！！！                   12'第12分钟，皮尔洛后场50米精准长传，乔文科插入禁区等球弹地后用头一顶，与出击的门将布尔基奇相撞倒地，主裁判瓦莱里判罚点球并将布尔基奇罚下
15'比达尔一脚势大力沉的射门把球送入球门右侧                   12'第12分钟，皮尔洛后场50米精准长传，乔文科插入禁区等球弹地后用头一顶，与出击的门将布尔基奇相撞倒地，主裁判瓦莱里判罚点球并将布尔基奇罚下
15'尤文凭借比达尔的点球客场1比0领先乌迪内斯                   12'第12分钟，皮尔洛后场50米精准长传，乔文科插入禁区等球弹地后用头一顶，与出击的门将布尔基奇相撞倒地，主裁判瓦莱里判罚点球并将布尔基奇罚下
15'同时乌迪内斯不得不少打一人                   12'第12分钟，皮尔洛后场50米精准长传，乔文科插入禁区等球弹地后用头一顶，与出击的门将布尔基奇相撞倒地，主裁判瓦莱里判罚点球并将布尔基奇罚下
15'乌迪内斯换上了替补门将帕德里                   12'第12分钟，皮尔洛后场50米精准长传，乔文科插入禁区等球弹地后用头一顶，与出击的门将布尔基奇相撞倒地，主裁判瓦莱里判罚点球并将布尔基奇罚下
23'阿萨莫阿左路下底传中赢得角球                   23'第23分钟，乔文科左侧开出角球，博努奇前点射门偏出近门柱
23'给到前点，博努奇抢到落点把球捅出了底线，门球                   23'第23分钟，乔文科左侧开出角球，博努奇前点射门偏出近门柱
24'尤文中场控球，交到皮尔洛                   23'第23分钟，乔文科左侧开出角球，博努奇前点射门偏出近门柱
25'武奇尼奇拿球正面突破被绊倒，尤文拿到一个大禁区前的任意球                   23'第23分钟，乔文科左侧开出角球，博努奇前点射门偏出近门柱
25'位置很正，不过皮尔洛的打门打在了人墙，反弹后门将把球没收                   23'第23分钟，乔文科左侧开出角球，博努奇前点射门偏出近门柱
26'马尔基西奥左路突破回传大禁区前的乔文科，后者远射高出横梁                   23'第23分钟，乔文科左侧开出角球，博努奇前点射门偏出近门柱
46'武奇尼奇！！！！！！2比0！！！                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
47'阿萨莫阿左路的突破后横传大禁区前的武奇尼奇，黑山妖锋停球后冷静右脚推射球门右侧死角！！                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
47'半场结束前，尤文把比分扩大为2比0                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
46'下半场比赛开始                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
46'双方应该都还没有换人                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
46'看看下半场两支球队将拿出怎样的态度来对待下半场                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
46'还是希望有进球产生啊                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
47'尤文图斯比达尔前场右路45度斜传禁区                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
47'帕德里出击摘下高空球                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
48'阿尔梅罗左路长传到远端的迪纳塔莱                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
48'迪纳塔莱拿球回做给巴斯塔                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
49'直接的怒射又直接上了看台                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
49'乌迪内斯的弗留利主场在前几个赛季还是很难被攻克的，不过今天实在是球运不顺啊                   46'1分钟后，马尔基西奥左路突破回敲，乔文科在门前25米处抽射高出
34'利希施泰纳右路拿球被身后的阿尔梅罗踢倒                   34'第34分钟，阿尔梅罗踢倒利希施泰纳，被黄牌警告，皮尔洛开出任意球，基耶利尼在门前13米处射门偏出远门柱
34'阿尔梅罗也吃到了黄牌                   34'第34分钟，阿尔梅罗踢倒利希施泰纳，被黄牌警告，皮尔洛开出任意球，基耶利尼在门前13米处射门偏出远门柱
34'尤文前场右路的任意球                   34'第34分钟，阿尔梅罗踢倒利希施泰纳，被黄牌警告，皮尔洛开出任意球，基耶利尼在门前13米处射门偏出远门柱
34'看看是直接打到禁区，还是做配合                   34'第34分钟，阿尔梅罗踢倒利希施泰纳，被黄牌警告，皮尔洛开出任意球，基耶利尼在门前13米处射门偏出远门柱
35'皮尔洛直接传入禁区，博努奇点球点的倒地卧射稍稍偏出门柱                   34'第34分钟，阿尔梅罗踢倒利希施泰纳，被黄牌警告，皮尔洛开出任意球，基耶利尼在门前13米处射门偏出远门柱
35'利希施泰纳利用乌迪内两名防守球员撞在一起摔倒的机会右路形成突破                   34'第34分钟，阿尔梅罗踢倒利希施泰纳，被黄牌警告，皮尔洛开出任意球，基耶利尼在门前13米处射门偏出远门柱
36'下底倒三角回传给武奇尼奇，后者直接打门被门将脱出门柱                   34'第34分钟，阿尔梅罗踢倒利希施泰纳，被黄牌警告，皮尔洛开出任意球，基耶利尼在门前13米处射门偏出远门柱
36'角球没有形成威胁                   34'第34分钟，阿尔梅罗踢倒利希施泰纳，被黄牌警告，皮尔洛开出任意球，基耶利尼在门前13米处射门偏出远门柱
36'刚刚这个球替补门将帕德里对表现还是很精彩的                   34'第34分钟，阿尔梅罗踢倒利希施泰纳，被黄牌警告，皮尔洛开出任意球，基耶利尼在门前13米处射门偏出远门柱
37'马尔基西奥左路没有接应到队友的传球                   34'第34分钟，阿尔梅罗踢倒利希施泰纳，被黄牌警告，皮尔洛开出任意球，基耶利尼在门前13米处射门偏出远门柱
37'回抢的时候马尔基西奥对巴斯塔犯规，有拉拽的动作                   34'第34分钟，阿尔梅罗踢倒利希施泰纳，被黄牌警告，皮尔洛开出任意球，基耶利尼在门前13米处射门偏出远门柱
37'马尔基西奥也是吃到黄牌                   34'第34分钟，阿尔梅罗踢倒利希施泰纳，被黄牌警告，皮尔洛开出任意球，基耶利尼在门前13米处射门偏出远门柱
37'马尔基西奥左路没有接应到队友的传球                   37'第37分钟，马尔基西奥拉扯巴斯塔，吃到黄牌
37'回抢的时候马尔基西奥对巴斯塔犯规，有拉拽的动作                   37'第37分钟，马尔基西奥拉扯巴斯塔，吃到黄牌
37'马尔基西奥也是吃到黄牌                   37'第37分钟，马尔基西奥拉扯巴斯塔，吃到黄牌
38'巴尔扎利头球把对方的长传顶下                   37'第37分钟，马尔基西奥拉扯巴斯塔，吃到黄牌
39'乌迪内右路的组织                   37'第37分钟，马尔基西奥拉扯巴斯塔，吃到黄牌
39'巴斯塔今天发挥不错                   37'第37分钟，马尔基西奥拉扯巴斯塔，吃到黄牌
39'马尔基西奥中场断球                   37'第37分钟，马尔基西奥拉扯巴斯塔，吃到黄牌
40'经过皮尔洛和比达尔的传递后，球又交到马尔基西奥脚下，不过挑传禁区的乔文科时没有过去                   37'第37分钟，马尔基西奥拉扯巴斯塔，吃到黄牌
40'迪纳塔莱摆脱博努奇后被对方身后拉拽                   37'第37分钟，马尔基西奥拉扯巴斯塔，吃到黄牌
40'博努奇的黄牌！！！                   37'第37分钟，马尔基西奥拉扯巴斯塔，吃到黄牌
40'今天主裁判对红黄牌出的真是勤快                   37'第37分钟，马尔基西奥拉扯巴斯塔，吃到黄牌
40'乌迪内前场左路任意球                   37'第37分钟，马尔基西奥拉扯巴斯塔，吃到黄牌
41'传到禁区巴尔扎利头球顶出来                   41'第41分钟，拉扎里左路任意球被顶出，多米齐禁区前沿左脚凌空射门偏出远门柱
41'拉扎里禁区外左脚的打门直接偏出了                   41'第41分钟，拉扎里左路任意球被顶出，多米齐禁区前沿左脚凌空射门偏出远门柱
42'虽然乌迪内少一人，不过中前场还真有机会                   41'第41分钟，拉扎里左路任意球被顶出，多米齐禁区前沿左脚凌空射门偏出远门柱
42'尤文图斯前场右路的边线球                   41'第41分钟，拉扎里左路任意球被顶出，多米齐禁区前沿左脚凌空射门偏出远门柱
43'武奇尼奇个人能力的突破没有摆脱防守队员                   41'第41分钟，拉扎里左路任意球被顶出，多米齐禁区前沿左脚凌空射门偏出远门柱
44'乌迪内斯中场直接长传禁区，拉扎里接球时越位了                   41'第41分钟，拉扎里左路任意球被顶出，多米齐禁区前沿左脚凌空射门偏出远门柱
44'乔文科大禁区右路的直接斜传禁区后点找阿萨莫阿                   41'第41分钟，拉扎里左路任意球被顶出，多米齐禁区前沿左脚凌空射门偏出远门柱
44'巴斯塔抢先把球踢出底线，角球                   41'第41分钟，拉扎里左路任意球被顶出，多米齐禁区前沿左脚凌空射门偏出远门柱
47'阿萨莫阿左路的突破后横传大禁区前的武奇尼奇，黑山妖锋停球后冷静右脚推射球门右侧死角！！                   47'下半时开始2分钟，迪纳塔莱接应直传做球，巴斯塔在门前17米处打高
47'半场结束前，尤文把比分扩大为2比0                   47'下半时开始2分钟，迪纳塔莱接应直传做球，巴斯塔在门前17米处打高
47'尤文图斯比达尔前场右路45度斜传禁区                   47'下半时开始2分钟，迪纳塔莱接应直传做球，巴斯塔在门前17米处打高
47'帕德里出击摘下高空球                   47'下半时开始2分钟，迪纳塔莱接应直传做球，巴斯塔在门前17米处打高
48'阿尔梅罗左路长传到远端的迪纳塔莱                   47'下半时开始2分钟，迪纳塔莱接应直传做球，巴斯塔在门前17米处打高
48'迪纳塔莱拿球回做给巴斯塔                   47'下半时开始2分钟，迪纳塔莱接应直传做球，巴斯塔在门前17米处打高
49'直接的怒射又直接上了看台                   47'下半时开始2分钟，迪纳塔莱接应直传做球，巴斯塔在门前17米处打高
49'乌迪内斯的弗留利主场在前几个赛季还是很难被攻克的，不过今天实在是球运不顺啊                   47'下半时开始2分钟，迪纳塔莱接应直传做球，巴斯塔在门前17米处打高
50'乔文科禁区里漂亮的假动作晃过后卫后，右脚打门高出横梁啊！！                   47'下半时开始2分钟，迪纳塔莱接应直传做球，巴斯塔在门前17米处打高
53'看看换上的是谁啊                   53'第53分钟，皮尔洛左路传球，马尔基西奥在门前25米处左脚抽射碰后卫被帕代利封出，乔文科在门前5米处推进右下角，3比0
53'乔文科补射得分！！！！！！3比0！！！！！！                   53'第53分钟，皮尔洛左路传球，马尔基西奥在门前25米处左脚抽射碰后卫被帕代利封出，乔文科在门前5米处推进右下角，3比0
54'马尔基西奥禁区外左脚打门造成帕德里的扑球脱手，乔文科高速跟进补射把球打进！                   53'第53分钟，皮尔洛左路传球，马尔基西奥在门前25米处左脚抽射碰后卫被帕代利封出，乔文科在门前5米处推进右下角，3比0
54'这也是原子蚂蚁的一个特点啊                   53'第53分钟，皮尔洛左路传球，马尔基西奥在门前25米处左脚抽射碰后卫被帕代利封出，乔文科在门前5米处推进右下角，3比0
54'尤文客场3比0领先了                   53'第53分钟，皮尔洛左路传球，马尔基西奥在门前25米处左脚抽射碰后卫被帕代利封出，乔文科在门前5米处推进右下角，3比0
54'现在尤文图斯越踢越放松了                   53'第53分钟，皮尔洛左路传球，马尔基西奥在门前25米处左脚抽射碰后卫被帕代利封出，乔文科在门前5米处推进右下角，3比0
55'尤文图斯利希施泰纳右路传中准确找到中路的武齐尼奇，可惜武齐尼奇的头球顶的太正了，直接被门将拿到                   53'第53分钟，皮尔洛左路传球，马尔基西奥在门前25米处左脚抽射碰后卫被帕代利封出，乔文科在门前5米处推进右下角，3比0
56'这球机会很好，只不过武齐尼奇不擅长头球啊，如果是本特纳或者马特里这球差不多了                   53'第53分钟，皮尔洛左路传球，马尔基西奥在门前25米处左脚抽射碰后卫被帕代利封出，乔文科在门前5米处推进右下角，3比0
56'刚刚乌迪内换下佩雷拉的是穆里尔                   53'第53分钟，皮尔洛左路传球，马尔基西奥在门前25米处左脚抽射碰后卫被帕代利封出，乔文科在门前5米处推进右下角，3比0
65'尤文前场的反击，乔文科中路带球分给禁区左侧肋部的马尔基西奥                   65'第65分钟，比达尔直传禁区左侧，马尔基西奥在门前12米处停球左脚射门被帕代利封出底线
65'马尔基西奥停球后左脚打门，衔接很快，不过门将把球挡出了底线                   65'第65分钟，比达尔直传禁区左侧，马尔基西奥在门前12米处停球左脚射门被帕代利封出底线
65'角球没有什么威胁                   65'第65分钟，比达尔直传禁区左侧，马尔基西奥在门前12米处停球左脚射门被帕代利封出底线
66'乔文科左路传中找后点的武齐尼奇，达尼洛头球解围                   65'第65分钟，比达尔直传禁区左侧，马尔基西奥在门前12米处停球左脚射门被帕代利封出底线
67'现在乌迪内斯连零星的反击都很难见了，连续作战的情况下又少一人，体能确实跟不上了                   65'第65分钟，比达尔直传禁区左侧，马尔基西奥在门前12米处停球左脚射门被帕代利封出底线
67'尤文图斯中场耐心的传递组织                   65'第65分钟，比达尔直传禁区左侧，马尔基西奥在门前12米处停球左脚射门被帕代利封出底线
68'大脚转移到左路的阿萨莫阿                   65'第65分钟，比达尔直传禁区左侧，马尔基西奥在门前12米处停球左脚射门被帕代利封出底线
68'乌迪内斯断球反击了                   65'第65分钟，比达尔直传禁区左侧，马尔基西奥在门前12米处停球左脚射门被帕代利封出底线
68'阿萨莫阿带球分给迪纳塔莱                   65'第65分钟，比达尔直传禁区左侧，马尔基西奥在门前12米处停球左脚射门被帕代利封出底线
46'武奇尼奇！！！！！！2比0！！！                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
47'阿萨莫阿左路的突破后横传大禁区前的武奇尼奇，黑山妖锋停球后冷静右脚推射球门右侧死角！！                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
47'半场结束前，尤文把比分扩大为2比0                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
46'下半场比赛开始                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
46'双方应该都还没有换人                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
46'看看下半场两支球队将拿出怎样的态度来对待下半场                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
46'还是希望有进球产生啊                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
47'尤文图斯比达尔前场右路45度斜传禁区                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
47'帕德里出击摘下高空球                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
48'阿尔梅罗左路长传到远端的迪纳塔莱                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
48'迪纳塔莱拿球回做给巴斯塔                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
49'直接的怒射又直接上了看台                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
49'乌迪内斯的弗留利主场在前几个赛季还是很难被攻克的，不过今天实在是球运不顺啊                   46'1分钟后，皮尔洛中路分球，乔文科禁区右侧距门12米处抽射钻进远角，4比0
75'看来卡雷拉还是很善解人意的，让几名前锋都去试试脚啊                   75'第75分钟，马尔基西奥与夸利亚雷拉配合后禁区弧顶抽射高出
75'看看马特里和夸利亚雷拉能不能抓住机会                   75'第75分钟，马尔基西奥与夸利亚雷拉配合后禁区弧顶抽射高出
75'马尔基西奥和队友撞墙配合后禁区前打门飞了                   75'第75分钟，马尔基西奥与夸利亚雷拉配合后禁区弧顶抽射高出
76'乌迪内斯做出最后一个换人 迪纳塔莱被换下了                   75'第75分钟，马尔基西奥与夸利亚雷拉配合后禁区弧顶抽射高出
76'老将下场后直接就回休息室了                   75'第75分钟，马尔基西奥与夸利亚雷拉配合后禁区弧顶抽射高出
77'多米齐防守时动作过大又吃到黄牌                   75'第75分钟，马尔基西奥与夸利亚雷拉配合后禁区弧顶抽射高出
77'夸利亚雷拉禁区前标志性对接球后凌空打门再次飞了                   75'第75分钟，马尔基西奥与夸利亚雷拉配合后禁区弧顶抽射高出
78'乌迪内斯扳回一球！！！！                   75'第75分钟，马尔基西奥与夸利亚雷拉配合后禁区弧顶抽射高出
78'乌迪内斯扳回一球！！！！                   78'乌迪内斯第78分钟打进安慰球，阿兰直塞禁区右侧，穆列尔抢在后卫之前捅给左侧的拉扎里，拉扎里在门前7米处推射入网，1比4
79'巴尔扎利和博努奇禁区里连续两次解围的失误被拉扎里抓住机会打进一球                   78'乌迪内斯第78分钟打进安慰球，阿兰直塞禁区右侧，穆列尔抢在后卫之前捅给左侧的拉扎里，拉扎里在门前7米处推射入网，1比4
79'比分变成了1比4                   78'乌迪内斯第78分钟打进安慰球，阿兰直塞禁区右侧，穆列尔抢在后卫之前捅给左侧的拉扎里，拉扎里在门前7米处推射入网，1比4
80'大比分领先的尤文在防线还是稍有放松啊                   78'乌迪内斯第78分钟打进安慰球，阿兰直塞禁区右侧，穆列尔抢在后卫之前捅给左侧的拉扎里，拉扎里在门前7米处推射入网，1比4
80'这也是本赛季尤文丢的第一个球                   78'乌迪内斯第78分钟打进安慰球，阿兰直塞禁区右侧，穆列尔抢在后卫之前捅给左侧的拉扎里，拉扎里在门前7米处推射入网，1比4
81'尤文图斯马特里倒在禁区里，裁判没有表示                   78'乌迪内斯第78分钟打进安慰球，阿兰直塞禁区右侧，穆列尔抢在后卫之前捅给左侧的拉扎里，拉扎里在门前7米处推射入网，1比4
81'上赛季尤文主场2比1战胜乌迪内斯的比赛中，马特里曾经梅开二度，堪称头号功臣啊                   78'乌迪内斯第78分钟打进安慰球，阿兰直塞禁区右侧，穆列尔抢在后卫之前捅给左侧的拉扎里，拉扎里在门前7米处推射入网，1比4
