4'弗尔萨利科掷球到禁区，被解围                   4'马赛第4分钟错失良机，帕耶特送出直传，热尔曼12码处单刀射门偏出
24'弗尔萨利科正面绊倒了托万                   21'马竞第21分钟取得领先，曼丹达开球，赞波丢球，加比直传，格列兹曼禁区边缘内推射入网
24'弗尔萨利科吃到黄牌                   21'马竞第21分钟取得领先，曼丹达开球，赞波丢球，加比直传，格列兹曼禁区边缘内推射入网
24'马赛左侧的任意球机会                   21'马竞第21分钟取得领先，曼丹达开球，赞波丢球，加比直传，格列兹曼禁区边缘内推射入网
24'帕耶传中，希门尼斯头球顶一下                   21'马竞第21分钟取得领先，曼丹达开球，赞波丢球，加比直传，格列兹曼禁区边缘内推射入网
39'科克传中，戈丁撤步头球攻门，顶偏了                   39'第39分钟，科凯右路任意球传中，戈丁头球攻门稍稍高出
39'古斯塔沃控球                   39'第39分钟，科凯右路任意球传中，戈丁头球攻门稍稍高出
41'希门尼斯长传右侧，科雷亚去争，古斯塔沃转身开大脚踢到了科雷亚脚出底线                   39'第39分钟，科凯右路任意球传中，戈丁头球攻门稍稍高出
41'这球是差一点被科雷亚禁区内断球                   39'第39分钟，科凯右路任意球传中，戈丁头球攻门稍稍高出
41'镜头给到了曼丹达                   39'第39分钟，科凯右路任意球传中，戈丁头球攻门稍稍高出
42'弗尔萨利科掷界外球                   39'第39分钟，科凯右路任意球传中，戈丁头球攻门稍稍高出
42'古斯塔沃又是卡身位，这次没有问题                   39'第39分钟，科凯右路任意球传中，戈丁头球攻门稍稍高出
42'球出底线                   39'第39分钟，科凯右路任意球传中，戈丁头球攻门稍稍高出
42'古斯塔沃控球，长传右侧的萨尔交给洛佩兹                   39'第39分钟，科凯右路任意球传中，戈丁头球攻门稍稍高出
42'回传给古斯塔沃                   39'第39分钟，科凯右路任意球传中，戈丁头球攻门稍稍高出
42'转移给了阿马维                   39'第39分钟，科凯右路任意球传中，戈丁头球攻门稍稍高出
42'直传找到了桑松                   39'第39分钟，科凯右路任意球传中，戈丁头球攻门稍稍高出
49'科雷亚带球冲进对方禁区，被阿马维将球拦截                   49'马竞第49分钟扩大比分，科凯送出直传，格列兹曼甩开阿马维后小禁区前单刀挑射入网，2-0
49'马德里竞技又有机会了                   49'马竞第49分钟扩大比分，科凯送出直传，格列兹曼甩开阿马维后小禁区前单刀挑射入网，2-0
49'格列兹曼梅开二度！                   49'马竞第49分钟扩大比分，科凯送出直传，格列兹曼甩开阿马维后小禁区前单刀挑射入网，2-0
50'马德里竞技中场断球                   49'马竞第49分钟扩大比分，科凯送出直传，格列兹曼甩开阿马维后小禁区前单刀挑射入网，2-0
51'科克中路带球斜塞，格列兹曼插上得球面对出击的曼丹达，轻轻一搓，球进了！                   49'马竞第49分钟扩大比分，科凯送出直传，格列兹曼甩开阿马维后小禁区前单刀挑射入网，2-0
51'雨越来越大后，场上的烟雾被浇灭                   49'马竞第49分钟扩大比分，科凯送出直传，格列兹曼甩开阿马维后小禁区前单刀挑射入网，2-0
51'科克带球，强突到禁区，过不了拉米                   49'马竞第49分钟扩大比分，科凯送出直传，格列兹曼甩开阿马维后小禁区前单刀挑射入网，2-0
52'拉米大声向队友呼喊                   49'马竞第49分钟扩大比分，科凯送出直传，格列兹曼甩开阿马维后小禁区前单刀挑射入网，2-0
52'这是马德里竞技的角球机会                   49'马竞第49分钟扩大比分，科凯送出直传，格列兹曼甩开阿马维后小禁区前单刀挑射入网，2-0
52'战术角球                   49'马竞第49分钟扩大比分，科凯送出直传，格列兹曼甩开阿马维后小禁区前单刀挑射入网，2-0
52'格列兹曼带球内切远射，球击中了古斯塔沃偏转出了底线                   49'马竞第49分钟扩大比分，科凯送出直传，格列兹曼甩开阿马维后小禁区前单刀挑射入网，2-0
52'马德里竞技的角球                   49'马竞第49分钟扩大比分，科凯送出直传，格列兹曼甩开阿马维后小禁区前单刀挑射入网，2-0
81'萨尔上来了，扣过科克传中，太低了                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
81'被加比头球顶到中场                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
81'桑松右路斜传禁区                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
81'米特罗奥卢甩头攻门，眼看就要进了，奥布拉克倒地扑了一下球，球 击中了立柱                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
82'科克传中被顶回                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
83'马德里竞技左路的界外球                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
83'埃尔南德斯掷界外球被拉米顶出来                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
83'中路还是马德里竞技的控球                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
83'萨尔交给恩吉耶                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
83'交给了托万，分给萨尔                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
83'倒三角传中被加比铲走                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
84'拉米上来斜传禁区，米特罗奥卢头球回做                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
84'阿马维上来远射，奥布拉克将球稳稳抱住                   81'马赛第81分钟险些拉近差距，桑松右路传中，米特罗格卢11码处甩头攻门击中左侧立柱弹回，皮球滑门而出
89'托马斯断球交给格列兹曼                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
89'长传，科雷亚得球交给中路的格列兹曼                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
89'再分禁区右侧                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
89'这里完全空了，加比大力低射打进球门右下角！                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
90'这样，马德里竞技已经3：0领先马赛                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
90'更正一下，刚才横传转移交给加比的是科克                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
90'马德里竞技再换人，9号托雷斯换下了7号格列兹曼                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
91'下半场补时2分钟                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
91'托万已经无耐                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
91'古斯塔沃分边被胡安弗兰破坏出边线                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
92'右路的托雷斯扣球，身体没有跟上                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
92'镜头给到了老将托雷斯                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
92'戈丁长传右侧                   89'马竞第89分钟锁定胜局，科凯斜传，加比禁区右肋10码处低射远角入网，3-0
