11'门兴中路分禁区左侧！                   10'开场10分钟，门兴首次射门就取得领先
53'格纳布里右侧推进！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
53'强行突破底线！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
53'球拼抢出了底线！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
53'给了门球！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
54'基米希右侧得球！横传给J罗！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
54'挑传禁区左侧被头球解围了！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
54'J罗得球横传中路蒂亚戈！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
54'横传左侧胡梅尔斯！                   51'拜仁第51分钟再遭打击，阿拉巴在接应里贝里传球时疑似拉伤右大腿肌肉倒地，桑谢斯替补出场
88'球被挡出底线！                   88'门兴第88分钟锁定胜局，替补特劳雷右侧角球回传，克拉默前点凌空垫传，赫尔曼后点停球距门11米处停球外脚背凌空抽射入远角
88'门兴右侧角球！                   88'门兴第88分钟锁定胜局，替补特劳雷右侧角球回传，克拉默前点凌空垫传，赫尔曼后点停球距门11米处停球外脚背凌空抽射入远角
88'角球给禁区右侧！                   88'门兴第88分钟锁定胜局，替补特劳雷右侧角球回传，克拉默前点凌空垫传，赫尔曼后点停球距门11米处停球外脚背凌空抽射入远角
88'挑传到中路！                   88'门兴第88分钟锁定胜局，替补特劳雷右侧角球回传，克拉默前点凌空垫传，赫尔曼后点停球距门11米处停球外脚背凌空抽射入远角
88'赫尔曼凌空扫射！                   88'门兴第88分钟锁定胜局，替补特劳雷右侧角球回传，克拉默前点凌空垫传，赫尔曼后点停球距门11米处停球外脚背凌空抽射入远角
88'球进了！！                   88'门兴第88分钟锁定胜局，替补特劳雷右侧角球回传，克拉默前点凌空垫传，赫尔曼后点停球距门11米处停球外脚背凌空抽射入远角
88'门兴客场3比0领先！                   88'门兴第88分钟锁定胜局，替补特劳雷右侧角球回传，克拉默前点凌空垫传，赫尔曼后点停球距门11米处停球外脚背凌空抽射入远角
88'你敢信！                   88'门兴第88分钟锁定胜局，替补特劳雷右侧角球回传，克拉默前点凌空垫传，赫尔曼后点停球距门11米处停球外脚背凌空抽射入远角
89'裁判看VAR去了！                   88'门兴第88分钟锁定胜局，替补特劳雷右侧角球回传，克拉默前点凌空垫传，赫尔曼后点停球距门11米处停球外脚背凌空抽射入远角
90'给了进球有效！                   88'门兴第88分钟锁定胜局，替补特劳雷右侧角球回传，克拉默前点凌空垫传，赫尔曼后点停球距门11米处停球外脚背凌空抽射入远角
91'这边双方在中圈有冲突！                   88'门兴第88分钟锁定胜局，替补特劳雷右侧角球回传，克拉默前点凌空垫传，赫尔曼后点停球距门11米处停球外脚背凌空抽射入远角
