4'傅欢右路拿球，给身后进禁区                   4'开场第4分钟，天津队第一次有效射门就取得进球，而且过程相当简练
16'倒三角给空当的埃尔克森，自己没带好                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
16'角度越来越小，打在了边网上                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
17'上港中场断球，奥斯卡到禁区前                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
17'直塞禁区，巴斯蒂安斯先解围                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
17'奥斯卡角球开门前，混战                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
17'埃尔克森转身的打门偏了，还有角球                   14'第14分钟陈彬彬左路巧妙突破后送球，没有第一时间射门的埃尔克森带的有点多，他绕开防守后的射门打在边网上
26'胡尔克中场摆脱米克尔，分埃尔克森                   26'第26分钟杨帆在右侧防守连续拉拽陈彬彬吃到黄牌
26'强突进禁区，陷入了包围圈，球出底线                   26'第26分钟杨帆在右侧防守连续拉拽陈彬彬吃到黄牌
26'贺惯后场争顶，压人了                   26'第26分钟杨帆在右侧防守连续拉拽陈彬彬吃到黄牌
27'高佳润和队友踢墙配合，被关门                   26'第26分钟杨帆在右侧防守连续拉拽陈彬彬吃到黄牌
27'裁判没有吹                   26'第26分钟杨帆在右侧防守连续拉拽陈彬彬吃到黄牌
27'陈彬彬左路反击，杨帆拉人                   26'第26分钟杨帆在右侧防守连续拉拽陈彬彬吃到黄牌
27'裁判黄牌警告杨帆                   26'第26分钟杨帆在右侧防守连续拉拽陈彬彬吃到黄牌
28'上港左路起球，被顶出来                   26'第26分钟杨帆在右侧防守连续拉拽陈彬彬吃到黄牌
28'外围再传，还是被杨帆顶出来                   26'第26分钟杨帆在右侧防守连续拉拽陈彬彬吃到黄牌
31'角球开前点，武磊头球后蹭，门前乔纳森解围                   31'第31分钟胡尔克后场犯规，赵英杰28米外任意球直接攻门被颜骏凌扑住
31'奥斯卡外围再搓传，埃尔克森摆渡被门将没收                   31'第31分钟胡尔克后场犯规，赵英杰28米外任意球直接攻门被颜骏凌扑住
31'高佳润前场拿球被绊倒，任意球                   31'第31分钟胡尔克后场犯规，赵英杰28米外任意球直接攻门被颜骏凌扑住
32'赵英杰任意球直接旋后点，被门将没收                   31'第31分钟胡尔克后场犯规，赵英杰28米外任意球直接攻门被颜骏凌扑住
33'武磊右路拿球，高球吊禁区被解围                   31'第31分钟胡尔克后场犯规，赵英杰28米外任意球直接攻门被颜骏凌扑住
34'傅欢右路起球，出底线                   31'第31分钟胡尔克后场犯规，赵英杰28米外任意球直接攻门被颜骏凌扑住
34'米克尔拿球摆脱，分给赵宏略                   31'第31分钟胡尔克后场犯规，赵英杰28米外任意球直接攻门被颜骏凌扑住
47'任意球被解围出去                   47'下半场第47分钟，胡尔克右路送球，埃尔克森禁区中路凌空弹射稍稍偏出
47'上半场比赛结束                   47'下半场第47分钟，胡尔克右路送球，埃尔克森禁区中路凌空弹射稍稍偏出
47'乔纳森左路接应，突破到禁区前                   47'下半场第47分钟，胡尔克右路送球，埃尔克森禁区中路凌空弹射稍稍偏出
47'横扫另一侧，被于海拦截                   47'下半场第47分钟，胡尔克右路送球，埃尔克森禁区中路凌空弹射稍稍偏出
48'吕文君分右路，胡尔克进禁区                   47'下半场第47分钟，胡尔克右路送球，埃尔克森禁区中路凌空弹射稍稍偏出
48'半高球传点球点附近，埃尔克森凌空弹射打偏                   47'下半场第47分钟，胡尔克右路送球，埃尔克森禁区中路凌空弹射稍稍偏出
49'蔡惠康中场接应，转移出去                   47'下半场第47分钟，胡尔克右路送球，埃尔克森禁区中路凌空弹射稍稍偏出
49'于海左路起球，巴斯蒂安斯头球解围                   47'下半场第47分钟，胡尔克右路送球，埃尔克森禁区中路凌空弹射稍稍偏出
49'胡尔克右路拿球，给套上的傅欢                   47'下半场第47分钟，胡尔克右路送球，埃尔克森禁区中路凌空弹射稍稍偏出
50'传中到门前，武磊抢点被后卫抢先破坏                   47'下半场第47分钟，胡尔克右路送球，埃尔克森禁区中路凌空弹射稍稍偏出
50'谢维军右路接应，被石柯抢先回敲门将                   47'下半场第47分钟，胡尔克右路送球，埃尔克森禁区中路凌空弹射稍稍偏出
54'于海助攻上来，到禁区前被白岳峰拦截                   53'第53分钟埃尔克森中路送球，胡尔克跟进直接射门，杜佳做出精彩扑救
54'埃尔克森左路给禁区前，胡尔克                   53'第53分钟埃尔克森中路送球，胡尔克跟进直接射门，杜佳做出精彩扑救
54'转身拉开空间，低射被杜佳扑出                   53'第53分钟埃尔克森中路送球，胡尔克跟进直接射门，杜佳做出精彩扑救
55'李源一左路突破，扣一步被破坏出边线                   53'第53分钟埃尔克森中路送球，胡尔克跟进直接射门，杜佳做出精彩扑救
55'米克尔分边，传中到门前                   53'第53分钟埃尔克森中路送球，胡尔克跟进直接射门，杜佳做出精彩扑救
55'乔纳森的头球被颜骏凌扑住                   53'第53分钟埃尔克森中路送球，胡尔克跟进直接射门，杜佳做出精彩扑救
56'奥斯卡斜传禁区前，吕文君摆渡回来                   53'第53分钟埃尔克森中路送球，胡尔克跟进直接射门，杜佳做出精彩扑救
56'胡尔克拿球突入禁区，赵宏略让出底线                   53'第53分钟埃尔克森中路送球，胡尔克跟进直接射门，杜佳做出精彩扑救
56'乔纳森中场摆脱，直塞身后                   53'第53分钟埃尔克森中路送球，胡尔克跟进直接射门，杜佳做出精彩扑救
56'谢维军到禁区右侧拿好，回敲倒三角                   53'第53分钟埃尔克森中路送球，胡尔克跟进直接射门，杜佳做出精彩扑救
56'乔纳森跟上的抽射到                   53'第53分钟埃尔克森中路送球，胡尔克跟进直接射门，杜佳做出精彩扑救
56'打偏出近门柱                   53'第53分钟埃尔克森中路送球，胡尔克跟进直接射门，杜佳做出精彩扑救
55'李源一左路突破，扣一步被破坏出边线                   55'第55分钟天津队长传反击，谢维军得球后回传，乔纳森怒射踢高
55'米克尔分边，传中到门前                   55'第55分钟天津队长传反击，谢维军得球后回传，乔纳森怒射踢高
55'乔纳森的头球被颜骏凌扑住                   55'第55分钟天津队长传反击，谢维军得球后回传，乔纳森怒射踢高
56'奥斯卡斜传禁区前，吕文君摆渡回来                   55'第55分钟天津队长传反击，谢维军得球后回传，乔纳森怒射踢高
56'胡尔克拿球突入禁区，赵宏略让出底线                   55'第55分钟天津队长传反击，谢维军得球后回传，乔纳森怒射踢高
56'乔纳森中场摆脱，直塞身后                   55'第55分钟天津队长传反击，谢维军得球后回传，乔纳森怒射踢高
56'谢维军到禁区右侧拿好，回敲倒三角                   55'第55分钟天津队长传反击，谢维军得球后回传，乔纳森怒射踢高
56'乔纳森跟上的抽射到                   55'第55分钟天津队长传反击，谢维军得球后回传，乔纳森怒射踢高
56'打偏出近门柱                   55'第55分钟天津队长传反击，谢维军得球后回传，乔纳森怒射踢高
57'奥斯卡长传禁区，杨帆抢在武磊前解围                   55'第55分钟天津队长传反击，谢维军得球后回传，乔纳森怒射踢高
57'赵宏略左路起球，落点不佳被门将拿到                   55'第55分钟天津队长传反击，谢维军得球后回传，乔纳森怒射踢高
59'赵英杰中场挑球过人，分左路                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
59'李源一起球被傅欢挡出边线                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
59'白岳峰右路起球，高度不够被解围                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
60'曹阳中场传丢                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
60'上港进球了！！                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
60'胡尔克                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
60'武磊进禁区回敲，奥斯卡接应打门被封堵，胡尔克跟上再射破门                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
61'泰达1-3落后上港                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
61'米克尔分右路身后，谢维军插上被绊倒                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
62'没有吹，上港沿左路反击                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
62'埃尔克森扛住人分球，武磊进禁区被出击的杜佳封堵                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
62'曹阳跟上解围，假期                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
62'角球开前点，于海头球顶高了                   59'第59分钟上港的连续进攻又收获进球，先是上港前场断抢对方脚下球，上港巴西三外援和武磊齐齐进攻，武磊禁区左侧回传，奥斯卡射门被挡出，胡尔克快速跟进侧身抢射，3比1
60'曹阳中场传丢                   60'第60分钟曹阳后场解围失误，武磊又从左侧禁区内杀入，但最后时刻被杜佳全力拦截出界
60'上港进球了！！                   60'第60分钟曹阳后场解围失误，武磊又从左侧禁区内杀入，但最后时刻被杜佳全力拦截出界
60'胡尔克                   60'第60分钟曹阳后场解围失误，武磊又从左侧禁区内杀入，但最后时刻被杜佳全力拦截出界
60'武磊进禁区回敲，奥斯卡接应打门被封堵，胡尔克跟上再射破门                   60'第60分钟曹阳后场解围失误，武磊又从左侧禁区内杀入，但最后时刻被杜佳全力拦截出界
61'泰达1-3落后上港                   60'第60分钟曹阳后场解围失误，武磊又从左侧禁区内杀入，但最后时刻被杜佳全力拦截出界
61'米克尔分右路身后，谢维军插上被绊倒                   60'第60分钟曹阳后场解围失误，武磊又从左侧禁区内杀入，但最后时刻被杜佳全力拦截出界
62'没有吹，上港沿左路反击                   60'第60分钟曹阳后场解围失误，武磊又从左侧禁区内杀入，但最后时刻被杜佳全力拦截出界
62'埃尔克森扛住人分球，武磊进禁区被出击的杜佳封堵                   60'第60分钟曹阳后场解围失误，武磊又从左侧禁区内杀入，但最后时刻被杜佳全力拦截出界
62'曹阳跟上解围，假期                   60'第60分钟曹阳后场解围失误，武磊又从左侧禁区内杀入，但最后时刻被杜佳全力拦截出界
62'角球开前点，于海头球顶高了                   60'第60分钟曹阳后场解围失误，武磊又从左侧禁区内杀入，但最后时刻被杜佳全力拦截出界
63'米克尔挑传禁区，被顶出                   60'第60分钟曹阳后场解围失误，武磊又从左侧禁区内杀入，但最后时刻被杜佳全力拦截出界
63'赵宏略中场传球，又给到对手脚下                   60'第60分钟曹阳后场解围失误，武磊又从左侧禁区内杀入，但最后时刻被杜佳全力拦截出界
65'埃尔克森笑纳大礼，射近角破门                   65'上港继续进攻，第65分钟武磊从左路杀入禁区，过掉杨帆之后，武磊失去射门角度，武磊选择回传，埃尔克森刻意打远角偏出
65'泰达1-4落后上港                   65'上港继续进攻，第65分钟武磊从左路杀入禁区，过掉杨帆之后，武磊失去射门角度，武磊选择回传，埃尔克森刻意打远角偏出
66'上港进攻又来了                   65'上港继续进攻，第65分钟武磊从左路杀入禁区，过掉杨帆之后，武磊失去射门角度，武磊选择回传，埃尔克森刻意打远角偏出
66'武磊进禁区，小角度被封堵                   65'上港继续进攻，第65分钟武磊从左路杀入禁区，过掉杨帆之后，武磊失去射门角度，武磊选择回传，埃尔克森刻意打远角偏出
66'球回到武磊脚下，回敲，埃尔克森打偏                   65'上港继续进攻，第65分钟武磊从左路杀入禁区，过掉杨帆之后，武磊失去射门角度，武磊选择回传，埃尔克森刻意打远角偏出
67'泰达左路反击，传后点被解围                   65'上港继续进攻，第65分钟武磊从左路杀入禁区，过掉杨帆之后，武磊失去射门角度，武磊选择回传，埃尔克森刻意打远角偏出
68'乔纳森禁区前接应分球，摆脱铲截                   65'上港继续进攻，第65分钟武磊从左路杀入禁区，过掉杨帆之后，武磊失去射门角度，武磊选择回传，埃尔克森刻意打远角偏出
68'低射太正，被颜骏凌扑住                   65'上港继续进攻，第65分钟武磊从左路杀入禁区，过掉杨帆之后，武磊失去射门角度，武磊选择回传，埃尔克森刻意打远角偏出
68'奥斯卡后场抢断，拉人了                   65'上港继续进攻，第65分钟武磊从左路杀入禁区，过掉杨帆之后，武磊失去射门角度，武磊选择回传，埃尔克森刻意打远角偏出
68'乔纳森禁区前接应分球，摆脱铲截                   68'第68分钟上港后卫头球解围送到乔纳森脚下，可惜他的射门弹地后被颜骏凌轻松没收
68'低射太正，被颜骏凌扑住                   68'第68分钟上港后卫头球解围送到乔纳森脚下，可惜他的射门弹地后被颜骏凌轻松没收
68'奥斯卡后场抢断，拉人了                   68'第68分钟上港后卫头球解围送到乔纳森脚下，可惜他的射门弹地后被颜骏凌轻松没收
69'左路起球去后点，巴斯蒂安斯摆渡                   68'第68分钟上港后卫头球解围送到乔纳森脚下，可惜他的射门弹地后被颜骏凌轻松没收
69'乔纳森弹射被颜骏凌扑住                   68'第68分钟上港后卫头球解围送到乔纳森脚下，可惜他的射门弹地后被颜骏凌轻松没收
70'奥斯卡继续长传前场                   68'第68分钟上港后卫头球解围送到乔纳森脚下，可惜他的射门弹地后被颜骏凌轻松没收
70'杜佳出禁区解围                   68'第68分钟上港后卫头球解围送到乔纳森脚下，可惜他的射门弹地后被颜骏凌轻松没收
70'李源一左路突破进禁区，传前点被门将没收                   68'第68分钟上港后卫头球解围送到乔纳森脚下，可惜他的射门弹地后被颜骏凌轻松没收
71'上港后场倒球                   68'第68分钟上港后卫头球解围送到乔纳森脚下，可惜他的射门弹地后被颜骏凌轻松没收
71'转移左路于海，传大了                   68'第68分钟上港后卫头球解围送到乔纳森脚下，可惜他的射门弹地后被颜骏凌轻松没收
76'奥斯卡中路突破，分胡尔克                   76'天津队没有放弃，第76分钟快马张池明换下曹阳
76'两人踢墙配合没打出来                   76'天津队没有放弃，第76分钟快马张池明换下曹阳
76'上港又进了                   76'天津队没有放弃，第76分钟快马张池明换下曹阳
76'奥斯卡                   76'天津队没有放弃，第76分钟快马张池明换下曹阳
77'胡尔克左路强突进禁区，过杨帆，横传，奥斯卡推射空门得手                   76'天津队没有放弃，第76分钟快马张池明换下曹阳
77'泰达1-5落后上港                   76'天津队没有放弃，第76分钟快马张池明换下曹阳
78'泰达换人，张池明换下曹阳                   76'天津队没有放弃，第76分钟快马张池明换下曹阳
79'上港换人，俞豪和雷文杰上                   76'天津队没有放弃，第76分钟快马张池明换下曹阳
79'贺惯和武磊被换下                   76'天津队没有放弃，第76分钟快马张池明换下曹阳
79'上港换人，俞豪和雷文杰上                   79'第79分钟天津队也取得进球，天津队左路传中，中路无人看守的李源一飞身捅射，虽然颜骏凌第一下把球扑出，但皮球又滚到李源一这里，还没未起身的李源一就势补射，2比5，天津队追上一球
79'贺惯和武磊被换下                   79'第79分钟天津队也取得进球，天津队左路传中，中路无人看守的李源一飞身捅射，虽然颜骏凌第一下把球扑出，但皮球又滚到李源一这里，还没未起身的李源一就势补射，2比5，天津队追上一球
80'赵英杰分左路，李源一内切                   79'第79分钟天津队也取得进球，天津队左路传中，中路无人看守的李源一飞身捅射，虽然颜骏凌第一下把球扑出，但皮球又滚到李源一这里，还没未起身的李源一就势补射，2比5，天津队追上一球
81'泰达进球了！！                   79'第79分钟天津队也取得进球，天津队左路传中，中路无人看守的李源一飞身捅射，虽然颜骏凌第一下把球扑出，但皮球又滚到李源一这里，还没未起身的李源一就势补射，2比5，天津队追上一球
81'李源一！！                   79'第79分钟天津队也取得进球，天津队左路传中，中路无人看守的李源一飞身捅射，虽然颜骏凌第一下把球扑出，但皮球又滚到李源一这里，还没未起身的李源一就势补射，2比5，天津队追上一球
81'赵宏略外围传到门前，李源一垫射被颜骏凌扑出，自己倒在地上再补一脚破坏                   79'第79分钟天津队也取得进球，天津队左路传中，中路无人看守的李源一飞身捅射，虽然颜骏凌第一下把球扑出，但皮球又滚到李源一这里，还没未起身的李源一就势补射，2比5，天津队追上一球
81'终于破门了                   79'第79分钟天津队也取得进球，天津队左路传中，中路无人看守的李源一飞身捅射，虽然颜骏凌第一下把球扑出，但皮球又滚到李源一这里，还没未起身的李源一就势补射，2比5，天津队追上一球
81'泰达2-5落后上港                   79'第79分钟天津队也取得进球，天津队左路传中，中路无人看守的李源一飞身捅射，虽然颜骏凌第一下把球扑出，但皮球又滚到李源一这里，还没未起身的李源一就势补射，2比5，天津队追上一球
82'奥斯卡禁区前带球，爆射打高                   79'第79分钟天津队也取得进球，天津队左路传中，中路无人看守的李源一飞身捅射，虽然颜骏凌第一下把球扑出，但皮球又滚到李源一这里，还没未起身的李源一就势补射，2比5，天津队追上一球
82'米克尔长传禁区，被颜骏凌没收                   79'第79分钟天津队也取得进球，天津队左路传中，中路无人看守的李源一飞身捅射，虽然颜骏凌第一下把球扑出，但皮球又滚到李源一这里，还没未起身的李源一就势补射，2比5，天津队追上一球
89'转身被后卫破坏了                   89'第89分钟赵英杰禁区外打出一脚质量不错的远射，可惜稍稍偏出
90'赵英杰接应左路分球，禁区前停好                   89'第89分钟赵英杰禁区外打出一脚质量不错的远射，可惜稍稍偏出
90'抽射弹地后偏出远门柱                   89'第89分钟赵英杰禁区外打出一脚质量不错的远射，可惜稍稍偏出
91'下半场补时3分钟                   89'第89分钟赵英杰禁区外打出一脚质量不错的远射，可惜稍稍偏出
91'石柯有些受伤，被担架抬下                   89'第89分钟赵英杰禁区外打出一脚质量不错的远射，可惜稍稍偏出
