1'上半场比赛开始！！                   1'[皇马第1分钟展开积极攻势
40'比埃拉背身拿球 没机会，选择回传                   38'拉斯帕尔马斯第38分钟扳平，莫莫左路传中被顶出，无人防守的塔纳14码处低射破门，1-1
40'皇马中场抢断，莫德里奇分球找莫拉塔                   38'拉斯帕尔马斯第38分钟扳平，莫莫左路传中被顶出，无人防守的塔纳14码处低射破门，1-1
40'莫拉塔背身拿球，被身后的米歇尔踢翻在地！！                   38'拉斯帕尔马斯第38分钟扳平，莫莫左路传中被顶出，无人防守的塔纳14码处低射破门，1-1
40'卡瓦哈尔右路拿球，内切后起球到后点                   38'拉斯帕尔马斯第38分钟扳平，莫莫左路传中被顶出，无人防守的塔纳14码处低射破门，1-1
41'莫拉塔停球，强突遭遇夹击，失误啦                   38'拉斯帕尔马斯第38分钟扳平，莫莫左路传中被顶出，无人防守的塔纳14码处低射破门，1-1
41'拉莫斯前场战术犯规，放倒了拿球准备起速的戈麦斯                   38'拉斯帕尔马斯第38分钟扳平，莫莫左路传中被顶出，无人防守的塔纳14码处低射破门，1-1
41'拉莫斯中线位置争抢头球，撞翻了戈麦斯，犯规！                   38'拉斯帕尔马斯第38分钟扳平，莫莫左路传中被顶出，无人防守的塔纳14码处低射破门，1-1
64'皇马换人：9号本泽马上，换下20号阿森西奥                   64'第64分钟，瓦拉内角球混战中头球攻门顶偏，刚刚替换阿森西奥出场的本泽马近距离捅射正入巴拉斯下怀
64'两个高中锋同时在场啊，要吹响进攻号角了！                   64'第64分钟，瓦拉内角球混战中头球攻门顶偏，刚刚替换阿森西奥出场的本泽马近距离捅射正入巴拉斯下怀
64'克罗斯角球开出到前点，贝尔头球后蹭                   64'第64分钟，瓦拉内角球混战中头球攻门顶偏，刚刚替换阿森西奥出场的本泽马近距离捅射正入巴拉斯下怀
64'刚刚登场的本泽马后点推射，差点破门啊！！                   64'第64分钟，瓦拉内角球混战中头球攻门顶偏，刚刚替换阿森西奥出场的本泽马近距离捅射正入巴拉斯下怀
65'莫拉塔禁区弧顶拿球，回传给到克罗斯                   64'第64分钟，瓦拉内角球混战中头球攻门顶偏，刚刚替换阿森西奥出场的本泽马近距离捅射正入巴拉斯下怀
65'克罗斯拿球横趟，摆脱强突，突施冷箭，远射，打飞啦！                   64'第64分钟，瓦拉内角球混战中头球攻门顶偏，刚刚替换阿森西奥出场的本泽马近距离捅射正入巴拉斯下怀
66'下半场也已经20分钟了，比分还是1-1！！！                   64'第64分钟，瓦拉内角球混战中头球攻门顶偏，刚刚替换阿森西奥出场的本泽马近距离捅射正入巴拉斯下怀
66'卡斯泰拉诺的斜传转移球到左侧找队友，传大了，被拉莫斯控制                   64'第64分钟，瓦拉内角球混战中头球攻门顶偏，刚刚替换阿森西奥出场的本泽马近距离捅射正入巴拉斯下怀
66'卡瓦哈尔右路拿球，直塞给莫德里奇                   64'第64分钟，瓦拉内角球混战中头球攻门顶偏，刚刚替换阿森西奥出场的本泽马近距离捅射正入巴拉斯下怀
67'莫德里奇强突，传中到禁区，包抄的点太少，被解围                   64'第64分钟，瓦拉内角球混战中头球攻门顶偏，刚刚替换阿森西奥出场的本泽马近距离捅射正入巴拉斯下怀
67'2-1！！！本泽马！！                   64'第64分钟，瓦拉内角球混战中头球攻门顶偏，刚刚替换阿森西奥出场的本泽马近距离捅射正入巴拉斯下怀
85'塔纳左路拿球，传中到禁区，戈麦斯头球一点，阿劳霍左侧进来，捅射被卡西利亚挡出，没打远，阿劳霍跟进拿球，小角度打门，推射进网！                   85'拉斯帕尔马斯第85分钟再次扳平，文森特头球前顶禁区左肋，阿劳霍闪过出击的卡西利亚后射入空门，2-2
85'这球补防过来的拉莫斯也是和卡西利亚相撞，倒地没能起来                   85'拉斯帕尔马斯第85分钟再次扳平，文森特头球前顶禁区左肋，阿劳霍闪过出击的卡西利亚后射入空门，2-2
86'中间纳乔补防过来，也是慢了点                   85'拉斯帕尔马斯第85分钟再次扳平，文森特头球前顶禁区左肋，阿劳霍闪过出击的卡西利亚后射入空门，2-2
86'皇马失球，镜头给到替补席的C罗，需要进球啊！！                   85'拉斯帕尔马斯第85分钟再次扳平，文森特头球前顶禁区左肋，阿劳霍闪过出击的卡西利亚后射入空门，2-2
86'贝尔左路拿球，强突后的传中，本泽马后点凌空扫射                   85'拉斯帕尔马斯第85分钟再次扳平，文森特头球前顶禁区左肋，阿劳霍闪过出击的卡西利亚后射入空门，2-2
86'没能踢上部位，球被后卫解围！！                   85'拉斯帕尔马斯第85分钟再次扳平，文森特头球前顶禁区左肋，阿劳霍闪过出击的卡西利亚后射入空门，2-2
87'拉斯帕尔马斯换人：3号莱莫斯上，换下9号利瓦贾                   85'拉斯帕尔马斯第85分钟再次扳平，文森特头球前顶禁区左肋，阿劳霍闪过出击的卡西利亚后射入空门，2-2
87'拉斯帕尔马斯要防守，守住这一分啦！！                   85'拉斯帕尔马斯第85分钟再次扳平，文森特头球前顶禁区左肋，阿劳霍闪过出击的卡西利亚后射入空门，2-2
88'莫德里奇前场拿球，中路强突，禁区外的远射，太正，被瓦拉斯拿到                   85'拉斯帕尔马斯第85分钟再次扳平，文森特头球前顶禁区左肋，阿劳霍闪过出击的卡西利亚后射入空门，2-2
