1'双方上半场比赛开始啦                   1'第1分钟，两队防守都非常严密
51'塞维利亚这边几名替补已经在场边做热身准备了                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
48'裁判吹停比赛，姆比亚和戈麦斯倒在地上，队医进场处理中                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
49'姆比亚鼻子挂彩，出场接受处理，他的防守对塞维利亚很关键哦                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
50'拉基蒂奇前场拿球，趟出两步挑传找巴卡时被破坏                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
50'姆比亚经过简单处理后，回到场上继续比赛                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
51'莫雷诺左路拿球，人球分过时球被破坏出了边线                   48'下半时开始3分钟，马克西-佩雷拉右路过人斜传，利马禁区左侧距门12米处左脚抽射，门将贝托已失去位置，但帕雷哈将球破坏
52'机会啊，巴卡！！！                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
52'姆比亚前场抢断，一脚直塞打穿后卫，巴卡前插接应，趟球进入禁区后起脚斜射，差之毫厘，滑门而出，出了底线                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
53'下半场前10分钟来看，塞维利亚和本菲卡各有一次绝佳的破门良机                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
54'雷耶斯前场拿球，禁区弧外拔脚怒射，被后卫挡出                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
54'卡里科过顶球到禁区，巴卡前插接应                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
55'在球将出底线前勾回打在西奎埃拉身上，再碰到自己腿上出了底线                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
52'罗德里戈前场右路拿球，强突遭遇夹击犯规，赢得任意球                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
53'盖坦任意球斜传禁区，第一点再被塞维利亚球员解围                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
54'盖坦前场拿球，科克上抢放倒了盖坦                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
54'科克被主裁判出示了黄牌警告！！！                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
54'本菲卡获得前场任意球机会，大禁区弧外一点点                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
55'本菲卡换人：西奎埃拉被换下                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
55'本菲卡的任意球直接攻门，打穿人墙，被贝托在门线上封堵                   52'第52分钟，拉基蒂奇起球，雷耶斯突入禁区左脚射门偏出左门柱
57'路易松左路拿球，和罗德里戈的配合时，球传出了边线                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
58'帕雷哈右路拿球，内切后交给拉基蒂奇                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
58'拉基蒂奇稍作调整，在分边右侧给雷耶斯                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
58'雷耶斯的边路传中被后卫解围                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
59'本菲卡的反击，阿尔梅达边路传中，打在后卫身上弹回                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
59'这球慢镜头回防显示，塞维利亚封堵球员有手球嫌疑啊                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
60'上下半场本菲卡一共有3次疑似点球的机会，可惜裁判都没理会                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
57'塞维利亚后场长传球到前场，巴卡拿球，前边空阔地，带球进入禁区，面对出击的贝托，禁区右角上的斜射打远角，结果打偏，球滑门而过出底线                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
58'刚刚本菲卡换上的是7号卡多索                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
59'塞维利亚这边加梅罗出来了，站在场边准备出战                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
59'塞维利亚现在后防需要小心，四后卫三个有牌在身                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
60'塞维利亚换人：18号加梅罗上，换下下半场才替换上来的7号马林                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
60'这个换人，有点浪费名额啊                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
60'加时赛上半场所剩无几，比分0-0                   57'第57分钟，盖坦直传，法西奥伸腿解围险些自摆乌龙
80'本菲卡前场进攻，利玛背身拿球                   80'第80分钟，第69分钟，雷耶斯被阿莫林踢伤接受治疗
81'回传跟进的罗德里戈，姆比亚回防，在其起脚打门直接将球铲出危险地带                   80'第80分钟，第69分钟，雷耶斯被阿莫林踢伤接受治疗
81'姆比亚也是自己受伤倒地，倒在自家禁区里                   80'第80分钟，第69分钟，雷耶斯被阿莫林踢伤接受治疗
81'不过问题不大，稍事休息，起身继续参与到战斗中                   80'第80分钟，第69分钟，雷耶斯被阿莫林踢伤接受治疗
82'戈麦斯左路拿球，传中到后点，太高了，直接从加雷的头顶飞出了底线                   80'第80分钟，第69分钟，雷耶斯被阿莫林踢伤接受治疗
83'帕雷哈边路防守中对盖坦犯规                   80'第80分钟，第69分钟，雷耶斯被阿莫林踢伤接受治疗
47'精彩回放：本菲卡前场进攻，起球到门前，佩雷拉近在咫尺的攻门，被贝托双手挡出                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
47'本菲卡前场进攻，直塞打后卫身后                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
48'罗德里戈前插接应，倒在了禁区里                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
48'不过主裁判没有表示，同时鸣哨结束半场                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
46'下半场比赛开始                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
46'本菲卡开球，从左向右进攻                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
47'本菲卡左路的进攻，盖坦过顶球找阿尔梅达                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
47'阿尔梅达停球内切，自己趟大，球被后卫拦截                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
47'姆比亚前场中路拿球，挑传球到禁区                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
48'巴卡禁区内停球，没有角度                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
48'自己调整中再想起脚，被佩雷拉抢先解围出底线                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
48'塞维利亚继续获得角球，拉基蒂奇主罚                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
48'角球开出到禁区，第一点被后卫解围                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
48'本菲卡的反击，好机会啊                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
49'罗德里戈的打门，被后卫在门线上挡出                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
49'禁区内混战，可惜戈麦斯再想补射，被回防的卡里科大脚解围                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
46'加时赛上半场开始                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
46'塞维利亚开球，从左向右进攻                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
47'本菲卡前场进攻，戈麦斯拿球往前走，姆比亚回防放铲带倒了戈麦斯                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
47'有利原则，本菲卡右路再攻，利玛拿球内切，慢了点，球被后卫破坏                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
48'裁判吹停比赛，姆比亚和戈麦斯倒在地上，队医进场处理中                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
49'姆比亚鼻子挂彩，出场接受处理，他的防守对塞维利亚很关键哦                   46'1分钟后，罗德里戈右路传球，加拉伊后门柱头球高出
47'精彩回放：本菲卡前场进攻，起球到门前，佩雷拉近在咫尺的攻门，被贝托双手挡出                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
47'本菲卡前场进攻，直塞打后卫身后                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
48'罗德里戈前插接应，倒在了禁区里                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
48'不过主裁判没有表示，同时鸣哨结束半场                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
46'下半场比赛开始                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
46'本菲卡开球，从左向右进攻                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
47'本菲卡左路的进攻，盖坦过顶球找阿尔梅达                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
47'阿尔梅达停球内切，自己趟大，球被后卫拦截                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
47'姆比亚前场中路拿球，挑传球到禁区                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
48'巴卡禁区内停球，没有角度                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
48'自己调整中再想起脚，被佩雷拉抢先解围出底线                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
48'塞维利亚继续获得角球，拉基蒂奇主罚                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
48'角球开出到禁区，第一点被后卫解围                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
48'本菲卡的反击，好机会啊                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
49'罗德里戈的打门，被后卫在门线上挡出                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
49'禁区内混战，可惜戈麦斯再想补射，被回防的卡里科大脚解围                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
46'加时赛上半场开始                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
46'塞维利亚开球，从左向右进攻                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
47'本菲卡前场进攻，戈麦斯拿球往前走，姆比亚回防放铲带倒了戈麦斯                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
47'有利原则，本菲卡右路再攻，利玛拿球内切，慢了点，球被后卫破坏                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
48'裁判吹停比赛，姆比亚和戈麦斯倒在地上，队医进场处理中                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
49'姆比亚鼻子挂彩，出场接受处理，他的防守对塞维利亚很关键哦                   46'1分钟后，拉基蒂奇直传策动反击，巴卡长途奔袭突入禁区右侧，在门前12米处推射偏出远门柱
52'机会啊，巴卡！！！                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
52'姆比亚前场抢断，一脚直塞打穿后卫，巴卡前插接应，趟球进入禁区后起脚斜射，差之毫厘，滑门而出，出了底线                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
53'下半场前10分钟来看，塞维利亚和本菲卡各有一次绝佳的破门良机                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
54'雷耶斯前场拿球，禁区弧外拔脚怒射，被后卫挡出                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
54'卡里科过顶球到禁区，巴卡前插接应                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
55'在球将出底线前勾回打在西奎埃拉身上，再碰到自己腿上出了底线                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
52'罗德里戈前场右路拿球，强突遭遇夹击犯规，赢得任意球                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
53'盖坦任意球斜传禁区，第一点再被塞维利亚球员解围                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
54'盖坦前场拿球，科克上抢放倒了盖坦                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
54'科克被主裁判出示了黄牌警告！！！                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
54'本菲卡获得前场任意球机会，大禁区弧外一点点                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
55'本菲卡换人：西奎埃拉被换下                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
55'本菲卡的任意球直接攻门，打穿人墙，被贝托在门线上封堵                   52'加时赛仍交上白卷，欧战决赛史上第7次120分钟内没能进球(欧冠4次、优胜者杯1次、联盟杯/欧联杯2次)，最近1次是2003年欧冠决赛AC米兰对阵尤文
