3'林加德连禁区弧远射！被门将没收！                   3'下半场，阿什利-扬3分钟内连吃两张黄牌被罚下场，斯莫林不慎自摆乌龙
20' 球被这边狼队断下！！ 曼联反抢！！                    17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
20'界外球掷出！！！！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
20'卢克肖上来！！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
20'这边达洛特越位了！！！                   17'第17分钟，曼联险些扩大比分，卢卡库左侧挑传，林加德在门将近距离头球攻门，但这一次又被狼队门将所化解
78'后场左侧！曼联的边线球！！                   77'第77分钟，狼队反超比分
79' 帕托来开个的大脚！！球到中圈左侧！！                   77'第77分钟，狼队反超比分
80'这边劳尔吉梅内斯带球！！                   77'第77分钟，狼队反超比分
80' 阿什利扬！！过来对他拉球衣了！！                   77'第77分钟，狼队反超比分
80'任意球开出！！                   77'第77分钟，狼队反超比分
80'前场左侧！！狼队的边线球！！界外球掷出！！！！                    77'第77分钟，狼队反超比分
50'登东克尔！！神门                   50'比赛结束之前，斯莫林又险些打入一粒乌龙球，狼队左侧传中，斯莫林在禁区前沿放铲，却将球铲向了自家球门，好在德赫亚反应迅速将球扑出了底线，补时第5分钟，狼队前锋卡瓦列罗反击当中射 门击中横梁
50'射门                   50'比赛结束之前，斯莫林又险些打入一粒乌龙球，狼队左侧传中，斯莫林在禁区前沿放铲，却将球铲向了自家球门，好在德赫亚反应迅速将球扑出了底线，补时第5分钟，狼队前锋卡瓦列罗反击当中射 门击中横梁
50' 登东克尔！！捂着脸！！很羞愧啊 ！！球打高了！！！                   50'比赛结束之前，斯莫林又险些打入一粒乌龙球，狼队左侧传中，斯莫林在禁区前沿放铲，却将球铲向了自家球门，好在德赫亚反应迅速将球扑出了底线，补时第5分钟，狼队前锋卡瓦列罗反击当中射 门击中横梁
