1'上半场比赛开始！                   1'曼联第1分钟展开积极攻势
24'德佩边路拿球，没有机会                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
24'曼联这边有球员受伤了                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
24'埃雷拉这边倒在了地上                   21'沃特福德第21分钟险些扳平，阿什利-扬中场右路回传稍慢被卡普埃抢断，伊格哈洛连续扣过施魏因施泰格后禁区右侧的射门偏出近角
70'曼联也换人，菲尔-琼斯受伤下，麦克奈尔上！                   70'沃特福德第70分钟又险些扳平，阿布迪禁区左侧混战中射门打中斯马林后偏转向近角，德赫亚神勇扑出
71'曼联这边已经两次被动换人了                   70'沃特福德第70分钟又险些扳平，阿布迪禁区左侧混战中射门打中斯马林后偏转向近角，德赫亚神勇扑出
71'沃特福德禁区内有机会                   70'沃特福德第70分钟又险些扳平，阿布迪禁区左侧混战中射门打中斯马林后偏转向近角，德赫亚神勇扑出
71'左路的劲射在经过折射后被德赫亚扑出！！                   70'沃特福德第70分钟又险些扳平，阿布迪禁区左侧混战中射门打中斯马林后偏转向近角，德赫亚神勇扑出
72'沃特福德角球开出，又是德赫亚做出了精彩扑救！！                   70'沃特福德第70分钟又险些扳平，阿布迪禁区左侧混战中射门打中斯马林后偏转向近角，德赫亚神勇扑出
72'之前的打门是阿布迪                   70'沃特福德第70分钟又险些扳平，阿布迪禁区左侧混战中射门打中斯马林后偏转向近角，德赫亚神勇扑出
72'麦克奈尔突破到底线                   70'沃特福德第70分钟又险些扳平，阿布迪禁区左侧混战中射门打中斯马林后偏转向近角，德赫亚神勇扑出
72'想造角球，没有成功                   70'沃特福德第70分钟又险些扳平，阿布迪禁区左侧混战中射门打中斯马林后偏转向近角，德赫亚神勇扑出
87'迪尼来主罚点球                   87'沃特福德第87分钟扳平，罗霍禁区内背后踢倒伊格哈洛，迪尼主罚点球射中路命中，1-1
87'看看能不能扳平比分                   87'沃特福德第87分钟扳平，罗霍禁区内背后踢倒伊格哈洛，迪尼主罚点球射中路命中，1-1
87'迪尼助跑打门，打中了，德赫亚扑出了方向！！                   87'沃特福德第87分钟扳平，罗霍禁区内背后踢倒伊格哈洛，迪尼主罚点球射中路命中，1-1
87'1-1！！                   87'沃特福德第87分钟扳平，罗霍禁区内背后踢倒伊格哈洛，迪尼主罚点球射中路命中，1-1
87'此时此刻值得来杯嘉士伯                   87'沃特福德第87分钟扳平，罗霍禁区内背后踢倒伊格哈洛，迪尼主罚点球射中路命中，1-1
88'看看曼联这边还有没有机会                   87'沃特福德第87分钟扳平，罗霍禁区内背后踢倒伊格哈洛，迪尼主罚点球射中路命中，1-1
89'施魏因斯泰格自己传球出现失误                   87'沃特福德第87分钟扳平，罗霍禁区内背后踢倒伊格哈洛，迪尼主罚点球射中路命中，1-1
90'德佩边路带球到底线，角球！                   87'沃特福德第87分钟扳平，罗霍禁区内背后踢倒伊格哈洛，迪尼主罚点球射中路命中，1-1
90'角球送前点                   87'沃特福德第87分钟扳平，罗霍禁区内背后踢倒伊格哈洛，迪尼主罚点球射中路命中，1-1
90'斯马林抢射一脚被戈麦斯扑出！！                   87'沃特福德第87分钟扳平，罗霍禁区内背后踢倒伊格哈洛，迪尼主罚点球射中路命中，1-1
90'曼联继续获得角球                   87'沃特福德第87分钟扳平，罗霍禁区内背后踢倒伊格哈洛，迪尼主罚点球射中路命中，1-1
90'德佩边路带球到底线，角球！                   90'曼联第90分钟绝杀，林加德角球混战中禁区左侧射门被戈麦斯勉强扑出，施魏因施泰格小禁区右侧传中被迪尼挡入空门，2-1
90'角球送前点                   90'曼联第90分钟绝杀，林加德角球混战中禁区左侧射门被戈麦斯勉强扑出，施魏因施泰格小禁区右侧传中被迪尼挡入空门，2-1
90'斯马林抢射一脚被戈麦斯扑出！！                   90'曼联第90分钟绝杀，林加德角球混战中禁区左侧射门被戈麦斯勉强扑出，施魏因施泰格小禁区右侧传中被迪尼挡入空门，2-1
90'曼联继续获得角球                   90'曼联第90分钟绝杀，林加德角球混战中禁区左侧射门被戈麦斯勉强扑出，施魏因施泰格小禁区右侧传中被迪尼挡入空门，2-1
91'曼联打了一个战术                   90'曼联第90分钟绝杀，林加德角球混战中禁区左侧射门被戈麦斯勉强扑出，施魏因施泰格小禁区右侧传中被迪尼挡入空门，2-1
91'1-2！！！                   90'曼联第90分钟绝杀，林加德角球混战中禁区左侧射门被戈麦斯勉强扑出，施魏因施泰格小禁区右侧传中被迪尼挡入空门，2-1
91'施魏因斯泰格！！                   90'曼联第90分钟绝杀，林加德角球混战中禁区左侧射门被戈麦斯勉强扑出，施魏因施泰格小禁区右侧传中被迪尼挡入空门，2-1
92'曼联左路传球到禁区内，队友低射被戈麦斯扑出，施魏因斯泰格跟进补射，小角度推射被迪尼在门线上滑铲，但还是没有阻挡球入网！！                   90'曼联第90分钟绝杀，林加德角球混战中禁区左侧射门被戈麦斯勉强扑出，施魏因施泰格小禁区右侧传中被迪尼挡入空门，2-1
92'此时此刻值得来杯嘉士伯                   90'曼联第90分钟绝杀，林加德角球混战中禁区左侧射门被戈麦斯勉强扑出，施魏因施泰格小禁区右侧传中被迪尼挡入空门，2-1
92'这球比较戏剧性                   90'曼联第90分钟绝杀，林加德角球混战中禁区左侧射门被戈麦斯勉强扑出，施魏因施泰格小禁区右侧传中被迪尼挡入空门，2-1
92'下半场补时4分钟！                   90'曼联第90分钟绝杀，林加德角球混战中禁区左侧射门被戈麦斯勉强扑出，施魏因施泰格小禁区右侧传中被迪尼挡入空门，2-1
93'这球最后算施魏因斯泰格进球还是算迪尼乌龙还是有待进一步核实                   90'曼联第90分钟绝杀，林加德角球混战中禁区左侧射门被戈麦斯勉强扑出，施魏因施泰格小禁区右侧传中被迪尼挡入空门，2-1
