9'汪嵩中场拿球转移被汪佳捷拦截                   9'第9分钟宋志伟在中场附近飞铲蔡慧康吃到黄牌，蔡倒地后久久不能起身
52'王燊超左路拿球被高迪拉拽了                   50'第50分钟麦克布林左路向前直塞，卡贝萨斯拿球后高速冲刺入禁区，但他打远角的抽射偏门而出
52'蔡慧康中场横传力量太小，被大黑将志断下                   50'第50分钟麦克布林左路向前直塞，卡贝萨斯拿球后高速冲刺入禁区，但他打远角的抽射偏门而出
53'大黑将志起脚射门被封堵                   50'第50分钟麦克布林左路向前直塞，卡贝萨斯拿球后高速冲刺入禁区，但他打远角的抽射偏门而出
53'卡贝萨斯左路利用速度突破横传，朱峥嵘没有调整好射门角度                   50'第50分钟麦克布林左路向前直塞，卡贝萨斯拿球后高速冲刺入禁区，但他打远角的抽射偏门而出
53'王燊超鼻子出血，到场边接受治疗                   50'第50分钟麦克布林左路向前直塞，卡贝萨斯拿球后高速冲刺入禁区，但他打远角的抽射偏门而出
53'绿城换人，宋志伟被范晓冬换下！                   50'第50分钟麦克布林左路向前直塞，卡贝萨斯拿球后高速冲刺入禁区，但他打远角的抽射偏门而出
57'武磊拿球回敲后场队友                   57'第57分钟卡贝萨斯中路往左路转移，麦克布林顺势下底传中，王林头碰了一下，球打在门柱上弹出，险些出现第二个乌龙
57'伊班斜传左路身后，王燊超慢了一步                   57'第57分钟卡贝萨斯中路往左路转移，麦克布林顺势下底传中，王林头碰了一下，球打在门柱上弹出，险些出现第二个乌龙
58'麦克布雷恩左路接应卡贝萨斯推传，下底传中被防守队员蹭了一下，中柱弹出！角球！                   57'第57分钟卡贝萨斯中路往左路转移，麦克布林顺势下底传中，王林头碰了一下，球打在门柱上弹出，险些出现第二个乌龙
59'角球第一点先被头球解围出去                   57'第57分钟卡贝萨斯中路往左路转移，麦克布林顺势下底传中，王林头碰了一下，球打在门柱上弹出，险些出现第二个乌龙
59'外围还是上港控制球权                   57'第57分钟卡贝萨斯中路往左路转移，麦克布林顺势下底传中，王林头碰了一下，球打在门柱上弹出，险些出现第二个乌龙
59'阿多长传，队友越位了                   57'第57分钟卡贝萨斯中路往左路转移，麦克布林顺势下底传中，王林头碰了一下，球打在门柱上弹出，险些出现第二个乌龙
60'麦克布雷恩回撤拿球，垫传禁区，卡贝萨斯没有跑                   57'第57分钟卡贝萨斯中路往左路转移，麦克布林顺势下底传中，王林头碰了一下，球打在门柱上弹出，险些出现第二个乌龙
60'朱峥嵘右路摆脱被范晓冬绊倒                   57'第57分钟卡贝萨斯中路往左路转移，麦克布林顺势下底传中，王林头碰了一下，球打在门柱上弹出，险些出现第二个乌龙
70'王燊超左路防守抢在高迪之前把球解围出边线                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
70'阿甘中路推传被断了                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
70'上港反击找左路，传出了边线                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
70'高迪右路拿球被王燊超断下                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
70'麦克布雷恩左路靠住石柯，拿到一个边线球                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
71'绿城连换两人，冯刚换下汪嵩                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
71'谢志宇换下的应该是高迪                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
72'卡贝萨斯左路找王燊超，传丢了                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
72'阿甘右路接应，伊班倒地把球铲出边线                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
72'曹轩右路送传中被解围                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
73'阿甘外围直塞被阿多拦截                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
73'冯刚左路传中被颜俊凌跃起没收                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
73'汪佳捷拿球摆脱包夹，把球转移出去                   70'第70分钟杭州队用冯刚和谢志宇换下高迪和汪嵩
77'谢志宇拿球斜传前场，阿甘第一点没有停下                   77'第77分钟李运秋拖延时间吃到黄牌
77'朱峥嵘中场争顶犯规了                   77'第77分钟李运秋拖延时间吃到黄牌
77'石柯摔倒在地，应该没事                   77'第77分钟李运秋拖延时间吃到黄牌
78'李运秋右路拿球回带被范晓冬绊倒                   77'第77分钟李运秋拖延时间吃到黄牌
78'李运秋开球拖延时间被黄牌警告！                   77'第77分钟李运秋拖延时间吃到黄牌
79'阿甘拿球摆脱，送球被破坏出边线                   77'第77分钟李运秋拖延时间吃到黄牌
79'武磊拿球摆脱，分边给到朱峥嵘                   77'第77分钟李运秋拖延时间吃到黄牌
79'朱峥嵘送右路插上的汪佳捷，稍稍大了一点，出底线                   77'第77分钟李运秋拖延时间吃到黄牌
80'王林右路拿球45度传禁区，还是被颜俊凌没收                   77'第77分钟李运秋拖延时间吃到黄牌
83'卡贝萨斯左路拿球横敲，汪佳捷再给到朱峥嵘                   83'第83分钟杭州终于打出一次质量不低的组织进攻，阿甘中路送球到右侧，王林起球到禁区，谢志宇跃起强力头攻高出门楣
84'上港还是中场控制球                   83'第83分钟杭州终于打出一次质量不低的组织进攻，阿甘中路送球到右侧，王林起球到禁区，谢志宇跃起强力头攻高出门楣
84'曹轩拿球分左路，阿甘过不掉阿多，只能回带                   83'第83分钟杭州终于打出一次质量不低的组织进攻，阿甘中路送球到右侧，王林起球到禁区，谢志宇跃起强力头攻高出门楣
84'王林禁区右侧传中到小禁区前，谢志宇甩头顶高！                   83'第83分钟杭州终于打出一次质量不低的组织进攻，阿甘中路送球到右侧，王林起球到禁区，谢志宇跃起强力头攻高出门楣
85'唐家庶长传被王燊超头球顶出边线                   83'第83分钟杭州终于打出一次质量不低的组织进攻，阿甘中路送球到右侧，王林起球到禁区，谢志宇跃起强力头攻高出门楣
86'伊班后上抢在接应的谢志宇前把球解围                   83'第83分钟杭州终于打出一次质量不低的组织进攻，阿甘中路送球到右侧，王林起球到禁区，谢志宇跃起强力头攻高出门楣
88'武磊后上抢断，带球突破被范晓冬破坏                   88'第88分钟卡贝萨斯左路送球，麦克布林再次战术性漏球，朱峥嵘跟进怒射，顾超奋力将球扑住
88'武磊受伤倒地                   88'第88分钟卡贝萨斯左路送球，麦克布林再次战术性漏球，朱峥嵘跟进怒射，顾超奋力将球扑住
88'起身了，应该没有大碍                   88'第88分钟卡贝萨斯左路送球，麦克布林再次战术性漏球，朱峥嵘跟进怒射，顾超奋力将球扑住
88'卡贝萨斯禁区前拿球，远射打高！                   88'第88分钟卡贝萨斯左路送球，麦克布林再次战术性漏球，朱峥嵘跟进怒射，顾超奋力将球扑住
90'卡贝萨斯左路横传禁区前，麦克布雷恩前点漏过，朱峥嵘中路射门被顾超扑出！                   88'第88分钟卡贝萨斯左路送球，麦克布林再次战术性漏球，朱峥嵘跟进怒射，顾超奋力将球扑住
90'朱峥嵘左路和王燊超配合，回敲伊班                   88'第88分钟卡贝萨斯左路送球，麦克布林再次战术性漏球，朱峥嵘跟进怒射，顾超奋力将球扑住
91'麦克布雷恩左路传中被王林阻挡                   88'第88分钟卡贝萨斯左路送球，麦克布林再次战术性漏球，朱峥嵘跟进怒射，顾超奋力将球扑住
91'下半场补时3分钟！                   88'第88分钟卡贝萨斯左路送球，麦克布林再次战术性漏球，朱峥嵘跟进怒射，顾超奋力将球扑住
91'阿甘右路传中，门前颜俊凌把球没收                   88'第88分钟卡贝萨斯左路送球，麦克布林再次战术性漏球，朱峥嵘跟进怒射，顾超奋力将球扑住
91'朱峥嵘左路摆脱唐家庶，后者手球了                   88'第88分钟卡贝萨斯左路送球，麦克布林再次战术性漏球，朱峥嵘跟进怒射，顾超奋力将球扑住
91'麦克布雷恩左路传中被王林阻挡                   91'第91分钟上港队用吴禹寅换下朱峥嵘
91'下半场补时3分钟！                   91'第91分钟上港队用吴禹寅换下朱峥嵘
91'阿甘右路传中，门前颜俊凌把球没收                   91'第91分钟上港队用吴禹寅换下朱峥嵘
91'朱峥嵘左路摆脱唐家庶，后者手球了                   91'第91分钟上港队用吴禹寅换下朱峥嵘
92'上港换人，朱峥嵘被吴禹寅换下                   91'第91分钟上港队用吴禹寅换下朱峥嵘
92'绿城后场横向转移失误了                   91'第91分钟上港队用吴禹寅换下朱峥嵘
93'冯刚左路传中，颜俊凌出击把球没收                   91'第91分钟上港队用吴禹寅换下朱峥嵘
94'补时已经到点了                   91'第91分钟上港队用吴禹寅换下朱峥嵘
94'裁判鸣哨结束全场比赛！                   91'第91分钟上港队用吴禹寅换下朱峥嵘
