2'阿森纳在左边路控球，罗西基和桑切斯配合，球被对方碰出界外                   2'开场仅2分钟，桑切斯禁区左侧边缘内的弧线球射门被贝戈维奇扑出
29'这样的推搡都不吹，裁判想干嘛？                   29'斯托克城第29分钟也获得机会，博扬任意球回传，维兰禁区边缘射高
30'罗西基在右边路带球突破，被对方阿诺托维奇拉倒，裁判的哨子终于响了                   29'斯托克城第29分钟也获得机会，博扬任意球回传，维兰禁区边缘射高
30'温格也是看不惯了，站了起来！                   29'斯托克城第29分钟也获得机会，博扬任意球回传，维兰禁区边缘射高
30'卡索拉来处理任意球，吊进禁区，第一点还是被对方后卫头球解围                   29'斯托克城第29分钟也获得机会，博扬任意球回传，维兰禁区边缘射高
31'阿森纳中场控球，还是大脚吊禁区里，球被对方破坏出边线                   29'斯托克城第29分钟也获得机会，博扬任意球回传，维兰禁区边缘射高
31'左边路阿森纳蒙雷亚尔传中，可惜后点的张伯伦自己滑倒了                   29'斯托克城第29分钟也获得机会，博扬任意球回传，维兰禁区边缘射高
32'斯托克城快速反击，惠兰禁区外斜传禁区里，球被默特萨克头球解围                   29'斯托克城第29分钟也获得机会，博扬任意球回传，维兰禁区边缘射高
49'桑切斯左边路横向突破到禁区线上，横敲到禁区弧里，张伯伦拔脚怒射，高出横梁！                   49'阿森纳第49分钟锁定胜局，桑切斯20码处任意球直接射门，皮球打穿人墙入左下角，3-0
50'吉鲁和肖克罗斯也是有一点口角                   49'阿森纳第49分钟锁定胜局，桑切斯20码处任意球直接射门，皮球打穿人墙入左下角，3-0
49'3-0！！桑切斯梅开二度                   49'阿森纳第49分钟锁定胜局，桑切斯20码处任意球直接射门，皮球打穿人墙入左下角，3-0
49'【此时此刻值得来杯嘉士伯】                   49'阿森纳第49分钟锁定胜局，桑切斯20码处任意球直接射门，皮球打穿人墙入左下角，3-0
50'桑切斯任意球直接射门，打人墙上折射后，门将扑了一下脱手打在门柱上打进！！                   49'阿森纳第49分钟锁定胜局，桑切斯20码处任意球直接射门，皮球打穿人墙入左下角，3-0
50'下半场5分钟不到阿森纳再进一个！上下半场的开局打的真是太好了                   49'阿森纳第49分钟锁定胜局，桑切斯20码处任意球直接射门，皮球打穿人墙入左下角，3-0
51'斯托克城禁区外把球挑到禁区里，沃尔特斯没有选择凌空打门，而是胸部停球                   49'阿森纳第49分钟锁定胜局，桑切斯20码处任意球直接射门，皮球打穿人墙入左下角，3-0
51'这一停就给了默特萨克机会解围！                   49'阿森纳第49分钟锁定胜局，桑切斯20码处任意球直接射门，皮球打穿人墙入左下角，3-0
51'沃尔萨伊德在中场拼抢时故意拉倒了吉鲁，黄牌！                   49'阿森纳第49分钟锁定胜局，桑切斯20码处任意球直接射门，皮球打穿人墙入左下角，3-0
67'桑切斯左边路带球往中路突破，禁区弧顶分给左侧的吉鲁，传中被挡出底线，角球                   67'第67分钟，卡索拉同张伯伦配合后在禁区右侧接近零度角挑射，皮球击中横梁上沿弹出
67'角球传前点，球被后卫蹭出禁区                   67'第67分钟，卡索拉同张伯伦配合后在禁区右侧接近零度角挑射，皮球击中横梁上沿弹出
67'张伯伦右边路利用速度突破，抹进禁区，横传被后卫解围                   67'第67分钟，卡索拉同张伯伦配合后在禁区右侧接近零度角挑射，皮球击中横梁上沿弹出
68'禁区外右侧卡索拉拿球，和张伯伦一个简单的2过1，面对门将小角度挑射，打在了横梁上！                   67'第67分钟，卡索拉同张伯伦配合后在禁区右侧接近零度角挑射，皮球击中横梁上沿弹出
68'阿森纳用沃尔科特换下张伯伦                   67'第67分钟，卡索拉同张伯伦配合后在禁区右侧接近零度角挑射，皮球击中横梁上沿弹出
69'阿森纳在自己后场控球，寻找机会往前传递                   67'第67分钟，卡索拉同张伯伦配合后在禁区右侧接近零度角挑射，皮球击中横梁上沿弹出
69'阿森纳禁区外打起了阵地战，耐心的寻找对方防守空档                   67'第67分钟，卡索拉同张伯伦配合后在禁区右侧接近零度角挑射，皮球击中横梁上沿弹出
70'斯托克城禁区里密集的防守破坏了对方的进攻                   67'第67分钟，卡索拉同张伯伦配合后在禁区右侧接近零度角挑射，皮球击中横梁上沿弹出
70'斯托克城左边路下底传中到禁区弧里，惠兰没有第一时间射门！！                   67'第67分钟，卡索拉同张伯伦配合后在禁区右侧接近零度角挑射，皮球击中横梁上沿弹出
70'可惜了啊，斯托克城很难获得这样的打门机会啊。                   67'第67分钟，卡索拉同张伯伦配合后在禁区右侧接近零度角挑射，皮球击中横梁上沿弹出
77'斯托克城前场控球，爱尔兰把球挑到禁区里，卡梅伦前插垫射打进！！                   77'第77分钟，克劳奇头球摆渡，卡梅伦越位位置进球被判无效
77'但边裁已经举旗了，越位！！                   77'第77分钟，克劳奇头球摆渡，卡梅伦越位位置进球被判无效
78'比方还是3-0阿森纳领先                   77'第77分钟，克劳奇头球摆渡，卡梅伦越位位置进球被判无效
79'爱尔兰又把球分到左侧边路                   77'第77分钟，克劳奇头球摆渡，卡梅伦越位位置进球被判无效
79'穆涅萨边路传球出现失误，球传出了边线                   77'第77分钟，克劳奇头球摆渡，卡梅伦越位位置进球被判无效
80'厄齐尔在边路控球，被对方推倒，挤出了边线，裁判给了客队界外球                   77'第77分钟，克劳奇头球摆渡，卡梅伦越位位置进球被判无效
80'阿森纳后场抢断快速反击，桑切斯拿球吸引后卫后，直塞中路，沃尔科特单刀啊！！可惜推射偏出了球门！！                   77'第77分钟，克劳奇头球摆渡，卡梅伦越位位置进球被判无效
86'阿森纳中场卡索拉一脚手术刀似的直传，厄齐尔前插禁区里抽射，偏出！！                   86'第86分钟，卡索拉直传，厄齐尔禁区右侧右脚射门偏出近角
88'全场比赛马上进入到伤停补时了                   86'第86分钟，卡索拉直传，厄齐尔禁区右侧右脚射门偏出近角
