4'西布朗前场进攻，中路直塞球到禁区                   4'第4分钟，罗森贝里传球，多兰斯远射偏出
50'埃文斯继续回敲德赫亚，德赫亚大脚来到前场                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
50'西布朗后场抢断，反击机会                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
51'布伦特禁区外接到队友的回敲，一脚远射，德赫亚跪在地上将球没收                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
51'克莱维利前场拿球，摆脱防守球员进入禁区                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
52'完全空了，可惜自己再次盘带，被回防的塔马斯抢断                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
52'非常一次好的机会，就这样浪费了                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
52'西布朗的进攻获得前场任意球机会                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
52'布伦特任意球开到禁区，麦考利的头球被后卫挡出                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
52'罗森贝里得球再射，又被挡出                   49'第49分钟，克莱维利禁区右侧传中，香川真司12码处射门被封堵
52'完全空了，可惜自己再次盘带，被回防的塔马斯抢断                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
52'非常一次好的机会，就这样浪费了                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
52'西布朗的进攻获得前场任意球机会                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
52'布伦特任意球开到禁区，麦考利的头球被后卫挡出                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
52'罗森贝里得球再射，又被挡出                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
53'曼联的防守要小心了，不能给西布朗这么好的定位球机会啊                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
53'西布朗下半场的进攻明显比上半场更给力了                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
54'西布朗继续前场进攻，右边路传中                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
54'维迪奇力压肖恩-朗将球解围出来                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
54'球还在西布朗球员脚下，在传中                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
54'奥登文杰禁区内的倒勾，没能踢上                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
55'球被曼联后卫解围，但到了布伦特脚下                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
55'布伦特禁区外拿球，趟了一步后直接打门，放了飞机                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
55'维尔贝克前场拿球给到香川真司                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
55'香川真司脚后跟过度给到跟进的维尔贝克                   52'第52分钟，布伦特右路任意球传中，塔马斯远点头球摆渡被挡出，麦考利10码处射门被封堵
55'球被曼联后卫解围，但到了布伦特脚下                   55'第55分钟，阿什利-扬传中，瓦伦西亚禁区右侧的射门被里奇维尔挡出
55'布伦特禁区外拿球，趟了一步后直接打门，放了飞机                   55'第55分钟，阿什利-扬传中，瓦伦西亚禁区右侧的射门被里奇维尔挡出
55'维尔贝克前场拿球给到香川真司                   55'第55分钟，阿什利-扬传中，瓦伦西亚禁区右侧的射门被里奇维尔挡出
55'香川真司脚后跟过度给到跟进的维尔贝克                   55'第55分钟，阿什利-扬传中，瓦伦西亚禁区右侧的射门被里奇维尔挡出
56'维尔贝克禁区弧顶斜传左路插上的克莱维利                   55'第55分钟，阿什利-扬传中，瓦伦西亚禁区右侧的射门被里奇维尔挡出
56'克莱维利拿球没机会，斜传给到瓦伦西亚                   55'第55分钟，阿什利-扬传中，瓦伦西亚禁区右侧的射门被里奇维尔挡出
56'瓦伦西亚的打门被后卫挡出底线                   55'第55分钟，阿什利-扬传中，瓦伦西亚禁区右侧的射门被里奇维尔挡出
56'曼联获得角旗机会                   55'第55分钟，阿什利-扬传中，瓦伦西亚禁区右侧的射门被里奇维尔挡出
57'阿什利扬角球开出到禁区，维迪奇的打门，被福斯特没收                   55'第55分钟，阿什利-扬传中，瓦伦西亚禁区右侧的射门被里奇维尔挡出
58'曼城少一人作战，目前3-1诺维奇了                   55'第55分钟，阿什利-扬传中，瓦伦西亚禁区右侧的射门被里奇维尔挡出
58'埃文斯后场的防守嘴角出血了                   55'第55分钟，阿什利-扬传中，瓦伦西亚禁区右侧的射门被里奇维尔挡出
58'多朗斯禁区外的远射，放了飞机                   55'第55分钟，阿什利-扬传中，瓦伦西亚禁区右侧的射门被里奇维尔挡出
66'瓦伦西亚右路拿球，进入禁区，小角度打门，球打在后卫身上出底线                   66'第66分钟，范佩西替换香川真司出场
66'曼联换人：范佩西换下香川真司                   66'第66分钟，范佩西替换香川真司出场
66'曼联右侧角球，范佩西主罚                   66'第66分钟，范佩西替换香川真司出场
67'范佩西角球开出，第一点被西布朗球员解围                   66'第66分钟，范佩西替换香川真司出场
67'西布朗也换人了：卢卡库换下罗森贝里                   66'第66分钟，范佩西替换香川真司出场
67'卢卡库前场直传给到肖恩-朗                   66'第66分钟，范佩西替换香川真司出场
68'肖恩-朗拿球下底，斯马林将球解围出底线                   66'第66分钟，范佩西替换香川真司出场
68'西布朗左侧角球机会，布伦特主罚                   66'第66分钟，范佩西替换香川真司出场
68'布伦特开出到禁区，多人的头球接力后，被瓦伦西亚控制                   66'第66分钟，范佩西替换香川真司出场
68'瓦伦西亚右边路拿球，布伦特上抢，踢倒了瓦伦西亚                   66'第66分钟，范佩西替换香川真司出场
69'西布朗中场的挑传球找奥登文杰，卡里克将球解围出边线                   66'第66分钟，范佩西替换香川真司出场
78'里奇维尔身后上抢，踢倒了范佩西                   78'第78分钟，埃弗拉传球，阿什利-扬禁区左侧小角度射门被福斯特没收
78'曼城少一人作战，目前客场4-2诺维奇，哲科帽子戏法，阿圭罗锦上添花                   78'第78分钟，埃弗拉传球，阿什利-扬禁区左侧小角度射门被福斯特没收
78'奥登文杰中路拿球，横传找左路插上的里奇维尔                   78'第78分钟，埃弗拉传球，阿什利-扬禁区左侧小角度射门被福斯特没收
79'可惜里奇维尔的启动速度慢了，球直接先出了边线                   78'第78分钟，埃弗拉传球，阿什利-扬禁区左侧小角度射门被福斯特没收
80'卢卡库前场拿球，进入禁区，抽射，打在斯莫林身上出底线                   78'第78分钟，埃弗拉传球，阿什利-扬禁区左侧小角度射门被福斯特没收
80'西布朗左侧角球机会，莫里森主罚                   78'第78分钟，埃弗拉传球，阿什利-扬禁区左侧小角度射门被福斯特没收
80'莫里森角球开出到禁区，第一点被曼联球员解围                   78'第78分钟，埃弗拉传球，阿什利-扬禁区左侧小角度射门被福斯特没收
80'多朗斯的迎球怒射，又被上来的卡里克堵了枪眼，球出边线                   78'第78分钟，埃弗拉传球，阿什利-扬禁区左侧小角度射门被福斯特没收
81'维尔贝克前场拿球，突破，想利用速度摆脱塔马斯的防守                   78'第78分钟，埃弗拉传球，阿什利-扬禁区左侧小角度射门被福斯特没收
87'奥登文杰禁区外的一脚远射，球打在维迪奇身上出底线                   87'第87分钟，奥德姆温吉25码处劲射被维迪奇封挡后擦左侧立柱偏出
87'这球威胁性很大啊，要不是维迪奇一挡，这球进的可能性极高                   87'第87分钟，奥德姆温吉25码处劲射被维迪奇封挡后擦左侧立柱偏出
88'西布朗左侧角球机会，不过没什么威胁                   87'第87分钟，奥德姆温吉25码处劲射被维迪奇封挡后擦左侧立柱偏出
88'下半场比赛已经进入尾声，目前比分1-0，曼联领先                   87'第87分钟，奥德姆温吉25码处劲射被维迪奇封挡后擦左侧立柱偏出
89'斯莫林后场抢断，肖恩-朗身后上抢，撞倒了斯莫林                   87'第87分钟，奥德姆温吉25码处劲射被维迪奇封挡后擦左侧立柱偏出
90'瓦伦西亚右路拿球进入禁区，横拨中路给到维尔贝克                   87'第87分钟，奥德姆温吉25码处劲射被维迪奇封挡后擦左侧立柱偏出
90'维尔贝克的抽射，福斯特侧扑将球扑出底线                   87'第87分钟，奥德姆温吉25码处劲射被维迪奇封挡后擦左侧立柱偏出
90'曼联左侧角球机会，战术角球                   87'第87分钟，奥德姆温吉25码处劲射被维迪奇封挡后擦左侧立柱偏出
90'进球了，范佩西                   87'第87分钟，奥德姆温吉25码处劲射被维迪奇封挡后擦左侧立柱偏出
91'瓦伦西亚禁区外拿球直传范佩西，范佩西拿球一趟，左脚的弧线球，直挂远角                   91'曼联第91分钟锁定胜局，瓦伦西亚传球禁区右侧，范佩西迂回至禁区边缘左脚弧线球射入上角，2-0
92'进入补时啦，这球没悬念了                   91'曼联第91分钟锁定胜局，瓦伦西亚传球禁区右侧，范佩西迂回至禁区边缘左脚弧线球射入上角，2-0
92'下半场补时4分钟                   91'曼联第91分钟锁定胜局，瓦伦西亚传球禁区右侧，范佩西迂回至禁区边缘左脚弧线球射入上角，2-0
92'曼联后场抢断，直传给到维尔贝克                   91'曼联第91分钟锁定胜局，瓦伦西亚传球禁区右侧，范佩西迂回至禁区边缘左脚弧线球射入上角，2-0
93'维尔贝克前场左路拿球，阿什利扬前插了                   91'曼联第91分钟锁定胜局，瓦伦西亚传球禁区右侧，范佩西迂回至禁区边缘左脚弧线球射入上角，2-0
93'可惜维尔贝克并未传球，自己再往里走                   91'曼联第91分钟锁定胜局，瓦伦西亚传球禁区右侧，范佩西迂回至禁区边缘左脚弧线球射入上角，2-0
93'禁区线上，麦考利将球从维尔贝克脚下断掉                   91'曼联第91分钟锁定胜局，瓦伦西亚传球禁区右侧，范佩西迂回至禁区边缘左脚弧线球射入上角，2-0
94'范佩西刚刚进球后也是掀起了球衣，不知下边的衣服上写的是什么                   91'曼联第91分钟锁定胜局，瓦伦西亚传球禁区右侧，范佩西迂回至禁区边缘左脚弧线球射入上角，2-0
94'补时时间已经进入读秒阶段，曼联的门球                   91'曼联第91分钟锁定胜局，瓦伦西亚传球禁区右侧，范佩西迂回至禁区边缘左脚弧线球射入上角，2-0
94'德赫亚大脚开出到前场，西布朗球员控球                   91'曼联第91分钟锁定胜局，瓦伦西亚传球禁区右侧，范佩西迂回至禁区边缘左脚弧线球射入上角，2-0
